[00:00:00.849 --> 00:00:05.891]  Rosalind Peterson is an environmental impact analyst and founder of California Skywatch.
[00:00:06.291 --> 00:00:11.673]  Today, Rosalind is a leader in the fight to expose the true nature of the chemicals being sprayed in our skies.
[00:00:12.013 --> 00:00:20.576]  She has compiled extensive data documenting the ongoing geoengineering and weather modification programs contaminating our skies, water, and food supply.
[00:00:22.267 --> 00:00:27.150]  My name is Rosalind Peterson and I was born and raised in Mendocino County in California.
[00:00:27.930 --> 00:00:34.433]  I was on a working farm in Mendocino County and grew up on a working farm.
[00:00:34.554 --> 00:00:36.755]  So I have a background in agriculture.
[00:00:37.555 --> 00:00:39.117]  I could drive a cat tractor.
[00:00:39.237 --> 00:00:41.059]  I could do the irrigation systems.
[00:00:41.640 --> 00:00:47.586]  I decided to take environmental studies and planning course at Sonoma State University where I got my degrees.
[00:00:48.187 --> 00:00:52.331]  After some training, I became an agriculture crop loss adjuster.
[00:00:52.972 --> 00:01:06.700]  Which meant that if there were any crops that failed in California for any reason, crop loss adjusters were sent by the state of California to go investigate where these crop losses were and why there were crop losses throughout the state.
[00:01:07.200 --> 00:01:16.886]  So I was traveling about 50,000 miles a year in this process from county to county assessing what kind of crops, what kind of damage they had
[00:01:17.526 --> 00:01:25.690]  And looking into the reasons for the failure itself and how much value the crop was that was lost at that particular time.
[00:01:25.710 --> 00:01:33.795]  And then if there was a crop loss that was legitimate then ranchers or farmers could be paid crop insurance for the loss of their crops.
[00:01:34.515 --> 00:01:39.558]  In 1998, I began to notice just a little bit of tree decline on the property here.
[00:01:40.259 --> 00:01:44.782]  I began to notice that some trees didn't look as healthy and I started to worry about that.
[00:01:45.262 --> 00:01:51.646]  Just in the background is something that was nagging because I was concerned about losing the beautiful trees we have around here.
[00:01:52.546 --> 00:01:54.528]  Then in early 2000, I began to notice that
[00:01:57.099 --> 00:01:57.319]  I think?
[00:02:15.211 --> 00:02:35.785]  And when they were sky writing and when they did this then the sky would haze over and so I found myself when I was teaching tennis and being outdoors all the time or traveling for work that I was irritated a little bit about the idea that the skies were hazed over a lot so that was the first inkling and then in 2002
[00:02:39.292 --> 00:02:42.154]  I was working for the Mendocino County Probation Department.
[00:02:42.754 --> 00:02:51.199]  I was on a lunch break and a friend of mine stopped me and dragged me into his office and said, what do you know about this?
[00:02:52.720 --> 00:02:54.241]  And I said, nothing.
[00:02:54.862 --> 00:03:00.565]  And so he said, well, he said, look, he said, I want you to know that something strange is happening here.
[00:03:01.046 --> 00:03:02.687]  And I'm really concerned about it.
[00:03:03.267 --> 00:03:07.110]  My brother, who's in the military, is concerned about this.
[00:03:07.970 --> 00:03:14.572]  and has called me a couple of times to say he was concerned that there was something here that was going on that was not quite right.
[00:03:15.232 --> 00:03:36.519]  He couldn't go any further but he did take me outside that lunch hour and say today is a really bad day and that's when he really brought my attention to watching the jets and how the jets would leave a small trail and then it would expand into these huge plumes and at that particular juncture of time that day I was in and bought a pair of binoculars
[00:03:37.299 --> 00:03:43.084]  After work, and a camera, and I started taking pictures and watching what was going on.
