[00:00:00.709 --> 00:00:03.691]  On that number, 1-800-409-5633.
[00:00:06.753 --> 00:00:12.336]  He's the T-Rex of political talk, Alex Jones on the GCN Radio Network.
[00:00:32.410 --> 00:00:36.192]  All right, we are now eight minutes into our number three.
[00:00:36.212 --> 00:01:00.725]  We've got Paul Watson joining us via video Skype connection, audio for radio listeners, visually for PrisonPlanet.tv members in the first 30 minutes of the next hour, then Charlie Skelton who writes for the Evening Standard, and the London Guardian reporter in Spain for Bilderberg 2010, giving us a first report on the closing of the resort and hotel today, and the top globalist arriving.
[00:01:01.525 --> 00:01:08.410]  Before we go any further, the film Invisible Empire, A New World Order Defined, is our newest documentary that we have produced.
[00:01:09.130 --> 00:01:15.394]  Jason Mermis is the director, and for the first time ever, the secret agenda of the planet's ruthless superclass is exposed.
[00:01:15.755 --> 00:01:23.340]  In stark detail, this documentary film chronicles how men of power and influence have worked in stealth for centuries to establish an oppressive world government.
[00:01:23.840 --> 00:01:30.984]  Learn how this global oligarchy controls the populace through drug trafficking, money laundering, staged terror attacks, media propaganda and debt.
[00:01:31.325 --> 00:01:36.288]  The criminal controllers have successfully dominated the globe and are now in their final phase of consolidating power.
[00:01:36.748 --> 00:01:43.072]  Government narcotics trafficking, white slavery rings, the pervert guilds, how they control people in Congress.
[00:01:44.281 --> 00:01:46.361]  How different globalist organizations tie together.
[00:01:46.381 --> 00:01:49.062]  Two hours, 24 minutes, with extensive extras.
[00:01:49.902 --> 00:01:56.344]  It's got, of course, G. Edward Griffin, it's got Peter Dale Scott, and many, many others in the film, and I consulted on it.
[00:01:56.764 --> 00:02:03.825]  Very important documentary, and your purchase of the books, the videos, the t-shirts, the material, you are what makes this show possible.
[00:02:04.125 --> 00:02:10.747]  So, not only is this a great tool to wake up your friends and family, and also to inform you to a higher level, it also funds our operation.
[00:02:11.167 --> 00:02:18.053]  Of course, for people that want to understand the banking collapse that's happening, how the globalists are doing it, how they're behind it, fall of the republic.
[00:02:19.194 --> 00:02:28.401]  For folks that want to know how to take the states back, and the difference between a democracy and a republic, and the move to have sheriffs elected that'll say no to the feds, this should be given to every sheriff you know.
[00:02:28.701 --> 00:02:29.962]  The DVD is available.
[00:02:30.896 --> 00:02:32.156]  at InfoWars.com.
[00:02:32.897 --> 00:02:33.737]  Don't tread on me.
[00:02:33.857 --> 00:02:34.837]  Rise of the Republican.
[00:02:34.857 --> 00:02:35.578]  Of course I'm in it.
[00:02:36.078 --> 00:02:40.939]  Back in print after 20 years being out of print, The Secret Team by L. Fletcher Prouty.
[00:02:41.400 --> 00:02:44.121]  How the top banks ran the Communist and the U.S.
[00:02:44.681 --> 00:02:46.822]  He was the head of Black Ops for the Pentagon.
[00:02:47.142 --> 00:02:48.342]  CIA liaison.
[00:02:48.842 --> 00:02:50.843]  This is the book the CIA doesn't want you to read.
[00:02:51.183 --> 00:02:53.024]  Available at InfoWars.com.
[00:02:53.124 --> 00:02:59.406]  You want to understand the police state control grid and have all the intel on what's being set up in the United States.
[00:03:00.006 --> 00:03:04.969]  The latest film that I directed with Rob Dew and Jason Douglas, Police State 4, The Rise of FEMA.
[00:03:04.989 --> 00:03:05.950]  It covers it all.
[00:03:06.390 --> 00:03:14.035]  Again, available at Infowars.com or by calling toll free 888-253-3139.
[00:03:14.555 --> 00:03:18.578]  I want to thank everyone that has been supporting us buying the books and videos.
[00:03:18.838 --> 00:03:21.980]  More importantly though, if you own the books and videos, give them to people.
[00:03:22.020 --> 00:03:23.181]  Make copies of my films.
[00:03:23.521 --> 00:03:24.001]  Get them out.
[00:03:24.081 --> 00:03:25.022]  Air them on AXS TV.
[00:03:25.062 --> 00:03:25.882]  Show them to your church.
[00:03:26.343 --> 00:03:28.224]  People are ready to be awakened right now.
[00:03:28.664 --> 00:03:31.087]  And I also want to thank folks that have supported us in other ways.
[00:03:31.448 --> 00:03:45.767]  Spreading the word about the radio show on your local AM and FM, or satellite, or shortwave, or the web, or the free iPhone app on InfoWars.com, or donating, or supporting our sponsors, both national and local.
