[00:00:05.455 --> 00:00:08.937]  Bruce Levine is a clinical psychologist living in Cincinnati, Ohio.
[00:00:10.578 --> 00:00:15.061]  He's the author of Common Sense Rebellion, as well as America's Depression Epidemic.
[00:00:17.023 --> 00:00:20.545]  He's a regular contributor to Z Magazine, Alternet, and the Huffington Post.
[00:00:23.604 --> 00:00:25.185]  I'm Dr. Bruce Levine.
[00:00:25.205 --> 00:00:28.206]  I'm a clinical psychologist in Cincinnati, Ohio.
[00:00:28.226 --> 00:00:30.727]  I've been in practice here for over 25 years.
[00:00:30.947 --> 00:00:33.068]  I've written a few books.
[00:00:33.088 --> 00:00:36.290]  The last one is Surviving America's Depression Epidemic.
[00:00:36.490 --> 00:00:43.433]  Prior to that was a book called Common Sense Rebellion, Taking Back Your Lives from Drugs, Shrinks, Corporations, and a World Gone Crazy.
[00:00:43.453 --> 00:00:49.155]  I write regularly for Alternate Magazine,
[00:00:50.916 --> 00:00:55.303]  Z Magazine, Huffington Post, Ecologist.
[00:00:55.744 --> 00:01:03.295]  My clientele is I work with adults and families and teenagers, probably at any given time about a third teenagers.
[00:01:04.137 --> 00:01:05.279]  I work with folks who are
[00:01:06.340 --> 00:01:17.228]  By and large, I would call them anti-authoritarian population, although my business would diagnose them with oppositional defiant disorder or attention deficit disorder or substance abuse.
[00:01:18.309 --> 00:01:29.017]  So, what I found is a lot of people who end up here and feel comfortable with me, that they are anti-authoritarians, usually without any kind of political consciousness.
[00:01:29.657 --> 00:01:35.224]  And often they are rebelling with self-destructive ways.
[00:01:36.486 --> 00:01:42.794]  And sometimes they're rebelling in a positive, life-affirming way, and they have no validation, they have no support.
[00:01:43.114 --> 00:01:47.039]  But for the most part, they're folks who are feeling utterly alienated.
[00:01:48.048 --> 00:02:04.900]  by their surroundings whether it's a school or it's a job or it's a society and they've got a lot of pain off of that and without validation of their pain and support, human beings tend to react and rebel often self-destructively.
[00:02:05.040 --> 00:02:13.145]  So they'll just drink 12 packs all day long with their pain rather than doing something that's actually going to transform their society or culture.
[00:02:13.406 --> 00:02:16.628]  It's just what all of us human beings do when we get down low enough
[00:02:17.388 --> 00:02:19.009]  We get down when we're hurting enough.
[00:02:19.789 --> 00:02:24.470]  We don't really act sometimes in ways that are in our best self-interest.
[00:02:24.910 --> 00:02:38.494]  Psychology, to become a licensed clinical psychologist, PhD, you go through graduate training, and you do not have a medical degree, which is exactly why I wanted to have it.
[00:02:39.514 --> 00:02:43.695]  Because if you're a psychiatrist, it means you're an MD, you're a physician.
[00:02:44.475 --> 00:02:55.218]  And if you're a psychiatrist and you're an M.D., it's the standard of care, increasingly, for almost everybody who's having some difficulty in life, is to medicate them, to drug them with psychotropic drugs.
[00:02:55.758 --> 00:02:57.478]  Whereas if you're a Ph.D.
[00:02:57.518 --> 00:03:00.459]  psychologist, you can't prescribe.
[00:03:00.639 --> 00:03:03.980]  Except in a few states, some psychologists have fought for prescription rights.
[00:03:04.020 --> 00:03:09.521]  But ordinarily, there isn't that kind of a legal, peer, professional pressure, if you're a Ph.D.
[00:03:09.541 --> 00:03:11.081]  psychologist, to medicate everyone.
[00:03:11.121 --> 00:03:12.382]  Whereas if you are an M.D.
[00:03:12.422 --> 00:03:13.222]  psychiatrist,
[00:03:13.502 --> 00:03:14.723]  There is that pressure.
[00:03:15.043 --> 00:03:26.573]  That you're actually doing something wrong because you're not putting some kid on speed, Ritalin, Amphetamines, you know, because the kid's not paying attention to school and he's paying attention to only things he's interested in.
[00:03:26.873 --> 00:03:29.195]  One of the things that I see
[00:03:30.336 --> 00:03:46.288]  And this is not just me, it's historians of all genuine democratic movements, whether it was the American Revolution or, more recently, was the populist movement, which was big in Texas and lots of other parts of the United States.
[00:03:47.229 --> 00:03:55.635]  And in that populist movement and in the American Revolution, you see that there were two things that people had, which they don't have so much today, psychologically.
[00:03:56.015 --> 00:03:57.937]  One was individual self-respect.
[00:03:59.702 --> 00:04:06.667]  And the second thing that you need for a democratic mass movement is collective confidence or trust in one another.
[00:04:07.827 --> 00:04:20.976]  And when you're living in a kind of society that breaks people's self-respect and breaks their bonds of trust with one another, it makes it much more difficult to have any kind of a democratic revolutionary movement.
[00:04:21.276 --> 00:04:29.002]  There's a lot of different aspects to our society and our culture that has made us feel broken or demoralized or defeated.
[00:04:30.223 --> 00:04:31.624]  I'll give you one example.
[00:04:32.545 --> 00:04:37.569]  What any psychologist should know are the famous learned helplessness experiments.
[00:04:38.189 --> 00:04:45.035]  A lot of them were done on dogs, so one of the most famous learned helplessness experiments was you had three groups of dogs.
[00:04:45.416 --> 00:04:48.598]  One group of dogs received no electroshock, a control group.
[00:04:49.199 --> 00:04:52.101]  The other two groups received equal amounts of electroshock.
[00:04:52.842 --> 00:04:58.684]  But the difference was, in one group, these dogs had control over being able to stop their electroshock.
[00:04:59.225 --> 00:05:00.985]  In the other group, they had no control.
[00:05:01.045 --> 00:05:02.506]  They learned helplessness.
[00:05:02.546 --> 00:05:06.547]  No matter what they did, their shocks, they could not stop their shocks.
[00:05:06.648 --> 00:05:08.928]  They moved into passivity, into depression.
[00:05:08.968 --> 00:05:12.190]  And then, when all these dogs were given tasks,
[00:05:13.010 --> 00:05:18.315]  Where they could just jump over a barrier to escape from their electric shock.
[00:05:18.515 --> 00:05:19.616]  Very simple task.
[00:05:20.056 --> 00:05:30.105]  The ones who had learned helplessness, the ones who had learned that no matter what they do, the shocks do not go away, they did not even try to jump over the barrier.
[00:05:30.465 --> 00:05:38.533]  Whereas the dogs that had learned that if they used their nose to press the panel and the shocks went away, they figured out how to jump over the barrier and escape.
[00:05:39.113 --> 00:05:42.817]  Well, think about what people get to do every election day.
[00:05:42.997 --> 00:05:45.339]  National elections, presidential elections.
[00:05:45.719 --> 00:05:47.741]  They get to choose a Republican.
[00:05:48.062 --> 00:05:55.109]  They get to vote for a Republican and basically vote for unnecessary wars and corporate control.
[00:05:55.789 --> 00:06:00.733]  Or they get to vote for a Democrat, and they vote for unnecessary wars and corporate control.
[00:06:01.354 --> 00:06:04.116]  Or they vote for a third party candidate.
[00:06:04.557 --> 00:06:06.979]  Maybe a Libertarian, maybe a Green Party.
[00:06:07.439 --> 00:06:10.982]  And the way it's set up is those third parties have no chance.
[00:06:11.243 --> 00:06:12.784]  The media makes sure they have no chance.
[00:06:13.004 --> 00:06:20.871]  So when they vote for those third parties, they still get a Democrat or Republican and corporate control and unnecessary wars.
[00:06:20.951 --> 00:06:23.173]  Or there's a fourth choice that people can make.
[00:06:23.493 --> 00:06:27.916]  They can choose not to vote at all, which is what a lot of people in America do.
[00:06:28.276 --> 00:06:32.178]  Forty, you know, forty to fifty percent in presidential elections don't bother voting.
[00:06:32.198 --> 00:06:37.321]  You know, in off-year elections, it's a huge majority of people don't bother voting.
[00:06:37.721 --> 00:06:39.262]  So what do they get by not voting?
[00:06:39.642 --> 00:06:42.283]  Corporate control and unnecessary wars.
[00:06:42.523 --> 00:06:43.943]  And so that's learned helplessness.
[00:06:44.183 --> 00:06:50.225]  No matter what you do, as long as you're taking seriously that electoral process, you're going to be helpless.
[00:06:50.245 --> 00:06:52.186]  You're going to get that same degree of pain.
[00:06:53.106 --> 00:06:57.587]  And so that's one way that people have become helpless and hopeless.
[00:06:57.607 --> 00:07:02.128]  They feel that there's nothing that they could do to focus on the electoral process as a way of changing.
[00:07:02.348 --> 00:07:05.669]  And no matter what they do, it creates just pain for them.
[00:07:05.889 --> 00:07:07.050]  They can't make it go away.
[00:07:07.170 --> 00:07:08.170]  So that's one arena.
[00:07:08.650 --> 00:07:15.814]  Another area that, and I ask myself, why is it this generation more passive than the last generation?
