[00:00:08.260 --> 00:00:09.301]  Welcome, ladies and gentlemen.
[00:00:09.361 --> 00:00:10.762]  Thank you for joining us.
[00:00:10.782 --> 00:00:15.587]  We're now an hour and 33 minutes into this Thursday broadcast.
[00:00:15.607 --> 00:00:21.111]  We're simulcasting at PrisonPlanet.tv live for PrisonPlanet.tv viewers.
[00:00:22.853 --> 00:00:29.099]  Okay, the last caller said, why do we see the G20 now meeting every few months?
[00:00:30.458 --> 00:00:37.921]  In fact, pull up on screen for people, just type into the search engine the term, banking heads meet in secret in Australia.
[00:00:38.161 --> 00:00:40.561]  Remember that two months ago?
[00:00:40.581 --> 00:00:47.624]  27 banking heads of the G20 and 7 private mega banks all met in secret.
[00:00:49.005 --> 00:01:04.592]  Well, I mean, going back to 1954, Bilderberg has released part of the minutes of their first meeting, and they said, through stealth, through economic trade deals, we're going to create the Asian Union, the North American Union, and the European Union, and we are then going to merge those three.
[00:01:04.992 --> 00:01:15.477]  They've already set up the North American Union by stealth, the EU and the Asian Union are all operating, and we have this in my film, Endgame, Bush actually giving a speech with Merkel and Barroso of the EU,
[00:01:16.437 --> 00:01:23.798]  Saying, we are now merging the North American Union with the European Union, through this Atlantic Agreement.
[00:01:24.338 --> 00:01:37.661]  So, they publicly admit they're doing this, but then separately have armies of pundits out there, saying if you talk about global government run by banks, you're crazy, it doesn't exist, and you're probably a terrorist.
[00:01:39.321 --> 00:01:45.182]  And when I had Nightline here earlier in the week, I was trying to show him clips of Herman Van Rompuy, I was trying to show him clips,
[00:01:46.610 --> 00:01:54.135]  Of Gordon Brown, of Ban Ki-moon, saying global government's here, world governance is here, and it's going to be run by private banks.
[00:01:54.375 --> 00:01:58.297]  And they're going to raise VAT taxes on us, they're going to have carbon taxes on us.
[00:01:58.558 --> 00:02:04.161]  It's like when I had Rothschild, the heir to the Rothschild fortune on, one of the head environmentalists, out there land grabbing.
[00:02:04.701 --> 00:02:06.743]  And he said, there is no such thing as a carbon tax.
[00:02:07.563 --> 00:02:16.345]  Even though at the time he'd been on other TV shows promoting a carbon tax and calling for global government, for my audience the disdain was it doesn't exist.
[00:02:16.745 --> 00:02:22.487]  So we have an argument about whether it exists or not instead of about who's setting up the world government.
[00:02:22.847 --> 00:02:23.767]  Is it tyrannical?
[00:02:23.867 --> 00:02:24.568]  Do we want it?
[00:02:24.828 --> 00:02:25.788]  Do we have a say in it?
[00:02:26.713 --> 00:02:39.301]  And so the G20 is meeting now every month or so with the army called out in England, the army called out in the U.S., the army being called out in Canada, the army being called out in Europe on the continent.
[00:02:40.182 --> 00:02:41.643]  No protesting is allowed.
[00:02:42.223 --> 00:02:43.264]  People are arrested.
[00:02:43.324 --> 00:02:50.649]  There's surveillance everywhere because these are the true controllers, the finance ministers of the 20 industrialized nations.
[00:02:51.209 --> 00:02:56.115]  Who all are former Goldman Sachs, JP Morgan, Bank of England executives.
[00:02:56.535 --> 00:02:57.877]  They're private bank holders.
[00:02:58.177 --> 00:03:08.309]  They themselves, in the banking bailouts, which are really just banking robberies, openly get hundreds of millions, in some cases billions of dollars apiece, of the bailout money.
[00:03:09.584 --> 00:03:12.946]  And then they won't even tell Congress or the Parliament where all the money went.
[00:03:13.366 --> 00:03:16.267]  So, I mean, think about how outrageous this is.
[00:03:16.287 --> 00:03:21.469]  So, I hate to even get into this subject without playing clip after clip after clip.
[00:03:21.849 --> 00:03:28.232]  But you can just search engine Herman Van Rompuy, head of the EU, global governance, and you'll get clip after clip after clip and the documents.
[00:03:28.352 --> 00:03:32.414]  Video, audio, government documents, Copenhagen Treaty, you name it.
[00:03:33.494 --> 00:03:43.278]  You can type in Herman, not Herman Von Ruppe, but Ban Ki-moon, Gordon Brown, Barack Obama, Barroso, Merkel, Sarkozy.
[00:03:44.559 --> 00:03:49.161]  I mean, there are hundreds of these in the last year where they're just coming out in the open.
[00:03:49.701 --> 00:03:53.223]  And so they're having more and more meetings because they're at the end.
[00:03:53.723 --> 00:04:15.721]  They're now hammering out the VAT taxes, the financial VAT taxes, the Tobin taxes, the global regulatory system that is a global governance model where the countries get lobbied and financed and paid off to sign their sovereignty away to an open world government run and governed by private banks.
[00:04:17.659 --> 00:04:29.549]  And they stalled the public with Rush Limbaugh and ABC News and the rest of them for all these years saying none of this exists and now they're saying okay it exists but it's not kosher to talk about it or to oppose it.
[00:04:31.591 --> 00:04:39.598]  And so just the latest video, I mean there are new videos constantly from Davos and the list just goes on and on.
[00:04:39.618 --> 00:04:43.281]  Did you guys find the secret banking article out of Australia?
[00:04:46.735 --> 00:04:49.719]  Well, let's put it back up for people again, because I want to read that headline.
[00:04:49.739 --> 00:04:54.264]  Again, these are secret bankers who meet in secret to really set the policy.
[00:04:54.805 --> 00:04:56.327]  They'll meet in secret at Bilderberg.
[00:04:56.367 --> 00:04:58.569]  They'll meet in secret at Trilateral Commission meetings.
[00:04:59.431 --> 00:05:01.453]  We've stolen their internal documents before.
[00:05:01.713 --> 00:05:02.835]  Jim Tucker and others have.
[00:05:03.115 --> 00:05:03.516]  We know.
[00:05:03.996 --> 00:05:08.422]  That's how years before they go public with something, we already know what they're planning.
[00:05:08.442 --> 00:05:10.645]  There it is, secret summit of top bankers.
[00:05:11.005 --> 00:05:14.069]  So, they have secret summits and actually agree on what they're going to do.
[00:05:14.590 --> 00:05:19.156]  Then they have public PR stunts where they come out and say, we've got to have...
[00:05:20.236 --> 00:05:21.117]  Banking reform.
[00:05:21.457 --> 00:05:29.244]  We've got to stop the big private brokerage firms and investment banks from selling derivatives and destroying the global financial order.
[00:05:29.604 --> 00:05:36.330]  Meanwhile, the entire leadership of the G20 are running this and are involved in it and making money and getting power out of it.
[00:05:37.131 --> 00:05:47.896]  So it's like having mobsters sit over a trial of themselves and then they lie to the public and say this is going to fix the problem when it only gives them more control.
[00:05:48.237 --> 00:05:54.760]  So they create every crisis, that's in the Goldman Sachs emails, they create the crisis and then they offer the solution.
[00:05:55.040 --> 00:06:00.723]  The Goldman Sachs CEO is on television saying we need to pass this financial regulatory bill.
[00:06:01.584 --> 00:06:02.224]  And what does it do?
[00:06:02.264 --> 00:06:06.147]  It erects global taxes to be paid to the bankers as a, quote, bailout.
[00:06:06.767 --> 00:06:08.128]  Oh, that will certainly show them.
[00:06:08.408 --> 00:06:09.989]  That will certainly get them, won't it?
[00:06:11.090 --> 00:06:13.952]  So, I'm going to play this video here in a moment, but here's just the latest.
[00:06:13.992 --> 00:06:18.615]  Trichet calls for corrupt BIS boss.
[00:06:20.196 --> 00:06:25.580]  Trichet calls for corrupt Bank of International Settlements to boss global government in CFR speech.
[00:06:26.716 --> 00:06:36.084]  ECB president tells insiders that secretive group of international bankers responsible to no nation-state will become primary engine of world government.
[00:06:36.485 --> 00:06:52.899]  In a speech before the Elitist Council on Foreign Relations organization in New York earlier this week, President of the European Central Bank, Jean-Claude Trichet, called for the imposition of global governance to be bossed by the G20 and the corrupt Bank of International Settlements in the name of safeguarding the global economy.
[00:06:53.439 --> 00:07:10.089]  In an address entitled, Global Governance Today, Trichet proclaims how the elite need to impose a set of rules, institutions, that's laws, and informal groupings, that means they can secretly do whatever they want, and cooperating mechanisms that we call global governance.
[00:07:10.349 --> 00:07:10.950]  This is a quote.
[00:07:11.991 --> 00:07:21.736]  During the course of the speech, Trichet used the term global governments well over a dozen times, outlining how global governance is of the essence to avoid another financial crisis.
[00:07:21.996 --> 00:07:23.357]  There's the financial terrorism.
[00:07:23.697 --> 00:07:27.319]  If you don't give us total power, we will destroy everything.
[00:07:27.559 --> 00:07:32.741]  And so, oh, they need $150 billion now for Greece that Goldman Sachs on record engineered.
[00:07:32.901 --> 00:07:37.704]  And now a Goldman Sachs former executive is running the financial operation there with the government.
[00:07:38.304 --> 00:07:40.025]  Oh, now Portugal's going down.
[00:07:40.285 --> 00:07:41.526]  We need hundreds of billions.
[00:07:41.786 --> 00:07:59.215]  Oh, now all these other... Oh, taxpayers have got to give us money when it's derivatives sold by the big brokerage firms to the governments in collusion to make money on the way up, bankrupt the countries on the way down, and get total banking dictatorship out of it.
[00:07:59.675 --> 00:08:02.897]  Again, they're all a bunch of Bernie Madoff types who need to be arrested.
[00:08:04.355 --> 00:08:15.442]  It's on record that the head of Goldman Sachs ordered his people to sell derivatives that they knew were, quote, S-H-T-Y.
[00:08:18.024 --> 00:08:22.507]  Okay, it's on record, but no, we'll give them more power, that will show them.
[00:08:25.262 --> 00:08:38.451]  Section 1 of Trichet's speech is entitled, Why We Need Global Governance, and from then on he constantly invokes the economic downturn as a justification for empowering secretive, undemocratic, and corrupt global institutions with the power to rule the world.
[00:08:38.631 --> 00:08:39.331]  That's the other point.
[00:08:40.432 --> 00:08:43.334]  If I get another email from a yuppie saying, basically,
[00:08:43.934 --> 00:08:50.657]  Well, it's time, like Star Trek, for us to have a global government and no more war and peace, and this is what humanity wants.
[00:08:51.017 --> 00:08:53.938]  Number one, in every poll, humanity doesn't want to lose sovereignty of their countries.
[00:08:54.198 --> 00:08:59.640]  Number two, this is a global government run by private corporations that in their own documents they admit are authoritarian.
[00:09:00.100 --> 00:09:08.782]  Remember last year, and now for world government, Financial Times of London headline, by their foreign editor, where he said, yeah, we've been secretive, yes, it's authoritarian, but it's for your own good.
[00:09:09.042 --> 00:09:19.966]  Two weeks ago, the head of the Gaia movement, the top environmentalist in England, said, we need to have an undemocratic world government to enforce one-child policies and total control, because the public's too stupid to do it.
[00:09:20.346 --> 00:09:24.967]  This is an authoritarian global corporate dictatorship that is being set up.
[00:09:27.099 --> 00:09:39.407]  And he also talks about in the speech, you can read the transcript and watch the whole video, we have it linked up on InfoWars.com and PrisonPlanet.com in this article, where he says, we've been building this for a long time, we've got to go ahead with it now.
[00:09:40.822 --> 00:09:41.142]  Okay?
[00:09:41.622 --> 00:09:58.851]  So, the world government is here, these guys give constant speeches, they run our government illegally, they're openly robbing everybody blind, and you can't get ABC News and Nightline, when they're here in your office, in our office, you can't even get them to stop laughing about it.
[00:09:59.778 --> 00:10:05.842]  Laughing about Goldman Sachs, laughing about what's happening right now, laughing about the country falling apart.
[00:10:05.942 --> 00:10:07.143]  It is a joke.
[00:10:07.703 --> 00:10:09.044]  It doesn't exist.
[00:10:09.384 --> 00:10:13.507]  The video you're about to see doesn't exist according to these people.
[00:10:13.947 --> 00:10:14.947]  Here is a snippet of it.
[00:10:15.408 --> 00:10:23.473]  This transformation which again has been prepared, it is something which didn't come as a sharp and
[00:10:24.198 --> 00:10:29.243]  I would say an expected event, because the G20 existed already.
[00:10:29.303 --> 00:10:40.434]  But this shift from the G7 to the G20, we owe it, it seems to me, obviously, because it was overdue, that these economies that were obviously systemic
[00:10:41.354 --> 00:10:50.839]  at the global level would have a full ownership of this global governance at the level of this informal grouping that I mentioned.
[00:10:51.760 --> 00:10:57.663]  But and that's of course something which appears absolutely obvious.
[00:10:57.903 --> 00:10:58.904]  I trust also
[00:11:00.293 --> 00:11:02.075]  That there is a second reason.
[00:11:02.776 --> 00:11:16.689]  Perhaps the industrialized country proved that they were quite clumsy themselves in running their own economy, which remained, of course, at the core of global finance and of the global economy.
[00:11:17.470 --> 00:11:21.214]  And that is something that we have to take fully into account.
[00:11:22.737 --> 00:11:48.313]  It is of utmost importance that the new Basel rules that we are preparing, and we are in an intense phase of discussion, after having had the input of the industry, the industry was in dialogue with the Basel Committee, we have this industry response, and now we have to engage in calibration.
[00:11:48.333 --> 00:11:49.714]  Okay, that's enough!
[00:11:51.115 --> 00:11:55.840]  It goes on and on, more than a dozen times, calling for global government, global governance.
[00:11:55.900 --> 00:12:05.510]  Now, when you get SPP documents, or you get North American Union documents, or you get internal EU documents, or Copenhagen documents, like the treaty, they wouldn't give the treaty to the public.
[00:12:05.911 --> 00:12:09.795]  It had to be leaked, and it was confirmed by the London Guardian, and the
[00:12:11.109 --> 00:12:17.352]  The UN admitted, no this is the treaty, and it was just hundreds of taxes, total control, paid to private banks.
[00:12:17.932 --> 00:12:31.619]  And so when you get these documents, it's the top corporations and banks at meetings, they all agree on what they're going to do, and then the presidents and prime ministers sit there like errand boys and errand girls, writing down their orders.
[00:12:33.553 --> 00:12:34.914]  And you just heard him talking about that.
[00:12:35.274 --> 00:12:38.497]  Private corporations are the ones that run this.
[00:12:39.017 --> 00:12:47.384]  And so you've got private central banks and mega-corporations like IBM and Microsoft and Walmart at all of these events.
[00:12:48.045 --> 00:12:53.609]  And so you have government, mega-industry, and mega-media all teamed up together against the public.
[00:12:53.829 --> 00:12:59.554]  They're organized, they're focused, and they control the world through your taxes and regulations.
[00:13:00.868 --> 00:13:05.295]  And here he is, out in the open, calling for global government.
[00:13:05.315 --> 00:13:15.831]  And you can go read the full transcript or watch the entire video in Paul Watson's excellent article, Trichette Calls for Corrupt BIS to Boss Global Government in the CFR Speech.
[00:13:17.332 --> 00:13:21.253]  It nexuses in with the IMF and World Bank and the Federal Reserve and Bank of England.
[00:13:21.554 --> 00:13:24.414]  All just front holding companies for private banks.
[00:13:24.674 --> 00:13:25.315]  That's on record.
[00:13:25.835 --> 00:13:26.875]  But it's totally secret.
[00:13:27.375 --> 00:13:30.396]  All we have is the documents that have been leaked and their speeches.
[00:13:31.177 --> 00:13:34.458]  And what they're talking about openly is completely illegal.
[00:13:35.178 --> 00:13:37.058]  So, that's what's happening.
[00:13:37.539 --> 00:13:40.519]  We have some major breaking news here today.
[00:13:41.360 --> 00:13:44.601]  This is from Kurt Nimmo.
[00:13:46.059 --> 00:13:46.579]  Is U.S.
[00:13:46.679 --> 00:13:48.420]  Army training to take on the Tea Party?
[00:13:50.262 --> 00:13:51.462]  And he has video of this.
[00:13:52.703 --> 00:13:59.287]  We talked about how they tried to sick riot police on peaceful Tea Party people in Illinois yesterday with Obama.
[00:13:59.727 --> 00:14:01.528]  And now we discover the Army was there.
[00:14:01.568 --> 00:14:02.909]  Well, of course the Army was there.
[00:14:03.009 --> 00:14:07.652]  Regular Army and National Guard at G20 in Pittsburgh last year.
[00:14:08.452 --> 00:14:09.393]  Of course they're there.
[00:14:10.033 --> 00:14:35.169]  I mean, we got the document, what, over a year ago, that the Ron Paul events, the Tea Party events, and of course they have sound cannons at the events for the public in San Diego, and we learned that I'm being surveilled, Ron Paul's being surveilled, that the, in the Fed events, have regular Army intelligence there, and in the particular document we've covered at Nauseam here, it said, don't let them know you're Army, or they may attack you.
[00:14:36.243 --> 00:14:37.804]  So they're telling them we're dangerous terrorists.
[00:14:37.824 --> 00:14:40.685]  You know, we're evil Americans that don't like offshore banks robbing us.
[00:14:41.545 --> 00:14:42.105]  Is the U.S.
[00:14:42.165 --> 00:14:43.826]  Army trying to take on the Tea Party?
[00:14:44.406 --> 00:14:50.729]  On April 17th, the Courier-Journal in Louisville, Kentucky reported on an Army exercise dubbed
[00:14:52.285 --> 00:15:02.735]  M-A-N-G-U-D-A-I, named after the special forces of Genghis Khan's Mongol army, who could fight for days without food or sleep.
[00:15:03.115 --> 00:15:09.241]  The Kentucky newspaper portrayed the exercise as an effort to train soldiers to battle the Taliban in Afghanistan.
[00:15:09.802 --> 00:15:13.465]  Designed to test the limits of officers' physical, mental, and emotional endurance,
[00:15:14.326 --> 00:15:18.068]  They had one of these drills in Austin a week and a half ago, by the way, at Camp Mabry.
[00:15:18.508 --> 00:15:26.792]  The emerging army exercise offered a revealing window onto modern combat training in the era of Iraq and Afghanistan, Chris Kenning wrote for the newspaper.
