[00:00:02.970 --> 00:00:03.511]  We've got him.
[00:00:03.551 --> 00:00:07.158]  The transmission is coming to you.
[00:00:11.403 --> 00:00:20.148]  We're live, ladies and gentlemen.
[00:00:22.730 --> 00:00:26.372]  It is Friday, the 23rd day of July 2010.
[00:00:26.412 --> 00:00:31.976]  For the next 30 minutes, we have an exclusive interview with Governor Jesse Ventura.
[00:00:32.016 --> 00:00:38.319]  Of course, with this hit TV show now going into its second season, they're producing Conspiracy Theory with Jesse Ventura.
[00:00:38.800 --> 00:00:40.401]  He has had trouble all over the country.
[00:00:41.361 --> 00:00:55.393]  Most of this we can't talk about because it's the TV show, but now the harassment, the Homeland Security surveillance has gotten so bad that the governor wants to talk about this pattern here today, and we're very honored that he contacted us yesterday to give us this exclusive.
[00:00:55.853 --> 00:00:58.815]  I'm also playing my own part in the show as a consultant.
[00:00:59.396 --> 00:01:08.283]  But the headline at InfoWars.com by Curt Nemo, exclusive Jesse Ventura talks with Alex Jones about government harassment of his TV show, and it is really intensifying.
[00:01:08.403 --> 00:01:09.664]  Governor, thank you for joining us.
[00:01:09.784 --> 00:01:17.848]  Hi Alex, great to be here and again I come on the air with you Alex just to inform the public out there of exactly what's going on with our U.S.
[00:01:17.908 --> 00:01:18.808]  government it seems.
[00:01:19.108 --> 00:01:21.310]  Well we appreciate you coming here first, sir.
[00:01:21.710 --> 00:01:26.972]  Well, you know, ABC or NBC or none of them are going to hear what I'm going to talk about.
[00:01:27.132 --> 00:01:30.474]  You can bet on that and I know that this is a place where freedom speaks.
[00:01:31.568 --> 00:01:35.872]  Have you had a chance to see the ABC News story that tries to make a joke about the harassment?
[00:01:35.892 --> 00:01:39.075]  It says Jesse Ventura brings his conspiracy theories to the Capitol.
[00:01:39.876 --> 00:01:40.917]  No, I didn't look at it.
[00:01:40.997 --> 00:01:44.921]  But you know, what they always say in the entertainment world, any publicity is good.
[00:01:45.401 --> 00:01:47.063]  Absolutely, as long as they get your name right.
[00:01:47.603 --> 00:01:53.068]  Governor, break down the latest or the history of this, wherever you'd like to start.
[00:01:53.869 --> 00:02:03.100]  You know, the latest is, of course, we're doing, it's the second season, so they told me that I could do an episode on the murder of John F. Kennedy, which, to me, is the corner post.
[00:02:03.180 --> 00:02:09.028]  That's the killer of everything, the downfall, in my opinion, of our country in the last 50 years.
[00:02:10.048 --> 00:02:13.850]  Because if you can murder the President and get away with it, what can't you get away with?
[00:02:14.410 --> 00:02:26.316]  And what we did, we wanted to take a finishing shot, very humble, of simply me standing in front of the eternal flame at Arlington National Cemetery.
[00:02:26.376 --> 00:02:28.097]  No talking, no anything.
[00:02:28.757 --> 00:02:33.600]  And bear in mind, Kevin Costner did it in JFK.
[00:02:33.920 --> 00:02:35.060]  They filmed him there.
[00:02:35.481 --> 00:02:38.242]  Well, we went to this character, this Ken Hawes,
[00:02:38.703 --> 00:02:39.404]  We're good to go.
[00:02:53.624 --> 00:02:56.426]  So obviously it didn't filter to the guy on the ground.
[00:02:56.446 --> 00:03:00.468]  This was happening in the upper echelon, trying to do it the correct way.
[00:03:00.868 --> 00:03:05.411]  But I went to my Congresswoman, Michelle Bachmann, immediately and I said, what is this?
[00:03:05.971 --> 00:03:07.372]  And she got outraged.
[00:03:07.472 --> 00:03:09.213]  She said, you have First Amendment rights.
[00:03:10.511 --> 00:03:13.693]  Let me read what happened real quickly here.
[00:03:13.973 --> 00:03:16.874]  On July 22, 2010, we called back and asked to speak with Mr. Haas.
[00:03:17.334 --> 00:03:20.496]  We were told that Mr. Haas was in Chicago filming blah, blah, blah.
[00:03:20.916 --> 00:03:31.221]  Nevertheless, the gentleman we spoke with said that he had discussed the matter with Mr. Haas and said they considered the topic of your particular episode inappropriate.
[00:03:32.097 --> 00:03:39.001]  After receiving Mr. Haas' cell phone number, we called him in Chicago to find out why you were not allowed to film at Arlington National Cemetery.
[00:03:39.442 --> 00:03:45.725]  According to Mr. Haas, Arlington National Cemetery has a policy of prohibiting stand-up filming.
[00:03:46.246 --> 00:03:52.990]  Additionally, Mr. Haas stated that you were denied in part because of the nature of your television program.
[00:03:53.590 --> 00:04:07.274]  Specifically, he stated the topic of your particular episode, which alleges that the United States government was directly involved in the assassination of President John F. Kennedy, is contrary to the mission of the United States Army.
[00:04:07.994 --> 00:04:11.435]  Now, first of all, we don't say that in the episode.
[00:04:11.475 --> 00:04:13.096]  The episode isn't even finished.
[00:04:13.216 --> 00:04:14.696]  How would this guy know it, Alex?
[00:04:14.756 --> 00:04:18.377]  How would he know at all what position we were taking on this?
[00:04:18.477 --> 00:04:19.978]  We were merely investigating it.
[00:04:28.991 --> 00:04:30.112]  Governor, this is incredible.
[00:04:30.152 --> 00:04:39.882]  You have the Army trying to set the precedent at a national park of who can film and can't and saying no one's allowed to when the news media is down there every week.
[00:04:39.962 --> 00:04:41.463]  I see it constantly.
[00:04:41.523 --> 00:04:42.724]  This is so dangerous.
[00:04:42.744 --> 00:04:43.685]  Stay there.
[00:04:43.705 --> 00:04:45.187]  We're going to come back from a quick break.
[00:04:46.528 --> 00:04:49.532]  Pick your brain about some of the other things that have happened, but expand on this.
[00:04:49.892 --> 00:04:56.401]  But what a dangerous precedent where the government says you can't film at national parks unless we agree with your message.
[00:04:56.421 --> 00:04:59.424]  Since when is the army running this country internally?
[00:05:00.526 --> 00:05:02.128]  Hello friends, this is Alex Jones.
[00:05:02.168 --> 00:05:04.951]  You've heard me talk about CalBin 5-star subs for years.
[00:05:05.532 --> 00:05:10.458]  This is an American-made product of the highest quality and compares to nothing you will find in stores.
[00:05:10.738 --> 00:05:13.922]  You can buy Factory Direct, shipped via UPS, right to your door.
[00:05:14.182 --> 00:05:17.586]  Check them out on the web at 5starsoap.com or call 800-340-7091.
[00:05:20.669 --> 00:05:21.630]  Take my word for it.
[00:05:21.810 --> 00:05:24.151]  Once you've used pure soap, you won't buy anything else.
[00:05:24.471 --> 00:05:30.675]  Since 1947, Calvin's Soap Company has been showing consumers that soap can be tough on dirt and gentle on the environment.
[00:05:30.975 --> 00:05:33.796]  Buy American and stay clean, as well as support InfoWars.
[00:05:33.936 --> 00:05:36.158]  Visit 5StarsSoap.com today or call 1-800-340-7091.
[00:05:36.178 --> 00:05:37.458]  Well, Marty, what do you have to say?
[00:05:40.805 --> 00:05:48.047]  As founder and owner for over 63 years, satisfaction is guaranteed on W Dirtback.
[00:05:48.728 --> 00:05:52.829]  Call us at 1-800-340-7091 for a free catalog or visit our website 5starsoap.com.
[00:05:52.849 --> 00:05:53.669]  Thank you!
[00:06:00.632 --> 00:06:03.173]  Thousands of Americans are facing evacuation.
[00:06:03.473 --> 00:06:08.475]  If you or any of your loved ones might need to evacuate, you must do it yourselves.
[00:06:08.775 --> 00:06:11.336]  Please don't procrastinate until they do it for you.
[00:06:11.556 --> 00:06:15.058]  Remember the terrible conditions of those that didn't get out for Katrina.
[00:06:15.238 --> 00:06:21.240]  Go right now to efoodsdirect.com slash Alex or call 800-409-5633 for information on the new evacuation pack.
[00:06:25.442 --> 00:06:30.546]  It contains two weeks of delicious easy-to-fix food along with the equipment to prepare it.
[00:06:30.866 --> 00:06:33.728]  It's packed in a rugged heavy-duty tote for transport.
[00:06:33.948 --> 00:06:38.191]  Evacuations are looming with the storms and the Gulf oil catastrophe.
[00:06:38.352 --> 00:06:43.395]  No matter where you live, wildfires, earthquakes, floods, and storms must be escaped.
[00:06:43.675 --> 00:06:47.238]  Don't be like a deer frozen in the headlights of oncoming disaster.
[00:06:47.518 --> 00:06:51.381]  Alex Jones here with urgent information concerning TrendsResearch.com.
[00:06:51.401 --> 00:06:56.825]  The Trends Journal distills the voluminous ongoing research of the Trends Research Institute into a concise, readily accessible form.
[00:06:56.845 --> 00:07:00.588]  By tracking 300 separately defined domestic and international trends,
[00:07:15.979 --> 00:07:20.263]  The Trends Journal establishes the connections that others fail to see or misinterpret.
[00:07:20.504 --> 00:07:27.711]  Gerald Salente's Trends Journal allows you to anticipate change, recognize the implications, and take protective strategies.
[00:07:28.351 --> 00:07:35.559]  Individual readers from every walk of life can put the Trends Journal Trends Forecast and Trends Analysis to practical use.
[00:07:36.139 --> 00:07:38.701]  Extra information to keep you well informed throughout the year.
[00:07:38.921 --> 00:07:45.945]  When any current event of major social, economic, or political significance occurs, Trends Journal notifies its subscribers of their implications.
[00:07:46.445 --> 00:07:50.428]  When you subscribe to the Trends Journal, you'll also receive Trends Alerts.
[00:07:50.708 --> 00:07:52.569]  Visit TrendsResearch.com today.
[00:07:52.869 --> 00:07:54.890]  That's TrendsResearch.com.
[00:07:55.191 --> 00:07:56.672]  Subscribe to the Trends Journal.
[00:07:57.052 --> 00:07:58.773]  This information is too important to wait.
[00:08:02.304 --> 00:08:08.335]  From his Central Texas Command Center, deep behind enemy lines, the information war continues.
[00:08:08.956 --> 00:08:11.942]  It's Alex Jones and the GCN Radio Network.
[00:08:13.246 --> 00:08:14.626]  Again, it's Friday, July 23, 2010.
[00:08:16.227 --> 00:08:19.328]  Governor Jesse Ventura joins us live from California.
[00:08:19.348 --> 00:08:30.691]  The last few days he was in D.C., part of a pattern of the government trying to block his First Amendment rights and selectively doing this for people's political or views, period, just on the country.
[00:08:31.191 --> 00:08:39.873]  Governor, for those who just joined us, recap what's happened, get more into what Congresswoman Bachman is saying and the Army trying to block you from a national park.
[00:08:40.473 --> 00:08:41.614]  Well, what happened?
