[00:00:01.090 --> 00:00:01.911]  You want answers?
[00:00:02.692 --> 00:00:03.592]  Well, so does he.
[00:00:04.233 --> 00:00:07.856]  He's Alex Jones on the GCN Radio Network.
[00:00:08.437 --> 00:00:12.521]  And now, live from Austin, Texas, Alex Jones.
[00:00:16.685 --> 00:00:23.812]  She was in the Republican debate last night with Kay Bailey Hutchinson, the Senator, and Governor Rick Perry.
[00:00:25.980 --> 00:00:30.971]  She is a registered nurse in Texas, a patriot, part of the End the Fed Movement with Ron Paul.
[00:00:32.079 --> 00:00:34.841]  She's running for governor, and she really impressed people.
[00:00:34.901 --> 00:00:39.904]  I listened to WOAI, WBAP, and NewsRadio 590 KLBJ this morning.
[00:00:40.445 --> 00:00:41.946]  Every caller was calling in.
[00:00:42.266 --> 00:00:43.046]  Every caller.
[00:00:43.767 --> 00:00:47.830]  And I listened for an hour and a half to different stations, was saying, I want Deborah Medina.
[00:00:48.010 --> 00:00:49.210]  I'm sick of Rick Perry.
[00:00:49.671 --> 00:00:51.212]  I'm sick of Kay Bailey Hutchinson.
[00:00:51.232 --> 00:00:56.615]  These are establishment, big government, fake conservatives masquerading as Tea Party people.
[00:00:56.956 --> 00:00:59.958]  We want the bona fide, real deal Deborah Medina.
[00:01:00.698 --> 00:01:03.860]  And she said the right thing on property taxes on the Second Amendment.
[00:01:04.280 --> 00:01:05.661]  She was confident.
[00:01:06.921 --> 00:01:09.122]  She was authoritative in the calm way.
[00:01:10.183 --> 00:01:15.205]  She really put the reporters back on their heels that were trying to savage her, who were asking the questions.
[00:01:15.245 --> 00:01:16.226]  She's with us for the next 30 minutes.
[00:01:16.246 --> 00:01:20.548]  We're going to get her in studio in the next week or so when she's here in Austin, Texas.
[00:01:21.589 --> 00:01:27.011]  But by running, she wins either way by injecting real issues, just like Ron Paul at the national level in 2008.
[00:01:28.712 --> 00:01:32.435]  As we want to play some clips from the debate and get her take on what's happening.
[00:01:32.495 --> 00:01:36.199]  But Debra Medina, we salute you and those that have been supporting you.
[00:01:36.939 --> 00:01:40.082]  Are you getting the same incredible feedback we're seeing here?
[00:01:40.502 --> 00:01:41.643]  We are, Alex.
[00:01:41.703 --> 00:01:46.447]  We've waited the whole day for media today and I'm back-to-back almost all day long.
[00:01:46.528 --> 00:01:49.830]  So it's been a really good push for the campaign, good bump.
[00:01:49.870 --> 00:01:51.532]  Lots of web traffic last night.
[00:01:52.465 --> 00:01:56.227]  Lots of contributions and clearly we've got to push hard.
[00:01:56.367 --> 00:01:57.148]  We've got to push hard.
[00:01:57.168 --> 00:02:00.970]  We've just got a few days left until the election on March 2nd.
[00:02:02.291 --> 00:02:02.871]  Absolutely.
[00:02:02.911 --> 00:02:05.552]  For those that don't know, we're going to put it up on screen as we simulcast it.
[00:02:05.913 --> 00:02:07.273]  PrisonPlanet.tv.
[00:02:07.534 --> 00:02:08.874]  Give folks your website address.
[00:02:09.315 --> 00:02:15.958]  MedinaForTexas.com and if you go there you'll also see we've got a kind of a new text service now.
[00:02:16.619 --> 00:02:20.040]  I'm sorry, on our Facebook page we're talking about the new text service that we've got.
[00:02:20.060 --> 00:02:20.781]  You can text
[00:02:21.553 --> 00:02:22.314]  We're good to go.
[00:02:38.137 --> 00:02:40.719]  Well, this is extremely exciting what's happening.
[00:02:41.339 --> 00:02:48.185]  Perry likes to act like he's a conservative, so does Kay Bailey Hutchinson, but they've all been for the NAFTA highways.
[00:02:49.085 --> 00:02:50.546]  Hutchinson claims she isn't now.
[00:02:51.447 --> 00:02:53.028]  She's a member of the Bilderberg Group.
[00:02:53.168 --> 00:02:54.429]  Perry's been an attendee.
[00:02:55.670 --> 00:03:01.154]  It didn't matter how many times the legislature voted to say no to toll roads, he would always try to block it.
[00:03:01.515 --> 00:03:04.237]  I mean, you are the only choice for Texas.
[00:03:04.875 --> 00:03:13.298]  Well, I think we've talked about transportation and it really boils down to a disregard for private property ownership in Texas.
[00:03:14.118 --> 00:03:26.282]  Transportation, Texas Transportation Institute, TxDOT, are holding Texas drivers hostage to their agenda to further that supercorder through our state.
[00:03:27.583 --> 00:03:39.691]  It's time that we have somebody who will really stand up and lay the, you know, transparency, put transparency out there, audit text dot, have accountability, set the bar for excellence in state service.
[00:03:39.751 --> 00:03:43.334]  And clearly, I think people saw last night, neither Kay or Rick are going to do that.
[00:03:58.243 --> 00:03:59.123]  You know, I'm not sure.
[00:03:59.163 --> 00:04:03.105]  We had a great opportunity last night to talk with the press afterwards.
[00:04:03.165 --> 00:04:12.710]  Kay and Rick ran from that, you know, kind of reinforcing the notion that they want to talk at Texans but not listen to or engage with Texans.
[00:04:12.810 --> 00:04:19.393]  But I think my campaign staff was a little surprised that, and our team, a little surprised that we didn't get more questions than we did.
[00:04:19.413 --> 00:04:20.454]  I think people were
[00:04:21.289 --> 00:04:25.892]  I'm pretty shocked by the strength of the debate and the amount.
[00:04:26.953 --> 00:04:34.598]  Clearly, I'd like to talk a lot more about the issues than what we were able to, but it was more substance than I think people were expecting.
[00:04:34.878 --> 00:04:36.339]  Because all we got was bickering.
[00:04:36.359 --> 00:04:46.325]  That's what I heard the callers saying on Mainline Talk Radio was, you were substance, you were constitutional, all they did was fight with each other, and that's why you won the debate.
[00:04:46.365 --> 00:04:47.926]  Most people are saying that in Texas.
[00:04:48.186 --> 00:04:48.907]  A huge victory.
[00:04:48.927 --> 00:04:49.287]  Stay there.
[00:04:51.696 --> 00:04:56.961]  One major world crisis away from having a totalitarian type of system.
[00:04:57.001 --> 00:04:59.723]  The main event is the wholesale destruction of the world economy.
[00:04:59.763 --> 00:05:04.207]  The push for every nation on the globe to identify and number all of its citizens.
[00:05:05.087 --> 00:05:09.531]  Friends, I hope that you will order Shadow Government from infowars.com.
[00:05:09.571 --> 00:05:10.652]  We also have some specials.
[00:05:10.672 --> 00:05:14.075]  You can get some of our other films half price when you order Shadow Government.
[00:05:14.555 --> 00:05:17.636]  A new level in production quality and in information.
[00:05:17.656 --> 00:05:25.558]  It exposes how a cashless society, surveillance beast grid of total control is being put into place.
[00:05:25.718 --> 00:05:27.299]  This film needs to be seen.
[00:05:27.559 --> 00:05:28.479]  Everybody needs to get it.
[00:05:28.719 --> 00:05:29.800]  So order yours today.
[00:05:29.900 --> 00:05:33.821]  Show it to your friends, your family, your church, your neighbors, your boss, your employees.
[00:05:35.296 --> 00:05:36.857]  Shadow Government, ladies and gentlemen.
[00:05:36.897 --> 00:05:39.018]  Get your copy at InfoWars.com today.
[00:05:39.518 --> 00:05:40.258]  Shadow Government.
[00:05:40.918 --> 00:05:42.339]  It gives Big Brother a black eye.
[00:05:43.139 --> 00:05:46.421]  Available at InfoWars.com or by calling toll-free 888-253-3139.
[00:05:52.148 --> 00:05:54.749]  Hello, this is Alex Jones with some important questions.
[00:05:55.149 --> 00:06:00.111]  If you're going into a battle and they give you a rifle and a sidearm, how much ammunition do you want?
[00:06:00.471 --> 00:06:02.211]  My answer would be all I can get.
[00:06:02.532 --> 00:06:07.333]  In the battle for freedom and the lives of your loved ones, food is your only ammunition.
[00:06:07.533 --> 00:06:08.494]  How much do you want?
[00:06:08.714 --> 00:06:09.454]  When do you want it?
[00:06:09.834 --> 00:06:11.435]  Now or after the battle starts?
[00:06:11.715 --> 00:06:12.535]  When will you need it?
[00:06:12.795 --> 00:06:14.856]  Can you buy it without proper identification?
[00:06:14.996 --> 00:06:16.096]  Will there be any food?
[00:06:16.336 --> 00:06:17.677]  Will it make your children sick?
[00:06:17.857 --> 00:06:18.097]  If there's
