[00:00:00.209 --> 00:00:01.251]  Mainstream media.
[00:00:01.972 --> 00:00:03.094]  Government cover-ups.
[00:00:03.735 --> 00:00:04.556]  You want answers?
[00:00:05.317 --> 00:00:06.239]  Well, so does he.
[00:00:06.880 --> 00:00:10.566]  He's Alex Jones on the GCN Radio Network.
[00:00:11.066 --> 00:00:14.692]  And now, live from Austin, Texas, Alex Jones.
[00:00:15.473 --> 00:00:29.836]  Well, he's the former head of the Green Party and England Championship goalie, international BBC presenter, multi-time best-selling author, and somebody who's really expanded people's paradigms and gotten them to look into a lot of very interesting places.
[00:00:30.236 --> 00:00:34.897]  And so much of what David Icke predicted more than 15 years ago, unfortunately, has unfolded.
[00:00:35.537 --> 00:00:39.378]  I agree with him that we're on the verge of a world transformation, an awakening.
[00:00:39.878 --> 00:00:42.100]  The system is panicking with Divide and Conquer.
[00:00:42.400 --> 00:00:44.062]  There's no doubt they blew the oil well.
[00:00:44.422 --> 00:00:47.925]  There's no doubt they're now admitting we're going into a depression, trying to start World War III.
[00:00:48.886 --> 00:00:50.568]  They know they're losing control.
[00:00:50.648 --> 00:00:54.511]  And let me tell you, this is the most important time in human history up to this point.
[00:00:54.792 --> 00:00:55.913]  He's with us for the next hour.
[00:00:56.333 --> 00:00:58.215]  David Icke, thank you for being on with us.
[00:00:58.555 --> 00:00:59.035]  Pleasure, Alex.
[00:00:59.896 --> 00:01:08.822]  Well, we were just talking during that one-minute break, and you were saying that you do believe this is the quickening or the beginning of the acceleration of a real paradigm shift.
[00:01:09.082 --> 00:01:14.826]  There's a lot of issues I want to go over, but what's on David Icke's radar screen that you think is most important right now?
[00:01:16.227 --> 00:01:24.413]  Well, I think, you know, what we're seeing on the surface, horrendous as it is, is a manifestation of something that's actually much, much deeper than this.
[00:01:25.678 --> 00:01:27.139]  There's no doubt whatsoever.
[00:01:27.339 --> 00:01:32.101]  I mean, I've seen it so blatantly over the last 20 years, gathering pace and gathering pace.
[00:01:32.542 --> 00:01:34.042]  There is an awakening going on.
[00:01:34.082 --> 00:01:37.004]  It's not the majority yet, but minds are opening.
[00:01:37.564 --> 00:01:41.446]  Now, as minds are opening, they're seeing what they couldn't see before.
[00:01:41.686 --> 00:01:44.868]  And what the Cabal wants to do is keep those minds shut.
[00:01:44.888 --> 00:01:47.990]  And one of the most effective ways of doing this
[00:01:48.550 --> 00:01:52.496]  This is why we've got to stay really strong and focused in this period we're going through now.
[00:01:52.516 --> 00:01:55.360]  There's going to be a number of years of major challenges.
[00:01:56.255 --> 00:01:56.816]  I think
[00:02:26.616 --> 00:02:27.336]  We're good to go.
[00:02:53.779 --> 00:03:19.933]  It may seem like it's just another manufactured catastrophe in the Gulf, another war in Iran, another economic collapse, but all these things are orchestrated to fire at our minds, and our minds are the target, because from our state of perception of self and the world comes our behavior and our actions.
[00:03:20.333 --> 00:03:37.188]  That's right, I've noticed the globalists dominate by just getting our attention and always creating new crisis so we watch the mainstream television, so we pay attention to them and they dominate how we dress and what we think and what we eat and just literally get us...
[00:03:37.928 --> 00:03:52.174]  sucked into this false tapestry, this false reality that they are projecting, and now they're openly saying they want to start shutting off the web, which shows that they realize they wanted to use it as a tool of domination, but that it's backfiring against them.
[00:03:52.932 --> 00:03:53.912]  That's the word, Alex.
[00:03:54.132 --> 00:03:54.733]  Attention.
[00:03:55.213 --> 00:03:57.293]  It's a battle for our attention.
[00:03:57.913 --> 00:04:11.077]  Because the idea is to hold humanity in a state where we are filtering and seeing ourselves in the world only through the five senses.
[00:04:11.897 --> 00:04:15.578]  We are multi-dimensional consciousness awareness.
[00:04:15.638 --> 00:04:17.359]  We are far, far greater
[00:04:18.139 --> 00:04:39.071]  What we appear to be when we look in the mirror and say that's David Icke or that's Alex Jones or that's Ethel Smith and what they want us to do is keep our attention on the five senses and that's what we do when we are in fear, when we are in anxiety, when we're worrying about the future, when we have this sense of
[00:04:40.131 --> 00:04:41.212]  Fear of not surviving.
[00:04:41.292 --> 00:04:44.674]  That pulls us into the five senses, and that's what they're trying to do.
[00:04:44.814 --> 00:04:49.516]  And then the system poses as the saviors and says, we'll keep you safe, just let us run your life.
[00:04:49.877 --> 00:04:51.638]  Stay there, David Icke, back in three minutes.
[00:04:51.698 --> 00:04:53.359]  A lot of key info straight ahead.
[00:04:53.459 --> 00:04:57.441]  Alex Jones here with urgent information concerning TrendsResearch.com.
[00:04:57.921 --> 00:05:04.765]  The Trends Journal distills the voluminous ongoing research of the Trends Research Institute into a concise, readily accessible form.
[00:05:05.365 --> 00:05:13.732]  By tracking 300 separately defined domestic and international trends, the Trends Journal establishes the connections that others fail to see or misinterpret.
[00:05:13.952 --> 00:05:21.138]  Gerald Salente's Trends Journal allows you to anticipate change, recognize the implications, and take protective strategies.
[00:05:21.798 --> 00:05:29.042]  Individual readers from every walk of life can put the Trends Journal Trends Forecast and Trends Analysis to practical use.
[00:05:29.602 --> 00:05:32.163]  Extra information to keep you well informed throughout the year.
[00:05:32.383 --> 00:05:39.407]  When any current event of major social, economic, or political significance occurs, Trends Journal notifies its subscribers of their implications.
[00:05:39.907 --> 00:05:41.768]  When you subscribe to the Trends Journal,
[00:05:42.148 --> 00:05:43.890]  You'll also receive Trends Alerts.
[00:05:44.171 --> 00:05:46.013]  Visit TrendsResearch.com today.
[00:05:46.334 --> 00:05:48.356]  That's TrendsResearch.com.
[00:05:48.637 --> 00:05:50.159]  Subscribe to the Trends Journal.
[00:05:50.499 --> 00:05:52.241]  This information is too important to wait.
[00:05:53.148 --> 00:05:57.391]  This is Alex Jones with 5 good reasons you should consider buying a solar power generator.
[00:05:57.692 --> 00:05:58.312]  Number 1.
[00:05:58.612 --> 00:06:01.775]  New climate legislation could easily double or triple your electric bill.
[00:06:02.035 --> 00:06:02.595]  Number 2.
[00:06:02.896 --> 00:06:07.459]  Our new energy czar wants to control how much power your electric company allows you to have.
[00:06:07.799 --> 00:06:08.240]  It's true.
[00:06:08.540 --> 00:06:13.103]  Total government control of electricity in the name of smart grid technology is coming.
[00:06:13.404 --> 00:06:13.964]  Number 3.
[00:06:14.244 --> 00:06:17.527]  In some areas of the country, the power grid is dangerously overloaded.
[00:06:17.827 --> 00:06:21.530]  And now, new socialist legislation is only compounding the problem.
[00:06:21.710 --> 00:06:22.271]  Number 4.
[00:06:22.511 --> 00:06:24.874]  Dangerous weather is always a threat to local grids.
[00:06:25.274 --> 00:06:28.659]  Every year, thousands of families lose their power from weather-related outages.
[00:06:28.959 --> 00:06:29.179]  Number 5.
[00:06:29.760 --> 00:06:33.685]  A solar power generator provides powerful backup, insurance, and peace of mind.
[00:06:33.905 --> 00:06:38.671]  Folks, I really believe in the solar power generators offered by Solutions from Science, one of my oldest sponsors.
[00:06:38.931 --> 00:06:42.978]  You can get more information at www.mysolarbackup.com.
[00:06:43.118 --> 00:06:44.680]  That's mysolarbackup.com.
[00:06:44.901 --> 00:06:46.984]  Remember, the government doesn't own the sun.
[00:06:47.164 --> 00:06:49.508]  So go to mysolarbackup.com or call 1-877-327-0365.
[00:06:53.021 --> 00:06:56.984]  Hi folks, this is Alex Jones asking you for a minute of your time to tell you about soap.
[00:06:57.204 --> 00:07:03.249]  Not detergents, but good old-fashioned pure soap made by the Cal Bend Soap Company, a family-owned and operated American company.
[00:07:03.609 --> 00:07:10.714]  My family, staff, friends, and radio listeners are constantly telling me how much they love these products for bath, hair, laundry, and dishes.
[00:07:11.015 --> 00:07:15.598]  There is nothing like these factory-direct, big-money-saving, triple-concentrated soaps anywhere.
[00:07:15.878 --> 00:07:18.020]  Get a free, detailed catalog by calling 800-340-7091.
[00:07:20.822 --> 00:07:24.367]  Or see them online at 5starsoap.com or infowars.com.
[00:07:24.527 --> 00:07:28.252]  Let's talk to the owner of 5 Star Soap, Marty Schachter, and see what he has to say.
[00:07:28.789 --> 00:07:34.972]  As founder and owner for over 63 years, people keep asking me, how's business?
[00:07:35.552 --> 00:07:38.974]  I'm happy to say our business is going down the drain.
[00:07:39.454 --> 00:07:46.757]  Call us at 1-800-340-7091 or visit our website 5starsoap.com for buying our 1-2 month soap sampler.
[00:07:46.877 --> 00:07:47.338]  Thank you.
[00:07:55.157 --> 00:08:01.180]  From his Central Texas Command Center, deep behind enemy lines, the information war continues.
[00:08:01.780 --> 00:08:04.861]  It's Alex Jones and the GCN Radio Network.
[00:08:05.422 --> 00:08:07.763]  Well, we've got David Icke with us for the rest of the hour.
[00:08:07.783 --> 00:08:18.308]  He just joined us, former head of the UK Green Party, champion goalie, BBC presenter, best-selling author, and always interesting to get his perspective on things.
[00:08:18.328 --> 00:08:19.648]  I always find it thought-provoking.
[00:08:22.350 --> 00:08:27.693]  Very apropos of what's happening in our world, we always find his perspective to be enlightening.
[00:08:28.514 --> 00:08:45.304]  David, instead of us getting into generalities or myself getting into long diatribes about my view of what's happening, today I really want to try to sit back, we'll see if I can do it, because you bring up so many points that make me want to chime in, and just throw out questions and get your take on it.
[00:08:46.104 --> 00:08:46.945]  The globalist
[00:08:48.247 --> 00:08:51.435]  ...are overrunning the West with third world populations.
[00:08:52.438 --> 00:08:54.263]  Why are they doing this?
[00:08:55.891 --> 00:09:06.377]  Well, two things we need to know to get a perspective on the world is where this cabal wants to take the world and then the methods they use to take us there.
[00:09:07.177 --> 00:09:25.388]  And where they want to take the world, of course, as we well know, is to a global fascist dictatorship with the end of countries, the end of borders, where basically you just have the world government dictating to massive regional blocs and anything below that is just irrelevant.
[00:09:26.248 --> 00:09:26.428]  I don't
[00:09:42.308 --> 00:10:04.552]  If they have a real sense of country, and I'm not saying that I'm into all this, but a lot of people are, and this is the point from the Cabal's point of view, they will resist giving that power away, say from the United States to the North American Union, in Britain to the European Union, and so the idea is to break down
[00:10:05.533 --> 00:10:13.595]  That sense of culture by basically breaking down the culture and you do that by opening borders to other cultures.
[00:10:13.655 --> 00:10:15.535]  Now, I'm not saying one culture is better than another.
[00:10:15.575 --> 00:10:32.359]  I'm just trying to explain here what they're doing from their perspective and that you let different cultures pour into the same area and suddenly it becomes a cocktail and there is no single culture anymore that people can identify with and that is all the time
[00:10:33.460 --> 00:10:46.322]  Loosening and weakening people's sense of need to resist the giving away of sovereignty to unions and to a world government because they've lost the sense of culture that they had before.
[00:10:46.982 --> 00:10:53.543]  This is why what we're talking about here is happening all over the world because of course it's a global agenda.
[00:10:53.884 --> 00:11:02.005]  In Europe the European Union has brought down the borders all over Europe and every time another country comes into the European Union their borders come down and their
[00:11:02.885 --> 00:11:03.546]  We're good to go.
[00:11:20.893 --> 00:11:23.054]  That is something people can identify with.
[00:11:50.612 --> 00:11:51.633]  Yeah, exactly.
[00:11:51.653 --> 00:11:57.155]  And this is a very, very interesting point, a very important point about playing one off against the other.
[00:11:57.635 --> 00:12:15.923]  You know, the people that pour from the poorer countries into the richer countries through the borders coming down are just as much pawns in this game as those in the countries of the indigenous population that are affected by that.
[00:12:16.504 --> 00:12:16.844]  It's not
[00:12:17.624 --> 00:12:20.086]  Good guys and bad guys we're talking about here.
[00:12:20.606 --> 00:12:26.150]  It's different aspects of the human race being used as pawns in the same game.
[00:12:26.211 --> 00:12:39.540]  This is why, instead of fighting each other, we need to start looking at what unites us all, which is the fact that we're all the target of this cabal, this global fascist dictatorship in the making, in the very first making.
[00:12:39.940 --> 00:12:41.622]  I mean, we have proof in this country
[00:12:42.407 --> 00:12:43.188]  I don't know.
[00:13:04.586 --> 00:13:11.673]  ...have so much immigration into Britain that it would, this is the quote, change British society forever.
[00:13:12.093 --> 00:13:17.318]  And in that one quote, we have the prime reason for bringing the borders down.
[00:13:17.358 --> 00:13:18.960]  This is what they've done in Europe.
