[00:00:00.289 --> 00:00:02.330]  Well, so does he.
[00:00:02.910 --> 00:00:06.452]  He's Alex Jones on the GCN Radio Network.
[00:00:07.092 --> 00:00:11.194]  And now, live from Austin, Texas, Alex Jones.
[00:00:17.997 --> 00:00:19.757]  Max Kaiser is our guest.
[00:00:19.837 --> 00:00:27.340]  He has two different international television programs on RT and Press TV.
[00:00:30.615 --> 00:00:34.516]  He is a TV presenter, radio host, entrepreneur, broadcaster, and journalist.
[00:00:34.536 --> 00:00:40.438]  He is the inventor of the virtual specialist technology, prediction markets, Hollywood Stock Exchange, and much more.
[00:00:41.538 --> 00:00:49.121]  He is the presenter of Oracle, BBC, Al Jazeera, Huffington Post, you name it.
[00:00:50.245 --> 00:00:53.626]  And we appreciate him joining us, former Wall Street broker.
[00:00:53.666 --> 00:01:00.508]  You know, he's been saying for years that Goldman Sachs is engineering financial collapse to consolidate and destroy their competition.
[00:01:01.948 --> 00:01:03.728]  Now that is mainstream news.
[00:01:03.748 --> 00:01:04.709]  Here's the London Guardian.
[00:01:05.069 --> 00:01:06.009]  Now we know the truth.
[00:01:06.049 --> 00:01:08.430]  The financial meltdown wasn't a mistake.
[00:01:08.870 --> 00:01:09.850]  It was a con.
[00:01:11.653 --> 00:01:18.715]  And we have record bonuses now to be paid to Goldman Sachs, just in England, 3.5 billion pounds.
[00:01:19.315 --> 00:01:30.038]  And of course you notice the inner group, JPMorgan Chase and other groups that own the private Federal Reserve holding company, they're all making record profits while hoarding all the bailout money.
[00:01:30.979 --> 00:01:34.980]  And why has the SEC indicted Goldman Sachs, some of their members,
[00:01:36.121 --> 00:01:36.581]  Civilly.
[00:01:36.941 --> 00:01:42.423]  Well, they'll probably give him a $5 million fine and slap him on the wrist and give somebody probation for the trillions that have been stolen.
[00:01:43.104 --> 00:01:45.344]  But joining us is Max Keiser to discuss this.
[00:01:45.365 --> 00:01:49.646]  We'll also get into the FBI saying the number one threat is us, the American people.
[00:01:50.086 --> 00:01:57.469]  Bill Clinton says, you know, if the Tea Parties don't shut up, people don't criticize Wall Street, that a terror attack is going to happen and it's our fault.
[00:01:57.489 --> 00:02:00.970]  I mean, they're out in the open, folks, getting ready to stage terror attacks here.
[00:02:01.771 --> 00:02:03.451]  And we'll take your calls on that subject.
[00:02:03.631 --> 00:02:05.052]  Max Keiser, good to have you here with us.
[00:02:06.155 --> 00:02:08.455]  Yeah, Alex Jones, it's always a pleasure.
[00:02:08.476 --> 00:02:11.276]  Well, I tell you, things are getting crazy.
[00:02:11.316 --> 00:02:14.497]  Let's get into Goldman Sachs and financial terrorism.
[00:02:16.157 --> 00:02:16.517]  Right.
[00:02:16.697 --> 00:02:20.778]  Well, as you point out, I've been talking about this for a number of years.
[00:02:21.958 --> 00:02:33.941]  Basically, they have been involved, as have other Wall Street banks, in setting up banks to fail because they can profit on the failure.
[00:02:34.875 --> 00:02:45.257]  So, just like we've talked about before about Building 7, during the 9-11 incident, there were many options traders that made a lot of money because the Building 7 collapsed.
[00:02:45.937 --> 00:02:47.837]  Now, here's Goldman Sachs, same thing.
[00:02:48.157 --> 00:02:59.039]  They create a fund, they create bonds that they build to collapse, that they rig with financial dynamite so that it collapses, and they make money on the collapse.
[00:02:59.259 --> 00:03:01.099]  It's financial terrorism.
[00:03:01.139 --> 00:03:02.520]  It's a controlled demolition.
[00:03:02.920 --> 00:03:04.300]  That's how they make a lot of their money.
[00:03:07.612 --> 00:03:08.844]  That's how they make most of their money.
[00:03:11.124 --> 00:03:15.907]  Well, there's no doubt that the stimulus has run out and now they're saying, OK, maybe it is a depression.
[00:03:15.947 --> 00:03:16.848]  We need more money.
[00:03:17.588 --> 00:03:33.879]  Obama's new regulation package allows the top banks and brokerage firms to, through their regulators that they control, to basically feed other smaller regional healthy banks into their maw and a tax on smaller institutions that's paid through bailout money to them.
[00:03:33.959 --> 00:03:38.923]  I mean, this is, we've got Gordon Brown calling for a world government of and for and by the banks.
[00:03:39.503 --> 00:03:40.764]  I mean, it's just getting crazy.
[00:03:42.125 --> 00:03:49.449]  Well, you know, it's interesting because Lloyd Blankfein, the CEO of Goldman Sachs, of course, famously said that he was doing God's work.
[00:03:50.938 --> 00:04:07.635]  When he and his cohorts are creating all of these problems for everybody and creating blackmail situations and extortion to get their buddy Hank Paulson to extort $700 billion, if you recall, back there at the end of 2008 in front of Congress.
[00:04:08.035 --> 00:04:13.040]  But apparently he's angered the gods because now in Iceland the volcano is blowing up.
[00:04:14.111 --> 00:04:21.601]  And what's remarkable, Alex, is that this is similar to almost exactly what happened during the French Revolution.
[00:04:21.681 --> 00:04:25.186]  Actually, the French Revolution started when a volcano in Iceland blew up.
[00:04:25.727 --> 00:04:28.370]  It caused global problems with agriculture.
[00:04:29.071 --> 00:04:31.754]  And this was the... You know what?
[00:04:31.774 --> 00:04:32.295]  You know what?
[00:04:32.375 --> 00:04:34.818]  I mean, it's like a comet being a portent of doom.
[00:04:35.478 --> 00:04:42.286]  It's like God was showing people the Earth freezing solid, basically, right as they tried to pass their global warming takeover.
[00:04:42.746 --> 00:04:43.527]  Now you're right.
[00:04:43.587 --> 00:04:44.929]  I'd forgotten that historically.
[00:04:45.269 --> 00:04:48.633]  Mega volcano shrouding Europe in dust.
[00:04:48.673 --> 00:04:49.074]  Stay there.
[00:04:50.626 --> 00:04:51.888]  Hi, this is Alex Jones.
[00:04:51.928 --> 00:04:57.274]  Did you know that the global elite are now storing non-hybrid seeds in secret storage vaults near the Arctic Circle?
[00:04:57.514 --> 00:05:02.140]  Did you know that in a real meltdown, non-hybrid seeds could become more valuable than silver or gold?
[00:05:02.541 --> 00:05:07.587]  It's true, seeds have outperformed even gold and silver before in this country, and it's possible they could even happen again.
[00:05:08.107 --> 00:05:12.811]  So our friends at Solutions from Science have put together the perfect mix of non-hybrid seeds.
[00:05:13.331 --> 00:05:20.257]  They call it a survival seed bank, and it can produce an endless supply of nutrient-dense food for you and your family.
[00:05:20.437 --> 00:05:21.338]  And here's the best part.
[00:05:21.558 --> 00:05:27.923]  These seeds have not been genetically modified in any way, and you actually get enough seeds to plant a full acre crisis garden.
[00:05:28.243 --> 00:05:31.085]  So visit them today at survivalseedbank.com.
[00:05:31.425 --> 00:05:33.306]  That's survivalseedbank.com.
[00:05:33.646 --> 00:05:34.566]  Or give them a call at 877-327-0365.
[00:05:34.586 --> 00:05:34.766]  That's 877-327-0365.
[00:05:34.786 --> 00:05:37.748]  Remember, in a real crisis, non-hybrid seeds are the ultimate barter item.
[00:05:38.228 --> 00:05:39.969]  This is Alex Jones for survivalseedbank.com.
[00:05:52.199 --> 00:05:55.820]  Hi folks, this is Alex Jones and I want to tell you about the Silver Lungs Generator.
[00:05:56.140 --> 00:06:04.281]  Now you can produce pure and endless colloidal silver and deliver the solution directly into the bloodstream by breathing the solution through the lungs.
[00:06:05.001 --> 00:06:09.062]  The respiratory system is the first line of defense for airborne pathogens and viruses.
[00:06:09.642 --> 00:06:20.444]  The Silver Lungs Generator infuses the respiratory system with your self-produced nano-silver solutions and also delivers the silver nanoparticles instantly into the bloodstream.
[00:06:21.084 --> 00:06:30.107]  With continued legislation threatening the sale of nano-silver products, you can now produce pure and endless colloidal silver with the Silver Lungs Generator.
[00:06:30.607 --> 00:06:35.649]  Very easy to follow step-by-step instructions are provided, making production fast and simple.
[00:06:36.029 --> 00:06:43.212]  Go to www.silverlungs.com today and learn more about the breakthrough technology of the Silver Lungs Generator.
[00:06:43.512 --> 00:06:46.273]  That's www.silverlungs.com.
[00:06:54.264 --> 00:06:55.184]  Tyranny is here.
[00:06:55.525 --> 00:06:59.006]  The grim future foretold in 1984 has become reality.
[00:06:59.446 --> 00:07:01.687]  It really says that the state is God.
[00:07:01.868 --> 00:07:07.130]  The United States is now recognized globally as one of the most oppressive police states on Earth.
[00:07:07.570 --> 00:07:13.793]  This film conclusively proves the existence of a secret network of FEMA camps, now being expanded nationwide.
[00:07:14.213 --> 00:07:19.797]  This documentary exposes how the continuity of government program has established an all-powerful shadow state.
[00:07:20.217 --> 00:07:23.899]  Police State 4 chronicles the sickening depth to which our republic has fallen.
[00:07:24.380 --> 00:07:28.342]  Prepare to enter the secretive world of emergency dictatorship.
[00:07:28.682 --> 00:07:34.606]  Body scanners, sound cannons, citizen spies, stage terror, and cameras on every street corner.
[00:07:34.626 --> 00:07:37.528]  It's only the beginning of the New World Order's hellish plan.
[00:07:38.188 --> 00:07:39.609]  The police state isn't coming.
[00:07:40.150 --> 00:07:40.590]  It's here.
[00:07:41.251 --> 00:07:47.790]  Secure your copy today at InfoWars.com or see it online in the highest quality at PrisonPlanet.tv
[00:07:55.518 --> 00:07:56.159]  Big Brother.
[00:07:56.820 --> 00:07:57.861]  Mainstream media.
[00:07:58.601 --> 00:07:59.743]  Government cover-ups.
[00:07:59.763 --> 00:08:01.184]  You want answers?
[00:08:01.945 --> 00:08:03.427]  Well, so does he.
[00:08:03.487 --> 00:08:07.131]  He's Alex Jones on the GCN Radio Network.
[00:08:07.691 --> 00:08:11.756]  And now, live from Austin, Texas, Alex Jones.
[00:08:12.856 --> 00:08:39.791]  Well, the first two hours were dedicated to the fact that it's 100% the military-industrial complex that controls both parties is going to stage a terror attack to blame it on people that want to end the Fed, people that want to audit the Fed, that want to arrest the people that run Goldman Sachs, that controlled all the regulatory positions, and aren't just ripping our country off, they're ripping off countries from Chile to New Zealand to Greece to Iceland.
[00:08:41.078 --> 00:08:42.900]  And they've been building this propaganda up.
[00:08:43.180 --> 00:08:44.882]  They claim the Tea Parties are right-wing.
[00:08:45.123 --> 00:08:47.565]  It becomes a self-fulfilling Republican prophecy.
[00:08:48.126 --> 00:08:53.992]  Then they began demonizing those when polls show 40% of the Tea Parties are Democrats and Independents.
[00:08:54.513 --> 00:08:55.554]  It's divide and conquer.
[00:08:55.654 --> 00:08:57.677]  Oh, you want a populist movement against what we're doing?
[00:08:58.077 --> 00:09:01.020]  We'll tell black people not to go because you hate them.
[00:09:01.240 --> 00:09:02.141]  Invoking that.
[00:09:03.197 --> 00:09:13.721]  Instead of talking about the real issues, now the Democrats have been caught sending people in Nazi outfits with Nazi signs, this is even in the AP, to events all over the country, and it blew up in their face.
[00:09:13.741 --> 00:09:20.464]  And now Clinton's on television saying there will be a terror attack if the Tea Parties don't shut up, they're gonna cause it.
[00:09:21.224 --> 00:09:22.665]  Now, I've seen this before.
[00:09:23.125 --> 00:09:25.226]  I'm telling you again, this is what's happening.
[00:09:25.246 --> 00:09:26.147]  This is what's going on.
[00:09:26.167 --> 00:09:27.547]  We're in grave danger.
[00:09:27.587 --> 00:09:28.508]  This is a PSYOP.
[00:09:29.108 --> 00:09:49.839]  Now, looking at the real enemy, the criminals, the top groups on Wall Street, not your local bank, not your local broker, but the people that run it, Max Keiser for years, top broker, stock market inventor, TV shows on BBC, Al Jazeera, Press TV, RT, you name it.
[00:09:51.058 --> 00:09:51.258]  Yes.
[00:10:06.801 --> 00:10:13.764]  That they got the documents on that they were betting against the housing market while telling people it was good and paying for insurance to have a triple A rated.
[00:10:14.284 --> 00:10:16.005]  Then the looting of AIG.
[00:10:16.265 --> 00:10:19.226]  That was the big payout kitty they used to pay the criminals.
[00:10:19.946 --> 00:10:21.007]  Now they want more.
[00:10:21.047 --> 00:10:28.510]  They're calling it banking reform, but it gives the same group power over other financial institutions that they want to wreck their competition.
[00:10:29.070 --> 00:10:30.970]  Max Keiser, you've got the floor.
[00:10:31.051 --> 00:10:34.512]  Tell us about financial terrorism and how it works and what we're facing.
[00:10:35.982 --> 00:10:41.270]  Well, I have been doing many reports about this and films for a number of years.
[00:10:41.350 --> 00:10:49.743]  I mean, you mentioned that these attacks are coming, but they're here now and they're happening now and they've been happening for the past two years.
[00:10:49.763 --> 00:10:51.085]  These are financial attacks.
[00:10:51.605 --> 00:10:59.028]  When the crisis hit in 2008, people were saying, wow, this is a 100-year phenomenon.
[00:10:59.068 --> 00:10:59.989]  Nobody saw it coming.
[00:11:00.249 --> 00:11:16.316]  Now we know that Lehman Brothers had a bank right down the street where they had this huge slush fund that they parked $50 billion worth of cash and debt so that at the end of the quarter, when they needed to report to the SEC what their cash holding was, they could play counting games with their little
[00:11:16.836 --> 00:11:18.256]  A fake bank down the street.
[00:11:18.517 --> 00:11:34.201]  We know that Goldman Sachs now, according to the SEC, allegedly involved in fraud in terms of selling tainted bonds to investors all over the world, including in Europe, where now you see problems with the Greek economy blowing up and other countries' economies are blowing up.
[00:11:34.481 --> 00:11:39.622]  And of course, Iceland went through this already two years ago, as I made that film about it, in 2007-2008.
[00:11:39.642 --> 00:11:46.324]  The Icelandic corona collapsed, the Icelandic economy collapsed.
[00:11:46.844 --> 00:12:10.803]  And now, in an ironic fitting fit of poetic justice, the volcanoes are erupting in Iceland, and they're sending out this toxic cloud of ash to the UK, who wanted to extract even another five billion from Iceland to appease the financial terrorists, but the gods, the volcanoes in Iceland, are taking on the fake
[00:12:11.623 --> 00:12:12.504]  We're good to go.
[00:12:26.992 --> 00:12:31.134]  You know, right before the French Revolution, there was a huge volcano in Iceland.
[00:12:31.534 --> 00:12:33.434]  It blanketed the globe in dust and ash.
[00:12:33.494 --> 00:12:42.438]  The agriculture failed, which led to the government of France failing on its financial obligations, which gave rise to the French Revolution.
[00:12:42.538 --> 00:12:44.258]  It started with a volcano in Iceland.
[00:12:44.278 --> 00:12:45.499]  There's a direct parallel.
[00:12:47.222 --> 00:12:50.465]  History only repeats itself in these cycles.
[00:12:50.485 --> 00:12:54.329]  There's a lot of things going on that aren't in our books.
