[00:00:03.733 --> 00:00:06.276]  I'm Paul Craig Roberts.
[00:00:06.336 --> 00:00:18.869]  I'm a former Assistant Secretary of the United States Treasury for Economic Policy.
[00:00:19.790 --> 00:00:24.736]  I was an Associate Editor of the Wall Street Journal, a columnist for Businessweek, and script
[00:00:25.450 --> 00:00:26.311]  I'm with News Service.
[00:00:26.411 --> 00:00:29.993]  I'm currently a columnist for Creators Syndicate in Los Angeles.
[00:00:30.533 --> 00:00:31.874]  I'm an academic.
[00:00:32.014 --> 00:00:37.417]  I've held positions at Stanford University, Georgetown University, and other places.
[00:00:38.278 --> 00:00:46.322]  The most important issues of our time, as I see it, are the loss of the American middle class.
[00:00:46.402 --> 00:00:51.906]  Their jobs have been offshored, and the remaining jobs are being filled with foreigners brought in on work visas.
[00:00:52.826 --> 00:01:05.519]  So that we are dismantling the ladders of upward mobility that made the United States an opportunity society and that made differences in income distribution acceptable.
[00:01:07.240 --> 00:01:10.984]  Another great problem is that we've lost the law.
[00:01:11.604 --> 00:01:16.787]  And by that I mean the law that protects the innocent from the power of government.
[00:01:16.867 --> 00:01:22.210]  The law that is a shield of the people instead of a weapon in the hands of the state.
[00:01:23.291 --> 00:01:26.292]  And when you lose the law, you lose your civil liberties.
[00:01:28.814 --> 00:01:32.197]  And that means you have lost the Constitution.
[00:01:33.098 --> 00:01:45.548]  And another serious problem that we are suffering is the collection of power in the executive branch to the exclusion of the legislative and judicial branch.
[00:01:45.668 --> 00:01:46.689]  And so we are seeing
[00:01:47.621 --> 00:01:55.368]  grow up before our eyes dictatorial powers in the executive branch of the government.
[00:01:56.029 --> 00:02:02.094]  So these three are very serious problems for the United States.
[00:02:02.134 --> 00:02:07.759]  They threaten its political stability and the viability of the society itself.
[00:02:08.759 --> 00:02:13.704]  The tyranny of good intentions was titled by me how the law was lost.
[00:02:15.117 --> 00:02:22.146]  And the book is about the destruction of the rights of Englishmen, which we know as the Bill of Rights.
[00:02:22.707 --> 00:02:27.994]  The legal principles that protect the innocent, that serve as a shield.
[00:02:28.855 --> 00:02:30.398]  And we are seeing all of these eroded.
[00:02:32.019 --> 00:02:35.382]  And law is becoming a weapon in the hands of the state.
[00:02:35.782 --> 00:02:42.766]  And this book documents that for each of the protections among the Bill of Rights.
[00:02:42.826 --> 00:02:54.094]  It shows the erosion through prosecutorial abuse, various judicial rulings, and how Americans today do not have the protection of law.
[00:02:54.778 --> 00:03:09.017]  Perhaps one of the main contributing factors was that you had all sorts of agendas, single interest agendas, people chasing after devils.
[00:03:09.838 --> 00:03:11.540]  We gotta do something about drugs.
[00:03:11.600 --> 00:03:14.523]  We have to do something about child abuse.
[00:03:15.724 --> 00:03:17.145]  We have to do something about crime.
[00:03:17.846 --> 00:03:24.772]  And so, they made the mistake that Sir Thomas More warns against in the play, A Man for All Seasons.
[00:03:25.498 --> 00:03:35.047]  That if you cut down the law in pursuit of your agenda, what do you do when the devil turns around on you and you've lost the protection of the law?
[00:03:35.107 --> 00:03:37.729]  And that's exactly what has happened.
[00:03:38.910 --> 00:03:45.976]  We had various individual agendas that were deemed to be very important.
[00:03:45.996 --> 00:03:47.898]  For example, we have to do something about the mafia.
[00:03:49.352 --> 00:03:52.874]  We have to do something about drugs and so on and so on.
[00:03:53.094 --> 00:04:01.158]  And so each one of these agendas, by pursuing it, eroded protective features in the law.
[00:04:02.339 --> 00:04:03.579]  And so the law was lost.
[00:04:07.061 --> 00:04:11.844]  The rising police state is already a product
[00:04:12.865 --> 00:04:16.028]  Of losing the law, the protective features of the law.
[00:04:16.768 --> 00:04:18.810]  That automatically gives you a police state.
[00:04:19.410 --> 00:04:23.253]  And in addition, we've had all the fear engendered by 9-11.
[00:04:25.515 --> 00:04:32.500]  And this fear was used for an even heavier assault on the Bill of Rights.
[00:04:32.600 --> 00:04:41.307]  The assault on habeas corpus, which prevented indefinite detention without charges.
[00:04:42.049 --> 00:04:43.110]  We've lost that right.
[00:04:44.111 --> 00:04:52.900]  All the due process rights, all the procedural rights that make it possible to enforce civil liberties.
[00:04:53.757 --> 00:05:01.019]  You can tell somebody they have a right, but if you take away the procedural mechanisms by which that right is enforced, they don't have the right.
[00:05:01.919 --> 00:05:09.781]  The erosion of our legal protections began long before 9-11 or the Bush administration.
[00:05:09.901 --> 00:05:16.883]  It was already moving along and that made it easier then for the Bush regime to use 9-11
[00:05:18.203 --> 00:05:23.444]  For an even fiercer assault and that's where we stand today.
[00:05:23.504 --> 00:05:34.706]  Generally when governments get powers they don't roll them back and we've not seen the Obama administration roll back any of the powers that Bush and Cheney claimed.
[00:05:35.806 --> 00:05:43.127]  I can remember when the police viewed themselves as the public servants and as protectors of the public.
[00:05:44.808 --> 00:05:46.708]  But in recent decades
[00:05:47.428 --> 00:05:51.271]  The police have been militarized and they now see the public as the enemy.
[00:05:52.511 --> 00:05:59.996]  And we see this in the enormous number of instances of police brutality toward people.
[00:06:02.037 --> 00:06:10.542]  Needless brutality, you know, there'll be beatings, taser people, for which there's no reason.
[00:06:11.403 --> 00:06:14.024]  And so, what does this
[00:06:15.565 --> 00:06:44.625]  Mean it means that again the police agencies of the state enforcement agencies Now view the public as an enemy not as something that to which they are accountable so it shows again the breakdown in accountability of Executive agencies to the people and of course the the police are now probably as dangerous to the public as criminals and
[00:06:45.345 --> 00:06:51.407]  And part of it, of course, was unleashed by the breakdown in the protective features of law.
[00:06:52.227 --> 00:07:01.549]  Because when, for budget reasons, you need to solve a lot of crimes or pull in a lot of people, you know, they start planting drugs on people.
[00:07:01.569 --> 00:07:04.750]  You know, the wide range of
[00:07:05.490 --> 00:07:12.238]  Police crimes grew so that they could have more and more success in convicting people.
[00:07:12.919 --> 00:07:24.714]  So it's now something that's turned against the people and perhaps is on the verge of doing so in a big way if there's some sort of
[00:07:25.375 --> 00:07:26.496]  We're good to go.
[00:07:41.777 --> 00:08:04.155]  Oppressed by the military forces of our own government and if you see that breaking down then it tells you that the government somehow feels illegitimate or it feels it doesn't have the support of people or that it may be in a position in which it doesn't have support of the people and therefore it would have to rely on coercion
[00:08:04.835 --> 00:08:10.618]  In other words, the government doesn't regard itself as answerable to the people.
[00:08:10.678 --> 00:08:15.341]  That's the only reason to erode posse comitatus.
[00:08:15.441 --> 00:08:19.963]  It means that the government is beginning to think of itself as separate.
[00:08:20.103 --> 00:08:20.523]  I think so.
[00:08:36.579 --> 00:08:38.979]  Between the people and the government.
[00:08:39.239 --> 00:08:46.161]  It's not a democratic... It's not an indication of democracy or self-rule.
[00:08:46.241 --> 00:08:50.761]  It's an indication of government becoming independent of people.
[00:08:51.222 --> 00:08:56.342]  As it has been in most countries over most of recorded time.
