[00:00:10.894 --> 00:00:12.796]  I don't know.
[00:00:36.923 --> 00:00:40.044]  Hello everyone and welcome to Operation Vigilant Guard.
[00:00:40.064 --> 00:00:41.124]  I'm Rob Due.
[00:00:41.624 --> 00:00:42.245]  Jason Douglas.
[00:00:43.725 --> 00:00:52.227]  We were in Chicago from June 12th to the 17th covering this Operation Vigilant Guard terror exercise.
[00:00:52.888 --> 00:00:57.309]  Military exercise, international policing apparatus.
[00:00:57.808 --> 00:01:09.476]  Yeah, it pretty much went the gamut from local agencies all the way up to national agencies working together to save us from the terrorists.
[00:01:09.896 --> 00:01:13.198]  So, we're going to start off with June 13th.
[00:01:14.199 --> 00:01:15.920]  It was a terror drill in Oak Lawn.
[00:01:16.520 --> 00:01:17.501]  Simulated plane crash.
[00:01:17.521 --> 00:01:22.785]  We're just going to let these guys talk because they pretty much tell the story.
[00:01:22.805 --> 00:01:26.467]  This is about 30 minutes long, so sit back and hope you learn something.
[00:01:32.926 --> 00:01:38.355]  My name is Dr. Sanford Block and I'm the director of the Cook County Medical Examiner's Disaster Response Team.
[00:01:39.133 --> 00:01:44.256]  And we are here to participate in a statewide drill with the National Guard.
[00:01:44.296 --> 00:01:46.797]  We are starting off this exercise.
[00:01:47.318 --> 00:01:49.759]  The initial event today would be a plane crash.
[00:01:50.619 --> 00:01:56.202]  A plane is coming into Midway Airport and explodes over the municipality of Oak Lawn.
[00:01:56.763 --> 00:01:58.524]  There are 350 fatalities.
[00:01:58.564 --> 00:02:05.828]  We've been requested to come out here and assist them in the recovery and the identification of the victims.
[00:02:14.972 --> 00:02:16.173]  Walking wounded!
[00:02:16.213 --> 00:02:17.114]  Come this way!
[00:02:17.874 --> 00:02:23.258]  We start off this initial Vigilant Guard event, the National Guard event, and we will demobilize today.
[00:02:23.739 --> 00:02:30.484]  There'll be other events occurring during the next three days in different areas of Chicago and Cook County.
[00:02:33.712 --> 00:02:37.557]  It's approximately two to three hours it takes us to set up an off-site morgue.
[00:02:37.637 --> 00:02:40.220]  It's called the MEDU, the Mobile Emergency Disaster Unit.
[00:02:41.081 --> 00:02:43.463]  It's stationed out at O'Hare International Airport.
[00:02:44.204 --> 00:02:50.712]  It is available to not only the county but also coroners in the state should they need it for a catastrophic event.
[00:03:06.264 --> 00:03:12.908]  Obviously there'd be some challenges if we were to have an incident, but this exercise helped us work to those challenges, work better as a team.
[00:03:13.648 --> 00:03:15.909]  Okay, perfect, and so far so good.
[00:03:15.929 --> 00:03:17.570]  So far so good, yeah.
[00:03:18.090 --> 00:03:24.674]  It has the 56-member disaster response team that also helps to assemble the unit before we go out in the field for recovery.
[00:03:26.955 --> 00:03:28.076]  There we go, yeah.
[00:03:30.859 --> 00:03:35.398]  So Jason, what were your thoughts while shooting this footage?
[00:03:35.538 --> 00:03:36.281]  What were you thinking?
[00:03:37.935 --> 00:03:39.816]  Well, we weren't really supposed to be there.
[00:03:40.296 --> 00:03:45.979]  Most media checked in and we were kind of just gonzo journalist-ing.
[00:03:47.400 --> 00:03:51.242]  There was lots of military walking around and being official.
[00:03:51.302 --> 00:03:58.685]  It was their first day, so I think they were, you know, kind of not knowing what was going on and putting it together.
[00:03:59.146 --> 00:04:03.788]  As we saw later on, there was a little bit of disorganization going on.
[00:04:04.281 --> 00:04:06.823]  We finished with that and went into Chicago and shot some stuff.
[00:04:06.863 --> 00:04:10.546]  Jason spotted this great seal in a federal building.
[00:04:10.967 --> 00:04:11.747]  He almost wrecked the car.
[00:04:12.868 --> 00:04:14.810]  So I jumped out and went and shot it.
[00:04:15.851 --> 00:04:17.012]  I paused it here at the bottom.
[00:04:17.032 --> 00:04:23.157]  You can actually see it says Novus Ordo Seclorum.
[00:04:23.217 --> 00:04:25.019]  Here comes the next day.
[00:04:25.059 --> 00:04:31.585]  We went to Toyota Park, which is a stadium, a big soccer stadium, and that's where the National Guard had set up a staging ground.
[00:04:35.956 --> 00:04:39.760]  We interviewed a colonel there and this is what he had to say.
[00:04:39.780 --> 00:04:42.743]  I'm Johnny Miller.
[00:04:42.843 --> 00:04:44.425]  I'm a colonel at Illinois National Guard.
[00:04:45.217 --> 00:04:49.578]  Toyota Park is mainly the location where we receive all of our logistics support for this operation.
[00:04:50.058 --> 00:04:57.200]  All the National Guardsmen will come here, and so we know all the players we have involved in the operation, and then they'll move out to subsequent locations from here.
[00:04:57.220 --> 00:05:02.501]  Having places like this available in any of the areas, any part of the state we're at, is critical for us to be successful.
[00:05:02.881 --> 00:05:04.442]  It's a good venue for parking.
[00:05:04.482 --> 00:05:08.483]  We have plenty of places to stage logistics, stage personnel, stage equipment.
[00:05:08.803 --> 00:05:10.183]  We can bring soldiers here to sleep.
[00:05:11.003 --> 00:05:14.724]  They can be fed here, showered, and then move on out to conduct operations.
[00:05:15.464 --> 00:05:23.426]  Our partner country with Illinois is Poland, so we'll have Polish military folks here that's getting ready for the World Cup in 2012 there.
[00:05:24.126 --> 00:05:34.729]  And we'll also have people from their agencies that are similar to our civilian agencies with their learning police activities for some of the operations we're doing are more law enforcement than military in nature.
[00:05:35.209 --> 00:05:38.370]  And whenever an opportunity comes up like that, we let that be known.
[00:05:38.963 --> 00:05:41.885]  to the Polish military, and they share it with their other Polish government partners.
[00:05:42.465 --> 00:05:52.691]  And we heard, of course, from law enforcement, and like we have Illinois Counterterrorism Task Force, and Poland has a version of that, and so they're interested in these types of exercises to better train their personnel.
[00:05:53.231 --> 00:05:57.294]  So we just use it as an opportunity to share the shared experiences and make all of our agencies better.
[00:05:57.454 --> 00:05:59.695]  There'll be some in uniform, and some will be civilians.
[00:05:59.715 --> 00:06:06.159]  You know, we have some that are, for example, I think it's listed in here, for the International Agency, we've got folks from the Polish Consulate here in Chicago.
[00:06:06.719 --> 00:06:07.580]  We're good to go.
[00:06:16.533 --> 00:06:19.836]  And this seems like the biggest bone of contention for the entire project.
[00:06:19.916 --> 00:06:28.202]  You know, is it okay for us to be working with foreign military and foreign powers in order to police our own citizens and territory?
[00:06:28.222 --> 00:06:29.283]  Also foreign police.
[00:06:46.736 --> 00:06:50.538]  Foreign police, foreign military, foreign, you know, secret governments.
[00:06:50.558 --> 00:06:53.459]  Hey, I'm Sgt.
[00:06:53.599 --> 00:06:55.740]  1st Class Mark Ballard with the Illinois National Guard.
[00:06:56.380 --> 00:07:01.803]  I am one of the exercise controllers who is running the simulation cell for this exercise.
[00:07:02.203 --> 00:07:14.288]  Here out of the sim cell, we will just be providing guidance, directions, requests for information from the responding forces to keep the information flowing between the response agencies in Bensonville up through the area command and whatnot.
[00:07:14.608 --> 00:07:18.430]  This is IEMA's Unified Area Command Trailer.
[00:07:19.290 --> 00:07:22.512]  It's a new piece of equipment that the state's acquired in the last year.
[00:07:23.112 --> 00:07:26.994]  And it's been brought in to just test out, make sure its capabilities are working.
[00:07:27.955 --> 00:07:30.476]  It's able to communicate with all the other elements that are out there.
[00:07:31.116 --> 00:07:38.279]  The forces from Poland that are joining will be integrating into some of the civil military units that are participating in this exercise.
[00:07:38.740 --> 00:07:54.167]  The state of Illinois has an alliance, a state partnership program with the Republic of Poland and across the last several years we have been doing integrative training and coordination with them, sharing information and learning from one another as part of the state partnership for peace program.
[00:07:54.927 --> 00:08:12.801]  Bringing them over and incorporating them into the civil military domestic response role is just increasing that awareness and visibility of what the role of the National Guard is and is helping them to understand how their military forces can integrate with their civilian forces in the event of a civil situation that takes place.
[00:08:13.221 --> 00:08:24.109]  The Illinois National Guard has a no-fail contract with the state of Illinois to provide services protection to the citizens of the state and in working with our partner agencies to respond to these types of situations
[00:08:24.409 --> 00:08:27.133]  We have to train and exercise with them as much as possible.
[00:08:27.654 --> 00:08:33.482]  Training and exercising is the cornerstone of successful response in an emergency situation.
[00:08:33.903 --> 00:08:39.411]  So increasing the visibility or making us think that this is what the responsibility of our negativity is.
[00:08:39.591 --> 00:08:39.911]  Right.
[00:08:40.111 --> 00:08:44.354]  The National Guard is supposed to work with foreign governments to promote peace throughout the world.
[00:08:45.335 --> 00:08:46.536]  I didn't know that was their job.
[00:08:47.036 --> 00:08:49.958]  Here's some more fabulous Douglas B-roll right here.
[00:08:49.978 --> 00:08:57.022]  The troops getting ready and setting up their decom tents for the various exercises on the 14th.
[00:08:57.062 --> 00:08:58.063]  It's the 14th of June.
[00:08:58.423 --> 00:09:00.865]  So then we go on to the meth lab takedown.
[00:09:01.325 --> 00:09:01.765]  Day 3.
[00:09:02.166 --> 00:09:03.327]  I'm Captain Joe Bright.
[00:09:03.407 --> 00:09:03.647]  I'm the
[00:09:04.531 --> 00:09:08.072]  I'm the Program Manager for the SERV-P program for the Illinois National Guard.
[00:09:08.132 --> 00:09:14.653]  I'm here with Major Lejciak from the Polish Epidemiological Response Center of the Polish Armed Forces.
[00:09:15.613 --> 00:09:18.714]  We're here participating in a Homeland Security exercise.
[00:09:19.354 --> 00:09:28.316]  We'll be working on military support to civil authorities as part of a terrorist scenario where they have a biological weapon.
[00:09:30.556 --> 00:09:32.597]  Major Lejciak and the Polish Armed Forces
[00:09:34.036 --> 00:09:36.357]  We have a partnership program with the Illinois National Guard.
[00:09:37.177 --> 00:09:44.959]  We do cooperative training and exercises and it's been very beneficial to both of our services in helping us develop our capabilities.
[00:09:45.699 --> 00:09:53.781]  The exercise today, and what you'd expect to see, will be some terrorist scenarios in which there are multiple casualties.
[00:09:54.321 --> 00:09:58.642]  We'll have a search and extraction team that will be extracting casualties from different facilities.
[00:09:59.877 --> 00:10:04.061]  Those personnel that are extracted would be contaminated potentially with a biohazard.
[00:10:04.562 --> 00:10:20.256]  So we'll have a mass casualty decontamination team that will decontaminate them and we have a medical triage and treatment team that will provide medical care to them before they are moved by ambulance if necessary to a long-term hospital or other type of long-term care facility.
[00:10:21.397 --> 00:10:24.800]  You'll see the National Guard cooperating with civilian authorities
[00:10:26.434 --> 00:10:32.737]  Typically when we respond, we only fall under a civilian incident commander because we're in the states.
[00:10:33.518 --> 00:10:36.959]  We respond to their needs, their requests.
[00:10:36.999 --> 00:10:48.345]  We're basically a force provider and bring specific skills to the table to assist local law enforcement and civil authorities in providing the services and protection to the people in their areas.
[00:10:48.905 --> 00:10:50.146]  My name is Major Emi Idishak.
[00:10:50.166 --> 00:10:50.466]  I'm from
[00:10:51.042 --> 00:11:07.080]  We are here with my soldiers to make a next step in our cooperation with soldiers from Illinois National Guard.
[00:11:07.180 --> 00:11:09.723]  This cooperation started five years ago.
[00:11:10.410 --> 00:11:22.140]  Last year we had a big exercise in Poland near Warsaw and this year we have a great opportunity to participate in exercise in Chicago.
[00:11:22.520 --> 00:11:26.944]  That's a partnership between Illinois National Guard and the Polish.
[00:11:26.984 --> 00:11:31.467]  The state of Illinois is a partnership for Poland.
[00:11:31.988 --> 00:11:39.214]  We have good connections and this is the reason why we train together from five years.
[00:11:40.335 --> 00:11:54.029]  So here it's 12 and the second group is 10 and they are designated to a civil support team in another place so we are divided to do groups to learn as much as possible.
[00:11:54.389 --> 00:11:56.971]  Okay, and is it just Polish Army or are there other?
[00:11:57.072 --> 00:12:01.136]  Yeah, we have also participants from our
[00:12:01.696 --> 00:12:03.257]  Do you have American forces in Poland?
[00:12:03.277 --> 00:12:07.420]  Do you do exercises with them there?
[00:12:25.429 --> 00:12:34.674]  Now we have American soldiers, but they have no connection with us, because there are some special forces.
[00:12:39.168 --> 00:12:45.815]  But that was very telling, you know, so we have special forces in Poland training with their troops.
[00:12:45.935 --> 00:12:47.257]  And day four, Bentonville, terror.
[00:13:01.270 --> 00:13:09.652]  Today's activities are starting with a notional event that occurred this morning with the Bensonville Police Department and other local law enforcement agencies.
[00:13:09.712 --> 00:13:24.876]  National Guard assets are being brought in to provide Level A hazmat teams, decontamination, surveillance, presumptuous identification of suspicious material to determine if this is part of the overall anthrax scare that is taking place or not.
[00:13:25.297 --> 00:13:26.697]  Intelligence that was gathered
[00:13:27.370 --> 00:13:33.252]  From the plane crash that took place on Sunday is leading to this area which will also be in the Bensonville area.
[00:13:33.812 --> 00:13:36.013]  They will come to a distribution facility.
[00:13:36.373 --> 00:13:37.874]  There will be a hostage situation.
[00:13:37.914 --> 00:13:42.055]  They will determine that this was a staging area for distribution of an anthrax product.
[00:13:43.507 --> 00:13:59.530]  Boy Scouts of America are providing some volunteers that will be serving as victims of the chemical events and the contamination to provide people that can actually go through the medical triage, the decontamination apparatus, and those types of events.
[00:13:59.570 --> 00:14:02.230]  So they're basically the role players for the exercise.
[00:14:45.735 --> 00:14:47.096]  Everybody on the ground!
[00:14:47.136 --> 00:14:48.397]  Get on the ground on your knees!
[00:14:48.417 --> 00:14:57.681]  Everybody on the ground, on the ground!
[00:14:57.741 --> 00:14:59.062]  Put your hands on your face!
[00:14:59.162 --> 00:15:01.943]  On the ground, on the ground!
[00:15:01.983 --> 00:15:04.365]  Put your hands on your face!
[00:15:04.505 --> 00:15:06.646]  On the ground, on the ground!
[00:15:08.516 --> 00:15:09.237]  Do not move!
[00:15:09.257 --> 00:15:11.719]  Cover your face with your hands!
[00:15:12.000 --> 00:15:18.486]  Cover your face with your hands!
[00:15:18.526 --> 00:15:19.607]  Pretty big exercise.
[00:15:19.667 --> 00:15:26.294]  Probably, you know, 16 Boy Scouts down there with their Scoutmasters and whoever else wanted to come along.
[00:15:26.934 --> 00:15:30.538]  Notice they have them lying face down in the anthrax powder.
[00:15:30.658 --> 00:15:32.080]  It's a very real life situation.
[00:15:32.967 --> 00:15:35.449]  Everyone lie down in the anthrax powder.
[00:15:35.509 --> 00:15:36.770]  Hostages, you are expendable.
[00:15:36.830 --> 00:15:38.912]  Please put your face directly in the powder.
[00:15:42.455 --> 00:15:50.301]  Yeah, all of a sudden the Polish BOA is participating in this exercise, which they didn't mention at all before that.
[00:15:50.401 --> 00:15:52.783]  It's just, they're here to observe, they're here to observe.
[00:15:53.143 --> 00:15:54.464]  Hey, it's BOA.
[00:15:55.185 --> 00:16:00.149]  Bureau of Operational Anti-Terrorism, is what I think it stands for.
[00:16:01.287 --> 00:16:06.893]  I don't know, this was a hard one to swallow, watching these guys training with the Boy Scouts.
[00:16:06.953 --> 00:16:09.935]  It definitely looks like acclimation.
[00:16:10.116 --> 00:16:19.204]  You've got Boy Scouts, which are kind of your perceived civil leaders in the community, being trained.
[00:16:19.625 --> 00:16:21.266]  This is what it's like to be a hostage.
[00:16:21.326 --> 00:16:23.028]  This is what it's like to be a prisoner.
[00:16:24.110 --> 00:16:30.673]  Well, and really, if you think about it, the Eastern Bloc countries are probably used to situations that are somewhat like this.
[00:16:31.333 --> 00:16:33.574]  But who is this acclamation for?
