[00:00:07.276 --> 00:00:08.583]  We are simulcasting.
[00:00:15.669 --> 00:00:17.971]  This syndicated radio transmission right now.
[00:00:18.011 --> 00:00:21.874]  We just started simulcasting at PrisonPlanet.TV.
[00:00:22.154 --> 00:00:25.016]  It's a four-hour radio show every day if you're a new listener or viewer.
[00:00:26.017 --> 00:00:29.120]  And we always in the third and fourth hour simulcast.
[00:00:29.140 --> 00:00:32.122]  But a lot of days we do the first, second, third, and fourth.
[00:00:32.162 --> 00:00:36.145]  Many days we do the second, third, and fourth.
[00:00:36.165 --> 00:00:37.767]  But today we're doing two and a half hours.
[00:00:38.767 --> 00:00:39.167]  of course.
[00:00:58.504 --> 00:01:00.546]  And so you can share with a few of your friends and family.
[00:01:00.586 --> 00:01:09.852]  If they give it out to too many people, though, and six people are logged on with the same passcode at the same time streaming and downloading videos, it'll lock you out until one of the people gets off.
[00:01:09.892 --> 00:01:15.437]  But as long as we can finance it, we do want people to be able to share the information.
[00:01:15.457 --> 00:01:18.259]  I mean, if I could, I would just get PrisonPlanet.tv out for free.
[00:01:18.879 --> 00:01:26.385]  But we finance the radio show, the films, a lot of what we do from the members of PrisonPlanet.tv, and we post them there in the highest quality.
[00:01:27.165 --> 00:01:28.226]  We post them there first.
[00:01:29.166 --> 00:01:33.168]  The day we start shipping a new film out on DVD, it's available first at PrisonPlanet.tv.
[00:01:33.188 --> 00:01:37.991]  We simulcast the radio show there, the document cam, the video clips, all of it.
[00:01:38.311 --> 00:01:40.592]  PrisonPlanet.tv.
[00:01:41.112 --> 00:01:44.374]  And I want to encourage people, if you want to financially support what we're doing, to do that.
[00:01:45.795 --> 00:01:49.517]  Last night when I was out at the protest, a lady gave me a large donation and I gave it to my crew.
[00:01:50.217 --> 00:01:53.238]  I hope that's okay with her, but it really touched my heart that she did that.
[00:01:53.278 --> 00:01:56.919]  We don't really, generally, maybe once a year we will do a drive and ask for donations.
[00:01:57.259 --> 00:01:58.099]  That's a listener idea.
[00:01:58.119 --> 00:02:03.401]  We've done that two years and that's really helped our operations, given us the confidence to expand.
[00:02:03.841 --> 00:02:13.123]  But the big way to donate and support us is buying the books, the videos, the t-shirts that are all massively discounted at InfoWars.com or getting a PrisonPlanet.tv membership.
[00:02:13.463 --> 00:02:15.544]  Now, for the balance of the hour,
[00:02:16.144 --> 00:02:21.848]  We are joined by Pastor David Manning of ATLA.org, ATLA World Church.
[00:02:22.768 --> 00:02:24.630]  They're in New York City.
[00:02:24.710 --> 00:02:25.430]  They're in Harlem.
[00:02:26.431 --> 00:02:30.774]  And Reverend Manning has, again, tens of millions of views online.
[00:02:30.834 --> 00:02:32.235]  National television has covered him.
[00:02:32.395 --> 00:02:33.676]  Ad Nauseam attacked him.
[00:02:34.176 --> 00:02:34.937]  He got a visit.
[00:02:35.757 --> 00:02:37.358]  What was it, a month and a half ago or so?
[00:02:37.378 --> 00:02:38.279]  Back in November.
[00:02:38.699 --> 00:02:46.845]  Back in November by the, boy time flies, by the, two months ago, by the Secret Service and saying they were also CIA with New York Police.
[00:02:47.245 --> 00:02:52.749]  So I wanted to get caught up to speed on what, what happened there because you were expecting to be arrested.
[00:02:53.089 --> 00:02:55.611]  But thank God that hasn't happened yet because you're so visible.
[00:02:55.951 --> 00:02:58.173]  But a recap what happened there and any new developments.
[00:02:58.733 --> 00:02:59.254]  Reverend Manning.
[00:02:59.983 --> 00:03:02.464]  Well, they did come on the 16th of November.
[00:03:02.484 --> 00:03:04.885]  And by the way, thank you, Alex, for having me on your broadcast today.
[00:03:04.945 --> 00:03:06.806]  It's a real pleasure and honor.
[00:03:09.127 --> 00:03:11.308]  They were here on the 16th of November.
[00:03:11.328 --> 00:03:12.348]  They unannounced.
[00:03:12.388 --> 00:03:14.569]  They kind of burst in on me.
[00:03:14.589 --> 00:03:16.610]  I had no idea they were coming.
[00:03:16.630 --> 00:03:17.751]  Could not be prepared for them.
[00:03:19.152 --> 00:03:26.276]  But they came up—CIA, Secret Service, Homeland Security, and New York City Community Services Police.
[00:03:26.437 --> 00:03:29.879]  Now, that's a nice way of saying riot control, crowd control.
[00:03:29.899 --> 00:03:31.560]  Police Department.
[00:03:32.581 --> 00:03:38.124]  They came into my study, where I happened to have been doing business at the time.
[00:03:40.326 --> 00:03:46.450]  And, of course, they asked me about the question that stated—something that I had stated—to kill the president.
[00:03:48.017 --> 00:03:58.562]  Well, I explained to them, and they were very well aware of the fact that what I stated was that I believe Obama is an illegal alien, that he should be put on trial for treason, found guilty, and executed.
[00:03:58.582 --> 00:03:59.802]  That's exactly what I said.
[00:03:59.822 --> 00:04:03.364]  And they were taken from a quote that I posted up on YouTube.
[00:04:04.664 --> 00:04:06.025]  And I explained that to them.
[00:04:06.045 --> 00:04:10.747]  Of course, I also explained that I didn't have anything to say to them if I was not under arrest.
[00:04:11.794 --> 00:04:14.015]  And so they left.
[00:04:14.295 --> 00:04:29.578]  Now, of course, there's a bit more detail, but I've explained this once, and I thought I'd just kind of—I have since that time sent a letter, an official letter, to Janet Napolitano complaining about that intrusion by her Homeland Security group.
[00:04:30.438 --> 00:04:33.359]  I've sent a letter to the New York City Police Department, as well.
[00:04:33.379 --> 00:04:34.819]  None of them have responded.
[00:04:35.319 --> 00:04:36.620]  But I'm asking for answers.
[00:04:36.660 --> 00:04:37.340]  Why did they come?
[00:04:38.471 --> 00:04:39.392]  Reverend Manning, I mean,
[00:05:05.700 --> 00:05:06.702]  I think you're a good guy.
[00:05:06.722 --> 00:05:07.684]  I like you.
[00:05:08.025 --> 00:05:09.669]  And I think you have a lot of courage.
[00:05:10.009 --> 00:05:13.898]  Me, personally, I think Obama's just a powerful puppet of the New World Order.
[00:05:15.612 --> 00:05:19.193]  To give left cover to new wars and police state and banker bailouts.
[00:05:20.073 --> 00:05:22.153]  But I also expose Bush as a puppet.
[00:05:22.653 --> 00:05:30.215]  I mean, I think that if Obama got arrested and tried for, I mean, for treason, I mean, it's all the power backers that back him.
[00:05:30.575 --> 00:05:40.417]  That would turn him into some type of hero and some type of victim if, I mean, that makes it all about the president.
[00:05:40.437 --> 00:05:44.438]  But I guess from your research, you think Obama is really running the show?
[00:05:45.390 --> 00:05:45.951]  Well, no.
[00:05:46.151 --> 00:05:49.675]  I mean, I think I agree with you inasmuch as that he is indeed a puppet.
[00:05:49.695 --> 00:05:50.976]  There's no doubt about that.
[00:05:52.077 --> 00:05:54.380]  And there are those who pull the string.
[00:05:55.421 --> 00:06:03.210]  From my point of view, I suspect that someone has to start being accountable at some point, at some level.
[00:06:04.684 --> 00:06:05.966]  And he is visible.
[00:06:06.666 --> 00:06:13.932]  Of course, those who pull the strings, those who have been pulling the strings, I completely agree with you regarding George Bush.
[00:06:13.952 --> 00:06:17.736]  I don't think that Obama could be president without George Bush.
[00:06:17.796 --> 00:06:27.824]  I think George Bush and John McCain handed Obama the presidency because of the pulling of the strings from higher up and from various organizations that have been pulling strings for quite some time.
[00:06:27.864 --> 00:06:28.785]  No doubt about that.
[00:06:29.818 --> 00:06:41.471]  However, in my view, I think Obama needs to be brought, held accountable, and like Abdulmutallab, maybe he'll start talking on those who actually put him up to put the explosive in his underwear.
[00:06:41.672 --> 00:06:45.116]  Maybe Obama will tell us who put the explosive in his underwear.
[00:06:45.436 --> 00:06:46.938]  But I also think that Obama
[00:06:47.738 --> 00:07:04.043]  In a large sense, Alex has influenced people, especially in the black community, and others as well, in a way that's perhaps very spiritually evil, and that needs to be rectified as well.
[00:07:07.230 --> 00:07:08.511]  I mean, give us the Bill of Particulars.
[00:07:08.591 --> 00:07:10.233]  What is the treason Obama's committing?
[00:07:10.253 --> 00:07:24.508]  I mean, the bank's robbing us, letting Geithner and others keep the money for themselves, keeping it secret, lying about what the health care plan really did, unconstitutional, launching new wars, going into Pakistan.
[00:07:27.008 --> 00:07:30.671]  All of that, all of that is a part of what he is doing.
[00:07:30.691 --> 00:07:45.045]  It may not necessarily be considered treason, because there are certain mandates constitutionally, executive privileges in power and congressional powers legislatively, that he is able, as the Commander-in-Chief, that he is able to do those things.
[00:07:45.725 --> 00:07:52.170]  You may be able to bring a moral case against him for the wars that he has continued.
[00:07:53.711 --> 00:07:58.694]  But the banking idea, the bailout for the banks, you can bring a moral argument against that as well.
[00:07:59.314 --> 00:08:01.896]  My specific treason charges are as simple.
[00:08:02.848 --> 00:08:05.989]  It's the fact that he is not a U.S.
[00:08:06.029 --> 00:08:18.853]  citizen constitutionally eligible to hold the office, that he does not fit the constitutional bill of Section 2, Article 1—Article 2, rather, rather, Section A of the Constitution to actually serve as U.S.
[00:08:18.893 --> 00:08:19.373]  president.
[00:08:19.853 --> 00:08:32.423]  There's a lot of information floating around and questions floating around that are just absolutely unprecedented and unreasonably answers being withheld regarding his birth.
[00:08:32.743 --> 00:08:41.850]  But I've got something else, Alex, I want to talk to you about, as well, with respect to his education at Columbia University, or the alleged education at Columbia University.
[00:08:42.570 --> 00:08:48.555]  But it is the fact that he is constitutionally ineligible that makes him a treasonous target.
[00:08:50.205 --> 00:09:02.492]  Well, there's also the treason trying to hand us over at Copenhagen to United Nations control and to give part of our GDP and other forms of taxes to the IMF and World Bank.
[00:09:02.532 --> 00:09:04.553]  I mean, if that isn't treason, I don't know what is.
[00:09:05.794 --> 00:09:14.740]  Well, you're absolutely right, and that's one of the reasons why I keep following your reports on where our world is going and who's actually calling the shots.
[00:09:15.480 --> 00:09:24.786]  It appeared that the Copenhagen World Climate Change, the global warming event, seemed to have fizzled.
[00:09:24.906 --> 00:09:25.667]  I don't think so.
[00:09:25.687 --> 00:09:30.390]  I would never think that those people are as powerful as they are would allow it to have fizzled.
[00:09:30.410 --> 00:09:32.171]  They're regrouping for whatever reason.
[00:09:32.551 --> 00:09:33.552]  But it appeared to me
[00:09:34.332 --> 00:09:35.353]  Oh, they've clearly already...
[00:09:56.175 --> 00:09:57.116]  I mean, he's the first U.S.
[00:09:57.156 --> 00:09:59.457]  president to become the chair of the U.N.
[00:09:59.477 --> 00:10:00.358]  Security Council.
[00:10:00.378 --> 00:10:00.878]  Absolutely.
