[00:00:15.998 --> 00:00:16.199]  We're good.
[00:00:45.503 --> 00:00:46.784]  I'm very happy to have Alex Jones.
[00:00:46.824 --> 00:00:50.526]  Now, I've known about Alex Jones for more than a decade.
[00:00:50.546 --> 00:00:56.329]  For those of you who listen to the Saturday Special, I've had him on two or three times in the last decade.
[00:00:56.369 --> 00:00:58.510]  I knew he was a great, great guest.
[00:00:58.790 --> 00:01:01.512]  They don't make better guests than Alex Jones.
[00:01:02.693 --> 00:01:06.955]  And I knew that he hosted his own radio show.
[00:01:07.015 --> 00:01:08.116]  A television show, too!
[00:01:08.756 --> 00:01:11.798]  But I knew that he hosted his own syndicated radio show.
[00:01:12.625 --> 00:01:19.630]  But I never really thought that it would be appropriate for this particular area.
[00:01:19.911 --> 00:01:21.552]  And boy was I wrong!
[00:01:33.703 --> 00:01:39.725]  Okay, this is the man, whom I've known for almost 20 years, who wouldn't stop!
[00:01:39.745 --> 00:01:41.785]  It's like a Gila monster!
[00:01:41.805 --> 00:01:45.727]  And I have to say that!
[00:01:46.887 --> 00:01:51.188]  Glenn would not stop working on me, saying, you've got to put Alex Jones on KFCO.
[00:01:51.208 --> 00:01:53.229]  You will be amazed at what happens!
[00:02:01.403 --> 00:02:04.304]  And every day that passes, I'm more astounded.
[00:02:05.024 --> 00:02:06.304]  Now, I'm real curious.
[00:02:06.904 --> 00:02:09.725]  The light's sort of blinding you, so I keep doing the visor thing.
[00:02:10.145 --> 00:02:18.867]  How many of you in this room are here because you heard about Alex Jones being here at this event on KSEO or KMY?
[00:02:18.887 --> 00:02:19.547]  Show of hands, please.
[00:02:19.767 --> 00:02:24.708]  Okay, it looks like, and maybe up in the balcony,
[00:02:25.427 --> 00:02:26.187]  Maybe a third?
[00:02:26.607 --> 00:02:32.349]  So does that mean the rest of you, the two-thirds of the people here, aren't even aware of KSEO and KOY?
[00:02:32.369 --> 00:02:34.829]  Because you've heard Alex on the internet?
[00:02:34.849 --> 00:02:35.689]  So a hand please.
[00:02:36.510 --> 00:02:36.810]  Internet.
[00:02:37.550 --> 00:02:38.510]  I would say two to one.
[00:02:38.910 --> 00:02:39.430]  Two to one.
[00:02:39.991 --> 00:02:51.813]  So it's another thing, it's another wonderful thing that's happened here because Alex Jones, us having Alex Jones, and Alex Jones promoting KSEO and KOY on the internet, has helped us too!
[00:02:51.973 --> 00:02:53.674]  Talk about a symbiotic relationship!
[00:03:01.496 --> 00:03:06.179]  So, anyhow, I've got to tell you a little bit of the story here.
[00:03:07.080 --> 00:03:25.934]  A year and a half ago, Bill O'Reilly... Two years ago, Bill O'Reilly gave notice that he was getting out of the talk radio business.
[00:03:27.703 --> 00:03:34.808]  And at KSEO, as soon as he announced that on Fox News Channel, oh my god, the phones were ringing.
[00:03:35.328 --> 00:03:41.132]  They were just ringing off the hook from every syndication company in the world, saying, what are you doing?
[00:03:42.930 --> 00:03:46.132]  He's replaced Bill O'Reilly on the radio station!
[00:03:46.232 --> 00:03:50.535]  And the people were instructed to say, we're going to do locally-originated programming.
[00:03:51.055 --> 00:03:52.496]  Because we want to serve our community.
[00:03:52.836 --> 00:03:55.598]  And you can hear the thuds of people falling.
[00:03:55.618 --> 00:03:57.779]  Because no one does locally-originated.
[00:03:57.839 --> 00:03:59.700]  Everything's canned in this world now!
[00:03:59.720 --> 00:04:00.901]  There's nothing original!
[00:04:01.902 --> 00:04:03.443]  So anyhow.
[00:04:03.943 --> 00:04:05.364]  And then Glenn went to work on me.
[00:04:06.164 --> 00:04:08.146]  And said, now I know this guy is syndicated.
[00:04:08.993 --> 00:04:13.396]  And I know you don't want to have any more syndicate, you want to replace it with local, but what are you going to do for local?
[00:04:13.456 --> 00:04:16.198]  And I said, I don't know, we'll figure something out.
[00:04:16.638 --> 00:04:25.424]  Well, in the meantime, while you're thinking about, you know, what to put on for the local program to replace Bill O'Reilly, why don't you do an experiment?
[00:04:26.345 --> 00:04:27.006]  An experiment?
[00:04:27.026 --> 00:04:27.366]  Experiment?
[00:04:27.626 --> 00:04:28.347]  Alex Jones!
[00:04:28.487 --> 00:04:29.467]  Oh, okay.
[00:04:30.408 --> 00:04:32.910]  So we put on Alex Jones for an experiment.
[00:04:34.065 --> 00:04:34.726]  For a week.
[00:04:35.766 --> 00:04:36.727]  Where's Evergreen?
[00:04:36.827 --> 00:04:38.168]  Evergreen, are you here somewhere?
[00:04:38.208 --> 00:04:38.849]  Are you in the back?
[00:04:39.710 --> 00:04:48.857]  Okay, uh, within two or three days of putting on Alex Jones, I was walking out of the radio station one day, and a stranger walked up to me and said, are you MZ?
[00:04:48.917 --> 00:04:49.697]  And I said, yeah.
[00:04:50.538 --> 00:04:54.541]  And he reaches out his hand to shake my hand, and there's a hundred dollar bill in it.
[00:04:54.561 --> 00:04:57.724]  And I said, wow, what's this?
[00:04:57.744 --> 00:04:58.865]  He says, it's a hundred dollar bill.
[00:04:58.885 --> 00:05:00.146]  Why, haven't you seen a hundred dollar bill before?
[00:05:01.482 --> 00:05:02.643]  I said, she said, that's for you.
[00:05:03.424 --> 00:05:04.084]  And I said, why?
[00:05:04.465 --> 00:05:05.846]  Because you're carrying Alex Jones.
[00:05:05.886 --> 00:05:07.908]  I said, but it's only an experiment.
[00:05:08.489 --> 00:05:11.311]  We don't know that this is going to be a permanent thing.
[00:05:11.351 --> 00:05:13.253]  We're just putting it out there to see how it goes.
[00:05:13.273 --> 00:05:16.596]  He says, doesn't matter that you put him on for even one hour.
[00:05:17.117 --> 00:05:18.158]  You've earned this money.
[00:05:19.259 --> 00:05:21.061]  Wow, that's pretty powerful stuff.
[00:05:21.983 --> 00:05:27.308]  So anyhow, here we are a year and a half later, and Alex is on both stations.
[00:05:28.189 --> 00:05:36.457]  We broadcast him live on our smaller station, KOMY AM 1340, weekday mornings from 9am to 12 noon.
[00:05:37.037 --> 00:05:38.839]  Opposite Rush Limbaugh, who is on the parking lot.
[00:05:42.728 --> 00:05:49.870]  We also put him on our bigger station several hours later from 7 or 8 o'clock to 10 p.m.
[00:05:49.890 --> 00:05:53.111]  depending upon whether we have another program that's under contract at 7 to 8.
[00:05:53.651 --> 00:05:56.412]  In any case, that is our story.
[00:05:56.432 --> 00:05:57.792]  I don't want to take up any time.
[00:05:57.832 --> 00:05:59.613]  You paid to come here.
[00:05:59.813 --> 00:06:03.754]  Some of you, gentlemen here, from where?
[00:06:05.135 --> 00:06:06.295]  Atlanta, Georgia.
[00:06:14.902 --> 00:06:29.268]  Powerful stuff, ladies and gentlemen.
[00:06:29.828 --> 00:06:36.450]  There's an old Buffalo Springfield song called, uh, There's Something Happening Here.
[00:06:37.651 --> 00:06:40.052]  What it is, ain't exactly clear.
[00:06:41.121 --> 00:06:46.553]  There's a man with a message over there through that door and that man is named Alex Jones!
[00:07:19.125 --> 00:07:26.129]  During the intermission, a while later, we're going to be recognizing some very important, wonderful people.
[00:07:26.369 --> 00:07:28.030]  In fact, there's Dr. Stan right there!
[00:07:28.270 --> 00:07:33.973]  You folks are awesome!
[00:07:38.636 --> 00:07:47.961]  All of you are awesome, and I'm honored and blown away that you came to hear me.
[00:07:57.151 --> 00:08:09.058]  I'm a little selfish, and I didn't really come here tonight to hear me talk, but I'm going to take your questions and comments, and it's awesome to see lovers of
[00:08:15.339 --> 00:08:27.743]  There has been somebody for 48 years, a medical doctor who knew about the eugenics plan, that when I came to town, I called him a few weeks ago and said, please come.
[00:08:27.763 --> 00:08:28.643]  He said, I don't know.
[00:08:29.003 --> 00:08:34.065]  And today I called him and I said, you're coming to speak for at least 15 minutes before I speak.
[00:08:34.745 --> 00:08:36.045]  And then he'll stay during the intermission.
[00:08:36.065 --> 00:08:38.726]  We're going to have some other speakers before I come back for part two.
[00:08:38.986 --> 00:08:40.627]  He's Dr. Stan Monteith.
[00:08:52.557 --> 00:09:09.330]  In the 50s when people demonized you and attacked you a hundred times more than they attacked me, because all this stuff's coming true now, this guy was an icon who stood up against them and he does four or five hours of radio every day warning the planet.
[00:09:09.830 --> 00:09:17.656]  And so I wanted, I know most of you know him, but I came to here, not just you and not just to give a speech, but to talk to Dr. Stan Monti.
[00:09:17.876 --> 00:09:31.806]  So I wanted to spend 15-20 minutes crystallizing the fact that he's seen this huge awakening in where society's going and for us to count the cost and decide which side of this equation we're on.
[00:09:31.987 --> 00:09:33.588]  Liberty or tyranny!
[00:09:40.030 --> 00:09:47.496]  Well, I'm not going to take very long because I think that Alex really is doing the most amazing job.
[00:09:47.536 --> 00:09:54.561]  You know, I've been at this for 48 years now, but I've never seen as much enthusiasm as I've seen in the last few years.
[00:09:55.276 --> 00:09:58.037]  And things are getting worse and worse.
[00:09:58.077 --> 00:10:01.058]  Now don't believe them when they tell you that things are going to get better.
[00:10:01.418 --> 00:10:03.219]  That the housing market is going to stabilize.
[00:10:03.299 --> 00:10:03.859]  No it's not.
[00:10:04.219 --> 00:10:09.400]  The housing market is going to continue to fall and more and more people are going to continue losing their homes.
[00:10:09.921 --> 00:10:11.781]  They tell you that the jobs are coming back.
[00:10:12.221 --> 00:10:13.962]  The jobs are not coming back.
[00:10:14.022 --> 00:10:16.883]  They've been sent overseas and they're going to stay there.
[00:10:17.843 --> 00:10:18.964]  Why are they going to stay there?
[00:10:19.645 --> 00:10:21.006]  Because there is a plan.
[00:10:21.526 --> 00:10:24.808]  Now, most people really don't know what the plan is, but it's called globalism.
[00:10:25.249 --> 00:10:39.339]  It's an organized effort to lower the living standards in the United States and raise the living standards throughout the world so we can have a one world government, a one world religion, and a one world ruler.
[00:10:39.741 --> 00:10:53.035]  Now, if you want to document this, it's all in something called the Earth Charter, written by Stephen Rockefeller, the nephew of David Rockefeller, by Mikhail Gorbachev, and by Marie Strong.
[00:10:53.755 --> 00:10:58.741]  And there in point 10A of the Earth Charter, they say, we're going to have equitable distribution of wealth
[00:10:59.485 --> 00:11:00.867]  Between nations.
[00:11:01.627 --> 00:11:03.570]  Now, how do you get equitable distribution of wealth?
[00:11:03.910 --> 00:11:05.472]  Between the United States and China.
[00:11:06.012 --> 00:11:13.060]  Why, you lower living standards in the United States, and you raise living standards in China, and in India, and all throughout the world.
[00:11:13.561 --> 00:11:20.709]  And this is really what's happening, but they cannot tell the American people, because most of you are so selfish, you don't want to give up your home.
[00:11:21.329 --> 00:11:22.810]  You don't want to give up your pension.
[00:11:23.230 --> 00:11:28.414]  You don't want to give up your Social Security and your Medicare benefits and all the wonderful things that we have in this country.
[00:11:28.454 --> 00:11:36.338]  But you must understand, ladies and gentlemen, the America we have known has ceased to exist and will never exist again during our lifetime.
[00:11:36.699 --> 00:11:40.401]  But the one thing we can hope is that we're going to be able to preserve an element of freedom.
[00:11:41.181 --> 00:11:44.143]  Now, how are they sending our jobs overseas?
[00:11:44.163 --> 00:11:46.445]  Well, it's a process known as
[00:11:47.415 --> 00:11:49.018]  Offshoring Manufacturing.
[00:11:49.680 --> 00:11:52.525]  And what we do is, we take a manufacturer and we say, look...
[00:11:53.354 --> 00:11:57.457]  You're paying 35% corporate income tax in the United States.
[00:11:58.137 --> 00:12:01.019]  How you'd like to not have to pay any taxes at all?
[00:12:01.679 --> 00:12:11.185]  You move your factory over to China, you don't have to pay any corporate taxes, you can keep that money, you can invest it throughout the world, you can set up a new manufacturing in all sorts of country.
[00:12:11.785 --> 00:12:18.290]  How many of you here, if you were offered that opportunity to make hundreds of millions of dollars, wouldn't take the opportunity?
[00:12:18.310 --> 00:12:20.171]  And that's what our great corporations are doing.
[00:12:20.831 --> 00:12:22.912]  Furthermore, they get abundant labor.
[00:12:22.932 --> 00:12:24.452]  There's all sorts of labor over there.
[00:12:24.552 --> 00:12:25.152]  Cheap labor.
[00:12:25.772 --> 00:12:28.973]  They don't have to put up with the bureaucracy, the harassment they have here.
[00:12:29.413 --> 00:12:36.995]  They do not have to actually pay unemployment insurance, workmen's compensation insurance, FICA taxes.
[00:12:37.856 --> 00:12:39.696]  They're actually given loans.
[00:12:39.716 --> 00:12:41.317]  You can get a loan if you go over there.
[00:12:41.857 --> 00:12:46.358]  We're doing everything we can to encourage our corporations to move overseas.
[00:12:47.663 --> 00:12:48.344]  I don't know.
[00:13:03.664 --> 00:13:04.565]  Protectionist?
[00:13:04.845 --> 00:13:06.246]  Oh, you're a protectionist.
[00:13:06.726 --> 00:13:07.487]  Why don't you know?
[00:13:07.987 --> 00:13:12.111]  If we put up tariffs, why would we have all sorts of people out of work?
[00:13:12.831 --> 00:13:16.094]  If we put up tariffs, we'd have tremendous trade deficits.
[00:13:16.734 --> 00:13:18.575]  Ladies and gentlemen, we have people out of work.
[00:13:18.976 --> 00:13:20.737]  The real unemployment is not 9.6%.
[00:13:20.977 --> 00:13:21.358]  It's close to 20%.
[00:13:25.262 --> 00:13:36.386]  If you use the U6 unemployment figures, which are put out by Bureau of Labor Statistics, but never mentioned by the controlled medium, and then you take away the birth-death ratio, it comes up to over 20%.
[00:13:37.546 --> 00:13:41.827]  If you calculate unemployment today, as they did during the Great Depression, over 20%?
[00:13:42.868 --> 00:13:44.908]  How many times have you heard that from Us Limbaugh?
[00:13:45.609 --> 00:13:49.470]  Well, ladies and gentlemen, you have to understand, number one, the press is controlled in America.
[00:13:49.490 --> 00:13:52.391]  It's controlled by five or six great corporations.
[00:13:53.674 --> 00:13:57.235]  90% of the press is controlled through interlocking directorates.
[00:13:57.716 --> 00:14:18.503]  And we're talking about Time Warner, Bertelsmann, which is a European corporation, Viacom, which runs CBS, Disney, which runs ABC, Fox, which runs the Wall Street Journal and Fox News, that's Rupert Murdoch, and then of course the sixth is Comcast, they just bought up General Electric, pardon me, just bought up NBC.
[00:14:19.303 --> 00:14:20.604]  Most people don't understand
[00:14:21.417 --> 00:14:31.119]  That literally all of the major news magazines and major newspapers and major networks are intertwined in what I call the Brotherhood of Darkness.
[00:14:31.979 --> 00:14:38.661]  Intertwining in the Council on Foreign Relations, the Trilateral Commission, and all these things that Alex talks about and he's talked to you many times about.
[00:14:39.441 --> 00:14:43.082]  But they have an organized program to destroy this country.
[00:14:43.772 --> 00:14:46.135]  Now, first of all, you offshore manufacturing.
[00:14:46.575 --> 00:14:47.736]  Eight million jobs are gone.
