[00:00:01.320 --> 00:00:03.700]  Other networks lie to you about what's happening now.
[00:00:04.259 --> 00:00:06.940]  Infowars tells you the truth about what's happening next.
[00:00:07.739 --> 00:00:12.708]  Visit Infowars.com forward slash show and support the Infowars.
[00:00:12.719 --> 00:00:20.189]  Ladies and gentlemen, welcome to The Alex Jones Show.
[00:00:20.199 --> 00:00:22.199]  I am your host this evening, Chase Geyser.
[00:00:22.280 --> 00:00:26.899]  I will be on the air for the next four hours straight breaking down all of the latest developments.
[00:00:27.140 --> 00:00:29.780]  But before we get into it, first, a report from Alex Jones.
[00:00:29.920 --> 00:00:30.660]  Clip 35, please.
[00:00:32.460 --> 00:00:44.479]  Earlier this week in Congress, ActBlue's head testified and confessed that, yes, they got billions of dollars of donations in the last couple of election cycles from overseas credit cards.
[00:00:44.640 --> 00:00:56.619]  And, of course, they've been caught taking the names of tens of thousands of innocent Americans, including prominent Republicans even, and giving massive donations in their names with somebody else's credit cards.
[00:00:57.219 --> 00:00:59.539]  Absolute money laundering cut and dry.
[00:00:59.960 --> 00:01:12.040]  And now it's come out, and I'll link to some of the investigations below, that ActBlue has been the main group funding protests and assaults and attacks on Tesla dealerships around the United States, and other leftist groups are funding them in Europe.
[00:01:12.379 --> 00:01:20.040]  Pure intimidation and bullying to try to stop the head of Doge, Elon Musk, from doing the incredibly important work he's doing exposing these criminals.
[00:01:20.359 --> 00:01:50.540]  So, whether it's the Soros' funding Antifa and color revolutions, or big, dark donors, dark money, hidden money, It came out last week that John
[00:01:50.540 --> 00:01:51.239]  Podesta...
[00:01:51.950 --> 00:02:01.549]  One of the top people in the Democratic Party was over a $370-plus billion slush fund, tens of billions of it going in just the last election cycle of the Democrats.
[00:02:01.769 --> 00:02:02.989]  This is cut and dry.
[00:02:03.769 --> 00:02:08.689]  Pambani, the AG, Kosh Patel, the FBI director, have cut and dry evidence.
[00:02:08.689 --> 00:02:19.629]  And it's being reported that all those groups, ActBlue, you name it, the USAID operatives, the EPA people are all under criminal investigation.
[00:02:19.629 --> 00:02:21.009]  So expect...
[00:02:20.990 --> 00:02:22.310]  Major indictment soon.
[00:02:22.710 --> 00:02:33.669]  As promised, a week ago, Pam Bondi is now basically removed or forced to resign a whole bunch of top FBI DOJ officials in the Southern District that have been suppressing the Epstein files.
[00:02:33.689 --> 00:02:38.110]  And she said last week an entire truckload was delivered to her and that she'll be releasing it soon.
[00:02:38.110 --> 00:02:40.509]  Only the names of the victims redacted.
[00:02:40.610 --> 00:02:43.050]  So far, they've been doing everything they say they would do.
[00:02:43.210 --> 00:02:47.169]  But as the vice president said when he was asked, hey...
[00:02:47.069 --> 00:02:48.509]  You know, why aren't there more deportations?
[00:02:48.629 --> 00:02:50.289]  He said Rome wasn't built in a day.
[00:02:50.449 --> 00:02:53.090]  They've already cut border crossings by 94%.
[00:02:53.090 --> 00:02:54.789]  They're deporting thousands a day.
[00:02:55.129 --> 00:03:01.030]  And they're really escalating their operations up as they get more people in.
[00:03:01.169 --> 00:03:06.449]  So overall, I'm very, very impressed by Trump, by Musk, by Doge, by the vice president, by everybody.
[00:03:06.879 --> 00:03:09.219]  This is a real change that we're seeing.
[00:03:09.360 --> 00:03:14.419]  And as Trump said, the globalists had all these policies in place to keep us poor and to control Americans.
[00:03:14.439 --> 00:03:16.180]  And he is reversing all of those.
[00:03:16.280 --> 00:03:17.479]  But it's going to take time.
[00:03:17.740 --> 00:03:20.379]  I'm actually very impressed by how fast they're moving.
[00:03:20.659 --> 00:03:22.000]  They're not God, folks.
[00:03:22.720 --> 00:03:27.340]  But they are definitely trying to do the best job they can to turn this country around.
[00:03:27.500 --> 00:03:30.360]  I'm very, very, very excited about that.
[00:03:30.479 --> 00:03:33.020]  Very, very thankful to all of you that voted for Trump and got behind Trump.
[00:03:33.120 --> 00:03:37.159]  But we've got a lot more to do and we need to support what they're doing and be their eyes and ears on the ground.
[00:03:37.460 --> 00:03:38.099]  God bless you all.
[00:03:38.199 --> 00:03:45.819]  Please follow me right here on X at Real Alex Jones and read the reports below about Act Blue funding all of this bullying, intimidation and soft terrorism.
[00:03:46.139 --> 00:03:46.699]  Thank you, President.
[00:03:47.400 --> 00:03:49.439]  Absolutely insane developments happening now.
[00:03:49.599 --> 00:04:00.599]  Obviously, we're going to be getting into all the latest details, including a new American empire as Trump, Russia, and the end of globalism all seem to be arriving in conjunction with one another.
[00:04:00.719 --> 00:04:05.060]  Plus, we've got breaking news about how FBI director gets a direct line to President Trump.
[00:04:05.219 --> 00:04:11.199]  This is something that's been controversial because traditionally speaking, the FBI director would go through the Attorney General, Tham Bondi.
[00:04:11.560 --> 00:04:13.000]  In this case, to the president.
[00:04:13.199 --> 00:04:20.939]  But there is a direct line happening right now as America is left asking why it is that we still have no Epstein files whatsoever.
[00:04:21.300 --> 00:04:23.160]  Now, we heard from Pam Bondi earlier this week.
[00:04:23.879 --> 00:04:28.459]  That the reason that information was being redacted was because of national security concerns.
[00:04:28.620 --> 00:04:31.699]  Not just victim concerns, but it was added in that there were national security concerns.
[00:04:31.879 --> 00:04:38.100]  Leaving America with nothing left but the question of what is there about the Epstein files that has to do with national security?
[00:04:38.519 --> 00:04:41.180]  What's national security about the Epstein files, Pambani?
[00:04:41.279 --> 00:04:42.259]  Let's see what happens.
[00:04:42.360 --> 00:04:46.300]  Hopefully this week everything is made right, but we're going to break into the rest of it over the course of the next four hours.
[00:04:46.259 --> 00:04:48.019]  Stay with us back in one minute.
[00:04:48.019 --> 00:04:55.829]  Welcome back to The Alex Jones Show, ladies and gentlemen.
[00:04:55.839 --> 00:04:57.779]  I am Chase Geiser, your host this evening.
[00:04:57.980 --> 00:05:00.500]  We are going to be together for the next four hours straight.
