# Transcription model: nvidia/parakeet-tdt-0.6b-v2, custom faster_whisper
[00:00:31.280 --> 00:00:32.859]  Tomorrow's news today.
[00:00:32.859 --> 00:00:39.100]  He is the greatest professional athlete in the world today.
[00:00:39.100 --> 00:00:40.160]  Look at this.
[00:00:40.160 --> 00:00:41.639]  He's out there.
[00:00:41.639 --> 00:00:44.100]  I don't believe it.
[00:00:44.100 --> 00:00:46.219]  I don't believe it.
[00:00:46.219 --> 00:00:47.819]  Oh, drop it a big leg.
[00:00:47.819 --> 00:00:49.740]  Over from the cover.
[00:00:49.740 --> 00:00:50.900]  He's out there.
[00:00:50.900 --> 00:00:53.499]  Unbelievable.
[00:00:53.499 --> 00:00:53.939]  Unbelievable.
[00:00:56.880 --> 00:01:02.000]  Well, Hulk Cookin was a listener of the show, called in a few times many years ago.
[00:01:02.960 --> 00:01:11.280]  And I know a lot of people that knew him well and just said he was a really great, awesome guy like Rowdy Piper that was a guest on our broadcast and a listener.
[00:01:11.920 --> 00:01:13.840]  And it was on my bucket list to get him on.
[00:01:13.920 --> 00:01:17.200]  We were very close to getting him on right around the RNC.
[00:01:17.840 --> 00:01:20.719]  That didn't happen, you know, as an official guest.
[00:01:20.879 --> 00:01:29.600]  And it just broke in the last 20 minutes that there's a slew of police cars, EMTs were parked outside his home.
[00:01:29.920 --> 00:01:35.920]  The ICON was carried away in a stretcher and into an ambulance just to a few weeks ago.
[00:01:36.240 --> 00:01:42.000]  His wife denied rumors he was in a coma, stating his heart was strong and he was recovering from surgeries.
[00:01:43.519 --> 00:01:48.560]  Now they are reporting that he is dead.
[00:01:49.760 --> 00:01:58.879]  So as more information comes out about that, we will report on it wrestling legend Hulk Hogan dead at 71.
[00:01:59.760 --> 00:02:15.120]  And of course, what a way to go out here in the last year there at the RNC back in the summer tearing off his shirt for Trump mania.
[00:02:16.960 --> 00:02:18.080]  So there you go.
[00:02:18.400 --> 00:02:25.920]  I was out in Florida last year, one of those beachside resorts outside Tampa.
[00:02:26.240 --> 00:02:31.360]  I was visiting Pastor Rodney Howard Browns church.
[00:02:31.680 --> 00:02:33.599]  And I come up and park my car and the valet comes up.
[00:02:33.680 --> 00:02:34.159]  He was a listener.
[00:02:34.240 --> 00:02:35.520]  He goes, hey, man, you just missed it.
[00:02:36.960 --> 00:02:38.400]  Hulk Hogan was out at the restaurant here.
[00:02:38.479 --> 00:02:39.120]  He comes here all the time.
[00:02:40.080 --> 00:02:41.439]  He just drove off.
[00:02:41.759 --> 00:02:43.520]  I said, man, that sucks.
[00:02:44.159 --> 00:02:46.479]  So never got to meet him in person.
[00:02:46.640 --> 00:02:49.759]  We did call into the show a few times.
[00:02:51.280 --> 00:02:56.319]  And Ozzy Osborne die a couple days ago.
[00:02:56.640 --> 00:03:09.759]  And I like some Ozzie's music, but I wasn't really iconically interested overall, but it just shows you how short life is.
[00:03:10.240 --> 00:03:13.039]  But Hulk Hogan until the end was very cogent and very smart.
[00:03:13.360 --> 00:03:15.840]  And had been a Christian for a long time, but had never really talked about his faith.
[00:03:15.920 --> 00:03:23.920]  But just the last few years, by really professing it and talking about how important it is to have Jesus Christ in your life and the Holy Spirit.
[00:03:24.560 --> 00:03:26.960]  So what an entertainer.
[00:03:27.520 --> 00:03:28.640]  Amazing.
[00:03:29.280 --> 00:03:32.080]  I learned about three minutes before I went live on air that he was dead.
[00:03:32.400 --> 00:03:36.080]  And I told the crew, get a compilation of him, Body Slamming Only a Giant.
[00:03:36.400 --> 00:03:42.240]  There's even better ones where he picks him up actually over his head, which the guy weighed over 500 pounds.
[00:03:42.560 --> 00:03:46.240]  Do you have any idea how hard it is to pick up a bar with 500 pounds on it?
[00:03:47.200 --> 00:03:49.680]  Which is controllable, much less dead weight?
[00:03:50.240 --> 00:03:52.719]  I mean, just unbelievably strong.
[00:03:54.480 --> 00:03:57.599]  And he's gone now.
[00:03:58.879 --> 00:04:00.560]  So there you go, ladies and gentlemen.
[00:04:00.640 --> 00:04:02.480]  Hulk Hogan, what a bummer.
[00:04:05.759 --> 00:04:06.800]  What a bummer.
[00:04:08.800 --> 00:04:13.200]  Our heart goes out to his family and everybody else connected to him.
[00:04:13.840 --> 00:04:16.879]  But he's certainly an iconic and will never be forgotten.
[00:04:18.079 --> 00:04:26.319]  I mean, him and Andre the Giant are obviously the greatest professional wrestlers, entertainers from that genre, hands down.
[00:04:26.480 --> 00:04:30.879]  I mean, there's just, you cannot, you can't even really compare anybody else to them.
[00:04:31.600 --> 00:04:34.800]  Just really incredible athletes.
[00:04:35.759 --> 00:04:45.759]  And I got to say, Andre the Giant might just barely top Hulk Hogan as the greatest wrestler ever because he was so gigantic and in so much pain the last years, but just fought through it.
[00:04:45.920 --> 00:04:48.639]  But it's just hard to say who was greater.
[00:04:48.800 --> 00:04:50.720]  There's just two Titans right up there at the top.
[00:04:51.040 --> 00:04:55.199]  Well, entertainer, an incredible athlete and a great guy.
[00:04:55.519 --> 00:05:04.079]  Hulk Hogan has reportedly died just in the last few hours in Clearwater, Florida of cardiac arrest at 71 years old.
[00:05:04.959 --> 00:05:14.160]  And of course, the most incredible things is him, all those times at WrestleMania, body slamming Andre the Giant who weighed over 520 pounds.
[00:05:14.800 --> 00:05:23.120]  Any idea, picking up 520 pounds on a bar is an incredible feat above your head, or at least up to your shoulders.
[00:05:23.439 --> 00:05:27.680]  Picking up dead weight is just, no one even thought he could do it until the first time he did it.
[00:05:27.759 --> 00:05:36.400]  And he, as he said in an interview, this, I think the second time he did it, because the first few times he did it up partially above his head, then he felt his spine go.
[00:05:37.280 --> 00:05:40.959]  He literally lost like a couple inches, destroyed his spine.
[00:05:41.120 --> 00:05:45.600]  And after that, in future WrestleMania, he would just pick him up to his shoulders.
[00:05:45.759 --> 00:05:47.920]  But my goodness gracious.
[00:05:49.040 --> 00:05:51.840]  Hulk Hogan, again, we could dig it out.
[00:05:51.920 --> 00:05:54.079]  He called into the show a few times many years ago.
[00:05:54.240 --> 00:05:59.920]  We had an affiliate there in Clearwater, and he would call in under his regular name, later talk to him some on the phone.
[00:06:00.000 --> 00:06:01.439]  He said, yeah, you've been a listener for a long time.
[00:06:01.519 --> 00:06:03.519]  And I just never got him on as an actual guest.
[00:06:03.600 --> 00:06:05.120]  That's a real bummer.
[00:06:06.000 --> 00:06:10.560]  And just missed meeting him in Florida at a hotel.
[00:06:10.879 --> 00:06:13.519]  I pulled in from dinner with my wife visiting Rodney R. Brown.
[00:06:13.680 --> 00:06:14.959]  They go, man, you just missed Hulk Hogan.
[00:06:15.040 --> 00:06:15.759]  He comes here all the time.
[00:06:16.000 --> 00:06:16.959]  He just drove off.
[00:06:17.680 --> 00:06:19.040]  The car was like driving off.
[00:06:19.360 --> 00:06:20.319]  I was like, wow.
[00:06:21.120 --> 00:06:23.600]  So that was definitely on my bucket list to shake his hand.
[00:06:23.759 --> 00:06:34.400]  Did a great job, obviously, campaigning for Trump and doing the Hulkamania, Hulkster, tear the shirt off at the RNC.
[00:06:35.279 --> 00:06:44.319]  We will talk more about that as we get more information, but certainly living a life of the man in the arena.
[00:06:44.480 --> 00:06:45.040]  Goodbye.
