# Transcription model: large-v3
[00:00:27.980 --> 00:00:30.780]  InfoWars. InfoWars.
[00:00:35.539 --> 00:00:45.759]  Ladies and gentlemen, it is Wednesday, April 9th, 2025, and the U.S. trade war with Communist China just went thermal nuclear.
[00:00:46.060 --> 00:00:51.799]  The United States has now raised tariffs overall, combining them to over 100%.
[00:00:51.799 --> 00:00:59.240]  China has slapped an 84% tariff on top of their tariffs, bringing it to really over 200%.
[00:00:59.820 --> 00:01:07.260]  They have been raping us for decades, and all they really buy from us now is raw material to send manufactured goods back.
[00:01:07.439 --> 00:01:17.239]  We still hold all of the cards, the world reserve currency, the biggest, best military, the best energy supply, but we're losing those cards.
[00:01:17.439 --> 00:01:22.760]  And coming up in the next segment, I'm going to get into Kevin O'Leary's breakdown of this on CNN, where he literally knocked it out of the park.
[00:01:23.209 --> 00:01:26.969]  We have a narrow window to play our cards right right now.
[00:01:27.049 --> 00:01:29.890]  The globalists, the CFR, had all said America was over.
[00:01:30.030 --> 00:01:32.829]  We were basically going to collapse, be rolled into this globalist system.
[00:01:32.930 --> 00:01:34.409]  But that's not happening.
[00:01:34.450 --> 00:01:35.090]  And now...
[00:01:35.650 --> 00:01:37.150]  Hundreds of countries have called Trump.
[00:01:37.269 --> 00:01:41.709]  More than 30 on record saying, fine, we'll take tariffs down to zero right now.
[00:01:41.870 --> 00:01:43.650]  And that means non-monetary tariffs.
[00:01:43.790 --> 00:01:44.909]  That means currency manipulation.
[00:01:45.269 --> 00:01:48.030]  That means VAT taxes and so much more.
[00:01:48.189 --> 00:01:53.609]  Ladies and gentlemen, if we just don't panic, like President Trump has said, don't be a panicking, be an American.
[00:01:54.109 --> 00:01:58.790]  If we're just strong, if we're just brave and know the fundamentals, we're going to win.
[00:01:58.909 --> 00:02:05.828]  Sure, they keep trying to crash the stock market, but the stock market is a giant casino that the globalists have used to manipulate things.
[00:02:05.828 --> 00:02:07.438]  But I know a lot of people make money off it.
[00:02:07.549 --> 00:02:08.028]  That's fine.
[00:02:08.049 --> 00:02:17.389]  Under this system, we're going to have the jobs here, and we're going to have a better stock market than ever, and we're going to have production that's critical to our national sovereignty.
[00:02:20.599 --> 00:02:25.539]  We can't be a bunch of fentanyl and meth addicts and a bunch of collapsing systems.
[00:02:25.759 --> 00:02:30.419]  We've got to get back to being a sovereign nation, and it's happening right now.
[00:02:30.520 --> 00:02:34.560]  And we're culturally removing the DEI, all the transgender brainwashing.
[00:02:34.580 --> 00:02:42.840]  Trump just put a massive block on federal funds to Maine because they're still putting men in women's prisons to literally...
[00:02:43.120 --> 00:02:43.580]  Rape them.
[00:02:44.060 --> 00:02:47.780]  Already the governor backed off when she said, oh, we're going to still have men and women's sports.
[00:02:47.900 --> 00:02:48.919]  She backed off of that.
[00:02:48.939 --> 00:02:49.740]  She's going to back off of this.
[00:02:49.879 --> 00:02:50.659]  It's the same thing.
[00:02:50.759 --> 00:02:52.680]  Trump keeps winning, winning, winning, winning.
[00:02:52.840 --> 00:02:59.719]  Supreme Court just overrode the Obama judge that said Trump can't deport MS-13 illegal alien gang members.
[00:02:59.819 --> 00:03:00.580]  Of course he can.
[00:03:00.740 --> 00:03:02.020]  It's right there in the Constitution.
[00:03:02.379 --> 00:03:05.460]  So the long surrender of our republic is over.
[00:03:06.370 --> 00:03:09.530]  If we continue to push and if we get the truth out.
[00:03:09.569 --> 00:03:16.449]  That's why all of you are so critical to share this report and share other reports and know the facts and let your fellow Americans know what's happening.
[00:03:16.569 --> 00:03:18.629]  Trump's polls are at all-time highs.
[00:03:19.370 --> 00:03:21.090]  There's a total political realignment.
[00:03:21.169 --> 00:03:24.909]  The majority of union workers are now supporting the Republican Party.
[00:03:25.050 --> 00:03:27.430]  The Republican Party is no longer the blue-blood elitist party.
[00:03:27.550 --> 00:03:29.930]  The Democratic Party is, ladies and gentlemen.
[00:03:30.110 --> 00:03:32.569]  This is a global shift.
[00:03:32.949 --> 00:03:35.050]  This is a worldwide fourth.
[00:03:35.479 --> 00:03:41.319]  And I am just so blessed to be here working with all of you in this fight.
[00:03:41.479 --> 00:03:42.819]  We are Americans.
[00:03:43.080 --> 00:03:44.680]  We are a family.
[00:03:45.020 --> 00:04:02.000]  And imagine 20 years ago being at this point right now where the globalists are in complete free fall, where Bill Gates has had all of his government funding cut off, where Klaus Schwab has been kicked out of the WEF, where the entire globalist system is collapsing, and they admit at their own Davis meetings that Trump and America is winning.
[00:04:02.539 --> 00:04:05.879]  And it's basically unstoppable unless we desert him.
[00:04:06.120 --> 00:04:08.319]  Finally, a president doing what he said he would do.
