# Transcription model: nvidia/parakeet-tdt-0.6b-v2, sat-12l-sm, and large-v3-turbo
# Transcript cleaned with version 0.1.2
# Source MD5: e88e4929dc3fcfc98d92524c7c7cd4d1
[00:00:07.759 --> 00:00:08.240]  Christmas.
[00:00:09.279 --> 00:00:11.120]  The year is 2025.
[00:00:12.240 --> 00:00:13.599]  I'm your host, Alex Jones.
[00:00:14.480 --> 00:00:15.280]  Your chronicler.
[00:00:16.559 --> 00:00:17.600]  Thank you so much for joining us.
[00:00:18.719 --> 00:00:22.240]  Well, coming up, Victor Boot from Russia on the state of the world.
[00:00:22.400 --> 00:00:25.760]  Again, we stopped thermal nuclear war, the latest developments on Ukraine.
[00:00:26.080 --> 00:00:30.960]  And then we're going to look at the battle to restore our republic with another special guest.
[00:00:31.280 --> 00:00:31.920]  All right.
[00:00:33.520 --> 00:00:34.719]  Here we are.
[00:00:36.240 --> 00:00:49.359]  And the globalists' only plan, only thing they have left, is to try to get us to infight and destroy ourselves from then and to exaggerate bad things Trump's done and to get us to abandon Trump.
[00:00:49.679 --> 00:00:52.880]  No, when he does stuff that isn't right or his people do, we get after him.
[00:00:53.039 --> 00:00:54.560]  Most of the time, he course corrects.
[00:00:54.880 --> 00:00:57.039]  But he's going to be in for the next few years.
[00:00:57.359 --> 00:00:58.640]  We got the midterms coming in.
[00:00:58.719 --> 00:01:00.480]  We want to get good people elected there.
[00:01:01.120 --> 00:01:03.679]  And we want to continue to work at Tulsi Gabbard and RFK Jr.
[00:01:04.400 --> 00:01:05.439]  So it is a no-brainer.
[00:01:05.519 --> 00:01:10.079]  And a lot of the left and the media runs these things like, oh, Jones turned on Trump or Jones is against Trump.
[00:01:10.159 --> 00:01:10.799]  He's for Trump.
[00:01:10.960 --> 00:01:13.040]  No, it's very simple, logical.
[00:01:13.359 --> 00:01:18.560]  When the Trump admin does something bad that we think's wrong, we expose it.
[00:01:18.960 --> 00:01:20.560]  And most of the time, they course correct.
[00:01:20.879 --> 00:01:22.640]  When they do stuff that's right, we get behind it.
[00:01:22.719 --> 00:01:23.359]  We cheerlead.
[00:01:24.159 --> 00:01:25.439]  It is so simple.
[00:01:25.600 --> 00:01:26.799]  It is so logical.
[00:01:26.960 --> 00:01:33.680]  But we know Gavin Newsom and Kamala Harris that are gearing up to run again are bad news.
[00:01:34.879 --> 00:01:41.359]  And we certainly don't sit there with the left cheering on infighting and just get on board with that because we get attention from them.
[00:01:42.240 --> 00:01:53.200]  But so many people do that and they put out lies and disinformation claiming that TPUSA was involved in killing Charlie Kirk and it's an alignment with the Democrats.
[00:01:53.519 --> 00:01:57.920]  And those very people get boosted by YouTube, boosted by the system, or we're all banned.
[00:01:58.240 --> 00:02:00.799]  And so if they don't know they're working for the system, they're really stupid.
[00:02:01.120 --> 00:02:02.879]  And I don't think they're stupid.
[00:02:03.200 --> 00:02:05.359]  So that's where I am right now on this.
[00:02:05.920 --> 00:02:14.479]  And we've been revealing a lot of stuff, not here on the show today, but on this Christmas Day on X at Real Ox Shones with reports that are being filed.
[00:02:14.800 --> 00:02:16.719]  So be sure and go to Real OgShones on X.
[00:02:16.960 --> 00:02:24.479]  It also get posted on InfoWars.com so you can see the latest on the attempts to bring down Make America Great Again from people that claim they're our friends.
[00:02:24.800 --> 00:02:29.360]  And all the evidence points towards being red coat mercenaries of the globalists.
[00:02:29.680 --> 00:02:33.280]  And then remember that our sponsor is you.
[00:02:33.599 --> 00:02:38.080]  We don't work for the Israelis or the Qataris or the Chinese or the Russians or the Republicans or Democrats or any of that.
[00:02:38.719 --> 00:02:39.920]  I say what I think's right.
[00:02:40.080 --> 00:02:40.879]  My crew does.
[00:02:41.200 --> 00:02:42.000]  We cover the news.
[00:02:42.159 --> 00:02:46.879]  And if you think it's important, you think it should be supported, that you are the backers.
[00:02:47.200 --> 00:02:48.319]  You are the sponsors.
[00:02:48.640 --> 00:02:49.520]  You decide.
[00:02:50.640 --> 00:02:57.280]  I ask you now on this blessed Christmas day to think about when's the last time you went to the alexonstore.com.
[00:02:57.439 --> 00:02:58.479]  Maybe some of you never did.
[00:02:58.640 --> 00:03:00.479]  Maybe a lot of you did love the product.
[00:03:01.120 --> 00:03:05.680]  The ultramethylene blue, the chili, the Irish CMOS, all the new products that have come in.
[00:03:06.560 --> 00:03:12.240]  The highest quality rated best type of creatine.
[00:03:12.319 --> 00:03:14.400]  We have the gummies, five milligrams per.
[00:03:14.960 --> 00:03:15.520]  Incredible.
[00:03:15.680 --> 00:03:17.200]  Not just for your muscles, but for your brain.
[00:03:17.360 --> 00:03:18.719]  The effects there are even better.
[00:03:19.039 --> 00:03:22.480]  Everybody knows about creatine the muscles and things, but including the heart.
[00:03:22.800 --> 00:03:24.000]  What about the brain?
[00:03:24.319 --> 00:03:27.759]  It's all there at thealxjonstore.com.
[00:03:27.840 --> 00:03:28.800]  And I don't own that.
[00:03:29.120 --> 00:03:31.520]  So if the bad guys are successful, they're showing you an InfoWars.
[00:03:31.599 --> 00:03:36.480]  It doesn't matter because the AlexShowstore.com has built the backup network, Alex Network, and it funds Infowars.
[00:03:36.800 --> 00:03:41.599]  So going there and getting the products is essential to this operation.
[00:03:41.840 --> 00:03:44.480]  You decide whether we stay on air or not.
[00:03:44.800 --> 00:03:46.879]  And when I flog this stuff, it's because we're in the red.
[00:03:47.120 --> 00:03:48.240]  We're entering the red.
[00:03:48.480 --> 00:03:49.840]  We need you to come through.
[00:03:50.400 --> 00:03:57.200]  If we didn't have all these legal battles, the Democrats stay on air, we'd be 24 hours a day in the black and reporters all over the country.
[00:03:57.680 --> 00:04:03.439]  But because the enemy attacks, you're struggling, but having an incredible effect in the third dimension, waking people up.
[00:04:03.600 --> 00:04:11.280]  So on this blessed Christmas Day, I am extremely thankful for all of you and you're giving your time, your energy, your word of mouth, your prayer, support for this broadcast.
[00:04:11.520 --> 00:04:13.280]  I've given you all I've got.
[00:04:13.600 --> 00:04:15.360]  I leave it all on the field.
[00:04:15.680 --> 00:04:17.120]  And in the end, I see us winning.
[00:04:17.280 --> 00:04:18.160]  And that's all because of God.
[00:04:18.319 --> 00:04:21.600]  All glory goes to God, his Son, our Lord and Savior, Jesus Christ.
[00:04:21.920 --> 00:04:32.160]  So on this blessed Christmas, we thank God for sending his only begotten son to stand in the middle and take on our sins and transmute our sins so that God can forgive us.
[00:04:32.800 --> 00:04:34.400]  Because in the universe, nothing's free.
[00:04:34.639 --> 00:04:36.080]  And God had to make that sacrifice for us.
[00:04:36.160 --> 00:04:37.759]  So, God, thank you for Jesus.
[00:04:37.920 --> 00:04:38.800]  And Jesus, we love you.
[00:04:38.879 --> 00:04:39.840]  And God, we love you.
[00:04:40.160 --> 00:04:41.759]  And we thank you for the Holy Spirit.
[00:04:42.080 --> 00:04:47.120]  And I thank you so much for the crew and my family, everybody else, but really the listeners for the family, the viewers of the family.
[00:04:47.280 --> 00:04:48.000]  We're all one family.
[00:04:48.319 --> 00:04:50.560]  I want to tell you, I love you so much on this Christmas.
[00:04:50.879 --> 00:04:53.600]  I want to thank you for everything you've done, that we've done something really special together.
[00:04:53.920 --> 00:04:56.480]  We're the good guys standing against evil, and nobody can take that away.
[00:04:56.800 --> 00:04:57.519]  God's watching.
[00:04:57.600 --> 00:04:58.800]  Never forget that.
[00:05:00.720 --> 00:05:02.879]  Wake up in the world, try to drain your light.
[00:05:03.120 --> 00:05:04.080]  Screens got you none.
[00:05:04.240 --> 00:05:05.200]  Keep your fog in the night.
