# Transcription model: nvidia/parakeet-tdt-0.6b-v2, sat-12l-sm, and large-v3-turbo
# Transcript cleaned with version 0.1.2
# Source MD5: 8b0e440973e678c2ba82bf480de78992
[00:00:12.640 --> 00:00:15.359]  InfoWars, tomorrow's news, today.
[00:00:19.120 --> 00:00:22.719]  All right, all hell is breaking loose on every front.
[00:00:22.879 --> 00:00:24.640]  Things are only getting more intense.
[00:00:24.960 --> 00:00:27.120]  I'm going to be hosting the first three hours tonight.
[00:00:27.199 --> 00:00:28.800]  We have a very special guest in the studio.
[00:00:29.120 --> 00:00:34.560]  And Harrison Smith is coming in and hosting the fourth hour of Sunday Night Live.
[00:00:34.719 --> 00:00:36.480]  Again, I am your host, Alex Jones.
[00:00:36.800 --> 00:00:40.000]  Every Sunday, 4 to 8 p.m., we are here.
[00:00:40.320 --> 00:00:45.200]  And of course, weekdays with Birana Morello, 8 a.m. to 11 a.m.
[00:00:45.359 --> 00:00:51.039]  Myself, Alex Jones, from 11 a.m. to 3 p.m., Harrison Smith, the war room, 3 to 6 p.m.
[00:00:51.200 --> 00:01:00.079]  And in the very near future, we intend to add more live broadcasts, more transmissions, more systems once we get to the hump of the battles trying to shut us down one way or another.
[00:01:00.240 --> 00:01:02.079]  And it looks like we're getting shut down here very, very soon.
[00:01:02.160 --> 00:01:03.440]  They already have the receiver point and all that.
[00:01:03.520 --> 00:01:06.239]  That's total garbage and all of it's a scam.
[00:01:06.320 --> 00:01:07.680]  And we've got civil rights lawsuits filed.
[00:01:07.760 --> 00:01:09.040]  There's criminal investigations ongoing.
[00:01:09.120 --> 00:01:10.000]  I'll just leave it at that.
[00:01:10.239 --> 00:01:12.960]  They're in a lot of trouble, but they're just moving forward as the Democrats do.
[00:01:13.519 --> 00:01:17.120]  So just remember, this is the most in-battled broadcast in the modern history of the United States.
[00:01:17.439 --> 00:01:21.680]  Only other person more demonized, more attacked than myself in the aggregate is Donald Trump.
[00:01:22.000 --> 00:01:22.879]  And that is just a fact.
[00:01:23.040 --> 00:01:24.079]  I don't think anybody can deny it.
[00:01:24.239 --> 00:01:26.079]  And it's just sheer weight of the attacks.
[00:01:26.400 --> 00:01:32.719]  The only other person attacked more by total operatives and media pressure and lawsuits and demonization is President Trump.
[00:01:32.960 --> 00:01:35.200]  And that's because we're both over the target.
[00:01:35.760 --> 00:01:36.400]  All right.
[00:01:38.879 --> 00:01:49.519]  It's not news that the Israel lobby under Netanyahu is trying to hostle takeover of MAGA right now, and it's gone into warp speed.
[00:01:49.840 --> 00:01:51.200]  That's huge with the developments.
[00:01:51.280 --> 00:01:59.680]  There are just incredible open threats against Tucker Carlson and others, pledges to take him off the air, destroy anybody else that there's question anything about Israel.
[00:01:59.840 --> 00:02:02.799]  It's going to cause the mother of all strives and effects.
[00:02:03.120 --> 00:02:06.960]  Then you've got, and we knew this years ago was the Capitol Police planted the bomb.
[00:02:07.200 --> 00:02:10.080]  I've told you that five years ago, four and a half, five years ago.
[00:02:10.560 --> 00:02:12.800]  But now we have all the proof at every angle.
[00:02:13.360 --> 00:02:20.560]  I can tell you, as I told you months ago, that J6 information is going to be some of the biggest yet because it goes right to Pelosi and the Democrats.
[00:02:21.439 --> 00:02:26.479]  Now the specifics are out, and the individual is not just a federal officer.
[00:02:26.640 --> 00:02:27.599]  They're really CIA.
[00:02:27.759 --> 00:02:28.879]  That's already been admitted.
[00:02:29.120 --> 00:02:30.800]  And they're basically in hiding right now.
[00:02:31.120 --> 00:02:32.640]  This is already broke Friday.
[00:02:32.719 --> 00:02:35.840]  We got the new developments exclusively here.
[00:02:36.400 --> 00:02:38.000]  And then this is just going to send shockwaves.
[00:02:38.240 --> 00:02:44.240]  It's the main reason Pelosi's not running again and decided to bug out because she and her family quarterback the operation.
[00:02:44.479 --> 00:02:45.200]  We'll be right back.
[00:02:45.360 --> 00:02:46.479]  This is the end of the New World Order.
[00:02:46.560 --> 00:02:47.680]  If we press the attacks, stay with us.
[00:02:47.840 --> 00:02:48.719]  Chairless Live Feets Now.
[00:02:48.800 --> 00:02:49.920]  Reload Shones on next to it.
[00:02:58.588 --> 00:03:00.509]  Take your destiny in your hands.
[00:03:01.599 --> 00:03:04.159]  You are made in the image of God with free will.
[00:03:04.319 --> 00:03:07.520]  Never let the social engineers convince you otherwise.
[00:03:07.840 --> 00:03:10.240]  You must step into your destiny.
[00:03:10.560 --> 00:03:12.800]  You must exercise your will.
[00:03:13.120 --> 00:03:18.000]  You must break the chains of the Globos now and forever.
[00:03:18.640 --> 00:03:21.360]  Someday we'll find you.
[00:03:22.240 --> 00:03:23.759]  Break those chains.
[00:03:24.319 --> 00:03:26.560]  Live bombshell Sunday broadcast.
[00:03:26.640 --> 00:03:32.560]  And it's going to be one hell of a 5 trillion megaton hydrogen bomb.
[00:03:33.840 --> 00:03:36.080]  Live bombshell Sunday broadcast.
[00:03:36.159 --> 00:03:40.960]  Chicago's most powerful gang, the Latin Kings.
[00:03:41.120 --> 00:03:42.800]  And I can tell you they are all over the country.
[00:03:43.120 --> 00:03:45.039]  They're the quiet force behind things.
[00:03:45.360 --> 00:03:48.159]  Issues shoot on site order.
[00:03:48.480 --> 00:03:53.439]  And it's a smart enough, real, powerful gang that's been around for 60, 70 years.
[00:03:53.599 --> 00:03:56.000]  It doesn't flaunt stuff like MS-13 and others.
[00:03:56.159 --> 00:03:57.520]  This is really bad.
[00:03:58.319 --> 00:04:05.919]  You heard that they have issued a shoot-on-site order to all their gang members of any ICE agents in Chicago.
[00:04:06.240 --> 00:04:08.319]  They just tried to kill a bunch of them yesterday.
[00:04:08.639 --> 00:04:12.800]  Ran up, they were attacking them in their car, slamming their feet and arms in the doors.
[00:04:13.120 --> 00:04:15.519]  Then the media cuts after they get out and tackle the people.
[00:04:15.680 --> 00:04:16.240]  That's what they do.
[00:04:16.800 --> 00:04:18.319]  They run women into attack.
[00:04:18.959 --> 00:04:24.959]  Then they cut the video of the attack and just show federal officers and camo arresting people and throw them down the ground.
[00:04:25.199 --> 00:04:26.879]  Oh, God, why are they attacking a woman?
[00:04:26.959 --> 00:04:29.519]  Oh, and the woman smashes cars into them.
[00:04:29.839 --> 00:04:31.439]  I've seen at least 50 times or more.
[00:04:31.759 --> 00:04:32.319]  You've seen it.
[00:04:32.639 --> 00:04:36.159]  And you smash a car in at 40, 50 miles an hour, 30 miles an hour.
[00:04:36.480 --> 00:04:38.159]  Agents jump out, grab them.
[00:04:38.800 --> 00:04:39.759]  I'm a citizen.
[00:04:39.839 --> 00:04:40.480]  What are you doing?
[00:04:40.800 --> 00:04:41.759]  The same crap.
[00:04:41.920 --> 00:04:45.680]  And then, right as this is happening, they start shooting at the agents.
[00:04:46.959 --> 00:04:51.920]  So this is teed up for the false flag operation.
[00:04:52.240 --> 00:04:54.639]  This is a major escalation.
[00:04:56.800 --> 00:05:02.879]  We've only got 10,000 enforcement agents in ICE and Border Patrol.
