# Transcription model: large-v3-turbo, custom faster_whisper
[00:00:15.470 --> 00:00:17.250]  Tomorrow's news today.
[00:00:17.250 --> 00:00:30.719]  Tomorrow's news today.
[00:00:30.730 --> 00:00:43.329]  50,000 Russian troops are massing on the border with Ukraine just miles away from Ukraine's second largest city of Kharkiv.
[00:00:43.979 --> 00:00:52.880]  Now, ladies and gentlemen, I believe you are, in the next few days or weeks, going to see a major push by the Russians into that city.
[00:00:53.159 --> 00:01:09.640]  In the original maps that Putin put out before he invaded Ukraine, he showed that area as being part of a Russian buffer zone that he threatened to create if NATO continued to give weapons and bombard the mainly Russian-speaking areas of eastern Ukraine.
[00:01:10.310 --> 00:01:16.250]  And so this is a war that George Soros and all of them have bragged that they started with coups 15 years ago.
[00:01:17.129 --> 00:01:26.969]  Of course, back in 2014, Putin went in and took Crimea that's always been part of Russia on the Black Sea Strategic Port, also controls a lot of their oil and gas to go to the area.
[00:01:27.230 --> 00:01:31.849]  And Putin always said his objective was not to take all of Ukraine.
[00:01:32.150 --> 00:01:35.590]  That was given away from Russia by Lenin.
[00:01:35.870 --> 00:01:37.630]  Putin's explained that.
[00:01:37.630 --> 00:01:54.540]  The West has always historically been more Slavs all call themselves Slavs because of that Orthodox priest that brought Orthodox Christianity into the area.
[00:01:55.060 --> 00:02:01.140]  And so you can understand why the Russians are upset having all these high-tech weapons and potentially nuclear-tipped.
[00:02:01.370 --> 00:02:02.569]  Missiles brought to the border.
[00:02:02.909 --> 00:02:06.109]  Russia said if you continue to do this, we will be forced to invade.
[00:02:06.430 --> 00:02:24.650]  And so because it's been part of the strategic statements that Putin has been making for many years that he would take those areas of Ukraine if they were forced to, I do believe they are preparing in the next days or the next few weeks at the max to go in and start taking.
[00:02:25.159 --> 00:02:27.080]  That second largest city in Ukraine.
[00:02:27.360 --> 00:02:32.080]  And then that would complete the map and statements that Putin's already made about what his intentions are.
[00:02:32.240 --> 00:02:35.039]  He's been very, very clear about it the entire time.
[00:02:35.159 --> 00:02:52.500]  This is obviously to put pressure on Zelensky, who is an unelected dictator and backed by NATO, to really come to the peace table and understand that, hey, we're taking this area on our border and a security zone along this river.
[00:02:53.230 --> 00:02:55.849]  And the deal is you'll never join NATO.
[00:02:56.129 --> 00:02:58.870]  And the deal is you'll accept the U.S. minerals deal.
[00:02:58.990 --> 00:03:02.750]  So the U.S. comes into that zone also as a buffer from NATO.
[00:03:03.009 --> 00:03:06.949]  The Russians asked for a deal in the fall of the Soviet Union in the early 1990s.
[00:03:07.069 --> 00:03:10.270]  They were given it verbally, publicly, that NATO would never move eastward.
[00:03:10.490 --> 00:03:13.129]  Of course, NATO broke that and has now completely encircled Russia.
[00:03:13.349 --> 00:03:16.330]  And so this was Putin's red line.
[00:03:16.768 --> 00:03:32.608]  Another reason I believe the Russians will go in if Zelensky doesn't sign a peace deal very, very quickly and accept the Russian demands, is that in other areas of the country along the buffer zone, the Russians have been rapidly advancing and taking more territory and expanding the buffer zone.
[00:03:33.070 --> 00:03:38.689]  I think, really, the invasion expansion has already begun.
[00:03:39.030 --> 00:03:40.310]  In fact, I know it has.
[00:03:40.310 --> 00:03:49.889]  The question is, will they actually go into that fortress city and have another giant World War II-style tank battle that will just, again—
