# Transcription model: large-v3-turbo, custom faster_whisper
[00:00:15.580 --> 00:01:04.030]  Tomorrow's news today.
[00:01:04.040 --> 00:01:25.579]  Massive history is happening every day, and the entire globalist system is going down the crapper, and that he's trying to stabilize the whole planet and just create absolute success and lowering energy prices that is the bedrock of a successful, vibrant society, and that he's rallying people all over the world that want that.
[00:01:26.120 --> 00:01:31.920]  You've got to hand it to the Saudi Arabians with their new leadership since Trump and the Crown Prince had that big coup.
[00:01:32.719 --> 00:01:40.120]  When the Saudi Arabians staged the Vegas attack, Trump and the Saudi prince took out all those guys and killed thousands of them.
[00:01:40.939 --> 00:01:43.780]  A lot of the crown prince's cousins got tortured to death.
[00:01:44.040 --> 00:01:50.459]  Of course, the public doesn't know about that because, you know, the public watches corporate media and doesn't put the big boy pants on.
[00:01:51.379 --> 00:01:53.540]  But, you know, Trump seized the Panama Canal.
[00:01:53.980 --> 00:01:58.159]  I mean, it's just Trump's totally destroyed the BRICS operation.
[00:01:58.159 --> 00:01:59.760]  The whole world's in line with us.
[00:02:01.060 --> 00:02:05.120]  And now all the globalists have left is starting a giant war.
[00:02:06.819 --> 00:02:14.560]  And I told you over a month ago, kind of big news, but of course the most important, incredible, stunning news, when I say it, no one cares.
[00:02:16.039 --> 00:02:20.759]  I post a video, it looks like Macron with cocaine, and it gets 100 million views over the weekend.
[00:02:21.719 --> 00:02:28.159]  But it's important, and they're obviously on drugs, and you can see it right there, but this stuff is important.
[00:02:28.879 --> 00:02:42.240]  Saudi Arabia just hit a $600 million investment deal in the U.S. And you've got all these other massive deals getting signed and huge peace deals very, very close happening.
[00:02:42.680 --> 00:02:44.520]  We've already won the trade war.
[00:02:44.780 --> 00:02:45.659]  China's capitulated.
[00:02:46.120 --> 00:02:48.180]  We put a 30% tariff on them.
[00:02:48.379 --> 00:02:50.039]  They put a 10% on us.
[00:02:50.680 --> 00:02:55.300]  And the left is calling that a defeat when that's the first tariff he came out with.
[00:02:55.479 --> 00:02:57.680]  And he said, if you escalate, I'll go up.
[00:02:57.979 --> 00:03:04.379]  They escalated, so they escalated, and then they capitulated in just a couple months, but less than a month.
[00:03:05.759 --> 00:03:13.960]  But if you tell the average green-haired, purple-haired demon liberal, well, they would think that everything is just completely falling apart.
[00:03:15.020 --> 00:03:21.199]  But that's not the big takeaway, and I'm going to launch the full transmission when all of our 400-plus stations join us.
[00:03:21.199 --> 00:03:23.039]  We've got a break here in about a minute and a half.
[00:03:23.789 --> 00:03:44.590]  We'll go to break for 60 seconds and join them, so get ready, because I am so fired up and so excited about what's happening and going on that I am, quite frankly, frustrated that my fellow humans, on average, do not understand how historical this is.
[00:03:44.689 --> 00:03:46.430]  I mean, this is wild.
[00:03:47.409 --> 00:03:51.669]  And I thought humanity would rally against the globalists and we'd have a long, protracted battle.
[00:03:51.789 --> 00:03:54.849]  And then we've still got big issues and there's technology issues and AI.
[00:03:55.069 --> 00:04:09.710]  I mean, I'm not saying we're headed for a cakewalk here, but the ridiculous, globalist, dandruff-covered Rothschild-Rockefeller system is in ashes.
[00:04:10.930 --> 00:04:15.729]  And what you see coming into the vacuum is everybody else who just wants to have laissez-faire success.
[00:04:16.430 --> 00:04:20.069]  And go to space and get life extension that's already there and free energy.
[00:04:20.250 --> 00:04:22.449]  And you're seeing the beginning of that.
[00:04:22.610 --> 00:04:29.490]  And I'm telling you, once Trump stabilizes the planet, they're going to roll out all of these new advanced technologies that they've got on record.
[00:04:31.009 --> 00:04:32.949]  And it's just going to be amazing.
[00:04:33.870 --> 00:04:34.889]  It's going to be amazing.
[00:04:36.329 --> 00:04:38.949]  But not if Netanyahu has his way.
[00:04:39.189 --> 00:04:44.689]  No, he's announced the total destruction of Gaza and even uses those words to piss everybody off.
[00:04:45.160 --> 00:04:47.100]  to blow up this global peace deal.
[00:04:47.100 --> 00:04:51.020]  Benjamin Yennyahu, the baby antichrist.
[00:04:51.020 --> 00:04:51.770]  We'll be right back.
[00:04:51.789 --> 00:04:59.838]  Better than he used to be.
[00:04:59.838 --> 00:05:00.910]  It's all right.
[00:05:00.920 --> 00:05:13.819]  Coming to you, my friends, from deep in the heart of Texas, broadcasting worldwide, I am your host, Alex Jones.
[00:05:14.480 --> 00:05:17.439]  I'm very honored and pleased to be here with you today.
[00:05:20.060 --> 00:05:23.720]  Now, here we are.
[00:05:25.300 --> 00:05:30.019]  And I hear this all the time.
[00:05:30.019 --> 00:05:31.379]  I see this all the time.
[00:05:31.560 --> 00:05:35.839]  I talk to other talk show hosts all the time, and they say, yeah, today's been a slow news day.
[00:05:35.839 --> 00:05:37.040]  What are you going to cover?
[00:05:37.920 --> 00:05:41.360]  And I'm like, what planet are you on, Jack?
[00:05:42.540 --> 00:05:44.579]  There's never a slow news day.
[00:05:44.759 --> 00:05:48.480]  I can't even get to 10% of the insane, crazy town stuff.
[00:05:48.660 --> 00:05:51.120]  The good stuff, the bad stuff, the ugly stuff.
[00:05:51.720 --> 00:05:54.240]  I mean, it is redonkulous.
[00:05:58.339 --> 00:06:10.319]  So there's a ton of just over-the-top, stunning scientific developments, tyranny attempts, open global government martial law plans out in the open.
[00:06:11.079 --> 00:06:15.579]  The Democrats trying to still push that agenda when it's all failing.
[00:06:17.139 --> 00:06:22.119]  They're flailing around insanely everywhere.
[00:06:22.119 --> 00:06:28.218]  They're flailing around insanely everywhere.
[00:06:28.220 --> 00:06:31.560]  The scientific developments are just over the top.
[00:06:32.019 --> 00:06:34.779]  But here's the big news.
[00:06:37.100 --> 00:06:43.779]  Benjamin Netanyahu is A globalist.
[00:06:44.759 --> 00:06:47.459]  And Benjamin Netanyahu is a neocon.
[00:06:48.000 --> 00:06:53.819]  And Benjamin Netanyahu knows that the old order is falling apart.
[00:06:54.120 --> 00:07:02.779]  The kleptocratic, warmongering, cancerous conquest system.
[00:07:03.439 --> 00:07:11.120]  When we've got unlimited technology and resources and just an amazing future, if we stop...
[00:07:13.409 --> 00:07:18.110]  The savage caveman behavior.
[00:07:22.990 --> 00:07:24.889]  Emergency Tuesday broadcast.
[00:07:25.170 --> 00:07:36.290]  Desperate to block Trump's successful global peace initiative, Netanyahu has announced a massive full force, quote, military invasion of Gaza after Trump stopped Israel's Iran war plans.
[00:07:36.870 --> 00:07:38.250]  Things are moving fast.
[00:07:38.370 --> 00:07:42.610]  Tune in now and share this link at realalashodesonx and infowars.com forward slash show.
[00:07:42.939 --> 00:07:47.560]  And be sure to follow the backup acts of the Auctions Network at AJNLive.
[00:07:47.920 --> 00:07:50.060]  At AJNLive.
[00:07:50.259 --> 00:07:52.439]  The coordinates of the resistance.
