[00:00:01.320 --> 00:00:03.700]  Other networks lie to you about what's happening now.
[00:00:04.120 --> 00:00:06.940]  Infowars tells you the truth about what's happening next.
[00:00:07.759 --> 00:00:12.679]  Visit Infowars.com forward slash show and support the Infowars.
[00:00:14.759 --> 00:00:25.379]  It is Friday, January 17th, 2025. We are three days out from the inauguration of President Trump and this massive defeat of the globalists.
[00:00:26.640 --> 00:00:36.479]  And there is just massive hype going on in corporate media, but also a lot of Trump supporters are really, really concerned and are not going to the inauguration.
[00:00:36.479 --> 00:00:43.579]  And a bunch of top Democrats have said, like Nancy Pelosi and Big Mike, that they are not going to be going.
[00:00:44.380 --> 00:00:47.299]  And there's a lot of talk about terror attacks.
[00:00:47.299 --> 00:00:50.100]  And the FBI has put out alerts saying they think it's a big target.
[00:00:50.619 --> 00:00:51.939]  That was a few days ago.
[00:00:52.100 --> 00:00:55.219]  Well, now it's been reported by CBS News.
[00:00:56.200 --> 00:01:09.040]  There in D.C. that you've got the different federal agencies that are over the nuclear stockpiles and the rest of it flying around looking for dirty bomb material or even nuclear weapons.
[00:01:10.159 --> 00:01:18.000]  Now, I'm not saying that the globalists are going to hit this with a tactical nuclear weapon and blame it on Iran.
[00:01:18.200 --> 00:01:23.359]  But I have been saying for months and months if Trump won and if Trump became...
[00:01:25.330 --> 00:01:36.109]  President-elect that they're crazy enough that they can get away with it to get a nuke close to Trump and just take out even their own people in the government.
[00:01:36.290 --> 00:01:40.909]  Because those are just a bunch of puppets because they'll take out Trump's key people.
[00:01:41.950 --> 00:01:45.469]  So they call that pawn sacrifice.
[00:01:45.870 --> 00:01:48.150]  So I'm not saying that's going to happen.
[00:01:48.829 --> 00:01:53.269]  Though just minutes ago, because of the...
[00:01:53.200 --> 00:02:01.579]  Record cold weather, the coldest since the mid-1980s, they're saying, is forecast, that they're now moved the inauguration indoors.
[00:02:02.299 --> 00:02:09.080]  Trump inauguration to be moved indoors due to cold temperatures, CNN is now reporting.
