# Transcription model: large-v3-turbo
[00:00:05.099 --> 00:00:06.759]  You're now entering.
[00:00:06.759 --> 00:00:12.208]  *Song*
[00:00:12.220 --> 00:00:18.059]  From the front lines of the Information War, it's Alex Jones.
[00:00:18.059 --> 00:00:23.190]  Satan, set the broken century to.
[00:00:23.199 --> 00:00:25.519]  Ladies and gentlemen...
[00:00:26.120 --> 00:00:28.219]  Thank you so much for joining us.
[00:00:28.500 --> 00:00:35.600]  We are 61 days, about to be 62, into the return of the American Republic.
[00:00:35.600 --> 00:00:39.960]  It is Saturday, March 22nd, 2025.
[00:00:40.240 --> 00:00:48.960]  I am your host, Alex Jones, coming to you from the backup Alex Jones Network Studios in South Austin, transmitting worldwide.
[00:00:49.359 --> 00:00:54.619]  Every day is an important broadcast, but each day that moves forward, they just get more intense and more important.
[00:00:55.179 --> 00:01:08.239]  We have the Democratic Party continuing to admit, and more and more signs confirming it, that they are an absolute total freefall off the edge of a cliff, splintering, dead as a political force.
[00:01:08.599 --> 00:01:11.799]  These are the words they're using about themselves.
[00:01:12.500 --> 00:01:23.659]  And I've talked about when a two-party system, when one party finally dies, and it's the oldest party in the country, 240-plus years old, generally one of the parties that's dying will split in two.
[00:01:24.359 --> 00:01:32.620]  Or the party that's dominating, later there'll be issues once the other party dies, and the big party, the dominant populist party, will then split in two.
[00:01:32.879 --> 00:01:36.400]  But what's happening is the Democrats are splitting in two very, very quickly.
[00:01:36.400 --> 00:01:50.079]  This would normally take a decade or so for it to be evident, but because things are so compressed now, the acceleration of time and space and the world being so small because of accelerated communications and transportation, it is just amazing.
[00:01:50.079 --> 00:01:53.700]  So we've got that huge area right here.
[00:01:56.180 --> 00:01:58.060]  We'll give you an overhead shot of that.
[00:01:58.560 --> 00:02:01.319]  Then we have what I've been telling you for months.
[00:02:01.560 --> 00:02:06.159]  NATO is now admitting that they are basically dead.
[00:02:06.959 --> 00:02:09.460]  And what are the ramifications of that?
