# Transcription model: nvidia/parakeet-tdt-0.6b-v2, and large-v3-turbo
[00:00:08.800 --> 00:00:11.560]  InfoWars, tomorrow's news today.
[00:00:11.560 --> 00:00:25.429]  Well, as I told you, in the last really six months every day, we have the clubs.
[00:00:25.440 --> 00:00:38.000]  James Comey would be the first to be indicted, followed by Letitesa James, then Brennan Clapper, Jack Smith, Fannie Willis.
[00:00:39.600 --> 00:00:45.359]  This is not the Don's revenge like the Democrats are saying.
[00:00:46.240 --> 00:00:54.960]  These people have been at war with this country, at war with law and order, at war with our very sovereignty, at war with Christianity.
[00:00:55.600 --> 00:00:57.679]  They have been dismantling everything.
[00:00:58.320 --> 00:01:00.240]  They have been cutting off our energy supplies.
[00:01:00.399 --> 00:01:06.480]  They have been cutting off the police and basic fire services and burning down our cities and power grabbing them.
[00:01:07.120 --> 00:01:24.079]  They are a wall of censoring, bullying crooks that have fostered violence and political assassination and anti-Soros-funded terror gangs.
[00:01:26.000 --> 00:01:32.400]  And they celebrate censorship and their lawfare.
[00:01:36.240 --> 00:01:39.359]  They are the ones that weaponized everything.
[00:01:39.680 --> 00:01:52.560]  Unlike the attacks on myself and General Flynn and President Trump and countless other people, they actually have committed crimes out in the open.
[00:01:53.519 --> 00:02:05.519]  Just in the cases against me, it is totally coordinated by Democrats and the DOJ, multi-administrations, continuing on when Trump was executing control of the Justice Department then.
[00:02:05.600 --> 00:02:07.200]  He's got partial control now.
[00:02:08.080 --> 00:02:09.120]  And we have all the documents.
[00:02:09.280 --> 00:02:12.319]  When I say all, I'm sure there's a lot more, but we have it all.
[00:02:16.800 --> 00:02:21.759]  They are on us, beating us to death politically, culturally, spiritually, economically.
[00:02:22.080 --> 00:02:24.319]  We're just trying to get them off of us.
[00:02:25.520 --> 00:02:33.039]  And I told you, Trump is going to remove anybody and everybody that doesn't indict these people.
[00:02:33.680 --> 00:02:37.439]  The grand juries have been indicting all over the country.
[00:02:37.759 --> 00:02:50.879]  Then the U.S. attorneys who act like they're patriots, claim they're Republicans, go, oh, actually, we recommend we don't do this, and then try to keep it secret from their superiors.
[00:02:51.120 --> 00:02:52.640]  And that's what's going on.
[00:02:52.960 --> 00:03:11.039]  It's what happened in the last few weeks in Virginia, where according to eyewitnesses during these grand juries, these prosecutors act like they're the defense team in front of the grand jury.
[00:03:11.360 --> 00:03:14.319]  And the grand juries are still indicting people.
[00:03:16.480 --> 00:03:17.920]  So that's what's going on.
[00:03:18.480 --> 00:03:21.680]  This isn't like the bull of the first administration.
[00:03:21.840 --> 00:03:24.960]  I told you it was bull about all these secret grand juries and sealed indictments.
[00:03:25.039 --> 00:03:27.599]  On and on, no, no, no, no, no, no, no, that didn't go on.
[00:03:27.920 --> 00:03:29.520]  These are real grand juries.
[00:03:29.680 --> 00:03:32.480]  We know where they're convened and we know what's going on.
[00:03:35.280 --> 00:03:37.840]  And boy, do the Democrats look scared now.
[00:03:38.159 --> 00:03:48.800]  Oh, and Hakeem Jeffries, the Democrat leader in the House and his counterpart, Limenthal in the Senate.
[00:03:49.039 --> 00:03:53.439]  Limenthal came out and threatened everybody and said, we're going to put y'all in prison and come after y'all and we get in.
[00:03:53.759 --> 00:03:55.360]  Well, you already did that, Jack.
[00:03:56.240 --> 00:04:04.319]  You already started it in that law firm out of Connecticut that's up to its eyeballs and everything.
[00:04:06.560 --> 00:04:12.640]  So just continue on with your bullying, always thinking you're invincible, always thinking you had a free hand with the American people.
[00:04:12.640 --> 00:04:14.520]  Just continue to.
[00:04:14.588 --> 00:04:16.228]  I'm going to play something to you.
[00:04:16.240 --> 00:04:18.720]  The universe is a two-way street.
[00:04:19.360 --> 00:04:32.879]  And you push long enough and hard enough and attack enough innocent people and lie about us and silence us and then misrepresent who we are and use the straw man you build to raise all the fundraising money for you while you play victim.
[00:04:33.519 --> 00:04:36.319]  There is a God, even though you people don't believe it.
[00:04:37.199 --> 00:04:40.240]  And I know you will face justice.
[00:04:41.439 --> 00:04:42.079]  You will.
[00:04:43.040 --> 00:04:49.680]  You will be nonviolently, politically, legally, lawfully cut down.
[00:04:52.320 --> 00:05:05.840]  I don't know how all this is going to end, but if the globalists and their devil-worshipping pedophile armies want to fight, they better believe they've got one.
[00:05:08.800 --> 00:05:15.139]  We are entering the 249th day of the return of the American Republic.
