# Transcription model: nvidia/parakeet-tdt-0.6b-v2, sat-12l-sm, and large-v3-turbo
# Transcript cleaned with version 0.1.2
# Source MD5: a23bf4b0a482f14c0e2864bd70b6756b
[00:00:03.040 --> 00:00:04.240]  It's Sunday night.
[00:00:04.400 --> 00:00:09.839]  I'm coming to you from deep in the heart of Texas, December 7th, 2025.
[00:00:10.400 --> 00:00:11.359]  Stab yourselves in.
[00:00:11.439 --> 00:00:12.960]  It's one hell of a live transmission.
[00:00:13.040 --> 00:00:14.320]  It's shareless live feeds.
[00:00:14.960 --> 00:00:17.640]  InfoWars, tomorrow's news today.
[00:00:44.800 --> 00:00:51.200]  I am your host, Alex Jones, and I have massively prepared for tonight's transmission.
[00:00:51.439 --> 00:00:54.320]  Let me be as judicious as I can to get to all this.
[00:00:56.160 --> 00:01:03.120]  From my military sources, and Trump could change his mind, but they've been told prepare for imminent strikes.
[00:01:03.440 --> 00:01:06.000]  I mean, the next 48 hours on Venezuela.
[00:01:06.239 --> 00:01:10.000]  So we'll be looking at that, and they're moving the carriers and everything in really close.
[00:01:10.560 --> 00:01:13.760]  We're going to be hitting that, obviously.
[00:01:14.400 --> 00:01:23.600]  Big developments across the board with Trump at the Supreme Court and the federal courts winning on dozens of fronts in the last few days.
[00:01:24.239 --> 00:01:24.719]  Here's one.
[00:01:24.960 --> 00:01:30.480]  Supreme Court allows Texas redistricting reps Al Green and Jasmine Crockett lose their house seats.
[00:01:30.560 --> 00:01:31.680]  That's sweet.
[00:01:32.320 --> 00:01:35.040]  So, I mean, there's so much.
[00:01:36.000 --> 00:01:40.640]  Then you've got Elon Musk going to full war with the EU.
[00:01:41.040 --> 00:01:46.480]  And it's not just because they find him 140-plus million euros for allowing free speech in America.
[00:01:46.640 --> 00:01:48.079]  They think they control our speech, literally.
[00:01:48.400 --> 00:01:49.519]  I have them openly saying it.
[00:01:50.240 --> 00:01:53.680]  It's because they're an unelected dictatorship, the EU Commission.
[00:01:54.640 --> 00:01:57.519]  And so he's saying that the EU should be dismantled.
[00:01:57.680 --> 00:02:01.280]  And I've been saying that for decades, but now it's front and center.
[00:02:01.600 --> 00:02:02.799]  You've got Trump talking about it.
[00:02:02.960 --> 00:02:04.400]  You've got all these senators.
[00:02:04.560 --> 00:02:07.120]  I mean, we're really calling out the elephant in the room.
[00:02:07.439 --> 00:02:08.479]  We're going to be looking at that.
[00:02:08.800 --> 00:02:13.039]  Trump files for divorce from NATO over Ukraine.
[00:02:13.840 --> 00:02:20.960]  That ties into a whole bunch of other geopolitical developments that are moving very, very, very fast.
[00:02:22.479 --> 00:02:26.560]  Then we've got the issue of the Somalis.
[00:02:27.840 --> 00:02:35.920]  I worked for the GCN Radio Network for 26, seven years, and that's who syndicated my show.
[00:02:36.000 --> 00:02:37.759]  They've since closed for all the Democrat lawsuits.
[00:02:37.840 --> 00:02:39.280]  They couldn't survive.
[00:02:39.920 --> 00:02:42.319]  And so they were headquartered in Minneapolis.
[00:02:42.960 --> 00:02:49.759]  And so even before, I mean, back when it was 10,000 Somalis, 20,000, 50,000, 80,000, I've been up there 15, 20 times.
[00:02:50.080 --> 00:02:54.240]  And they are rude and they are in your face, whether you're black or white.
[00:02:54.560 --> 00:03:00.000]  And now there's all these videos of blacks in Minneapolis saying, listen, these people are crooks and jerks.
[00:03:00.319 --> 00:03:05.840]  By the way, you know, the main Somali tribe that rules it doesn't see themselves as black because they're slavers, folks.
[00:03:06.400 --> 00:03:10.560]  Just a side issue, but now the investigators have come back.
[00:03:10.879 --> 00:03:16.000]  They've got convictions on $2 billion in stolen stuff through three scams.
[00:03:16.640 --> 00:03:23.280]  Now it's up to $8 billion they've discovered just since they really started focusing on it last week with the Doge type investigators.
[00:03:23.599 --> 00:03:25.439]  So we've got to first look at that.
[00:03:26.000 --> 00:03:28.400]  This is going to bring down Ilhan Omar and all these people.
[00:03:28.640 --> 00:03:41.200]  And it really illustrates how the Democrat Party, the NGOs, but also the left in Europe brings in these criminal groups, these known organized crime type groups, and then sets up shop with them.
[00:03:41.360 --> 00:03:49.360]  But you better know, it's up the chain, Democrats like Tim Walz and those above him that are really getting the money.
[00:03:50.400 --> 00:03:59.600]  So, the Somali ruling tribe they brought in, that's just this one tribe, they discriminate against all the other ones, they're brought in because they'll play ball the Democrats.
[00:03:59.920 --> 00:04:09.680]  It's like in India: 71% of all of the quote skilled H-1B visas in the U.S. are from India for the last 30 years.
[00:04:10.320 --> 00:04:21.280]  And the vast majority of those was that over 90% come from one province that is a special tribe and a mafia.
[00:04:22.160 --> 00:04:24.080]  And it's all run by a mafia system.
[00:04:24.240 --> 00:04:27.439]  Like, you think of mafia only being the Italians or, you know, ooh, the Sicilians.
[00:04:27.600 --> 00:04:29.040]  And yeah, that's what that is.
[00:04:29.840 --> 00:04:31.840]  This makes them look tame in comparison.
[00:04:32.160 --> 00:04:36.720]  And then the Democrats and other globalists around the world set up special deals with these mafias.
[00:04:37.280 --> 00:04:38.720]  That's how this works.
[00:04:39.360 --> 00:04:40.560]  So we're going to be getting into all that.
[00:04:40.720 --> 00:04:42.960]  I mean, there's so many huge developments there.
[00:04:43.920 --> 00:04:45.280]  Just massive transmission.
[00:04:45.360 --> 00:04:46.720]  Remember, you're the Paul Revere's.
[00:04:46.879 --> 00:04:49.280]  Take a live feed on exit Railog Shows and share it.
[00:04:49.439 --> 00:04:51.199]  Take a live feed from Infowars.com.
[00:04:51.439 --> 00:04:52.080]  Work slash show.
[00:04:52.240 --> 00:04:52.480]  Share it.
[00:04:52.560 --> 00:04:54.480]  The feed from Rumble, the live feed, and share it.
[00:04:54.639 --> 00:04:55.360]  You have all the power.
[00:04:55.600 --> 00:04:56.240]  I salute you.
[00:04:56.319 --> 00:04:57.139]  Please take action now.
[00:04:57.299 --> 00:04:57.698]  Paul Revere.
[00:04:58.019 --> 00:05:15.658]  And a good time raising from the grave.
[00:05:16.319 --> 00:05:18.879]  String band playing more at Honky Tonks.
[00:05:19.120 --> 00:05:41.680]  a young thing going dancing in the rain a lady spitting at the knickerjacks business man with a needle and a spoon Coyote chewing on a cigarette pack of young boys going howling at the moon.
[00:05:42.000 --> 00:05:44.639]  Head Darn slipping on the black top.
[00:05:44.960 --> 00:05:45.439]  Head Darn.
[00:05:45.840 --> 00:05:48.480]  Ladies and gentlemen, it's Sunday, December 7th, 2025.
[00:05:49.759 --> 00:05:55.600]  That means it's the anniversary of December 7th, 1941.
[00:05:57.200 --> 00:06:05.279]  A day that will live in infamy, the attack on Pearl Harbor by the Imperial Empire of Japan.
[00:06:08.160 --> 00:06:12.399]  The only thing we have to fear is fear itself.
[00:06:13.680 --> 00:06:19.680]  And Admiral Yamamoto, after the attack happened, wrote back to the emperor and to his wife through separate letters.
[00:06:20.000 --> 00:06:23.120]  I fear we have awoken the sleeping giant.
[00:06:26.560 --> 00:06:32.879]  Well, the globalists have awoken the terrible giant of the West.
[00:06:33.759 --> 00:06:38.480]  Thank you so much for joining us on this live Sunday transmission.
[00:06:39.120 --> 00:06:39.759]  All right.
[00:06:41.279 --> 00:06:45.440]  Elon Musk has gone totally to war with the EU and the globalists.
[00:06:45.759 --> 00:06:48.879]  And he did this really starting about four years ago.
[00:06:49.200 --> 00:06:56.800]  And he has been the game changer, the MVP in all of this.
[00:06:57.120 --> 00:07:10.800]  And he has spent billions of dollars in Europe, in Latin America, in the U.S., in Canada, everywhere in the U.K., battling ultra-hardcore tyranny.
[00:07:15.279 --> 00:07:27.120]  Did you know in Ireland, if you are a school teacher and you refuse to use someone's pronouns, they will put you in prison for life?
[00:07:27.440 --> 00:07:28.720]  That just happened.
[00:07:32.560 --> 00:07:40.000]  Did you know everything happening in Europe and Ireland and Scotland and England is all run by the same globalist NGOs and they want to do it all here.
[00:07:42.720 --> 00:07:49.759]  So don't just think that President Trump is able to stop this all himself.
[00:07:50.080 --> 00:07:54.880]  This is a big deal that we are facing.
[00:07:59.040 --> 00:08:03.280]  So, yeah, they spin it as indefinitely, but what they're saying is rest is life.
[00:08:04.560 --> 00:08:13.040]  If you talk about how they have the same problem in Ireland, Somalis raping women, 10 years in prison.
[00:08:13.360 --> 00:08:30.560]  By the way, I have six or seven clips of Somalis raping people in Tennessee, Maine, Minnesota, you name it, just today and being let out after previous rapes.
[00:08:32.720 --> 00:08:35.120]  And the judges say it's just their culture.
[00:08:37.279 --> 00:08:42.240]  By the way, they say the same thing in Germany and Sweden and the UK.
[00:08:42.560 --> 00:08:50.480]  You criticize a Somali or a Pakistani raping somebody, you go to prison.
[00:08:51.120 --> 00:09:11.759]  Though I have a BBC documentary with the former president who tried to reform Pakistan Khan admitting that upwards of 80% of boys and girls are raped in Pakistan and then it must stop.
[00:09:12.080 --> 00:09:14.320]  But he can say it because he's Pakistani.
[00:09:14.639 --> 00:09:16.080]  We can't say it.
[00:09:18.560 --> 00:09:22.560]  And by the way, it's from key districts in Pakistan that this goes on.
[00:09:22.879 --> 00:09:25.200]  And who do you think the groups are colonizing us?
[00:09:25.440 --> 00:09:31.680]  The key districts in India, the key districts in Pakistan, the key districts from Somalia.
[00:09:32.000 --> 00:09:34.080]  We don't just have Somalians here.
[00:09:34.400 --> 00:09:43.279]  We have the ruling clan that's been in control off and on for hundreds of years, thousands overall, and believe they're royalty.
[00:09:43.440 --> 00:09:44.400]  Go read their sites.
[00:09:44.560 --> 00:09:45.680]  That's why they all look the same.
[00:09:45.920 --> 00:09:47.840]  You actually go look at the different types of Somalis.
[00:09:47.920 --> 00:09:48.879]  There's documentaries about it.
[00:09:48.960 --> 00:09:50.400]  They don't even, they look like Africans.
[00:09:50.720 --> 00:09:53.360]  They don't look like mutants with crazy eyes.
[00:09:53.680 --> 00:09:55.279]  That's because they're inbred, folks.
[00:09:56.000 --> 00:10:02.080]  What you think of as a Somali is the ruling clan of pirates and slavers.
[00:10:02.240 --> 00:10:11.519]  Elon Omar's father was the king of it, the ruler, the Marjitan clan.
[00:10:13.040 --> 00:10:13.920]  But a side issue.
[00:10:14.000 --> 00:10:15.120]  I'm going to get to that later.
[00:10:15.440 --> 00:10:19.400]  I could literally fill the entire next three hours up just with Somalis raping people.
[00:10:24.879 --> 00:10:29.600]  And when you see the extreme arrogance of these people, this isn't even Somalis, folks.
[00:10:30.320 --> 00:10:32.560]  I have all these Somali professors.
[00:10:33.200 --> 00:10:36.000]  I have all these Somali research authors.
[00:10:36.080 --> 00:10:37.040]  I have all these clips.
[00:10:37.120 --> 00:10:37.600]  I just came across.
[00:10:37.840 --> 00:10:40.320]  I already knew all this, but now it's getting out there.
[00:10:40.640 --> 00:10:42.000]  And these, by the way, these people don't look inbred.
[00:10:42.080 --> 00:10:43.600]  These are like handsome black people.
[00:10:44.560 --> 00:10:47.200]  And they're from Somalia, but they're actually black people.
[00:10:47.519 --> 00:10:49.519]  They're not like just mixed with Arabs or whatever.
[00:10:49.840 --> 00:10:52.400]  And they're not inbred because they're not, quote, royal.
[00:10:53.040 --> 00:10:55.680]  So you don't have all the weird deformities of inbreeding.
[00:10:56.000 --> 00:10:58.400]  And they explain that they're seen as subhuman.
[00:10:58.720 --> 00:11:06.640]  That's why when black people go to Minnesota, and I've got all these clips as well, or move there, they're like, what the hell's up with these Somalis?
[00:11:06.800 --> 00:11:13.440]  They literally come over and call black people the African equivalent of N-word because then they say we're not black.
[00:11:14.879 --> 00:11:21.120]  I mean, these people, and of course, in Somalia, the ruling clan loves Hitler.
