# Transcription model: nvidia/parakeet-tdt-0.6b-v2, and large-v3-turbo
[00:00:04.320 --> 00:00:10.160]  It's Saturday, August 2nd, 2025.
[00:00:11.200 --> 00:00:24.080]  I am your host, Alex Jones, your chronicler, coming to you from the Alex Jones Network backup studios as the Democratic Party and their DOJ stay behind continue to close our operations.
[00:00:24.400 --> 00:00:28.560]  There is a meeting in Pittsburgh Gamble around the Texas HBO show trials.
[00:00:29.039 --> 00:00:37.119]  The 13th, the power of the receivers is appointed to seize the building with Travis County Sheriff's Deputies.
[00:00:38.000 --> 00:00:40.240]  We're in federal court trying to block that.
[00:00:40.560 --> 00:00:42.240]  That's how close we are.
[00:00:42.880 --> 00:00:46.719]  I get complimented on the street and by other talk show hosts constantly.
[00:00:47.039 --> 00:00:49.280]  We've seen it on Steve Band and show many others.
[00:00:49.359 --> 00:00:50.399]  Congratulations, beating them.
[00:00:50.560 --> 00:00:52.480]  I'm like, no, I wish that was the case.
[00:00:52.800 --> 00:00:57.200]  Just want everybody to know that your support is absolutely vital, your word of mouth and your prayers.
[00:00:58.399 --> 00:01:05.120]  Okay, the news was so important today that I went ahead and came in and did this live show that I already had scheduled.
[00:01:05.200 --> 00:01:06.159]  And I'm not complaining.
[00:01:06.239 --> 00:01:12.799]  I just want you to know that I am getting in better shape, but I'm not in great shape yet.
[00:01:13.680 --> 00:01:22.320]  I did an eight-mile, pretty fast hike with Ian Carroll, who's like eight feet tall and a long-distance marathon runner, and Sean Johnson, who's a Navy SEAL, former trainer.
[00:01:22.640 --> 00:01:24.879]  And it was really hot today.
[00:01:25.120 --> 00:01:28.079]  We did about an eight-mile hike, which I know is not a big deal for most people.
[00:01:28.159 --> 00:01:28.960]  And I do them all the time.
[00:01:29.120 --> 00:01:29.519]  I feel fine.
[00:01:29.600 --> 00:01:33.200]  I got a little heat exhaustion and I'm a little dizzy.
[00:01:33.519 --> 00:01:37.439]  And so if I come off a little bit slow here today, it's not drinking.
[00:01:37.920 --> 00:01:40.960]  I'm just pretty exhausted, but I'm here.
[00:01:41.519 --> 00:01:44.480]  The news is important, but I want you to know if I'm a little bit sluggish.
[00:01:46.640 --> 00:01:47.200]  That is the case.
[00:01:47.280 --> 00:01:48.719]  But Crew's already here, ready to go.
[00:01:49.040 --> 00:01:54.000]  And so we are doing it at least for an hour and a half or so because the news is obviously really, really important.
[00:01:54.159 --> 00:01:55.439]  Thank you so much for tuning in.
[00:01:55.760 --> 00:01:57.519]  Remember, you're the Paul Revere's.
[00:01:57.840 --> 00:02:08.240]  If you're watching this on Real Alex Jones on X or on Rumble, please be sure and share the live feed on your email list, your text message, your friends, neighbors, family, and others, and tell them to share the link as well.
[00:02:08.400 --> 00:02:10.080]  That completes the chain reaction.
[00:02:10.400 --> 00:02:16.719]  Okay, here's the big 35,000-foot view, and then I'll get into all the news.
[00:02:19.520 --> 00:02:34.960]  We knew there'd be a battle like there was in the first Trump administration with the different interests and the different lobbyists and the different people over keeping Trump on the right track to drain the swamp,
[00:02:35.039 --> 00:02:50.000]  restore the Republic, stop the war, secure the border, stabilize the economy, and then boost energy production, remove the DEI, the ESG, the transgender level of sabotage operation.
[00:02:50.319 --> 00:02:53.280]  And on many of those fronts, he's done a really good job on some.
[00:02:53.360 --> 00:02:54.960]  Things have gone sideways.
[00:02:55.280 --> 00:02:58.719]  And obviously, most of you get this and some people don't.
[00:02:59.360 --> 00:03:12.400]  We're here as the populist movement that brought Trump in to hold his feet to the fire, but more than that, to spotlight the different people in the administration and different groups that are getting things off track.
[00:03:13.039 --> 00:03:22.319]  There's a lot of newbies that have become Trump supporters that were Democrats previously, and they think you just slavishly support your party or your leaders, and you just sit down and shut up.
[00:03:22.480 --> 00:03:24.240]  No, that's not what we do.
[00:03:24.560 --> 00:03:30.000]  They run national headlines everywhere constantly that I've turned on Trump and think Trump's horrible and don't support Trump.
[00:03:30.159 --> 00:03:31.920]  That is not the case.
[00:03:32.240 --> 00:03:43.680]  I just want to be sure everybody's clear about that, that it's fundamental that not just myself, but all of you, when you have your moral compass and your ideas, the policies that you support and you think are right, that you stand up for those.
[00:03:44.879 --> 00:03:54.000]  Now, Trump, I know, does not like war and knows it's not good for society, especially with nuclear weapons.
[00:03:54.319 --> 00:03:56.960]  And we've been on the path towards total war with Russia.
[00:03:57.280 --> 00:04:00.480]  And he's overall tried to de-escalate that.
[00:04:01.439 --> 00:04:04.000]  But we've seen us dragged in with the Iran situation.
[00:04:04.240 --> 00:04:09.360]  And now Trump's very angry at Russia for not doing concessions, but neither is Ukraine.
[00:04:09.599 --> 00:04:12.800]  Their dictators, Zelensky, and NATO doesn't want any concessions.
[00:04:13.120 --> 00:04:15.280]  And so really, we're at a stalemate.
[00:04:15.840 --> 00:04:27.920]  And Trump has been making some very escalatory statements about 100% tariffs and about maybe giving long-range heavy missiles to Kyiv so they can start bombing Moscow.
[00:04:28.079 --> 00:04:29.920]  That is crazy.
[00:04:30.240 --> 00:04:32.240]  You also saw Operation Spiderweb.
[00:04:32.399 --> 00:04:33.759]  Clearly, we're working with the West.
[00:04:34.000 --> 00:04:40.319]  As far away as 4,000 miles from Ukraine, blowing up Russia's strategic nuclear bombers a few months ago.
[00:04:41.600 --> 00:04:43.199]  That was extremely escalatory.
[00:04:43.280 --> 00:04:47.040]  You had Biden and NATO blowing up the Nord Stream pipeline before that.
[00:04:47.360 --> 00:04:51.280]  And we have the West on Russia's borders moving weapons up against Russia.
[00:04:51.600 --> 00:04:55.680]  So when I say that's wrong, it's not an endorsement of everything Vladimir Putin and Russia does.
[00:04:56.000 --> 00:04:58.240]  It's the fact that the West is the aggressor.
[00:04:58.480 --> 00:05:01.840]  NATO and the EU admit their business plan is a 20-year war with Russia.
[00:05:02.000 --> 00:05:09.280]  They believe will stay conventional and will finally bankrupt Russia and break it into five pieces, which is a declaration of absolute war against Russia.
[00:05:09.840 --> 00:05:20.000]  So in general, I am very critical of the neocons and the Democrats at NATO that want war to continue and want to believe that Trump understands how existentially dangerous this is.
[00:05:20.080 --> 00:05:23.280]  He's said that many times and is doing the best job he can.
[00:05:24.240 --> 00:05:35.120]  Medieval is the former president of Russia and the former vice president, and he is on the big security council of Russia, the head of it, the co-head of it.
[00:05:35.439 --> 00:05:39.120]  And he has been making a lot of statements like, we'll just give nukes to Iran.
[00:05:39.280 --> 00:05:41.280]  And then we've got nuclear weapons.
[00:05:41.439 --> 00:05:42.160]  We can destroy you.
[00:05:42.400 --> 00:05:43.280]  You continue.
[00:05:43.840 --> 00:05:48.320]  We know that we're really at war with the U.S., which is true, but it's very escalatory.
[00:05:48.640 --> 00:05:57.520]  And so when Trump came out a few days ago, actually yesterday and said, fine, we'll put two nuclear submarines right up on your coast and have them ready to attack.
[00:05:59.439 --> 00:06:01.920]  Well, the submarines are already off their coast and already ready to attack.
[00:06:02.160 --> 00:06:03.040]  I already know that doctrine.
[00:06:03.120 --> 00:06:04.320]  It's not secret doctrine.
[00:06:04.639 --> 00:06:15.520]  I had a bunch of really informed people that have been on nuclear submarines and also operated ground-based nuclear missiles calling to concur with my analysis yesterday.
[00:06:15.680 --> 00:06:23.840]  If you want to see my analysis, and then the 45 minutes or so of callers calling in with their expertise, confirmed that my analysis was dead on.
[00:06:24.320 --> 00:06:35.280]  But that's very historical information, important for people that don't study warfare, nuclear warfare doctrine, mutually assured destruction policies and things like that.
[00:06:35.360 --> 00:06:37.759]  I've always found it fascinating my whole life.
[00:06:37.920 --> 00:06:38.879]  My dad found it fascinating.
[00:06:38.960 --> 00:06:41.120]  He started to educate me about it when I was about five years old.
[00:06:41.440 --> 00:06:45.520]  And I've kind of fought along as it's changed and followed the treaties and the different developments that have happened.
[00:06:45.600 --> 00:06:47.280]  But the U.S. is abandoned the treaties.
[00:06:47.440 --> 00:06:49.120]  Russia's abandoned the treaties.
[00:06:49.440 --> 00:07:16.240]  Russia's abandoned the treaties because in the last really 15 years, but getting more intense, NATO has taken over almost every country around Russia, former Soviet Union satellites, and have moved hypersonic nuclear-capable missiles up to the border that could vaporize Moscow in two minutes.
[00:07:16.480 --> 00:07:28.160]  And they could take out Russia's nuclear fields in just a few minutes because most of their systems are in the north and also in the west, obviously closer to the population center so they can deliver their payloads quicker.
[00:07:28.800 --> 00:07:31.519]  So all of this has been escalatory for decades.
[00:07:31.840 --> 00:07:37.759]  And the weakness of Russia invited NATO to encircle it.
[00:07:38.400 --> 00:07:45.600]  And now Russia is not in the weak position it was in 1991 and has the largest nuclear force in the world, admitted.
[00:07:45.840 --> 00:07:47.440]  I'm not sure that's really true.
[00:07:47.759 --> 00:07:49.840]  The U.S. likes to hide a lot of stuff, obviously.
[00:07:50.560 --> 00:07:51.680]  Russia, I'm sure, hid things.
[00:07:51.759 --> 00:07:58.160]  But on what's admittedly there, Russia has a three-to-one nuclear weapon capability.
[00:07:58.720 --> 00:08:02.160]  And the delivery they have is at least on par with us.
[00:08:02.480 --> 00:08:04.800]  So this is not a good thing.
[00:08:05.360 --> 00:08:18.480]  And in the doctrine, if things continue to escalate on the threat escalation ladder of the Pentagon and the similar think tanks, RAN Corporation, the Russians have a similar threat matrix, it leads to nuclear war.
[00:08:18.720 --> 00:08:24.080]  And any nuclear war, in almost every actuary war game, leads to total nuclear war.
[00:08:24.400 --> 00:08:28.000]  And so we talk a lot about this here on the broadcast because it's a big deal.
[00:08:28.320 --> 00:08:31.440]  And you remember Biden two years ago saying we can't give them F-16s and Abraham's tanks.
[00:08:31.519 --> 00:08:33.440]  That leads to World War III on the ladder.
[00:08:33.600 --> 00:08:38.320]  But we've already way past that on the threat escalation ladder.
[00:08:38.960 --> 00:08:48.639]  And if you don't know what that is, just type in RAN Corporation or Pentagon threat escalation ladder, and you can see the different ones.
[00:08:49.120 --> 00:08:53.680]  Now, a simple one for nuclear deployment is the DEFCON levels.
[00:08:53.759 --> 00:08:56.240]  And Russia and China all have similar systems.
[00:08:56.560 --> 00:09:00.400]  DEFCON 5, fade-out, normal, lowest state.
[00:09:00.720 --> 00:09:04.879]  Double take, above normal, Intel Watch, increased security measures strengthened.
