# Transcription model: nvidia/parakeet-tdt-0.6b-v2, sat-12l-sm, and large-v3-turbo
# Transcript cleaned with version 0.1.2
# Source MD5: 7ca39dce983dd5d04287cde703047ecb
[00:00:15.359 --> 00:00:18.000]  InfoWars, tomorrow's news, today.
[00:00:20.879 --> 00:00:27.760]  When I grow up, I want to restore the American Republic and crush all enemies of humanity's future.
[00:00:27.920 --> 00:00:28.719]  That's today.
[00:00:29.679 --> 00:00:39.840]  We now take you live to the Central Texas Command Center in the heart of the resistance, robbing patriots worldwide.
[00:00:40.160 --> 00:00:42.560]  I am your host, Alex Jones.
[00:00:47.520 --> 00:00:53.679]  We now take you live to the Central Texas Command Center in the heart of the resistance.
[00:00:54.000 --> 00:00:56.160]  You're listening to Alex Jones.
[00:00:59.920 --> 00:01:03.120]  Last night, the little robot put me in age.
[00:01:03.920 --> 00:01:06.239]  Sweet free coming was doing her.
[00:01:07.439 --> 00:01:08.879]  She had the whole show.
[00:01:09.120 --> 00:01:10.799]  And that's a natural face.
[00:01:12.079 --> 00:01:14.719]  Live all now with KK.
[00:01:16.079 --> 00:01:18.960]  I got to tell you how good is this thing.
[00:01:19.920 --> 00:01:21.200]  Smooth ladies.
[00:01:21.760 --> 00:01:22.640]  Keep me right.
[00:01:23.600 --> 00:01:25.519]  As long as we can make it to the end.
[00:01:25.760 --> 00:01:26.960]  We're an American band.
[00:01:28.560 --> 00:01:29.600]  We're America first.
[00:01:31.120 --> 00:01:31.680]  And we're coming.
[00:01:33.040 --> 00:01:34.079]  And we're unstoppable.
[00:01:34.239 --> 00:01:35.439]  We're coming to your town.
[00:01:36.079 --> 00:01:36.799]  Minnesota.
[00:01:37.359 --> 00:01:38.320]  California.
[00:01:38.640 --> 00:01:39.760]  Washington, New York.
[00:01:40.400 --> 00:01:41.840]  We're going to free this republic.
[00:01:43.920 --> 00:01:47.920]  Well, we're on the 342nd day of the return of President Trump.
[00:01:48.240 --> 00:01:50.640]  And the fireworks just get more and more intense.
[00:01:50.960 --> 00:01:52.960]  And we're a long way out from the finale.
[00:01:54.719 --> 00:01:57.600]  All right, ladies and gentlemen, we've got a transmission for you.
[00:01:57.920 --> 00:02:00.079]  I know a kill shot when I see one.
[00:02:00.400 --> 00:02:02.320]  I can smell the blood.
[00:02:02.640 --> 00:02:04.799]  I can see it politically in the water.
[00:02:05.439 --> 00:02:09.360]  And he's a big fan of the show, and he's going to probably be on tomorrow.
[00:02:09.920 --> 00:02:16.479]  The incredible Nick Shirley in Minnesota has just devastated.
[00:02:17.120 --> 00:02:22.319]  His reports just on X alone have in the last day 150 million views.
[00:02:22.640 --> 00:02:23.680]  One has 90 million.
[00:02:23.759 --> 00:02:27.120]  The other is another 60 million or so.
[00:02:27.439 --> 00:02:29.360]  But the point is it's being picked up everywhere.
[00:02:29.680 --> 00:02:48.960]  And the reason it's so important is in one day, they go out and show over $100 million certified red-handed fraud, healthcare centers that are P.O. boxes, nurseries, preschools that are scooping in, you know, $3 million plus, $2 million plus a year.
[00:02:49.280 --> 00:02:52.960]  No one there on weekdays, school days, you name it.
[00:02:53.280 --> 00:02:54.319]  And that's just one day.
[00:02:54.719 --> 00:03:00.879]  The reason it's so important is it illustrates that the feds are sitting there doing nothing, at least in the past.
[00:03:01.439 --> 00:03:06.159]  And it shows how Tim Walz is doing it all premeditatedly, which we already knew.
[00:03:06.800 --> 00:03:13.039]  And that's the fact that it's Tim Walz and Elon Omar that literally set all this up in the last few years.
[00:03:13.360 --> 00:03:23.120]  Just two years ago, three years ago now, fiscally, there was a $16 billion surplus in Minnesota.
[00:03:23.439 --> 00:03:27.759]  It is now a $20 million deficit.
[00:03:28.080 --> 00:03:36.240]  And the number, as I told you in my own math last week, before this report even came out, is not $10 billion, not $18 billion, not $20 billion, because I can do the math.
[00:03:36.480 --> 00:03:48.080]  They have already found $24 billion in fraud, 90% of it Somali in Minnesota in just the last month since people started focusing.
[00:03:48.159 --> 00:03:50.640]  And notice it wasn't the feds that discovered all this.
[00:03:50.960 --> 00:03:53.920]  It was people looking at public records and then going out and showing all this.
[00:03:54.159 --> 00:03:55.599]  And then it gets worse.
[00:03:56.960 --> 00:04:01.840]  Not just in Minnesota, but in Michigan and in Maine and other states because the Democrats are running this.
[00:04:01.920 --> 00:04:03.439]  The Somalis are the bag men.
[00:04:03.760 --> 00:04:05.760]  They're certainly guilty, but they're the bag men.
[00:04:07.600 --> 00:04:14.000]  When the juries convict these people, the judges always let them off because they're being paid.
[00:04:14.320 --> 00:04:15.920]  And that's all coming out.
[00:04:16.240 --> 00:04:23.360]  And the one Democrat legislator that voted against this and one senator as well, they both got shot by Tim Wall's assassin.
[00:04:23.439 --> 00:04:23.840]  Remember that?
[00:04:24.080 --> 00:04:24.960]  On June 14th.
[00:04:25.040 --> 00:04:25.920]  That's now coming out.
[00:04:26.240 --> 00:04:26.960]  Oh, this is big.
[00:04:27.040 --> 00:04:27.600]  Stay with us.
[00:04:29.280 --> 00:04:30.400]  All right, ladies and gentlemen.
[00:04:30.560 --> 00:04:44.160]  The eruption of global awakening to the new world orders system that they use in every Western country of setting up a welfare state, setting up fraud, bringing in foreigners, bankrupting the treasury, bringing in a police state is erupting.
[00:04:44.319 --> 00:04:45.360]  People are really getting it.
[00:04:45.439 --> 00:04:46.480]  They're really waking up.
[00:04:46.800 --> 00:04:51.680]  And the great citizen journalist, Nick Shirley, is in the airport right now, leaving Minnesota.
[00:04:51.759 --> 00:04:53.600]  He's trying to get to a quieter spot.
[00:04:53.840 --> 00:04:55.120]  I told him it doesn't matter.
[00:04:55.439 --> 00:05:03.519]  His story, hundreds of millions of views just on X alone, where in one day they went out and found over $100 million of certified fraud.
[00:05:03.840 --> 00:05:16.879]  PO boxes that are supposedly healthcare facilities, dozens and dozens and dozens of totally empty, you know, on a school day, daycares, no children, people coming out, threatening them, the police threatening them.
[00:05:17.120 --> 00:05:18.720]  This is all run by the Democratic Party.
[00:05:19.040 --> 00:05:20.720]  And the Somalis, I'm not letting them off the hook.
[00:05:20.879 --> 00:05:24.160]  They're incredibly corrupt, are the bag men because they vote as a bloc.
[00:05:24.560 --> 00:05:25.680]  They are closed-lip.
[00:05:26.960 --> 00:05:38.560]  And so whether it's Maine or whether it's Michigan or whether it's Minnesota, their main base, or Texas now, they are just involved in ultra, ultra corruption.
[00:05:41.759 --> 00:05:46.960]  So, yeah, there's just one of the videos, 91.6 million, and there's clips everywhere.
[00:05:47.280 --> 00:05:49.920]  I was looking on Instagram, Facebook, hundreds of millions of views.
[00:05:50.160 --> 00:05:52.720]  Other reports, he's got 50 million, 20 million, 30 million.
[00:05:52.879 --> 00:05:54.639]  I mean, this is the top story.
[00:05:55.280 --> 00:06:00.000]  Trump cares about CBS 60 minutes and obsesses over it.
[00:06:00.319 --> 00:06:02.879]  Their top rating is 3 million viewers.
[00:06:04.000 --> 00:06:05.920]  He goes on Elon Musk one time.
[00:06:06.080 --> 00:06:08.879]  They have a billion plus people that clicked and listened to it.
[00:06:09.200 --> 00:06:10.800]  And they didn't even get cameras for it.
[00:06:10.879 --> 00:06:11.519]  It was just audio.
[00:06:11.680 --> 00:06:13.279]  I mean, you know, oh, a billion views.
[00:06:13.360 --> 00:06:14.320]  I don't care about that.
[00:06:14.639 --> 00:06:16.480]  And then this is where Trump has a blind spot.
[00:06:16.800 --> 00:06:19.200]  Here's just citizen journalists follow his work for a couple of years.
[00:06:19.360 --> 00:06:21.040]  Nick Shirley, he's a huge listener.
[00:06:22.000 --> 00:06:22.800]  We helped wake him up.
[00:06:23.040 --> 00:06:24.080]  Very proud of that.
[00:06:24.720 --> 00:06:27.200]  He's already got all these reports out over the years with billions of views.
[00:06:27.519 --> 00:06:36.960]  Here he is with the top story in the United States certifying mass fraud with hundreds of millions of views just on X alone.
[00:06:37.360 --> 00:06:39.920]  And just that itself is a giant story.
[00:06:40.560 --> 00:06:44.560]  And the larger issue is this has come out for months.
[00:06:45.200 --> 00:06:47.840]  First, the fraud was $2 billion, then $7 billion, then $12 billion.
[00:06:48.160 --> 00:06:57.279]  Now it's $24 billion in just the last two years stolen by the Democrats and Tim Walz.
[00:06:57.440 --> 00:06:59.120]  Remember, the numbers are always about a year behind.
[00:07:00.639 --> 00:07:02.480]  So that goes back three years ago.
[00:07:02.800 --> 00:07:04.960]  We don't have the latest numbers.
[00:07:05.759 --> 00:07:07.360]  But if you look at the graph, they're going straight up.
[00:07:07.680 --> 00:07:11.120]  So Minnesota had a $16 billion surplus three years ago.
[00:07:11.440 --> 00:07:15.680]  Now they're saying it's a $20 billion deposit.
[00:07:16.320 --> 00:07:17.280]  Do the math.
[00:07:17.920 --> 00:07:21.600]  So they've stolen $24 billion.
[00:07:23.360 --> 00:07:24.800]  And now it's coming out in Maine.
[00:07:24.879 --> 00:07:29.040]  It's coming out in all these other states that the Somali community is doing the same thing.
[00:07:29.280 --> 00:07:31.280]  Totally protected by the Democrats above them.
[00:07:31.440 --> 00:07:35.120]  And the state and federal agencies that don't check any of the fraud.
[00:07:35.759 --> 00:07:37.360]  Don't check any of it.
[00:07:39.120 --> 00:07:50.240]  And they'll send in thousands and thousands a month of these reimbursement filings per little facility or PO box.
[00:07:51.519 --> 00:07:55.360]  And they talk to the neighbors, talk to people that say, no, I've never seen anyone at that daycare.
[00:07:55.440 --> 00:07:57.120]  I've never seen anyone at that.
[00:07:57.520 --> 00:08:03.520]  I've never seen anyone at that medical clinic that is a 200-square-foot office.
[00:08:06.080 --> 00:08:14.480]  And then here come the police threatening to arrest you, saying it's harassment, showing it, because the local governments are using the Somalis as the bag men.
[00:08:14.720 --> 00:08:17.840]  They give them campaign contributions and large slices of the cash.
[00:08:18.080 --> 00:08:19.040]  This has come out.
[00:08:19.680 --> 00:08:25.920]  And the one, the two state reps, one state rep, one state senator that voted against this who were Democrats.
[00:08:26.560 --> 00:08:37.440]  Remember back in June, they both get shot by Tim Walz high-level appointment, who later told the FBI, Tim Walz sent me to kill them and others because they weren't doing what he said.
[00:08:37.760 --> 00:08:39.600]  They were going to expose corruption.
[00:08:39.920 --> 00:08:45.920]  And he said that we were going to blame it on Trump.
[00:08:47.840 --> 00:08:49.040]  He got that letter out.
[00:08:49.280 --> 00:08:49.840]  It's public.
[00:08:49.920 --> 00:08:50.880]  They admit it got out.
[00:08:51.200 --> 00:08:51.760]  Where is he now?
[00:08:51.920 --> 00:08:53.920]  You never hear about that anymore, do you?
[00:08:56.160 --> 00:08:57.680]  So this is big, folks.
[00:08:58.240 --> 00:08:59.920]  This is going on everywhere.
[00:09:00.240 --> 00:09:09.600]  And so Kash Patel says, oh, we found that, you know, half the Somalis that live there are there illegally under fake names and can be deported.
[00:09:09.920 --> 00:09:11.920]  And ICE is there grabbing a lot of people going out.
[00:09:12.160 --> 00:09:12.960]  That's great.
[00:09:13.840 --> 00:09:22.960]  But this is the first big domino to fall because you can go to any of these healthcare facilities, nobody there.
[00:09:23.040 --> 00:09:24.160]  Most of them P.O. boxes.
[00:09:24.320 --> 00:09:25.680]  You can go to any of these.
[00:09:26.320 --> 00:09:34.480]  Some of these daycare centers are shacks with knocked out windows, but all the windows are blacked out if they have windows.
[00:09:34.800 --> 00:09:36.160]  No one's there.
[00:09:37.440 --> 00:09:43.360]  Somalis pull up minutes later and threaten them, and then the names are misspelled.
[00:09:44.320 --> 00:09:47.360]  Instead of learning center, it's learner center.
[00:09:47.680 --> 00:09:50.320]  This is total bonker town.
[00:09:51.600 --> 00:09:57.920]  But still, even Nick Shirley and his experts are like, it's total incompetence by Tim Walz.
[00:09:59.520 --> 00:10:01.280]  No, it's not incompetence.
