# Transcription model: nvidia/parakeet-tdt-0.6b-v2, custom faster_whisper
[00:00:30.000 --> 00:00:32.320]  InfoWars, tomorrow's news.
[00:00:32.480 --> 00:00:38.560]  Today, it is Thursday, June 26, 2025.
[00:00:39.439 --> 00:00:57.600]  I am your embattled and battle-hardened host, coming to you from the scarred and gnarled and burned and beautiful InfoWars Studios in Austin, Texas.
[00:01:02.079 --> 00:01:04.320]  Thank you so much for joining us, my friends.
[00:01:04.640 --> 00:01:08.799]  The Great Awakening is going into high gear right now.
[00:01:09.120 --> 00:01:14.159]  What you're witnessing is the animating contest of liberty.
[00:01:15.439 --> 00:01:18.719]  I am very honored and blessed to be here with you today.
[00:01:19.280 --> 00:01:25.840]  I'm very honored and blessed to have this amazing, intrepid crew who have been dauntless in the face of incredible persecution and tyranny.
[00:01:26.159 --> 00:01:34.879]  And I am beyond blessed to have this audience of activists and of patriots that love God and love humanity all across the United States and the world.
[00:01:36.480 --> 00:01:37.040]  All right.
[00:01:37.359 --> 00:01:53.200]  There is so much happening and so much domestically going on that has been backbenched, backburnered because of the incredibly dangerous escalation in the Middle East between Israel and Iran.
[00:01:54.079 --> 00:01:57.120]  And that is still boiling.
[00:01:57.680 --> 00:02:01.040]  And there's huge pieces of information going on there.
[00:02:03.840 --> 00:02:05.439]  The tea leaves are clear.
[00:02:05.760 --> 00:02:15.280]  The move by the globalists and the Lekudniks, and it's all pre-planned, pre-programmed in the propaganda, is false flag terror attacks to be blamed on Iran.
[00:02:15.599 --> 00:02:22.640]  Now, Iran has its own weird methodology and does have sleeper cells and has shot its mouth off about launching attacks.
[00:02:22.960 --> 00:02:24.560]  Who knows what they'll do?
[00:02:25.200 --> 00:02:31.920]  Also, a lot of those groups are badly coordinated and may just do it on their own.
[00:02:32.240 --> 00:02:33.120]  So I want to be clear.
[00:02:33.280 --> 00:02:38.560]  We get hit by terror attacks, which I think is a probability in the next few months.
