# Transcription model: nvidia/parakeet-tdt-0.6b-v2, sat-12l-sm, and large-v3-turbo
# Transcript cleaned with version 0.1.2
# Source MD5: cb1f958fc72a4a19eaf8029b95f98bb0
[00:00:13.039 --> 00:00:15.779]  InfoWars, tomorrow's news today.
[00:00:16.140 --> 00:00:34.909]  During the 291st day of the return of the American Republic and our desperate attempt to save the West from the globalist planetary collapse, depopulation, post-industrial Great Reset Plan.
[00:00:35.439 --> 00:00:37.280]  It is Friday, November 7th, 2025.
[00:00:37.359 --> 00:00:44.399]  I am your embattled host, Alex Jones, coming to you from the battle-scarred halls of the legendary Infowar Studios in Austin, Texas.
[00:00:44.719 --> 00:00:45.039]  Okay.
[00:00:47.280 --> 00:00:48.560]  The planets are aligned.
[00:00:48.719 --> 00:00:50.320]  All the evidence is there.
[00:00:50.640 --> 00:00:57.359]  The corporate media hype in China, Europe, the U.S., everywhere is 1929 2.0 is here.
[00:00:57.679 --> 00:00:59.039]  Trump is Herbert Huber.
[00:00:59.600 --> 00:01:00.960]  He's going to be blamed.
[00:01:01.280 --> 00:01:04.719]  They are on every channel that it's 1929, that it's imminent.
[00:01:04.960 --> 00:01:10.400]  Now, they've been trying to crash the market since March, and it failed.
[00:01:10.719 --> 00:01:28.239]  But now with the government shutdown and a bunch of the other maneuvers they've done and with the absolute hype about the AI bubble being too big, which it is a bubble, but only a bubbles of innovation and things are going to grow us out of this.
[00:01:28.320 --> 00:01:30.079]  I'm not even saying AI is the thing.
[00:01:30.960 --> 00:01:38.320]  The point is powerful globalist forces, the BlackRock forces on the service have capitulated to Trump and his America first agenda.
[00:01:38.400 --> 00:01:41.359]  But right beneath the service, they've redoubled them.
[00:01:41.600 --> 00:01:52.159]  And they've already moved at least $5 trillion into the stock market of the EU in the last 10 months and tens of trillions of other equity, private equity, into other sectors.
[00:01:52.240 --> 00:01:54.560]  They're not sure if the U.S. or China will win this.
[00:01:54.879 --> 00:02:02.159]  So they decided to wait it out on the sidelines and just crash the whole thing by the pennies on the dollar, just like 1929, which was totally engineered.
[00:02:02.400 --> 00:02:03.519]  That's been declassified.
[00:02:03.600 --> 00:02:04.560]  It's all come out.
[00:02:05.120 --> 00:02:08.879]  And it was 10 years of hell after that, which is the great reset.
[00:02:09.520 --> 00:02:10.719]  It's what they want.
[00:02:11.280 --> 00:02:30.479]  And they're going to release new viruses as the pretext, whatever it takes to shut down the economy and then roll out the robots and all of that because they'll be able to deliver medicine and food and everything during the next big pandemic that'll be a thousand times worse in reality than what we saw with just the beta test that was COVID.
