# Transcription model: nvidia/parakeet-tdt-0.6b-v2, sat-12l-sm, and large-v3-turbo
# Transcript cleaned with version 0.1.2
# Source MD5: d81a5c48d529cdf6bf26c8d42a7b1c39
[00:00:04.480 --> 00:00:05.440]  Well, here we are.
[00:00:05.679 --> 00:00:07.040]  This year went by so fast.
[00:00:07.200 --> 00:00:08.240]  The fastest ever.
[00:00:08.640 --> 00:00:11.279]  Christmas Eve, 2025.
[00:00:11.599 --> 00:00:14.320]  And I'm your chronicler, Alex Jones.
[00:00:16.239 --> 00:00:17.160]  InfoWars.
[00:00:17.320 --> 00:00:18.939]  Tomorrow's news today.
[00:00:27.579 --> 00:00:28.979]  Mainstream media.
[00:00:29.399 --> 00:00:30.820]  Government cover-ups.
[00:00:31.519 --> 00:00:33.119]  You want to stop tyranny?
[00:00:33.359 --> 00:00:34.560]  Well, so does he.
[00:00:34.880 --> 00:00:39.920]  Live from theinfowars.com studios, it's Alex Jones.
[00:00:41.759 --> 00:00:44.960]  We are hurtling into the future together.
[00:00:45.840 --> 00:00:49.280]  There's a lot of big challenges, but humanity's not being caught flat-footed.
[00:00:49.439 --> 00:00:51.679]  We are rising to the challenge.
[00:00:51.840 --> 00:00:55.840]  The globalists declared war on us, and we have accepted the challenge.
[00:00:56.160 --> 00:01:00.719]  Well, here we are on Christmas Eve, December 24th, 2025.
[00:01:01.039 --> 00:01:04.640]  And I am so thankful to the viewers and listeners, the activists out there.
[00:01:04.960 --> 00:01:06.239]  You're not spectators.
[00:01:06.560 --> 00:01:08.320]  You are men and women in the arena.
[00:01:08.560 --> 00:01:15.120]  And I want to salute you for being part of this fight, which is not possible without you.
[00:01:15.439 --> 00:01:19.840]  Your word of mouth, your prayer, your intel, your financial support is beyond critical.
[00:01:20.079 --> 00:01:21.519]  And look what we've done together.
[00:01:21.840 --> 00:01:34.000]  And I want to thank the crew and my family and everybody else, but most importantly, God above for giving us free will and our Lord and Savior Jesus Christ sent here to die for our sins so he was forgiven.
[00:01:34.640 --> 00:01:39.120]  I am beyond thankful and most thankful, obviously, to God.
[00:01:39.600 --> 00:01:48.240]  And I wanted to just say that up front here today and just appreciate all of you and what you've done because, yeah, we've still got big fights ahead of us.
[00:01:48.320 --> 00:01:49.280]  And man, it's a struggle.
[00:01:49.519 --> 00:01:56.240]  But if you think back over the years, how few people were awake before, we have really moved the needle a long way.
[00:01:56.560 --> 00:02:03.600]  And it's been God that's been involved in that, not just involved, literally in control of that the whole time.
[00:02:04.799 --> 00:02:06.320]  So what an incredible time to be alive.
[00:02:06.400 --> 00:02:08.080]  I'm just so blessed to be here.
