# Transcription model: nvidia/parakeet-tdt-0.6b-v2, sat-12l-sm, and large-v3-turbo
# Transcript cleaned with version 0.1.2
# Source MD5: 57b01c3a573c3e68b224349519d1f057
[00:00:12.720 --> 00:00:15.280]  InfoWars, tomorrow's news, today.
[00:00:18.879 --> 00:00:29.120]  Between the time when the censors drank the voices of the free and the rise of the unyielding truth seekers, there was an age undreamed of.
[00:00:29.440 --> 00:00:39.840]  And unto this, Alex Jones, destined to bear the crown of revelation upon a vigilant brow, fighting the shadows of tyranny.
[00:00:40.160 --> 00:00:47.359]  It is I, his chronicler, who alone can tell thee of his saga.
[00:00:47.920 --> 00:00:52.240]  Let me tell you of the days of high adventure.
[00:00:53.000 --> 00:01:06.540]  I'm about to see his truth.
[00:01:07.359 --> 00:01:10.239]  All of it is verifiable and documented.
[00:01:10.560 --> 00:01:11.680]  This is reality.
[00:01:12.000 --> 00:01:14.400]  Truth is stranger than fiction.
[00:01:14.719 --> 00:01:16.480]  We know the government's planning terrorism.
[00:01:16.640 --> 00:01:19.040]  We know the joint chiefs of staff wanted to blow up airliners.
[00:01:19.280 --> 00:01:22.320]  If you do it, we're going to blame you because we know who's up to it.
[00:01:22.560 --> 00:01:26.640]  Or if you let some terrorist group through it, like the World Trade Center, we know who to blame.
[00:01:26.960 --> 00:01:28.960]  If any terrorism comes, it's from this government.
[00:01:29.280 --> 00:01:36.560]  And if there was an outside threat like a bin Laden, who was a known CIA asset in the 80s, he's the boogeyman they need in this Orwellian phony system.
[00:01:36.799 --> 00:01:39.920]  Long live the Constitution and death, the New World Order.
[00:01:40.240 --> 00:01:42.000]  Death to the New World Order.
[00:01:42.320 --> 00:01:44.240]  Shit, the idea of losing our sovereignty.
[00:01:44.560 --> 00:01:47.120]  We don't like the flag, and we're sick and tired of it.
[00:01:47.200 --> 00:01:49.280]  The revolution of peaceful information is coming.
[00:01:49.439 --> 00:01:52.079]  And when it comes time, you people are going to be brought to punishment.
[00:01:52.400 --> 00:01:54.079]  Don't you stand for America, sir?
[00:01:54.400 --> 00:01:56.400]  What about the Federal Reserve and CFR?
[00:01:57.680 --> 00:01:58.879]  You people are being lied to.
[00:01:59.040 --> 00:02:00.560]  This country's been taken over by Europe.
[00:02:00.799 --> 00:02:02.560]  And I'm being drug out and laughed at it.
[00:02:02.879 --> 00:02:06.560]  The truth is out there in front of you, but they lay out this buffet of lies.
[00:02:06.880 --> 00:02:09.520]  I'm sick of it, and I'm not going to take a bite out of it.
[00:02:09.599 --> 00:02:10.400]  Do you got me?
[00:02:10.719 --> 00:02:13.840]  I don't know what's going to happen at the end of this, but you want to fight?
[00:02:14.000 --> 00:02:16.159]  You better believe you got one.
[00:02:17.360 --> 00:02:18.319]  I'm here to warn people.
[00:02:18.479 --> 00:02:19.840]  You keep telling me to shut up.
[00:02:20.080 --> 00:02:21.120]  This isn't a game.
[00:02:21.439 --> 00:02:25.439]  1776 will commence again if you try to take our firearms.
[00:02:25.599 --> 00:02:27.680]  If you want them, come and take them.
[00:02:30.479 --> 00:02:32.000]  Your reputation's amazing.
[00:02:32.240 --> 00:02:33.520]  I will not let you down.
[00:02:33.759 --> 00:02:36.560]  You'll be very, very impressed, I hope.
[00:02:36.719 --> 00:02:39.840]  Donald J. Trump is now president of the United States.
