[00:00:00.110 --> 00:00:06.719]  It's Friday.
[00:00:06.730 --> 00:00:08.890]  It's the most important broadcast I've ever done.
[00:00:09.429 --> 00:00:11.230]  Everything is going crazy.
[00:00:11.509 --> 00:00:12.750]  The deep state's burning down right now.
[00:00:15.369 --> 00:00:16.089]  Infowars.
[00:00:16.289 --> 00:00:17.829]  Tomorrow's news today.
[00:00:21.309 --> 00:00:24.469]  We are now 39 days.
[00:00:25.350 --> 00:00:28.510]  We're starting the 39th day of Trump being sworn in.
[00:00:29.429 --> 00:00:32.210]  Exactly 39 days ago.
[00:00:33.090 --> 00:00:34.250]  It is...
[00:00:34.270 --> 00:00:42.030]  Friday, February 28th, 2025. I have to be calm because we have all the pieces.
[00:00:43.770 --> 00:00:46.689]  Geopolitical, domestic, what's really happening.
[00:00:47.109 --> 00:00:49.549]  And I want to explain something to everybody.
[00:00:50.789 --> 00:01:01.689]  No one really in the even patriot media, which is the dominant media now worldwide, that's why we're winning so much, understands the full magnitude of where we are right now.
[00:01:01.869 --> 00:01:03.950]  Because I... Slept three hours last night.
[00:01:04.069 --> 00:01:04.730]  I scan everything.
[00:01:05.109 --> 00:01:06.430]  I've been up since 3 a.m.
[00:01:07.390 --> 00:01:10.530]  And I've never been in the game more, okay?
[00:01:11.269 --> 00:01:12.489]  30-plus years on air.
[00:01:13.069 --> 00:01:22.609]  We have so much general knowledge about all the systems, and that's the reason we have understanding, quite frankly, that only some people at the White House have as well.
[00:01:22.730 --> 00:01:26.890]  And there's people now that have full-spectrum analysis understanding, finally.
[00:01:29.310 --> 00:01:29.790]  Now...
[00:01:30.780 --> 00:01:33.680]  You just got to have so much experience, so much street smarts.
[00:01:33.739 --> 00:01:35.459]  You've got to be absolutely in the game.
[00:01:35.680 --> 00:01:43.760]  You have got to be studying every aspect, energy, society, culture, philosophy, sociology, anthropology.
[00:01:43.859 --> 00:01:51.579]  And my point is, is that I know exactly what's happening in the world right now.
[00:01:52.480 --> 00:01:57.480]  And most people have a good idea about a lot of it, but not the finishing pieces.
[00:02:01.609 --> 00:02:04.129]  But I just want to say this right up front.
[00:02:04.909 --> 00:02:11.009]  Trump is outperforming the best I could imagine.
[00:02:11.469 --> 00:02:12.550]  Let's have a benchmark of 100%.
[00:02:12.550 --> 00:02:14.210]  He's at 1,000.
[00:02:16.250 --> 00:02:26.849]  And I am seeing a lot of people in the liberty movement who think this is a McDonald's drive-thru window and that we're going to see just absolute...
[00:02:28.359 --> 00:02:29.400]  Instant gratification.
[00:02:29.599 --> 00:02:34.560]  Well, you are getting instant gratification on hundreds of major fronts.
[00:02:35.680 --> 00:02:45.759]  But in going into the bureaucracy and shutting down the criminal operations and bringing them to justice, that is going to take some time.
[00:02:46.759 --> 00:02:49.080]  So, the first thing I want to say is this.
[00:02:50.539 --> 00:02:54.319]  There is a massive deep state civil war.
[00:02:54.650 --> 00:02:57.289]  With the legitimate elected government of Donald John Trump.
[00:02:57.490 --> 00:02:58.009]  You already know that.
[00:02:58.490 --> 00:03:05.330]  But it is hitting a massive climax right now of the current big battle.
[00:03:06.250 --> 00:03:07.270]  And we're winning.
[00:03:09.150 --> 00:03:12.409]  A lot of people are like, oh, Pam Bondi, she tried to scam us with this.
[00:03:12.490 --> 00:03:21.449]  No, they scammed her and she instantly flipped out about it and sent over 50 agents into the main FBI offices where they have all the documents.
[00:03:22.030 --> 00:03:24.789]  And they've been there since yesterday afternoon and are still there.
[00:03:26.370 --> 00:03:27.590]  Local press is getting this.
[00:03:27.870 --> 00:03:28.889]  Loading trucks up.
[00:03:29.289 --> 00:03:30.509]  They're just taking everything.
[00:03:30.870 --> 00:03:37.930]  Because the feds there, wait to hear who they are, will not help them and will not give them any information.
[00:03:38.830 --> 00:03:48.030]  And the head of it, put in there by Ray, said a month ago, we're going to dig in and resist Trump.
[00:03:49.609 --> 00:03:51.909]  Now, he should have been fired right there, but they didn't.
[00:03:52.030 --> 00:03:52.770]  They gave him rope.
[00:03:52.889 --> 00:03:57.930]  And I've talked to people in the administration high up, and I've talked to other high up reporters that talked to Kosh yesterday.
[00:03:58.810 --> 00:04:06.229]  And he said, and they're fine if this gets out there because the deep state knows what happened to them now.
[00:04:06.370 --> 00:04:07.129]  This was a setup.
[00:04:07.849 --> 00:04:11.370]  They know they'd already destroyed most of the evidence and moved some of the other for insurance.
[00:04:11.930 --> 00:04:13.810]  Now they have them on obstruction.
[00:04:14.349 --> 00:04:15.370]  They have them.
[00:04:16.269 --> 00:04:18.670]  They have James Comey's daughter that runs it.
[00:04:19.399 --> 00:04:22.060]  They have the head of the FBI in New York.
[00:04:25.420 --> 00:04:26.699]  They have it all.
[00:04:28.060 --> 00:04:31.459]  And so, this is massive.
[00:04:32.360 --> 00:04:33.800]  Ultra-massive.
[00:04:33.980 --> 00:04:35.240]  There they are, right there.
[00:04:35.420 --> 00:04:36.439]  They're going to prison.
[00:04:38.259 --> 00:04:48.480]  Now, and they've got a bunch of FBI agents that have been tracking them for years, and those files have all been given to the Attorney General.
[00:04:49.480 --> 00:04:56.220]  We have now entered the beginning of day 39 of the return of the American Republic and President Trump.
[00:04:56.680 --> 00:05:03.540]  I am your embattled, battle-hardened chronicler coming to you from Austin, Texas, transmitting worldwide.
[00:05:03.540 --> 00:05:11.720]  It is Friday, February 28th, 2025. All right, let me tell you what we got.
[00:05:12.920 --> 00:05:14.399]  And more is coming in as we speak.
[00:05:15.100 --> 00:05:15.980]  Trump is...
[00:05:16.199 --> 00:05:19.779]  He's effectively ending the Ukraine war as we speak.
[00:05:20.980 --> 00:05:25.000]  He is publicly humiliating Zelensky.
[00:05:25.879 --> 00:05:28.660]  He publicly humiliated Kara Starmer.
[00:05:28.839 --> 00:05:29.720]  We have clips of that.
[00:05:33.439 --> 00:05:35.480]  He told him, you're the one who started the war.
[00:05:35.639 --> 00:05:36.879]  We all know that, which is a fact.
[00:05:37.000 --> 00:05:37.680]  They bragged about it.
[00:05:38.060 --> 00:05:43.519]  He said, you can't defeat Russia without us, and we're not having a nuclear war, to his face.
[00:05:43.779 --> 00:05:45.439]  Starmer basically pissed in his pants.
[00:05:48.419 --> 00:05:51.420]  Trump had the British flag flying upside down.
[00:05:51.839 --> 00:05:52.879]  The Union Jack.
[00:05:53.180 --> 00:05:54.660]  I mean, this is all deliberate.
[00:05:55.060 --> 00:05:58.759]  Zelensky gets out of the vehicle just 30 minutes ago to meet Trump.
[00:05:59.759 --> 00:06:01.759]  Trump goes, oh, look, you're dressed like a clown.
[00:06:03.360 --> 00:06:04.300]  Literally, to him.
[00:06:05.000 --> 00:06:06.180]  Look at you, clown.
[00:06:09.699 --> 00:06:15.199]  Trump understands he has to savage these criminals and let the world know they're scum.
[00:06:17.550 --> 00:06:22.250]  And Trump knows well they were doing their cutouts through Ukraine money, through MI6, trying to kill him.
[00:06:23.490 --> 00:06:24.910]  The FBI covered all that up.
[00:06:25.029 --> 00:06:25.509]  That's breaking.
[00:06:25.750 --> 00:06:28.310]  I mean, he knows Obama's running the operation out of England.
[00:06:28.430 --> 00:06:30.910]  He knows when he meets with Starmer, this guy's trying to get him killed.
[00:06:31.110 --> 00:06:31.689]  He knows.
[00:06:31.769 --> 00:06:32.889]  Here's the guy running the op.
[00:06:35.689 --> 00:06:37.050]  So Trump knows it all now.
[00:06:40.289 --> 00:06:43.670]  That's why when he looks at him, he just sits there and shakes his head and bares his teeth.
[00:06:43.750 --> 00:06:45.050]  Oh, I like you so much.
[00:06:45.050 --> 00:06:46.490]  How you doing there, pal?
[00:06:46.670 --> 00:06:49.569]  And they just, yeah, yeah, yeah.
[00:06:49.889 --> 00:06:50.870]  We're awake now.
[00:06:50.930 --> 00:06:51.509]  You like that?
[00:06:52.329 --> 00:06:53.290]  How's that feel?
[00:06:54.930 --> 00:07:00.990]  And how's it feel knowing we're never backing down, we're never going away, and we're kicking your ass, and it's just starting.
[00:07:02.350 --> 00:07:09.870]  We politically ripped the arms out of their sockets, and now we've got our hands around your throat, and your eyes are...
[00:07:09.720 --> 00:07:12.300]  Bugging out, and soon you'll go to sleep.
[00:07:14.259 --> 00:07:17.139]  So, Trump is ending the war.
[00:07:18.279 --> 00:07:20.879]  The globalists are being routed.
[00:07:22.720 --> 00:07:24.220]  That's huge.
[00:07:26.720 --> 00:07:30.040]  We're not in the old system where they're above the law anymore.
[00:07:31.139 --> 00:07:32.339]  We're going to get to that.
[00:07:33.739 --> 00:07:36.658]  All those videos, all those articles, all the breaking news.
[00:07:36.658 --> 00:07:43.489]  And then everything else that's happening.
[00:07:43.689 --> 00:08:02.850]  But first, you have the fiasco on the surface yesterday where Pam Bondi goes on the news two nights ago and says, yeah, this is really bad information.
[00:08:04.810 --> 00:08:06.850]  This is people doing horrible things.
[00:08:07.410 --> 00:08:09.829]  And the first group of documents comes out tomorrow.
[00:08:10.680 --> 00:08:25.480]  But in the group of documents, she put a cover letter that she'd just given Kosh Patel, and he was there at the meeting with the media, independent media, and he told the people there, they reported this, and I've talked to people that were in the room, and he said, listen, we know almost all this is old.
[00:08:25.600 --> 00:08:26.899]  We found some of it is actually new.
[00:08:28.600 --> 00:08:39.940]  But, and it's huge, Ehud Barak, the former Israeli prime minister, In the same box with underage girls.
[00:08:40.179 --> 00:08:40.820]  It says underage girls.
[00:08:42.220 --> 00:08:43.799]  There's about 10 pages in here, actually.
[00:08:43.879 --> 00:08:44.860]  A little something slipped in there.
[00:08:45.220 --> 00:08:53.940]  But the key was the orders to the FBI all over the country, particularly Southern District of New York, was being held.
[00:08:54.139 --> 00:08:56.259]  That's where their investigations on Epstein were run and covered up.
[00:08:56.879 --> 00:09:02.340]  That you're going to give us all of that under direct order.
[00:09:02.519 --> 00:09:03.860]  And they didn't do it.
[00:09:04.720 --> 00:09:09.820]  So she sent loyal FBI in to the FBI main offices in New York.
[00:09:10.840 --> 00:09:12.259]  And they're there right now.
[00:09:12.620 --> 00:09:14.120]  And they're loading trucks up.
[00:09:14.559 --> 00:09:16.120]  That's being reported by the local news.
[00:09:17.360 --> 00:09:18.799]  Over 26 vehicles.
[00:09:19.940 --> 00:09:21.039]  A motorcade.
[00:09:22.419 --> 00:09:23.799]  Got there yesterday afternoon.
[00:09:23.940 --> 00:09:24.399]  They're still there.
[00:09:26.100 --> 00:09:28.500]  Now, we know everything going on.
[00:09:29.120 --> 00:09:31.679]  Because we have high-level whistleblowers inside.
[00:09:32.350 --> 00:09:41.710]  And the FBI agents they talked to, like O'Boyle, who was on two days ago, who said Bondi just got the information two days ago, and then she then reported yesterday that's indeed what happened.
[00:09:41.809 --> 00:09:42.950]  She got it in the evening.
[00:09:45.490 --> 00:09:48.250]  And Kash Patel made the point to her and others.
[00:09:48.309 --> 00:09:51.149]  He said, we have them all on obstruction right now.
[00:09:51.330 --> 00:09:52.370]  They've taken the bait.
[00:09:54.250 --> 00:09:59.710]  Now, a lot of people are spending their time saying, oh, we're disappointed in Pam Bondi.
[00:10:00.490 --> 00:10:02.090]  They're 39 days in.
[00:10:03.490 --> 00:10:04.909]  37 when this was going on.
[00:10:05.389 --> 00:10:14.090]  They have a government that when Doe shows up at these agencies in many cases, they won't even give them the computer codes when they're there lawfully.
[00:10:14.269 --> 00:10:17.850]  And then they have judges saying the U.S. Treasury Secretary can't get the computers.
[00:10:17.950 --> 00:10:21.750]  Of course, that got overridden, but it took a week and a half by a higher-level judge.
[00:10:23.429 --> 00:10:34.559]  So instead of focusing on the fact that, of course, they withheld all the stuff, Focus on the fact that they've been exposed.
[00:10:34.820 --> 00:10:36.919]  Now, I'm getting to the big news now.
[00:10:37.220 --> 00:10:42.480]  And this is not all being reported.
[00:10:43.100 --> 00:10:45.519]  People have got a piece here, a piece there.
[00:10:46.019 --> 00:10:50.820]  But because I'm watching everything, almost no one knows what's really going on here.
[00:10:51.960 --> 00:10:57.580]  But I've talked to high-level folks in the White House and others, and they concurred this is exactly what's going on.
[00:10:57.659 --> 00:10:59.220]  So let me tell you.
[00:10:59.610 --> 00:11:00.649]  What's going on?
[00:11:00.750 --> 00:11:01.769]  And this is historic.
