# Transcription model: nvidia/parakeet-tdt-0.6b-v2, and large-v3-turbo
[00:00:00.240 --> 00:00:01.040]  It's the vaccine.
[00:00:01.199 --> 00:00:02.000]  It's not a vaccine.
[00:00:02.160 --> 00:00:04.639]  It makes your cells produce the spiked protein.
[00:00:04.879 --> 00:00:06.320]  It was made in a lab.
[00:00:06.560 --> 00:00:07.839]  It has been released on you.
[00:00:08.000 --> 00:00:09.120]  It is nanotech.
[00:00:09.359 --> 00:00:12.400]  We are living in a global rollout of nanotech.
[00:00:12.560 --> 00:00:14.640]  Without further ado, I think we should go to this little piece.
[00:00:14.880 --> 00:00:17.920]  Yeah, you were just, you made your most recent appearance on Howard Stern.
[00:00:18.000 --> 00:00:20.000]  It's debatably your best appearance yet, Alex.
[00:00:20.080 --> 00:00:20.400]  I must say.
[00:00:20.559 --> 00:00:24.640]  And before the fact-checked this over at Snopes, that's a joke.
[00:00:25.359 --> 00:00:26.320]  Stern's making fun of us.
[00:00:26.400 --> 00:00:29.679]  But a lot of this, his actual quotes from the show last Friday heard us.
[00:00:30.719 --> 00:00:37.439]  I make a comment, really a mundane comment that everyone should take the vaccine, essentially, and it gets national attention.
[00:00:38.000 --> 00:00:39.840]  Alex Jones went on a rant about me.
[00:00:40.000 --> 00:00:41.119]  You know, I don't even know how to do it.
[00:00:41.600 --> 00:00:42.160]  Pause and back it up.
[00:00:42.560 --> 00:00:44.240]  Hey, mundane, mundane, Alex.
[00:00:44.320 --> 00:00:45.520]  Medical tears, your freedom.
[00:00:45.679 --> 00:00:46.320]  You kill people.
[00:00:46.480 --> 00:00:46.880]  So what?
[00:00:47.439 --> 00:00:47.840]  So what?
[00:00:48.079 --> 00:00:50.560]  You know, all these four talk shows that were conservative died.
[00:00:50.719 --> 00:00:51.120]  F them.
[00:00:51.439 --> 00:00:52.560]  They should have taken the cure.
[00:00:52.800 --> 00:00:55.280]  That's all of it lost with your variants.
[00:00:55.439 --> 00:00:56.560]  You're killing us with your shot.
[00:00:56.719 --> 00:00:57.759]  That's what all the science shows.
[00:00:58.000 --> 00:00:59.280]  No, you didn't make a mundane comment.
[00:00:59.439 --> 00:01:01.280]  You made horrible fascistic statements.
[00:01:01.359 --> 00:01:01.840]  Let's continue.
[00:01:01.920 --> 00:01:02.480]  Start over.
