[00:00:00.140 --> 00:00:06.580]  Campo Wars! Campo Wars! Campo Wars! Campo Wars! Campo Wars!
[00:00:06.580 --> 00:00:15.449]  Through the annals of time, beneath the clashing swords and roaring cannons, there raged another war, unseen yet all-encompassing.
[00:00:15.460 --> 00:00:16.920]  The Info War.
[00:00:17.260 --> 00:00:24.879]  From the whispered conspiracies of ancient courts, to the fiery profanations of revolutions, it was there.
[00:00:26.199 --> 00:00:30.710]  When the flames of heresy consumed the thinkers of old, It was there.
[00:00:32.149 --> 00:00:39.950]  When tyrants rose on the rise of propaganda and empires crumbled beneath the truth they couldn't silence, it was there.
[00:00:40.869 --> 00:00:44.210]  The Infowar marched alongside the armies of men.
[00:00:44.929 --> 00:00:56.229]  The battle was not just for land or power, but these colonies are, and of a right ought to be, free and independent states.
[00:00:56.829 --> 00:01:00.509]  For the hearts and minds and souls of those caught in its wake.
[00:01:01.429 --> 00:01:04.109]  More now than ever, the war rages on.
[00:01:04.530 --> 00:01:08.750]  Nations crumble, ideologies clash, and voices rise in defiance.
[00:01:08.969 --> 00:01:12.810]  For the battlefield of the Infowar is everywhere, and everyone is a soldier.
[00:01:13.730 --> 00:01:14.930]  Truth is your weapon.
[00:01:15.489 --> 00:01:20.849]  Through every conflict, every uprising, and every moment of human struggle, the Infowar was always there.
[00:01:21.489 --> 00:01:23.390]  Which side are you on?
[00:01:23.650 --> 00:01:25.230]  This is the fight for humanity.
