[00:00:00.750 --> 00:00:05.009]  Well, I woke up this morning, punched up X, and saw the terrible news.
[00:00:05.790 --> 00:00:12.970]  Gene Hackman, his wife, and their dog all found dead in their Santa Fe home in New Mexico.
[00:00:13.789 --> 00:00:16.250]  And of course, there's all the speculation of what happened.
[00:00:16.329 --> 00:00:18.289]  The police say no evidence of foul play.
[00:00:18.489 --> 00:00:20.690]  It's pretty clear one of two things happened.
[00:00:21.690 --> 00:00:29.989]  Either Gene, at 95, died naturally, and then his wife, that was obviously extremely close to him for decades.
[00:00:31.039 --> 00:00:34.719]  Committed suicide herself and also euthanized the dog.
[00:00:35.179 --> 00:00:38.280]  Or they all three decided to do it together.
[00:00:38.579 --> 00:00:41.659]  But very classy guy from people that I know that knew him.
[00:00:41.859 --> 00:00:43.619]  I don't fetishize these actors.
[00:00:43.920 --> 00:00:45.259]  You know, I'm not really even into Hollywood.
[00:00:45.560 --> 00:00:48.659]  But Gene Hackman is right up there with one of my top actors.
[00:00:49.140 --> 00:00:50.859]  And just a really interesting guy.
[00:00:51.740 --> 00:00:52.600]  Read a few of his books.
[00:00:53.179 --> 00:00:55.399]  Found those to be interesting as well.
[00:00:56.000 --> 00:00:59.320]  But for me, it's just an example of how quick and short life is.
[00:00:59.920 --> 00:01:10.599]  And how we need to value humanity and celebrate all the different artists and folks in our culture that have added so much to this tapestry that is life and that is human consciousness.
[00:01:10.859 --> 00:01:26.040]  So I just want to give my condolences to Gene Hackman's family and just say that I am not a person that's pro-suicide and I don't want the government involved in suicide.
[00:01:27.259 --> 00:01:43.760]  Because they'll basically make people do it, like you now see happening in the Netherlands and Canada and the UK. But at the same time, I don't judge people that do, especially when they're really sick or ill, because if you see what the medical system does when they get you, they torture your ass to death, and it is nightmarish.
[00:01:44.140 --> 00:01:49.879]  And so the longer I live, the more people I see friends and family die going to these hospitals and they're...
[00:01:50.170 --> 00:01:53.510]  Could have just gone home and, you know, died of cancer over the next three or four months comfortably.
[00:01:53.829 --> 00:01:55.650]  Instead, they torture the living shit out of you.
[00:01:56.590 --> 00:02:00.109]  It makes you say, you know, I can see why people do this.
[00:02:00.209 --> 00:02:06.549]  And obviously, they were very, very close, he and his wife, and not reclusive, but very, very private.
[00:02:06.709 --> 00:02:07.909]  And so their whole world was each other.
[00:02:08.050 --> 00:02:12.169]  And you can understand why, like Romeo and Juliet, things like this happen.
