[00:00:00.790 --> 00:00:05.250]  All right, so Liz Churchill posted a Zillow search.
[00:00:05.509 --> 00:00:16.690]  There's a bunch of Google searches out there, and it's now trending on X. And it's the incredible part about the technocracy is the globalists want to use all this data to control us, but instead we can use it to see what they're doing.
[00:00:16.910 --> 00:00:24.170]  So you've seen the last few weeks, record level, 400 plus percent increase in searches for defense lawyers in the D.C. area.
[00:00:24.429 --> 00:00:25.489]  It's all geolocated.
[00:00:25.890 --> 00:00:31.120]  400 plus percent as well, interesting enough, in Swiss banks and offshore banking.
[00:00:31.239 --> 00:00:36.700]  That's what you do when you're running, when you know you're done, when you know you're defeated, when you're in full chicken with your head caught off mode.
[00:00:37.119 --> 00:00:39.420]  And now we have it just the last week.
[00:00:39.560 --> 00:00:41.719]  People looking at all the numbers now are coming out.
[00:00:42.320 --> 00:00:51.420]  Record level home sales and dropping prices because they're dropping prices to sell them quick in the DC, Maryland, Virginia area.
[00:00:51.500 --> 00:00:53.679]  And I'll put the post below right here.
[00:00:53.799 --> 00:00:56.799]  So this is what it looks like when lemmings are running off the...
[00:00:57.149 --> 00:01:04.129]  Edge of a cliff, Joe Rogan called it a buffalo jump, where the Native Americans would beat drums and burn torches and drive buffalo off a cliff.
[00:01:04.409 --> 00:01:08.650]  That's how they extended the Macedons, woolly mammoths before that, running them off cliffs.
[00:01:09.530 --> 00:01:13.930]  Yeah, they used to be all over North America, then about 20,000 years ago, but buffalo, you know, are still around.
[00:01:14.069 --> 00:01:18.109]  But the point is, they just get stampeded off the edge of a cliff, and that's what's happening.
[00:01:18.269 --> 00:01:19.489]  I mean, it's over, folks.
[00:01:19.689 --> 00:01:20.609]  Giant criminal scam.
[00:01:20.750 --> 00:01:22.069]  They thought they'd always control the Justice Department.
[00:01:22.409 --> 00:01:29.579]  They thought they could always steal elections, but when Trump won by 70%, They could only steal so much baked in, so he had a massive historic landslide.
[00:01:29.719 --> 00:01:36.780]  It looked like a little landslide because he had to go over the seawall of the blue seawall of fraud and election fraud baked in.
[00:01:36.959 --> 00:01:42.879]  So this is a global political realignment, not just here, but all over the world it's happening, and it's huge.
[00:01:43.079 --> 00:01:52.439]  So they're in full evacuation mode, but we're so damaged and hurt, we're not out of the woods yet because now we've got to turn the economy back on, grow out of this, make key cuts as well, cut energy prices.
[00:01:53.480 --> 00:01:56.879]  Downgraded inflation, the private federal reserves say they're not going to cut interest rates that Trump wants.
[00:01:57.079 --> 00:01:58.900]  So that big battle's coming up, and this is huge.
[00:01:59.019 --> 00:02:03.299]  But look at the statistics, look at the numbers below, and it's happening in other government areas around the United States.
[00:02:03.379 --> 00:02:03.920]  This is huge.
[00:02:04.219 --> 00:02:08.800]  This isn't a sign of their capitulation and surrender and running away and hiding.
[00:02:09.259 --> 00:02:10.560]  This is the proof of it.
