# Transcription model: nvidia/parakeet-tdt-0.6b-v2, and large-v3-turbo
[00:00:01.600 --> 00:00:02.240]  All right.
[00:00:02.800 --> 00:00:06.480]  I have been talking to a lot of high-level DOJ sources.
[00:00:06.560 --> 00:00:07.280]  I'll leave it at that.
[00:00:07.360 --> 00:00:09.519]  I had a long conversation with one today.
[00:00:10.480 --> 00:00:16.160]  And I was actually authorized to tell you basically everything they told me except a few things.
[00:00:16.320 --> 00:00:17.280]  But you know what?
[00:00:17.600 --> 00:00:19.039]  I'm with the notes I wrote.
[00:00:19.199 --> 00:00:23.920]  I'm going to think about this before I start putting it out.
[00:00:24.240 --> 00:00:28.080]  Because this is big, big, big information.
[00:00:28.640 --> 00:00:30.879]  And folks know about me in InfoWars.
[00:00:30.960 --> 00:00:35.520]  I don't tell you I got something big unless I got something very, very big.
[00:00:35.840 --> 00:00:38.480]  Just one little example of thousands.
[00:00:38.800 --> 00:00:42.160]  Remember how on that Monday before RFK Jr. endorsed Trump on that Friday?
[00:00:42.240 --> 00:00:47.679]  I said, yeah, he's going to be out in, you know, West Coast, Arizona.
[00:00:48.000 --> 00:00:50.960]  And he's going to, in the afternoon, at a big rally endorse Trump.
[00:00:51.200 --> 00:00:52.640]  Everybody's like, oh, that's bullshit.
[00:00:52.719 --> 00:00:53.120]  You made that up.
[00:00:53.280 --> 00:00:53.600]  Oh, really?
[00:00:54.640 --> 00:00:55.679]  It happened, of course.
[00:00:56.320 --> 00:01:05.280]  So I'm very pleased because the globals have tried to destroy this country, trying to put me in prison, Trump in prison, try to kill him, that there are a whole bunch of grand juries open.
[00:01:05.519 --> 00:01:08.879]  I know where and a lot more.
[00:01:09.200 --> 00:01:21.519]  And I can tell you, Trump is cracking the whip and pushing through the DOJ any of the bureaucrats that are trying to block this and is in daily communication with the Patriots in there.
[00:01:21.840 --> 00:01:32.480]  And so you are about to see, you're already seeing a lot of action, raids on Bolton, all these grand juries open on Jack Smith and Leticia James and all the rest of them.
[00:01:32.799 --> 00:01:35.680]  But you have no idea how big it is.
[00:01:36.000 --> 00:01:37.200]  It is huge.
[00:01:37.519 --> 00:01:41.200]  Remember, eight years ago, I said there weren't any indictments coming to grand juries because there wasn't.
[00:01:41.519 --> 00:01:43.760]  This time, it is different.
[00:01:44.320 --> 00:01:49.600]  So I'm going to research this, think about it, go over my notes.
[00:01:49.920 --> 00:01:50.960]  But tomorrow, 4 p.m.
[00:01:51.120 --> 00:02:01.840]  Central, Infowars.com forward slash show, Relic Shows on X. And at AJN Live for the Alex House Network, get ready tomorrow, 4 p.m.
[00:02:02.000 --> 00:02:05.200]  Central, because you're going to get the big data dump.
[00:02:05.280 --> 00:02:06.079]  And here's the deal.
[00:02:06.400 --> 00:02:10.800]  Some people that are smart and I'm not BSing, they go, well, wait a minute.
[00:02:11.759 --> 00:02:17.439]  You shouldn't be telling the bad guys that Ed Martin and others are coming.
[00:02:17.759 --> 00:02:23.360]  They're already getting drugged in front of grand juries last week, this week, next week.
[00:02:24.319 --> 00:02:25.200]  They know what's going on.
[00:02:25.280 --> 00:02:27.120]  Their houses are getting raided.
[00:02:27.439 --> 00:02:28.960]  Their doors are getting kicked in.
[00:02:29.280 --> 00:02:32.479]  They're getting their subpoena letters and they're getting drug in front of grand juries.
[00:02:32.719 --> 00:02:34.000]  Oh, they know.
[00:02:36.080 --> 00:02:40.719]  The media is not picking it up because it doesn't make them look good because they've been on the wrong horse.
[00:02:40.800 --> 00:02:42.159]  Plus, our guys aren't.
[00:02:42.479 --> 00:02:44.960]  But now they want the information out.
[00:02:45.840 --> 00:02:47.920]  Big actions against the deep state coming.
[00:02:48.080 --> 00:02:49.920]  The deep states are trying to save false flags.
[00:02:50.159 --> 00:02:51.039]  Pray for Trump.
[00:02:51.280 --> 00:02:53.120]  Pray for the Patriots at DOJ.
[00:02:53.439 --> 00:02:54.879]  There's a civil war inside there.
[00:02:55.039 --> 00:02:56.000]  Pray for Ed Martin.
