[00:00:00.000 --> 00:00:02.660]  Ladies and gentlemen, the deep state is collapsing.
[00:00:02.839 --> 00:00:03.500]  You already know that.
[00:00:03.700 --> 00:00:13.039]  But Joe Biden just came out publicly and confessed to how much money the Democratic Party has stolen these federal agencies the last few years.
[00:00:13.300 --> 00:00:14.699]  Ladies and gentlemen, here's the video.
[00:00:15.019 --> 00:00:18.140]  Over a billion, three hundred million, trillion, three hundred million dollars.
[00:00:18.399 --> 00:00:19.940]  Oh, I like money.
[00:00:20.100 --> 00:00:26.339]  Oh, and for the leftists out there that have been taking too many shots, drinking too much fluoride, this is a raging satire alert.
[00:00:29.640 --> 00:00:30.079]  Alert!
[00:00:30.339 --> 00:00:44.700]  This flash sale only lasts until the evening of February 27th, 2025. The biggest sale in the history of TheAlexJonesStore.com is running right now on Patriot Apparel, on the highest quality supplements and more.
[00:00:44.840 --> 00:00:49.060]  You get a free bottle of the amazing Gut Cleanse with every order.
[00:00:49.259 --> 00:00:50.460]  Every order no matter how small.
[00:00:50.619 --> 00:00:55.479]  And every order, $50 or more, gets a free InfoWars baseball cap.
