[00:00:01.711 --> 00:00:02.751]  Work hard, play hard.
[00:00:04.211 --> 00:00:06.732]  Klaus Schwab and Bill Gates are trying to take red meat away from us.
[00:00:06.753 --> 00:00:09.554]  We can burn in hell.
[00:00:09.574 --> 00:00:10.634]  It's not red meat, it's bad for us.
[00:00:10.654 --> 00:00:14.117]  It's the Atavas and the chemicals.
[00:00:14.137 --> 00:00:16.198]  Well, they fly private jets, but you suppose they can't have a car.
[00:00:17.356 --> 00:00:19.797]  They eat steaks, but you can't have a hamburger.
[00:00:19.878 --> 00:00:26.120]  Now, ladies and gentlemen, I'm going to enjoy this big, juicy piece of Americana while it's still here.
[00:00:26.861 --> 00:00:29.042]  Hopefully, we defeat the globalists and get behind Trump's recovery.
[00:00:30.283 --> 00:00:31.783]  Enjoy these for future generations.
[00:00:33.244 --> 00:00:34.826]  It's one of the real pleasures in life.
[00:00:36.246 --> 00:00:40.207]  There's only a few other things as good.
[00:00:41.429 --> 00:00:42.909]  I can imagine some of you know what those are.
[00:00:43.689 --> 00:00:46.341]  It's as good as a delicious all-American bacon cheeseburger.
