[00:00:00.000 --> 00:00:01.320]  Or the negative incentive.
[00:00:01.540 --> 00:00:05.960]  I mean, it's going to be very costly for people to take advantage of this country.
[00:00:06.139 --> 00:00:15.080]  They can't come in and steal our money and steal our jobs and take our factories and take our businesses and expect not to be punished.
[00:00:15.080 --> 00:00:16.679]  And they're being punished by tariffs.
[00:00:17.140 --> 00:00:27.600]  It's a very powerful weapon that politicians haven't used because they were either dishonest, stupid, or paid off in some other form.
[00:00:28.239 --> 00:00:29.719]  And now we're using them.
[00:00:30.280 --> 00:00:50.820]  Trump just threw down the gauntlet, not just to all these foreign countries that have been ripping us off, but to the globalists that have been in control of our trade policies for the last 50 years, purposely shipping our jobs overseas, not putting tariffs against the countries because they all had middlemen deals with those countries in exchange for not doing the tariffs.
[00:00:51.100 --> 00:00:54.340]  That's what the BlackRock globalist model is all about.
[00:00:54.500 --> 00:00:56.939]  And in today's press conference, Trump told the truth.
[00:00:57.340 --> 00:01:02.320]  He said Reagan was great on so many other things, but he was really bad on trade.
[00:01:02.420 --> 00:01:11.340]  And that's really when this selling our jobs out overseas began was during Jimmy Carter and accelerated under Ronald Reagan.
[00:01:11.659 --> 00:01:15.920]  So Trump is pulling no punches and he's laying out the facts.
[00:01:16.060 --> 00:01:21.579]  And you have to understand, ladies and gentlemen, that all these other countries have tariffs on us.
[00:01:21.700 --> 00:01:23.519]  We don't have tariffs on them.
[00:01:23.900 --> 00:01:29.739]  And now, since he's announced that they're putting 25% tariffs on Mexico and Canada, he gave them a month.
[00:01:29.840 --> 00:01:30.939]  They didn't respond to 20%.
[00:01:30.939 --> 00:01:31.859]  He's going up.
[00:01:32.060 --> 00:01:32.980]  Now he's implementing.
[00:01:33.159 --> 00:01:38.519]  He just put a huge tariff on China because these are all one-sided trade deals.
[00:01:38.659 --> 00:01:44.359]  On average, we have less than 5% to Mexico and Canada and China.
[00:01:44.599 --> 00:01:53.120]  And over the case of Mexico, 80% of their trade, 92% of Canada's trade, the vast majority of China's trade.
[00:01:53.500 --> 00:01:57.280]  It's to us, and they buy almost nothing from us.
[00:01:57.840 --> 00:02:00.459]  You know, Trump in the press conference talked about how idiotic our leaders are.
[00:02:01.019 --> 00:02:03.340]  No, this was globalism.
[00:02:03.560 --> 00:02:12.259]  This is how they parlayed American power and wealth into the rest of the world, not even for the people of these other countries, but for the international middlemen.
[00:02:12.520 --> 00:02:15.819]  That's what the post-industrial world system is all about.
[00:02:16.180 --> 00:02:21.139]  President Trump went on to say it's going to be very costly for people to take advantage of this country.
[00:02:21.580 --> 00:02:30.719]  They can't cut in and steal our money, steal our jobs, take our factories, take our businesses, and expect not to be punished, and they will be punished by tariffs.
[00:02:30.879 --> 00:02:33.659]  Here's the longer clip of the excerpt we played earlier.
[00:02:34.159 --> 00:02:38.680]  The United States has been taken advantage of for 40 years.
[00:02:39.080 --> 00:02:42.979]  The United States has been a laughingstock for years and years.
[00:02:42.979 --> 00:02:46.860]  That's why this gentleman is built in Taiwan instead of building here.
[00:02:47.000 --> 00:02:50.680]  It would have been better if he built here if we had a president that knew what they were doing.
[00:02:51.099 --> 00:02:53.060]  And we had a lot of them very bad on trade.
[00:02:53.560 --> 00:02:56.860]  Look, I'm a huge fan of Ronald Reagan, but he was bad on trade.
[00:02:57.080 --> 00:02:58.139]  Very bad on trade.
[00:02:58.840 --> 00:03:01.860]  He allowed a lot of people, a lot of businesses to be taken.
[00:03:01.879 --> 00:03:06.159]  So I say that with due respect, because he was so great on other things.
[00:03:06.280 --> 00:03:07.180]  But he was bad on trade.
[00:03:08.280 --> 00:03:11.500]  We are setting records right now.
[00:03:11.939 --> 00:03:14.039]  Records like nobody has ever seen before.
[00:03:14.199 --> 00:03:20.020]  When you have companies like this coming in, and almost 40% of their company in one...
