[00:00:00.430 --> 00:00:06.950]  It is Sunday, February 16th, 2025. I'm already up here at the office gearing up for tonight's show.
[00:00:07.110 --> 00:00:12.150]  It's going to be absolutely massive key news analysis, 4 to 8 p.m.
[00:00:12.490 --> 00:00:13.230]  Central Time.
[00:00:13.410 --> 00:00:22.410]  But I wanted to just do a quick update on Doge and the fact that Elon is now starting to make noises about auditing.
[00:00:23.290 --> 00:00:31.149]  The U.S. gold reserves that have not been at Fort Knox, have not been audited since the early 1970s, 1974 to be precise.
[00:00:31.730 --> 00:00:43.649]  We've also been talking for months, really the first to be doing it with Dr. Kirk Elliott, a great economist, that there are record levels of gold being shipped back into New York and into the U.S. government vaults there as well.
[00:00:43.869 --> 00:00:50.549]  It takes months and months down to even be able to get your gold out of the National Central Bank there in...
[00:00:51.170 --> 00:01:01.890]  England, in London, and so there are short supplies of gold all over the world taking place because they've always been shorting it and naked shorting it and manipulating it.
[00:01:02.030 --> 00:01:11.469]  You know, the Goldman Sachs, the JP Morgan, the whole BlackRock Combine, and manipulating the price of it the whole time, even when they didn't have big holdings of it, they would just do it on paper.
[00:01:11.629 --> 00:01:15.269]  It's a giant scam, and Elon's also talked about that.
[00:01:15.670 --> 00:01:18.829]  So, a lot of stuff is coming to a head.
[00:01:19.449 --> 00:01:25.349]  All these giant debts are growing and growing, and most of these big companies and hedge funds really don't have much of the assets they claim they do.
[00:01:25.430 --> 00:01:26.329]  It's all leveraged.
[00:01:27.030 --> 00:01:37.870]  And so the fact that you see what's happening with gold, but also with silver, because it's such an industrial metal, we've never seen this level of lack of silver.
[00:01:38.129 --> 00:01:43.829]  All of this is forming a perfect storm, and you're going to see some very, very big moves in the near future.
[00:01:43.950 --> 00:01:45.209]  But I guarantee you.
[00:01:45.730 --> 00:01:56.090]  Doge is going to go investigate the gold, and it's also going to investigate the private Federal Reserve that's been heavily involved in that, that's been saying it's above the law and Trump can't tell them what to do.
[00:01:56.349 --> 00:01:57.909]  Well, Congress can revoke their charter.
[00:01:58.290 --> 00:02:08.150]  And so first you have to go in and show these agencies and groups and private corporate groups masquerading as government have engaged a bunch of fraud, then they're politically destroyed, then you can take them over.
[00:02:08.310 --> 00:02:09.310]  This is a real revolution.
[00:02:09.610 --> 00:02:10.349]  God bless you all.
[00:02:10.430 --> 00:02:13.090]  Follow me on X at RealAlexJones, and I'll be on the air at 4 p.m.
[00:02:13.150 --> 00:02:13.509]  Central today.
