# Transcription model: nvidia/parakeet-tdt-0.6b-v2, custom faster_whisper
[00:00:05.040 --> 00:00:18.320]  Over the weekend, the Trump DOJ knocked another ball for teen tyranny out of the park.
[00:00:19.839 --> 00:00:42.560]  They blocked a federal court ruling that had the support of the HHS, EPA, FDA, you name it, and all these scientists, and Robert Kenny Jr. and the plaintiffs to remove hydrofluorosilicic acid or the most toxic concentrated form of fluoride out of the water.
[00:00:44.079 --> 00:00:48.000]  Now, the United States started fluoridation after World War II.
[00:00:48.240 --> 00:00:52.000]  A few countries in the world put a little bit of it in and it's all been removed.
[00:00:52.640 --> 00:01:02.240]  You have major FDA reports coming out last year that it causes major neurological problems, brain damage, cancer, lowered IQ.
[00:01:03.200 --> 00:01:07.200]  Until the 1940s, it was the main bug poison you bought at the store.
[00:01:07.599 --> 00:01:12.320]  They would just put powder out on the ground, and if a bug walked through it, it would later die.
[00:01:12.640 --> 00:01:24.400]  And that's just regular sodium fluoride, not super concentrated, weaponized, the most deadly form of fluoride and the second strongest acid in the world, hydrofluorosilicic acid.
[00:01:24.719 --> 00:01:29.519]  It also acts as an adjuvant for any other toxins in the body to bring that across the blood-brain barrier.
[00:01:29.840 --> 00:01:36.079]  It's heavily connected with the cocktail of other things like vaccines and pesticides to autism, the exploding neurological disorders we see.
[00:01:36.960 --> 00:02:02.079]  So here we have the Trump administration that's been doing so much good, now suddenly accelerating war, now starting to authorize more mRNA shots, coming out and saying there is no Epstein list, and so forget about it after promising to release all the Epstein information.
[00:02:02.400 --> 00:02:07.200]  And then Trump did an about face with a weekend and said, no, actually, the Democrats have controlled the Epstein case files for years.
[00:02:07.439 --> 00:02:09.840]  So they've doctored them, which they doctor everything.
[00:02:10.159 --> 00:02:12.080]  I'm not saying that couldn't be true.
[00:02:12.400 --> 00:02:16.240]  But at the same time, it's just flip-flopping and 180s and all the rest of it.
[00:02:16.479 --> 00:02:32.240]  And then you've got this action by the Solicitor General, officially under Pam Bondi, to appeal this federal court ruling that says take hydrofluorosilicic acid out of the water.
[00:02:32.560 --> 00:02:37.039]  Now, states across the country, led by Utah, now passed laws to pull it out.
[00:02:37.360 --> 00:02:38.879]  Kennedy is once a federal man.
[00:02:39.120 --> 00:02:40.400]  He's been pushing it.
[00:02:41.280 --> 00:02:44.800]  Even the top FDA and EPA scientists are all on record.
[00:02:45.360 --> 00:02:47.759]  And then there's major law groups that have been winning cases.
[00:02:47.840 --> 00:02:50.560]  We'll put their sites and ex post up here.
[00:02:50.640 --> 00:03:06.159]  And we just saw the FDA come out last week and say, under Kennedy's direction, he doesn't control it, but he's advisory, you need to take all the fluoride out of the different children's medications that they just add to it to strengthen the power of whatever the drug is.
[00:03:06.640 --> 00:03:07.360]  It's an adjuvant.
[00:03:07.439 --> 00:03:08.319]  It's an accelerant.
[00:03:08.560 --> 00:03:09.680]  It's an amplifier.
[00:03:10.000 --> 00:03:11.840]  But it's a serious neurotoxin.
[00:03:12.000 --> 00:03:13.520]  And so that's now out.
[00:03:13.680 --> 00:03:16.159]  They've now ordered the drug company to stop it.
[00:03:16.480 --> 00:03:24.640]  So what Kennedy can do, he's doing a great job on, but more and more, he's being blocked by the goalies that is the DOJ.
[00:03:25.759 --> 00:03:36.080]  So this is a hands-down known fact of how deadly hydrofluorosilicic acid is and what it does to our bodies, how it's lowered USIQs massively.
[00:03:36.400 --> 00:03:51.759]  If you go to any big grocery store, they're finally phasing it out, but for 30 years, they have formula water, four babies, fortified with fluoride, way, way even above the level they admit causes serious brain damage, infertility, neurological disorders, cancer, you name it.
[00:03:52.080 --> 00:03:54.480]  So this has been done on purpose to dumb us down.
[00:03:54.800 --> 00:03:59.039]  They don't just teach 2 plus 2 equals 5 in school with common core to dumb you down with the curriculum.
[00:03:59.200 --> 00:04:00.640]  They do it chemically.
