# Transcription model: nvidia/parakeet-tdt-0.6b-v2, and large-v3-turbo
[00:00:02.560 --> 00:00:04.639]  American Journal, Friday edition.
[00:00:05.520 --> 00:00:08.640]  John Bolton getting arrested, ending the war in Ukraine.
[00:00:08.800 --> 00:00:09.679]  Exciting stuff.
[00:00:10.000 --> 00:00:10.720]  I told you.
[00:00:11.040 --> 00:00:11.839]  We did the archives.
[00:00:12.000 --> 00:00:12.560]  I said it a month ago.
[00:00:12.640 --> 00:00:13.679]  They're going to indict Bolton.
[00:00:14.000 --> 00:00:14.320]  Good.
[00:00:14.640 --> 00:00:14.960]  I've been.
[00:00:15.919 --> 00:00:18.320]  A lot of people don't believe it because they think this is eight years ago.
[00:00:18.480 --> 00:00:19.440]  This ain't eight years ago.
[00:00:19.839 --> 00:00:22.480]  I love Roger Stone gloating going, how does it feel, Bolton?
[00:00:22.800 --> 00:00:23.839]  Well, but here's the bottom line.
[00:00:24.080 --> 00:00:27.920]  He gave Trump fake intelligence briefings and knew he was innocent and was in on him.
[00:00:28.160 --> 00:00:28.560]  Well, yeah.
[00:00:28.800 --> 00:00:31.199]  And so he's not allowed to have that classified stuff.
[00:00:31.760 --> 00:00:33.840]  And listen, it's going down.
[00:00:34.160 --> 00:00:36.480]  I'm told there's at least 10 grand juries home right now.
[00:00:36.719 --> 00:00:37.600]  More after Bolton?
[00:00:38.079 --> 00:00:39.600]  Oh, it's going after Comey, all of them.
[00:00:39.679 --> 00:00:40.640]  They're all one big nest.
[00:00:40.960 --> 00:00:42.800]  See, because it takes forward the statue limitations.
[00:00:42.960 --> 00:00:43.200]  Yeah, yeah.
[00:00:43.520 --> 00:00:47.520]  Because they're all in on the Mar-lago raid trying to get Documents Trump had legally.
[00:00:48.160 --> 00:00:48.800]  Exhiding Stone.
[00:00:49.120 --> 00:00:49.920]  American Journal.
[00:00:50.560 --> 00:00:52.399]  Tiffany Siancy in studio.
[00:00:53.039 --> 00:00:53.280]  All right.
[00:00:54.560 --> 00:00:55.679]  I'm going to close this door for you.
[00:00:55.840 --> 00:00:56.000]  The guy.
[00:00:56.160 --> 00:00:56.960]  Sleeping on the show.
[00:00:57.920 --> 00:01:01.039]  Anyway, so, ladies and gentlemen, you guys excited?
[00:01:03.359 --> 00:01:04.079]  I said it didn't.
[00:01:04.239 --> 00:01:05.280]  I'm telling everybody it's coming.
[00:01:08.480 --> 00:01:14.079]  And you're listening to the American Journal with your host, Harrison Smith.
[00:01:14.400 --> 00:01:17.359]  Watch it live right now at Band Video.
[00:01:17.519 --> 00:01:18.560]  I think it's time to do this.
[00:01:24.400 --> 00:01:25.920]  Good morning, ladies and gentlemen.
[00:01:26.000 --> 00:01:27.120]  Welcome to the American Journal.
[00:01:27.200 --> 00:01:32.799]  I'm your host, Harrison Smith, coming to you live this Friday morning from the Infowars headquarters here in Austin, Texas.
[00:01:32.960 --> 00:01:34.320]  A very exciting day.
[00:01:34.640 --> 00:01:39.840]  We have Alex Jones is running around like a madman filming videos because of our top story today.
[00:01:40.400 --> 00:01:42.879]  John Bolton being raided by the FBI.
[00:01:43.040 --> 00:01:44.240]  We've got a lot more to discuss.
[00:01:44.400 --> 00:01:57.280]  On top of that, we have Tiffany Sianci in studio with us in the third hour talking about taking down BlackRock and all the nefarious moves being made to weaponize your retirement funds against you and what we can do to fight back to this.
[00:01:57.680 --> 00:01:59.359]  And by the way, that's a huge guest.
[00:01:59.680 --> 00:02:00.400]  Tiffany Siancy.
[00:02:00.640 --> 00:02:02.560]  Yeah, so why don't you get me some big excerpts?
[00:02:02.799 --> 00:02:04.480]  I'll air that in the fourth hour of my show today.
[00:02:04.640 --> 00:02:04.880]  Absolutely.
[00:02:05.120 --> 00:02:05.840]  I've been wanting to get her on.
[00:02:05.920 --> 00:02:06.159]  Good job.
[00:02:06.320 --> 00:02:06.640]  Oh, yeah.
[00:02:06.719 --> 00:02:08.800]  Yeah, I saw her at Ron Paul's birthday.
[00:02:09.120 --> 00:02:11.120]  Are you guys not excited about the Bolton thing?
[00:02:11.360 --> 00:02:12.000]  It's very exciting.
[00:02:12.159 --> 00:02:13.840]  It's just too early for me to be excited.
[00:02:14.000 --> 00:02:15.599]  I'm just, it's a calm happiness here.
[00:02:16.000 --> 00:02:16.640]  You're a nighttime guy.
[00:02:16.800 --> 00:02:17.280]  I'm a nighttime guy.
[00:02:17.439 --> 00:02:19.120]  We're talking about you switching to a nighttime show soon.
[00:02:19.360 --> 00:02:20.879]  That would be glorious, honestly.
[00:02:21.599 --> 00:02:23.039]  I think it'd be better for everybody.
[00:02:23.920 --> 00:02:24.560]  Well, we love you.
[00:02:24.640 --> 00:02:25.680]  You're doing a great job.
[00:02:26.000 --> 00:02:27.920]  You ought to be shocked for wearing that shirt.
[00:02:28.640 --> 00:02:29.599]  Well, it's Friday.
[00:02:29.680 --> 00:02:30.479]  We got a casual film.
[00:02:30.719 --> 00:02:31.280]  I'm joking.
[00:02:31.439 --> 00:02:32.240]  It's so horrible.
[00:02:32.319 --> 00:02:33.039]  It's good.
[00:02:33.920 --> 00:02:34.800]  Hey, I love it.
[00:02:35.039 --> 00:02:35.280]  All right.
[00:02:35.360 --> 00:02:36.879]  Well, Tiffany Sianci in the third hour.
[00:02:36.960 --> 00:02:37.920]  So, yeah, very exciting stuff.
[00:02:38.000 --> 00:02:40.000]  She has been a total powerhouse recently.
[00:02:40.159 --> 00:02:41.759]  Well, taking down BlackRock, it's happening.
[00:02:41.920 --> 00:02:42.080]  Yeah.
[00:02:42.400 --> 00:02:43.759]  Go, Ken Paxton.
[00:02:44.080 --> 00:02:44.800]  All right, folks.
[00:02:45.120 --> 00:02:47.599]  So, yeah, a lot of stuff to come in today's show.
[00:02:47.680 --> 00:02:48.960]  We'll begin today as we overdate.
[00:02:49.360 --> 00:02:50.319]  Did I not tell you?
[00:02:50.640 --> 00:02:52.560]  Did I not tell you they're going to indict Bolton's ass?
[00:02:52.800 --> 00:02:53.599]  Why are you bringing a chair?
[00:02:53.680 --> 00:02:54.319]  Alex, go sit down.
[00:02:54.479 --> 00:02:55.520]  No, I got to go hit the waits.
[00:02:55.680 --> 00:02:56.000]  All right, all right.
