[00:00:00.000 --> 00:00:04.139]  Big Jeffrey Epstein cover-up case news coming out.
[00:00:04.620 --> 00:00:16.879]  Some of the top individuals that have been involved know that more of the information's about to come out, that Pam Bondi got that treasure trove two weeks ago, which had to fire those, the head of the FBI in New York and others to get it.
[00:00:17.179 --> 00:00:23.379]  The word is it's about to come out very, very soon, so suddenly they're outing themselves and trying to whitewash it.
[00:00:23.620 --> 00:00:24.480]  Limited hangout.
[00:00:24.600 --> 00:00:26.059]  We're about to break it down right now.
[00:00:30.439 --> 00:00:40.380]  Well, Jess Stanley, a big J.P. Morgan top Barclays banker, who we know is on the Epstein flight logs, is getting out ahead of it.
[00:00:40.500 --> 00:00:58.299]  He says, yeah, he shared sex with one of his young assistants, one of Jeffrey Epstein's assistants, but that's why he was out at the island, but it was all girls above 18. Well, I've been explaining this for over 16, 17 years, covering the Epstein situation.
[00:00:58.840 --> 00:01:08.560]  A lot of the girl assistants on record were purchased in Eastern Europe when they were eight or nine from their parents and flown back and then used as sex slaves.
[00:01:08.859 --> 00:01:16.799]  Then they would graduate up to nannies and to corral and herd the younger girls and children.
[00:01:17.260 --> 00:01:23.299]  There were also medical experiments going on in the Caribbean and also in New Mexico and Zorro Ranch and other places.
[00:01:24.239 --> 00:01:28.060]  Not just with Peter Nygaard, of course, with his Caribbean island.
[00:01:28.060 --> 00:01:36.680]  Where they were getting women pregnant and then legally killing the baby before nine months so they could drain all of its juices out and inject it into themselves.
[00:01:36.780 --> 00:01:38.780]  If you think I'm joking, just search Peter Nygaard vampire.
[00:01:39.379 --> 00:01:40.340]  All the same stuff.
[00:01:40.540 --> 00:01:42.480]  So this is all limited hangout.
[00:01:42.719 --> 00:01:47.420]  I don't know if just Stanley just had sex with an atrium neural or whatever, okay?
[00:01:49.019 --> 00:01:55.700]  He might have just done that, but the point is they might have just picked somebody who didn't engage in the pedophilia, but...
[00:01:55.659 --> 00:02:05.459]  Had sex with these young women as a gift to get Jeffrey Epstein back into the Big Bang's graces, which he was hired to do, which he admits he was.
[00:02:05.579 --> 00:02:07.359]  So he's getting sex, basically.
[00:02:07.480 --> 00:02:09.860]  It looks like prostitution to be able to do this.
[00:02:09.900 --> 00:02:17.879]  And we know that the younger women, but still weren't girls, almost all of them were former victims, but the best victims that took to it like ducks to water.
[00:02:18.060 --> 00:02:19.860]  If you know a lot of sexual abuse victims...
