# Transcription model: large-v3-turbo, custom faster_whisper
[00:00:01.459 --> 00:00:02.020]  8647.
[00:00:03.419 --> 00:00:11.339]  86 means sink, destroy, kill, send a ship to the bottom of the ocean, Davy Jones' locker.
[00:00:11.919 --> 00:00:28.320]  And James Cumming, the disgraced FBI director who lied to Congress, who ran the deep state operations against Trump and the American people, is now saying, well, I just happened to see these shells on the beach magically.
[00:00:28.320 --> 00:00:51.039]  saying deep six president Trump and our populist president and the recovery and Trump winning the trade war securing the border going after the human traffickers shutting off the fentanyl shipping the MS-13 and TDA out of the country He wants to 86 the people's will and the return of the American Republic.
[00:00:52.020 --> 00:00:56.520]  This guy needs to be in prison for perjury to Congress and the list goes on and on.
[00:00:56.700 --> 00:00:58.479]  His conspiracy against the American people's rights.
[00:00:59.079 --> 00:01:08.260]  And the fact that he's so arrogant and the fact that he is openly sitting there putting out these threats is just insane.
[00:01:08.400 --> 00:01:09.579]  You know, we saw mud of the CIA.
[00:01:09.799 --> 00:01:11.299]  The CIA is going to kill this guy.
[00:01:12.140 --> 00:01:14.719]  And I understand the Justice Department has to build its cases.
[00:01:14.879 --> 00:01:18.760]  They've got to get Ed Martin confirmed as the U.S. Attorney in D.C. And that's being blocked right now.
[00:01:19.019 --> 00:01:20.060]  It's still going to make it.
[00:01:20.480 --> 00:01:24.319]  But we've got to have action 115, 116 days in the administration.
[00:01:25.000 --> 00:01:26.900]  I mean, the criminals are so emboldened.
[00:01:27.000 --> 00:01:28.159]  They already tried to kill Trevor Peter Lee.
[00:01:28.640 --> 00:01:30.359]  We've got to stand against this.
[00:01:30.439 --> 00:01:37.560]  But my answer to Comey and his 86-47 is we need to 48-47.
[00:01:38.900 --> 00:01:40.120]  Yeah, it's not just a troll.
[00:01:41.299 --> 00:01:42.680]  We can do it to the will of the people.
[00:01:42.760 --> 00:01:43.439]  We can change the constitution.
[00:01:43.959 --> 00:01:48.599]  We can have Trump in there for another term, their biggest nightmare.
[00:01:48.879 --> 00:01:53.500]  So the answer to their 86-47 is 48-47.
[00:01:53.760 --> 00:01:54.760]  But it doesn't matter.
[00:01:55.099 --> 00:01:59.159]  Our ideas of anti-globalism came from the populists, from myself and from many others.
[00:01:59.560 --> 00:02:00.359]  Trump rode it on the wave.
[00:02:00.500 --> 00:02:00.700]  That's great.
[00:02:00.739 --> 00:02:01.239]  He's one of us.
[00:02:01.560 --> 00:02:04.019]  But you can't kill the spirit of Trump and MAGA.
[00:02:04.079 --> 00:02:05.439]  You can't kill the spirit of InfoWars.
[00:02:05.579 --> 00:02:08.460]  You can take a website, shut down our studios, even kill Trump.
[00:02:08.599 --> 00:02:09.120]  God forbid.
[00:02:09.319 --> 00:02:16.460]  But it won't work because the spirit of 1776 lives and America is winning and the whole world sees it and wants to join us in freedom.
[00:02:16.960 --> 00:02:19.740]  The answer to 1984 is 1776.
[00:02:20.479 --> 00:02:22.900]  And the answer to the tyrants.
[00:02:23.370 --> 00:02:27.709]  And their plan to 86-47 is to 48-47.
[00:02:27.709 --> 00:02:36.370]  You've got all the power to spread the word.
[00:02:36.389 --> 00:02:37.409]  You're the Paul Revere's.
[00:02:37.409 --> 00:02:38.370]  You've got to raise the alarm.
[00:02:38.370 --> 00:02:44.049]  We also have a new special, a flash sale at thealexjonesstore.com.
[00:02:44.049 --> 00:02:46.209]  You can get a bottle of ultramethylene blue.
[00:02:46.209 --> 00:02:47.099]  No, it's selling out.
[00:02:47.110 --> 00:02:48.729]  It'll be sold out by Monday at current sales rates.
[00:02:48.729 --> 00:02:52.389]  And you get the next bottle for 50% off.
[00:02:52.620 --> 00:02:56.539]  So it's a great deal, and even though we're going to sell out of it, most people say, well, I'm not going to have it on sale, but it's going to sell out of it.
[00:02:56.539 --> 00:02:59.560]  Anyways, I want people that love a good deal to try ours.
[00:02:59.680 --> 00:03:01.879]  If you already love bethylene blue, you're going to really like ours.
[00:03:02.039 --> 00:03:02.439]  Believe me.
[00:03:02.599 --> 00:03:04.199]  If you've never tried it, talk to your physician.
[00:03:04.340 --> 00:03:05.020]  It's very powerful.
[00:03:05.340 --> 00:03:06.560]  Again, people say, well, what is it?
[00:03:06.599 --> 00:03:07.080]  What does it do?
[00:03:07.159 --> 00:03:08.419]  That would take a long time to get into.
[00:03:08.520 --> 00:03:09.139]  Do your own research.
[00:03:09.240 --> 00:03:09.819]  Consult your physician.
[00:03:10.180 --> 00:03:12.439]  And every person has been blown away.
[00:03:12.780 --> 00:03:16.219]  Because it turns up electrochemical activity in every cell in your body.
[00:03:16.560 --> 00:03:18.439]  And it cleans out the mitochondria.
[00:03:20.009 --> 00:03:23.710]  Half the people that take it feel electricity in their hands and stuff when they take it.
[00:03:26.270 --> 00:03:28.750]  That sale is live right now.
