# Transcription model: large-v3-turbo, custom faster_whisper
[00:00:01.020 --> 00:00:03.839]  Something incredible happened today.
[00:00:04.980 --> 00:00:12.859]  Macron, Starmer, and MERS were doing a train tour of Ukraine trying to drum up support to keep the war going.
[00:00:13.279 --> 00:00:20.879]  And the press gets invited into their train car, and suddenly they look around and start moving things quickly, furtively trying to hide them.
[00:00:20.960 --> 00:00:26.820]  And when you zoom in, it looks like a little cocaine spoon, a little paper of cocaine.
[00:00:27.359 --> 00:00:29.460]  And all of them look like they're lit up.
[00:00:29.839 --> 00:00:31.539]  Like Christmas trees.
[00:00:32.979 --> 00:00:44.280]  But regardless of what you think happened there, whether they were hiding cocaine or something else, maybe just cleaning some trash up real quickly, it's the media, the corporate media response that's really revealing.
[00:00:44.539 --> 00:00:47.020]  I just reposted the video four or five hours ago.
[00:00:47.119 --> 00:00:48.280]  It's already got like 8 million views.
[00:00:48.520 --> 00:00:53.200]  And I noticed that Brock came in and said, hey, this has been fact-checked.
[00:00:53.530 --> 00:00:56.909]  This isn't even a real video, which they admit is a real video.
[00:00:57.070 --> 00:00:58.490]  They're saying the interpretation isn't accurate.
[00:00:58.829 --> 00:01:02.450]  But Grok just says, and usually Grok's pretty good, oh no, it's fake.
[00:01:02.590 --> 00:01:04.230]  Reuters says the video's fake.
[00:01:05.269 --> 00:01:07.170]  No, they're saying our interpretation is wrong.
[00:01:07.569 --> 00:01:08.930]  Now, think about this.
[00:01:09.090 --> 00:01:16.670]  This is Reuters that got caught getting hundreds of millions of dollars from the Biden administration to target Elon Musk, his company, his family for destruction in the last four years.
[00:01:16.909 --> 00:01:19.870]  And then it also got Pentagon money for widespread...
[00:01:22.740 --> 00:01:23.540]  Deception operations.
[00:01:24.180 --> 00:01:27.879]  And then Reuters report on itself on that, so we don't mean that when we say that.
[00:01:28.400 --> 00:01:32.060]  This is the ultimate gaslighting, ladies and gentlemen.
[00:01:32.219 --> 00:01:40.799]  Then you have Zelensky, who's just been with them, the famous cocaine aficionado, and all the videos of him just creaking out of his mind.
[00:01:40.840 --> 00:01:42.659]  Looks more like meth to me.
[00:01:43.540 --> 00:01:48.519]  So, there's been studies out about Congress that upwards of half of them are on serious drugs.
[00:01:48.640 --> 00:01:49.700]  It's even worse in Europe.
[00:01:50.280 --> 00:01:51.500]  We need what Trump's called for.
[00:01:51.879 --> 00:01:55.540]  Mandatory drug testing of any major elected official.
[00:01:55.680 --> 00:01:59.599]  I mean, they want us to do it, to be a taxi driver or whatever, to be an FBI agent.
[00:02:00.159 --> 00:02:05.859]  We have serious, serious, serious drug addiction going on, not just in our government, but in others.
[00:02:05.939 --> 00:02:08.699]  It's well known that Biden was being shot up with methamphetamine.
[00:02:08.840 --> 00:02:13.659]  So was Robert F. Kennedy's uncle, JFK.
[00:02:14.439 --> 00:02:17.620]  So this is something that...
[00:02:17.621 --> 00:02:36.362]  It comes down to the establishment corporate media telling us that we are not supposed to be able to question or have our own interpretation of something and that if they tell us two men can have a baby and there's no X and Y chromosomes and that men can be in women's sports because they're really women, that we're supposed to just believe these lies.
[00:02:37.090 --> 00:02:40.909]  Reuters is in no position to say what was on that table.
[00:02:41.420 --> 00:02:42.280]  It's objective.
[00:02:42.520 --> 00:02:45.560]  It's for everybody to look at and make their own decision.
[00:02:45.740 --> 00:02:47.460]  And that's what broadcasts like mine are.
[00:02:47.659 --> 00:02:52.500]  It's punditry, it's analysis, it's opinion, and it's journalists that we have on that have broken major stories.
[00:02:52.639 --> 00:02:58.580]  And then the public watches us and does their own research and decides, are we a credible source that tries to tell the truth?
[00:02:58.900 --> 00:03:00.060]  Was Alex Jones right?
[00:03:00.340 --> 00:03:01.500]  Am I tomorrow's news today?
[00:03:01.719 --> 00:03:10.120]  And the answer is, overall, we're one of the most accurate media operations in the world versus corporate media that's been caught over and over again lying on purpose.
[00:03:10.490 --> 00:03:15.169]  About everything under the sun from COVID to the Hunter Biden laptop to WMDs in Iraq.
[00:03:15.389 --> 00:03:29.990]  And then Reuters, known MI6, that's literally the clearinghouse for disinformation, PR campaigns, and attacks on Trump, myself, Elon Musk, Tucker Carlson, everybody else, has the nerve to come in like their god and wave their magic, disgusting wand.
[00:03:30.689 --> 00:03:31.530]  But it doesn't matter.
[00:03:31.669 --> 00:03:36.310]  When they come in and fact-check it, that makes even more people say, oh, okay, it must be cocaine.
[00:03:37.310 --> 00:04:04.639]  Regardless, I challenge Keir Starmer, Well, that's my report on this important issue.
[00:04:04.879 --> 00:04:06.900]  The good news is the whole world's turning against them.
[00:04:07.020 --> 00:04:08.139]  Trump's close to a peace deal.
[00:04:09.770 --> 00:04:22.230]  Humanity stands on the side of peace and justice, and against those on the wrong side of history, the coalition of the willing, as they've been calling themselves, and against their attempts to bring us into total World War III and a potential nuclear Armageddon.
[00:04:22.470 --> 00:04:24.350]  Be sure and follow me on the next one, Alex Jones.
[00:04:24.670 --> 00:04:28.470]  And tune into the Sunday live show, 4 to 6 p.m. Central as well as the weekday show.
[00:04:28.649 --> 00:04:29.269]  Thank you so much.
[00:04:29.269 --> 00:04:39.470]  There are so many of these unsolicited listener reviews of Methylene Blue coming in via phone calls, emails, and folks posting on X, Facebook, you name it, that we are just scratching the surface here.
[00:04:39.529 --> 00:04:45.089]  But I'm about to play just a few clips for you in a moment of callers I got today to the show talking about the dramatic effects.
[00:04:45.189 --> 00:04:46.449]  And let me tell you, I felt them as well.
[00:04:46.730 --> 00:04:51.509]  99% of people that take it have between moderate to just insanely good effects.
[00:04:51.769 --> 00:04:53.449]  So good for your whole body.
[00:04:53.850 --> 00:04:57.529]  And you can get Ultramethylene Blue at thealexjonescore.com.
[00:04:57.649 --> 00:05:06.970]  But its sister site is realalexjones.com, and your purchases there go to our legal defense, stay on the air, and building the Alex Jones Backup Network.
[00:05:07.329 --> 00:05:16.790]  I want to encourage you to go there to get it because you get an additional 10% off for a limited time right now with promo code BLUE at checkout.
[00:05:17.129 --> 00:05:18.949]  So, ladies and gentlemen, Enjoy.
[00:05:19.149 --> 00:05:19.889]  Do your own research.
[00:05:20.089 --> 00:05:21.189]  Check with your physician first.
[00:05:21.350 --> 00:05:23.910]  But it is amazing for myself and so many others.
[00:05:24.129 --> 00:05:26.829]  This is the strongest methylene blue out there, hands down.
[00:05:27.170 --> 00:05:27.970]  I've tried a lot of other ones.
[00:05:28.129 --> 00:05:29.050]  It's game changing.
[00:05:29.209 --> 00:05:31.970]  Get yours now at realalexjones.com.
[00:05:32.430 --> 00:05:35.050]  I'm about to unleash my unlimited power.
[00:05:35.410 --> 00:05:38.790]  I just want to promote the methylene blues.
[00:05:39.029 --> 00:05:43.910]  My husband and I own a heat and air business, and every time a new technician comes in, I'm like, all right, you got to try it.
[00:05:44.050 --> 00:05:44.949]  All right, 15 minutes.
[00:05:45.029 --> 00:05:45.589]  How do you feel?
[00:05:45.750 --> 00:05:46.329]  Talk to me.
[00:05:46.529 --> 00:05:49.529]  And it definitely put a pep in my stepmom before.
[00:05:49.730 --> 00:05:51.170]  So you're doing the same thing we're doing on air.
[00:05:51.410 --> 00:05:54.529]  So how many people have you given an ultra-methylene blue to?
[00:05:55.490 --> 00:05:57.449]  I've given it to eight different people.
[00:05:58.409 --> 00:06:02.649]  And only one of them, who's super athletic, didn't have a huge...
[00:06:02.649 --> 00:06:06.069]  He said it felt like a cup of coffee, but all the other guys, night and day.
[00:06:06.389 --> 00:06:08.529]  Well, that's the thing, and that's in the medical literature.
[00:06:08.829 --> 00:06:15.069]  The more problems you have mitochondrally, and you can be in great shape, but not have good mitochondria genetics, is the more you feel it, yeah.
[00:06:15.500 --> 00:06:15.699]  Right.
[00:06:15.860 --> 00:06:19.939]  For me, it's like a fog lifted, but it was like a veil lifted off, you know?
[00:06:20.160 --> 00:06:20.600]  Incredible.
[00:06:20.860 --> 00:06:22.759]  Best product that I've purchased so far.
[00:06:23.000 --> 00:06:24.720]  Let me tell you about the methylene blue.
[00:06:24.959 --> 00:06:30.660]  I have a renter, and he came walking up to my house to pay his rent, and he looked like a walking corpse.
[00:06:30.660 --> 00:06:34.560]  He worked at our local packing plant, Tyson.
[00:06:34.759 --> 00:06:35.519]  Night shift.
[00:06:35.720 --> 00:06:38.079]  I mean, he looked like, I said, walking corpse.
[00:06:38.519 --> 00:06:43.899]  I gave him two huge shots of that methylene blue, and then saw him a couple days later.
[00:06:43.899 --> 00:06:45.779]  He looked like a different person.
[00:06:45.959 --> 00:06:48.800]  He said he was still feeling the effects of it.
[00:06:48.959 --> 00:06:50.779]  I mean, he had a smile on his face.
[00:06:50.980 --> 00:06:55.120]  I swear, he couldn't walk to hand me the check, and he's not that old.
[00:06:55.480 --> 00:06:58.699]  Have any listeners ever seen me hype something up like this?
[00:06:58.839 --> 00:06:58.879]  No.
[00:06:59.319 --> 00:07:00.839]  I mean, it's so good, it's scary.
[00:07:01.000 --> 00:07:01.980]  It's just amazing.
[00:07:02.160 --> 00:07:04.120]  So yes, it really does work.
[00:07:04.199 --> 00:07:06.459]  It varies person to person, but it's amazing.
[00:07:06.740 --> 00:07:07.839]  What else did you notice?
[00:07:08.139 --> 00:07:09.480]  I'm 20 years old.
[00:07:09.699 --> 00:07:13.459]  I'm 61. I work like 10 different things.
[00:07:13.459 --> 00:07:14.519]  I'll do the yard.
[00:07:14.740 --> 00:07:15.980]  I'll change a tire.
[00:07:16.779 --> 00:07:18.939]  I do about 100 things a day.
[00:07:19.079 --> 00:07:20.620]  And I mean, I just want to go.
[00:07:20.980 --> 00:07:21.560]  You're absolutely right.
[00:07:21.560 --> 00:07:22.339]  I appreciate your call.
