[00:00:01.139 --> 00:00:03.620]  Massive breaking news on this Tuesday evening.
[00:00:03.779 --> 00:00:22.960]  Brooke Rollins, the head of the USDA, the U.S. Department of Agriculture, just came out an hour ago and said, President Trump has instructed her to chronicle all the farmland bought directly by the communist Chinese government, millions of acres during the Biden administration, and to look to force them to sell it as a national security risk.
[00:00:23.379 --> 00:00:27.420]  Next, they should look at Bill Gates, all the farmland he's bought, trying to...
[00:00:27.480 --> 00:00:32.719]  Shut down farmers and bring in GMO and these giant insect bug farms to make you eat bugs.
[00:00:32.820 --> 00:00:40.159]  And all of the top ten big farm companies, big food companies, have come out and said they're moving to make you eat bugs.
[00:00:40.159 --> 00:00:41.939]  They're building giant factories for it.
[00:00:42.060 --> 00:00:46.100]  So, stop Bill Gates making us eat the bugs and the WF agenda.
[00:00:46.380 --> 00:00:48.299]  Stop the Communist Chinese taking over our food.
[00:00:48.460 --> 00:00:49.200]  Food is a weapon.
[00:00:49.320 --> 00:00:50.280]  The UN's talked about that.
[00:00:50.479 --> 00:00:55.820]  President Trump is on all cylinders understanding the national security of clean, healthy food in America.
[00:00:57.710 --> 00:01:03.850]  The UN has cut off food production all over the world in the name of COVID. It wasn't COVID that killed tens of millions of people.
[00:01:04.230 --> 00:01:06.670]  On record, it was the lockdowns that caused starvation.
[00:01:06.829 --> 00:01:12.730]  And then when the Third World collapses, the U.N. organizes them into refugee camps and invades the United States and Europe with replacement migration.
[00:01:12.930 --> 00:01:23.890]  But Trump and Elon Musk and Doe and the American people and across the world, folks are waking up, populists are winning everywhere in Europe, you name it, are saying no to this dehumanist, depopulation, post-industrial world.
[00:01:23.989 --> 00:01:24.730]  This is so exciting.
[00:01:25.189 --> 00:01:28.290]  Take back our farmland from the communist Chinese now.
[00:01:28.609 --> 00:01:30.890]  Follow me on X at RealAlexJones.
[00:01:31.129 --> 00:01:33.189]  More reports coming tonight.
