# Transcription model: large-v3-turbo
[00:00:00.000 --> 00:00:01.260]  It's really, really bad.
[00:00:01.260 --> 00:00:01.980]  It's terrorism.
[00:00:01.980 --> 00:00:03.120]  It's because they're cowards.
[00:00:03.220 --> 00:00:04.419]  It's because they're desperate.
[00:00:04.700 --> 00:00:08.460]  And the next move is that Trump's going to kill migrants.
[00:00:08.660 --> 00:00:12.640]  And I said three, four months ago, I said, they're starting this even before he got in, even before he was president-elect.
[00:00:13.119 --> 00:00:15.619]  Last month of the election, I said, they keep saying...
[00:00:15.789 --> 00:00:16.690]  All of the talking heads.
[00:00:16.809 --> 00:00:19.170]  He's going to kill Tom Homan, the Border Patrol.
[00:00:19.510 --> 00:00:20.730]  ICE is going to kill a bunch of migrants.
[00:00:20.910 --> 00:00:24.710]  So they're at the border or at a detention facility or at a demonstration is what I think.
[00:00:25.010 --> 00:00:27.350]  Somebody in a parking garage or something is going to mow them down or truck bomb them.
[00:00:27.469 --> 00:00:29.870]  And then they're going to go, oh my God, they killed a Trump supporter.
[00:00:29.969 --> 00:00:30.710]  He got a MAGA hat.
[00:00:30.850 --> 00:00:31.670]  It all starts there.
[00:00:31.929 --> 00:00:34.789]  They also keep saying blacks are going to get killed.
[00:00:34.869 --> 00:00:38.590]  Well, we're only blacks, a black church, a black college, or traditionally black college.
[00:00:39.030 --> 00:00:39.990]  Something like that.
[00:00:40.729 --> 00:00:41.590]  That's the next move.
[00:00:41.729 --> 00:00:43.630]  It's very easy to telegraph, but we're out ahead of it.
[00:00:44.409 --> 00:00:45.710]  This is extremely dangerous.
[00:00:46.229 --> 00:00:50.409]  We've said they want to also do a nuclear false flag, even before the Russians set it against a reactor.
[00:00:50.590 --> 00:00:51.689]  I said that in the last three years.
[00:00:51.770 --> 00:00:54.009]  Now they've done that several times with drone attacks, trying to blame Russia.
[00:00:54.490 --> 00:00:56.009]  They built the Nord Stream, blamed it on Russia.
[00:00:56.350 --> 00:00:57.070]  Nobody's buying it.
[00:00:57.549 --> 00:01:00.670]  So, escalation of war, economic collapse.
[00:01:00.810 --> 00:01:03.490]  They're trying to crash social security internally, blaming it on Doge and Musk and Trump.
[00:01:03.630 --> 00:01:04.530]  They pre-programmed that.
[00:01:04.629 --> 00:01:05.650]  Now they're saying it's imminent.
[00:01:06.570 --> 00:01:18.590]  and false flag attacks.
[00:01:18.600 --> 00:01:19.900]  Can I just record this?
[00:01:20.180 --> 00:01:21.879]  All right, this is the swatting of Owen Schroer.
[00:01:22.060 --> 00:01:23.019]  Happened late last night.
[00:01:24.480 --> 00:01:28.180]  All right, I assure you this is a non-starter, gentlemen.
[00:01:28.459 --> 00:01:33.620]  Keep your shirt up like that.
[00:01:33.739 --> 00:01:39.680]  See about five or six flashlights, every one of which has a high-powered rifle attached.
[00:01:41.980 --> 00:01:43.139]  Yelling orders to Owen.
[00:01:43.139 --> 00:01:43.680]  Pull up.
[00:01:43.680 --> 00:01:45.920]  Rotate. 360.
[00:01:45.920 --> 00:01:48.140]  Turn.
[00:01:48.719 --> 00:01:49.219]  Slowly.
[00:01:49.439 --> 00:01:49.920]  Slowly.
[00:01:50.280 --> 00:01:50.900]  Turn.
[00:01:51.579 --> 00:01:52.099]  Slowly.
[00:01:52.760 --> 00:01:53.120]  Stop.
[00:01:53.840 --> 00:01:54.659]  Keep your hands up.
[00:01:57.900 --> 00:02:04.280]  So he fails to follow one of these directions to the tee, and he gets riddled with bullets.
[00:02:04.280 --> 00:02:05.680]  That's the situation right now.
[00:02:08.000 --> 00:02:10.900]  Every one of these swatting attacks is attempted murder.
[00:02:11.539 --> 00:02:18.139]  And they make calls specifically designed to cause the biggest and most violent response from police.
[00:02:18.139 --> 00:02:19.718]  They're trying to execute us.
[00:02:19.718 --> 00:02:21.599]  I saw a lot of people celebrating this.
[00:02:21.599 --> 00:02:23.280]  They deserve it.
[00:02:23.280 --> 00:02:26.909]  Even the video I posted on the video show.
[00:02:26.919 --> 00:02:33.300]  So this is just the latest in a long series.
[00:02:33.538 --> 00:02:34.558]  We can go ahead and take it down.
[00:02:34.558 --> 00:02:40.768]  Alex Jones joins me in studio to discuss this ongoing campaign of domestic terror against
[00:02:41.359 --> 00:02:45.180]  Right-wingers, what is this, the 20th person in the last two weeks?
[00:02:45.520 --> 00:02:46.280]  Something like that?
[00:02:46.680 --> 00:02:47.960]  Well, let me just be clear.
[00:02:48.120 --> 00:02:50.000]  I'm going to state the facts here and what's really going on.
[00:02:51.539 --> 00:02:53.939]  It's more than 20 people that have gone public.
[00:02:54.500 --> 00:02:58.580]  We have had over 60 calls from prominent people the last two weeks.
[00:02:59.560 --> 00:03:05.039]  Even a few right before Chase got hit last Tuesday twice.
[00:03:05.400 --> 00:03:07.599]  Had to come out with his hands up behind his back as well.
[00:03:07.699 --> 00:03:09.560]  Chase Guy's our other great co-host and anchor.
[00:03:10.939 --> 00:03:22.280]  So, I've had over 60 calls, including people I know very well and personally, that I talked to this morning who were swatted and whose families were also swatted around the country, including here in Texas.
[00:03:22.280 --> 00:03:24.939]  But I've been asked by those folks not to talk about it.
[00:03:25.439 --> 00:03:36.879]  So, you saw me shoot my report at like 5 a.m. this morning that you played the star of the show, and I hadn't yet to get more calls from people I know personally that they and their families have been swatted around the country.
[00:03:37.319 --> 00:03:38.639]  So, here's what's happening.
[00:03:39.069 --> 00:03:39.909]  I want to state it clearly.
[00:03:40.129 --> 00:03:41.710]  The deep state globalists are desperate.
[00:03:41.830 --> 00:03:42.930]  Their system is being dismantled.
[00:03:43.009 --> 00:03:45.090]  Their money is being massively cut off.
[00:03:45.229 --> 00:03:46.669]  It's about 90% cut off right now.
[00:03:47.810 --> 00:03:49.550]  They're burning up the Tesla dealership.
[00:03:49.669 --> 00:03:57.710]  Soros funded groups on record are putting up interactive maps and apps with mall-off cocktails showing the home addresses of Tesla owners.
[00:03:57.889 --> 00:04:01.490]  They have university students, Antifa putting flyers all over the country on cars.
[00:04:02.260 --> 00:04:04.400]  Saying we're going to burn it up next week if you don't get rid of it.
[00:04:04.460 --> 00:04:08.900]  This is classic organized crime racketeering domestic terrorism by the definition.
[00:04:09.460 --> 00:04:13.379]  Then MSNBC and others go, why, Trump wants to charge people with domestic terrorism for protesting Tesla.
[00:04:13.500 --> 00:04:14.900]  No, burning them down.
[00:04:15.319 --> 00:04:17.540]  And they show an edited clip of him saying this is terrorism.
[00:04:17.540 --> 00:04:18.680]  And they go, oh, protesting.
[00:04:18.939 --> 00:04:20.259]  So they're aiding and abetting it.
[00:04:20.590 --> 00:04:23.430]  The view, all of them are saying, Trump's killing people with no evidence.
[00:04:23.610 --> 00:04:25.149]  We've got to, quote, be ready to fight and die.
[00:04:25.350 --> 00:04:31.949]  That was the Democrat plan that Raskin, John Podesta, Carvel all said, if Trump wins, we're going to have a civil war, civil war conditions.
[00:04:32.470 --> 00:04:34.209]  So, they're going to escalate.
[00:04:34.310 --> 00:04:36.110]  They're going to false flag a migrant demonstration.
[00:04:36.490 --> 00:04:38.009]  They say Trump's going to kill the migrants.
[00:04:38.250 --> 00:04:39.389]  And then it's off the races.
[00:04:39.569 --> 00:04:42.629]  They're going to activate their anti-war, their Black Lives Matter, their communists, their Hezbollah, their Hamas.
[00:04:43.069 --> 00:04:44.269]  Or they'll say it's Hezbollah and Hamas.
[00:04:44.410 --> 00:04:45.069]  They're cutout groups.
[00:04:45.470 --> 00:04:46.829]  And they're going to go crazy.
[00:04:47.170 --> 00:04:48.250]  They're definitely doing it.
[00:04:48.350 --> 00:04:49.269]  I told people before the election.
[00:04:49.660 --> 00:04:51.100]  When he's president-elect, look for these signs.
[00:04:51.220 --> 00:04:51.720]  It's all here.
[00:04:52.139 --> 00:04:58.079]  So, and there they are in 2020, battle planning the Civil War, and they said, okay, if Trump wins, we'll do that.
[00:04:58.339 --> 00:05:02.720]  If we can't steal it, then they said it again a month before the election, and now they're launching this plan right here.
[00:05:03.079 --> 00:05:05.459]  So, this is terrorism.
[00:05:05.560 --> 00:05:06.660]  It's because they're losing.
[00:05:06.860 --> 00:05:07.379]  They're desperate.
[00:05:07.480 --> 00:05:08.800]  They want us to think they have power.
[00:05:08.980 --> 00:05:17.420]  They want to intimidate the talk show host and the media, not just the, quote, influencers, but original, populist, anti-globalist, pro-human.
[00:05:17.800 --> 00:05:25.379]  Independent media that is telling the truth, that has the credibility, and we're way bigger than CNN, MSNBC combined, and we're just one big channel.
[00:05:25.600 --> 00:05:29.360]  You have hundreds of super prominent people bigger than CNN, MSNBC combined.
[00:05:29.560 --> 00:05:32.480]  The Benny Johnsons, the Jack Posobiec, the list goes on and on.
[00:05:32.519 --> 00:05:37.680]  Then you have the Tucker Carlson's that's just super gigantic, and Joe Rogan totally awake, and Elon Musk.
[00:05:37.839 --> 00:05:42.480]  So they thought we were the big problem eight years ago, because we were the biggest thing and really the only thing at this level.
[00:05:43.019 --> 00:05:44.639]  I said, hey, my job has become obsolete.
[00:05:44.819 --> 00:05:46.639]  People wake up so much that it's giant.
[00:05:46.819 --> 00:05:47.459]  That's the Great Awakening.
[00:05:47.579 --> 00:05:48.300]  It's happening.
[00:05:48.439 --> 00:05:49.579]  And people get it now.
[00:05:49.699 --> 00:05:51.459]  They're not naive anymore about the death cult we're facing.
[00:05:51.800 --> 00:05:58.519]  So all they've got is burning down Tesla dealerships all over the country, hundreds and hundreds of attacks a week, and in Europe.
[00:05:58.519 --> 00:06:01.040]  All they've got is mobilizing their mobs.
[00:06:01.300 --> 00:06:06.160]  All they've got is sending police saying a father has his wife and kids tied up.
[00:06:06.259 --> 00:06:06.980]  It's always the same story.
[00:06:07.279 --> 00:06:08.720]  I see the police.
