[00:00:01.130 --> 00:00:02.970]  Well, it's 6.30-something.
[00:00:02.970 --> 00:00:04.530]  I'm actually going home early tonight.
[00:00:06.230 --> 00:00:12.410]  Since about three months before the election, I've been working until about 8 or 9 at the office and about midnight.
[00:00:14.070 --> 00:00:16.190]  And I don't say that to sound impressive.
[00:00:17.289 --> 00:00:19.530]  I've always worked, you know, 10, 12, 14 hours a day.
[00:00:19.589 --> 00:00:20.149]  Sometimes more.
[00:00:20.769 --> 00:00:21.870]  I've been making films and stuff.
[00:00:21.949 --> 00:00:23.910]  Sometimes I haven't slept for days to finish the deadline.
[00:00:24.570 --> 00:00:27.449]  But this is such a beautiful world.
[00:00:27.570 --> 00:00:28.829]  We've got to save it from nuclear war.
[00:00:28.949 --> 00:00:30.309]  We've got to save it from the globalists.
[00:00:30.940 --> 00:00:35.659]  Death cult that want us to be dehumanized and live like lab rats and not stand up for each other and have any value.
[00:00:36.399 --> 00:00:43.399]  And we've just got Trump bringing back classic Americana, classic national sovereignty, and it's so beautiful and so special.
[00:00:43.880 --> 00:00:48.539]  I wanted to share this amazing sunset with you and just thank all of you for all you've done.
[00:00:49.719 --> 00:00:52.179]  Because, you know, it's hard for me to turn off.
[00:00:52.619 --> 00:00:58.619]  And you see the incredible work ethic of Trump and Elon and everybody else, and they understand this is destiny.
[00:00:59.280 --> 00:01:01.859]  And they understand that we're going to outwork our enemies.
[00:01:02.119 --> 00:01:03.140]  It's a paraphrase patent.
[00:01:05.099 --> 00:01:08.700]  You may be tired and hungry, but our enemy's way more tired and hungry.
[00:01:09.859 --> 00:01:13.620]  You just got to hit with everything you got and just keep punching.
[00:01:14.239 --> 00:01:15.459]  So that's what I'm doing.
[00:01:16.299 --> 00:01:17.620]  And I'm trying my best.
[00:01:18.340 --> 00:01:19.620]  And I can't do it without you.
[00:01:19.739 --> 00:01:26.319]  And I really appreciate all of you because, you know, there's some people out there that aren't thankful for what's happening and that they're living in denial.
[00:01:26.620 --> 00:01:27.760]  I don't mean the left.
[00:01:29.399 --> 00:01:31.640]  We're totally delusional and in a total cult.
[00:01:31.760 --> 00:01:34.599]  But other people just can't admit that there's good in the universe.
[00:01:35.519 --> 00:01:48.400]  They just can't admit that there were people in the grassroots and every level of the establishment that want prosperity and love their kids and don't want nuclear war and don't want to cut little boy signals off and little girl's breasts off.
[00:01:49.299 --> 00:01:54.000]  So to everybody out there that wants sanity and wants to have a future, I love you and I appreciate you.
[00:01:54.510 --> 00:02:00.230]  And I just, it's just amazing in this whole journey to get to meet the people that actually care about freedom and that are truthful and that are straight shooters.
[00:02:00.609 --> 00:02:03.870]  And they're brown, they're black, they're white, they're old, they're young, they're everybody.
[00:02:04.269 --> 00:02:05.129]  They're red-blooded.
[00:02:05.329 --> 00:02:05.870]  God made them.
[00:02:06.629 --> 00:02:10.610]  So thank you so much for everything you do and thank you so much for continuing to support us.
[00:02:10.870 --> 00:02:11.590]  Can't do it without you.
