[00:00:00.000 --> 00:00:02.580]  Don't ever shy away from our progressive values.
[00:00:02.839 --> 00:00:05.660]  One person's socialism is another person's neighborliness.
[00:00:10.539 --> 00:00:14.980]  Well, the Democrat Party continues to commit political suicide.
[00:00:14.980 --> 00:00:17.019]  They continue to drive off the edge of a cliff.
[00:00:17.239 --> 00:00:25.739]  They continue to not course-correct, but only get more extreme and make up bigger and bigger lies.
[00:00:25.739 --> 00:00:36.299]  Why, the former head of the Social Security Administration, big Democrat operative today, Came out and said within 30 to 90 days, Social Security will crash because Elon Musk is destroying all the computers.
[00:00:36.500 --> 00:00:37.799]  Just made up.
[00:00:38.439 --> 00:00:45.899]  But trying to create hysteria and fear, probably before they launch a false flag on the computer systems and crash it and blame Musk.
[00:00:46.039 --> 00:00:47.960]  I mean, that's definitely where this is going.
[00:00:48.280 --> 00:00:54.420]  But to also show how they refused to course correct, we have Kamala Harris saying she's probably going to run for governor of California.
[00:00:55.200 --> 00:00:57.700]  The state she helped run on the ground as Attorney General.
[00:00:58.000 --> 00:01:02.020]  And Tampon Tim Walsh is back, ladies and gentlemen.
[00:01:02.200 --> 00:01:13.019]  He says yes, he thinks he'd be a great contender for 2028. Well, I hope and pray that he runs against J.D. Vance or Tulsi Gabbards or whoever is the nominee then.
[00:01:13.620 --> 00:01:17.299]  Because there is no doubt this guy is super creepy.
[00:01:17.459 --> 00:01:19.939]  And people absolutely cannot stand him.
[00:01:20.060 --> 00:01:22.879]  And he's a communist Chinese agent on record.
[00:01:23.290 --> 00:01:27.150]  And as all this other incredible corruption, he will be so easy to beat.
[00:01:27.370 --> 00:01:32.170]  But you'd think that they wouldn't already understand that.
[00:01:32.310 --> 00:01:42.409]  But instead, their main goal is chopping your son's genitals off and putting tampons in the bathroom for boys and cutting your daughter's breast off and uterus out.
[00:01:42.829 --> 00:01:45.890]  So this is truly a psychotic pedo death cult.
[00:01:46.090 --> 00:01:48.390]  And again, I'm not saying Tim Walz is a pedo.
[00:01:48.590 --> 00:01:49.010]  No, no, no, no.
[00:01:49.150 --> 00:02:03.090]  I'm just saying if I was going to cast somebody, To play the part of like an evil guy that drives around in an ice cream truck, kidnapping kids, do medical experiments on them, I would cast him right now as Hollywood director to play, you know, the psychotic dungeon keeper with a bunch of locked up kids.
[00:02:03.510 --> 00:02:14.169]  So, you've got The View up there, I saw him today chanting, show your support, chant Ukraine, Ukraine, Ukraine, and oh, Trump's a Russian agent and all this crap.
[00:02:14.310 --> 00:02:18.810]  No, Trump is an agent of prosperity and freedom and Russia is not our enemy.
[00:02:19.360 --> 00:02:35.460]  The globalists use Russia as the pretext to keep the real tyranny of NATO and the incredibly corrupt totalitarian EU that's canceling elections, arresting presidential leaders, kind of like we saw happen here in the last four years that woke folks up in America.
[00:02:35.539 --> 00:02:37.659]  This is a global awakening.
[00:02:38.099 --> 00:02:48.530]  And I'm just proud that America, that had become one of the main centers of globalism, It's where the people have begun to get back in control, to turn this around, not just here, but across the world.
[00:02:48.650 --> 00:02:51.669]  For myself and the entire InfoWars crew, I salute you and I thank you.
[00:02:51.729 --> 00:02:53.009]  Now, remember, you're the Paul Revere's.
[00:02:53.389 --> 00:03:01.810]  Take this report and share it with everyone you know, and please support our sponsor that's amazing, the widest selection of Patriot Apparel, the very best supplements, and more at thealexjonesstore.com.
[00:03:01.810 --> 00:03:06.009]  I'll see you on the front lines of the InfoWars every weekday morning at 11 a.m.
[00:03:06.129 --> 00:03:16.449]  Central at infowars.com forward slash show, and catch the live feed and share it at Real Alex Jones right here on X. And my record is so pro-choice, Nancy Pelosi asked me if I should tone it down.
[00:03:16.689 --> 00:03:20.069]  I stand with Planned Parenthood, and we won!
[00:03:20.909 --> 00:03:26.889]  The globalist anti-human revolution is now burning down and collapsing in front of us.
[00:03:27.129 --> 00:03:30.610]  Our counter-revolution against them has been an incredible success.
[00:03:30.830 --> 00:03:37.969]  But now, we have to continue the greatest revolution in modern history, the Renaissance, into the future.
[00:03:38.150 --> 00:03:40.409]  And that's why InfoWars is more important than ever.
[00:03:40.710 --> 00:03:43.870]  Ladies and gentlemen, we could not have done any of this without you.
[00:03:44.080 --> 00:03:52.099]  And bad guys and good guys recognize that we would not see this populist revolution succeeding in America and around the world without Infowars.
[00:03:52.219 --> 00:03:53.379]  And that means without you.
[00:03:53.599 --> 00:04:08.840]  So I want to thank you all for your past support and encourage you to go to our sponsor, realalexjones.com, where you can get exclusive fundraiser coins like this Tip of the Spear coin that's already sold out at thealexjonesstore.com, but we have backup at...
[00:04:09.240 --> 00:04:14.139]  RealAlexJones.com Also, discounts on great products like...
[00:04:14.439 --> 00:04:16.519]  This incredible super nutrient, Shilogy.
[00:04:16.819 --> 00:04:20.819]  It's all available right now at realalexjones.com.
[00:04:21.000 --> 00:04:22.959]  The widest selection of Patriot apparel.
[00:04:23.139 --> 00:04:25.060]  The very best supplements and more.
[00:04:25.199 --> 00:04:29.480]  Just like our information is hardcore and accurate and the best, these products are the best.
[00:04:29.620 --> 00:04:31.079]  I want to thank all for your past support.
[00:04:31.079 --> 00:04:38.019]  I want to encourage you now to stand with us as we accelerate this revolution against tyranny at realalexjones.com.
[00:04:38.160 --> 00:04:39.220]  You are backing this.
[00:04:39.339 --> 00:04:40.360]  You are the Paul Revere's.
