# Transcription model: nvidia/parakeet-tdt-0.6b-v2, and large-v3-turbo
[00:00:00.240 --> 00:00:02.240]  It's Saturday morning.
[00:00:03.120 --> 00:00:04.719]  I'm your host, Alex Jones.
[00:00:04.879 --> 00:00:10.240]  We are now leaving D.C. on the next leg of our very important mission.
[00:00:10.560 --> 00:00:12.000]  This is mission number two.
[00:00:12.080 --> 00:00:12.480]  We're on.
[00:00:12.560 --> 00:00:16.080]  So thanks for all your prayers and support and very, very important work.
[00:00:16.640 --> 00:00:19.359]  I'll continue to file special reports on the road.
[00:00:19.440 --> 00:00:21.039]  I'll just leave it at that.
[00:00:21.679 --> 00:00:23.519]  But here's the bottom line.
[00:00:23.839 --> 00:00:26.400]  I do mass threat analysis.
[00:00:26.719 --> 00:00:31.600]  I have sources, you know, the Pentagon, FBI, DOJ, everywhere.
[00:00:31.760 --> 00:00:37.280]  But I personally just double-check my own findings from people that I know are really smart and dialed in.
[00:00:37.759 --> 00:00:39.679]  So my own counsel I would keep.
[00:00:40.640 --> 00:00:44.719]  Of course, I was 100% right that it was a deranged leftist that killed Charlie Kirk.
[00:00:45.039 --> 00:00:47.039]  There's thousands of data points that go into that.
[00:00:47.359 --> 00:01:05.120]  Now we have the evidence all coming out from his family that turned him in and his statements to others online that he thought Charlie Kirk was a fascist and hateful and his family are the ones that turned him in.
[00:01:05.760 --> 00:01:12.799]  Now the left, who was calling for Charlie Kirk's death everywhere and celebrating it everywhere, and people chanting killed Charlie Kirk and celebrating we got shot.
[00:01:13.439 --> 00:01:15.840]  Now they're saying he must be a Trump supporter.
[00:01:16.000 --> 00:01:23.359]  They took photos of him from social media where he's wearing a plain t-shirt and put Trump on him.
[00:01:23.600 --> 00:01:27.680]  And they're flooding the zone with disinformation and lies because that's what they do.
[00:01:27.840 --> 00:01:35.439]  No, you're the ones shooting up Catholic masses and kids, little kids masses in schools.
[00:01:35.760 --> 00:01:37.840]  You're the ones shooting up Christian schools.
[00:01:38.159 --> 00:01:40.560]  You're the ones going around calling for killing everyone.
[00:01:40.719 --> 00:01:51.120]  We had a tranny yesterday circle us on the street threatening us and laughing about Charlie Kirk being dead when I literally just shot a three or four minute report on the street.
[00:01:51.439 --> 00:01:51.680]  Okay.
[00:01:52.240 --> 00:01:58.799]  So everybody else you saw the live feeds shaking our hands, black folks, Indians, whites, old people, young people, Jewish people, everybody.
[00:02:00.000 --> 00:02:01.280]  It was amazing.
[00:02:03.200 --> 00:02:04.560]  People saw that in those live feeds.
[00:02:04.640 --> 00:02:06.240]  It's like every other person was a listener.
[00:02:06.560 --> 00:02:08.240]  The National Guard, everybody.
[00:02:08.879 --> 00:02:10.240]  That's how popular freedom is.
[00:02:10.479 --> 00:02:14.159]  But all of a sudden, the person says, aha, you're sad.
[00:02:14.240 --> 00:02:18.240]  Charlie Kirk's dead, circling us, laughing, making threats, had a bottle in their hand.
[00:02:18.560 --> 00:02:25.280]  Remember, thinking about attacking us and had like a little skull thing up over their face like a demon, a gremlin.
[00:02:26.240 --> 00:02:28.240]  That's the reality of this, okay?
[00:02:29.520 --> 00:02:33.439]  And this is the army of these hateful, like demon-possessed people.
[00:02:33.599 --> 00:02:34.879]  Go to a Democrat rally.
[00:02:35.200 --> 00:02:38.800]  About 20 to 30% of them are crazed, demon trans.
[00:02:39.759 --> 00:02:44.879]  They're not like Blair White or somebody that's a person like they're a woman or whatever and is a Christian.
[00:02:44.960 --> 00:02:45.759]  They want to kill people.
[00:02:46.159 --> 00:02:47.759]  It's this demographic.
[00:02:48.080 --> 00:02:50.400]  So the left are the ones that want violence.
[00:02:50.479 --> 00:02:51.599]  They're the ones who want the Day of Rage.
[00:02:51.680 --> 00:02:52.879]  They're the ones that say November 5th.
[00:02:52.960 --> 00:02:54.159]  It's all funny by Soros.
[00:02:54.719 --> 00:02:56.240]  You know, crush fascism movement.
[00:02:56.479 --> 00:02:57.920]  They're going to rise up.
[00:02:58.240 --> 00:03:01.200]  The stickers are all over D.C. Stickers are all over the country.
[00:03:01.280 --> 00:03:02.479]  They're all over Austin.
[00:03:02.800 --> 00:03:04.479]  And it's Alexander Soros funding and all.
[00:03:04.560 --> 00:03:07.200]  It is organized crime, racketeering.
[00:03:09.120 --> 00:03:13.680]  The anti-foot trans community cult was online the weeks before.
[00:03:13.759 --> 00:03:17.360]  They put out a song, Charlie Kirk dead at 31 in that town.
[00:03:18.719 --> 00:03:20.800]  They were online saying it'll be a big day tomorrow.
[00:03:20.879 --> 00:03:21.360]  He's gone.
[00:03:21.680 --> 00:03:22.480]  It's over.
[00:03:24.000 --> 00:03:25.840]  He's going to evaporate tomorrow.
[00:03:26.159 --> 00:03:27.599]  And they killed him.
[00:03:27.920 --> 00:03:32.080]  And of course, he obviously was working with people who were encouraging him and helping him.
[00:03:32.159 --> 00:03:34.560]  That's confirmed on those online Discords.
[00:03:35.200 --> 00:03:37.599]  You don't have to go in the Discord chats and stuff to find that.
[00:03:37.920 --> 00:03:40.719]  You can go anywhere.
[00:03:40.879 --> 00:03:43.599]  And it's just, there's people calling for everybody's death.
[00:03:43.920 --> 00:03:46.960]  Trump's death, his family's death, my death, T-Ban's death.
[00:03:47.840 --> 00:03:52.080]  But Charlie Kirk was the one that they were really targeting in the media, demonizing.
[00:03:52.400 --> 00:03:55.599]  And I've talked to Charlie a couple times last month.
[00:03:55.920 --> 00:03:59.360]  And he was calling me, asking how I was doing and saying, hey, man, anybody shut you down?
[00:03:59.439 --> 00:04:00.000]  We want to work with you.
[00:04:00.080 --> 00:04:00.640]  We want to support you.
[00:04:00.719 --> 00:04:01.840]  How do I help you?
[00:04:02.400 --> 00:04:06.800]  He was just, you know, have you come to another TPA U.S. event?
[00:04:08.000 --> 00:04:10.480]  And he was just, he did that for so many people.
[00:04:10.800 --> 00:04:15.280]  But I said, I said, man, it's kind of nice for me not to be the main target because you're the main target now.
[00:04:15.599 --> 00:04:17.519]  For years, that was Alex Jones as the devil.
[00:04:17.840 --> 00:04:18.879]  And it still goes on.
[00:04:19.120 --> 00:04:20.240]  So I've experienced this.
[00:04:20.560 --> 00:04:22.959]  I know what it's like to be a Charlie Kirk, okay?
[00:04:23.120 --> 00:04:28.399]  You're right there at the top of patriotism, populism, in the eyes of the left.
[00:04:28.480 --> 00:04:30.079]  They want to destroy you.
[00:04:31.040 --> 00:04:38.639]  So to see the left now running around everywhere saying he's a right-winger and putting out Photoshop stuff, it's disgusting and it's insane.
[00:04:39.519 --> 00:04:40.400]  But it's who they are.
[00:04:40.800 --> 00:04:47.120]  And now they're obviously phoning in bomb threats to black colleges, traditionally black colleges, which I'm predicting.
[00:04:48.000 --> 00:04:52.560]  They're saying, oh, now the Trump supporters are mad that their white supremacist was killed, which isn't that, obviously.
[00:04:52.879 --> 00:04:56.079]  And so they're going to attack the black colleges.
[00:04:56.160 --> 00:04:57.759]  So they closed those this week.
[00:04:58.079 --> 00:04:59.759]  I told you that was coming.
[00:04:59.919 --> 00:05:03.199]  They're going to shoot up a migrant group and blame it on Trump because that's the pre-programming.
[00:05:03.439 --> 00:05:10.560]  Then separately, you've got Charlie Kirk's body isn't even cold yet.
[00:05:10.879 --> 00:05:13.680]  And it's, oh, he started criticizing Israel.
[00:05:14.319 --> 00:05:15.839]  And so they killed him.
[00:05:16.159 --> 00:05:20.639]  And then our own Harrison Smith, who did this very honestly and good, and he should have said it.
[00:05:20.959 --> 00:05:24.639]  He went to the Ron Paul 90th birthday down in South Texas.
[00:05:24.959 --> 00:05:26.719]  He put a post on X about it.
[00:05:27.039 --> 00:05:29.039]  Oh, yeah, I talked to somebody close to Charlie Kirk.
[00:05:29.120 --> 00:05:32.479]  He's worried about getting killed by Israel if he goes too far.
[00:05:32.799 --> 00:05:35.439]  Okay, well, that donor, I mean, Harrison knows who it is.
[00:05:35.599 --> 00:05:36.240]  He's going to go public.
[00:05:36.479 --> 00:05:36.719]  Say that.
[00:05:37.120 --> 00:05:41.360]  But the point is, everybody is geopolitically worried about this and that.
[00:05:41.599 --> 00:05:42.879]  I'm not an apologist for Israel.
[00:05:42.959 --> 00:05:44.000]  It's not my job.
[00:05:44.319 --> 00:05:49.439]  But I said, I believe all the evidence is going to point towards the left that's openly calling for his dad.
[00:05:50.240 --> 00:05:51.279]  They're the ones doing it.
[00:05:51.599 --> 00:05:53.599]  And people are like, oh, my God, you work for Israel.
[00:05:54.159 --> 00:05:57.680]  And now they're still saying Israel, Israel, Israel, Israel, Israel.
[00:05:57.759 --> 00:06:01.039]  You know, they have the video of him on the roof with the rifle, all the stuff.
[00:06:01.360 --> 00:06:03.279]  People go, why was it in the box in the woods?
[00:06:03.439 --> 00:06:05.599]  That's the evidence box they found if you put it in.
[00:06:06.079 --> 00:06:06.399]  Okay?
[00:06:06.959 --> 00:06:17.120]  So, this current FBI is a mix of leftists and others, and they did do the fake whip for kidnapping and all that kind of crap, and they got caught.
[00:06:18.399 --> 00:06:20.719]  The FBI leadership are like Keystone cops, okay?
[00:06:20.879 --> 00:06:24.560]  Patel if they're congratulating themselves, the great partnership, the great job they did.
[00:06:24.799 --> 00:06:30.399]  I'm not trying to pick on all these people, but the dad of the family attorney, man, the sheriff's department got him to come in, okay?
[00:06:30.719 --> 00:06:31.360]  They did.
