# Transcription model: nvidia/parakeet-tdt-0.6b-v2, and large-v3-turbo
[00:00:15.200 --> 00:00:17.920]  InfoWars, tomorrow's news, today.
[00:00:20.160 --> 00:00:26.160]  It's Wednesday, August 13th, 2025, 5.02 Central Standard Time.
[00:00:26.320 --> 00:00:32.560]  I'm in Austin, Texas, and Nicholas J. Fuentez is in Chicago in his studios.
[00:00:32.880 --> 00:00:37.600]  And we are going to him live for a discussion debate.
[00:00:38.079 --> 00:00:41.920]  But when he was on a few weeks ago, A, I've been up since 5 a.m. and I was extremely tired.
[00:00:42.000 --> 00:00:44.640]  I was not drunk as some people thought, though, I wish I was.
[00:00:45.679 --> 00:00:53.280]  And he did a great job and people enjoyed it, but I didn't bring much debate to it because I do disagree with some things.
[00:00:53.359 --> 00:00:58.079]  That always makes it more interesting to have a spirited discussion that brings out the best thoughts in people.
[00:00:58.399 --> 00:01:05.599]  But since then, I do have some disagreements on things like Trump wants a police state martial law.
[00:01:05.920 --> 00:01:10.159]  I mean, I think that goes too far, though the direction it's going at some point could become dangerous.
[00:01:10.239 --> 00:01:14.480]  But right now, it's a response to all the tyranny and some other areas as well.
[00:01:14.799 --> 00:01:20.400]  And I just decided before we went live, so I'm not sneak attacking Nick with this.
[00:01:20.480 --> 00:01:21.760]  I made the decision on this.
[00:01:21.920 --> 00:01:23.120]  I said, hey, what topics do you want to cover?
[00:01:23.200 --> 00:01:24.079]  Here's the topics I'm going to cover.
[00:01:24.159 --> 00:01:25.760]  They're basically the same topics.
[00:01:26.079 --> 00:01:27.680]  I never get into the infighting.
[00:01:27.840 --> 00:01:37.200]  I never get into all of the soap opera stuff that happens in conservative, populist, Christian, common sense media.
[00:01:37.840 --> 00:01:51.760]  But this infighting or whatever you want to call it with Nick Fuentez and Candace Owens and Tucker Carlson and now everybody piling on against Nick has to be addressed.
[00:01:52.240 --> 00:01:55.280]  And I was thinking about it literally five minutes ago.
[00:01:55.920 --> 00:01:58.879]  And, you know, Nick's a smart guy, so he doesn't mind something being sprung on him.
[00:01:59.120 --> 00:02:07.280]  And I'm like, let's go there first because I like all these people and I need them all to succeed, especially people like Elon Musk.
[00:02:07.600 --> 00:02:11.360]  And behind the scenes, you see Roger, the articles were publishing about trying to get him back in the White House.
[00:02:11.439 --> 00:02:12.560]  It was bad when he left.
[00:02:12.719 --> 00:02:14.719]  And a lot of the big problems started then.
[00:02:15.280 --> 00:02:26.080]  So I have had more people come up to me in the streets, on the hike and bike trail, family, grocery stores.
[00:02:26.240 --> 00:02:38.960]  I mean, basically everywhere I go, they come up and talk about Nick Fuentez and Tucker Carlson and all the rest of this, Candace Owens.
[00:02:39.520 --> 00:02:44.479]  And that's interesting because I know Buzz.
[00:02:44.560 --> 00:02:47.599]  I've been on the air 31 years, had success pretty much right away locally.
[00:02:47.920 --> 00:02:49.280]  And then within a few years, got syndicated.
[00:02:49.520 --> 00:02:51.840]  I had big success 25 years ago.
[00:02:52.479 --> 00:02:54.719]  So I know buzzes when I see them.
[00:02:55.039 --> 00:03:04.000]  And this buzz rivals buzzes when I've like, you know, go on Joe Rogan and it gets 100 million views.
[00:03:04.319 --> 00:03:09.360]  I mean, I can count on one hand the times I've seen buzzes this big.
[00:03:09.599 --> 00:03:13.920]  When Trump's come on the show and stuff like that, this in ways is bigger.
[00:03:14.400 --> 00:03:17.039]  And that shows how seismic it is.
[00:03:17.599 --> 00:03:19.360]  And yeah, it's true.
[00:03:19.680 --> 00:03:24.400]  The attacks on Fuentez backfired and it's making it exponentially bigger.
[00:03:24.719 --> 00:03:34.640]  And so it's just important, I think, from a 35,000 foot view, if Nick can do this, to analyze it as a political analyst and as a media analyst instead of himself personally.
[00:03:35.200 --> 00:03:36.240]  So there I sprung it.
[00:03:36.319 --> 00:03:39.039]  I want to do that first and go through the other topics with him.
[00:03:39.200 --> 00:03:41.840]  Nick thinks Trump's betrayed everything on the border and deportations.
[00:03:42.080 --> 00:03:43.039]  I'm tracking the numbers.
[00:03:43.200 --> 00:03:44.000]  I know the insiders.
[00:03:44.319 --> 00:03:45.920]  I know they dismantled it under Biden.
[00:03:46.000 --> 00:03:46.800]  He's scaling up.
[00:03:47.360 --> 00:03:50.719]  I know Trump's backed off some on the skilled visa stuff.
[00:03:50.879 --> 00:03:52.159]  So Nick's got his points.
[00:03:52.400 --> 00:03:56.800]  But still, I want to ask Nick, why are you just 100%, it seems, on Trump and not the Democrats?
[00:03:57.120 --> 00:04:05.599]  That's probably my biggest beef because we can criticize Trump all day and try to keep him on the straight and narrow and be mad at him who we want and not even supporting, but we can support good stuff he's doing.
