[00:00:00.110 --> 00:00:01.050]  All right, folks.
[00:00:01.389 --> 00:00:05.190]  I'm up here working out with my daughter, Charlotte Jones, and my good buddy, Sean Johnson.
[00:00:05.589 --> 00:00:10.050]  And she says, Dad, I was on TikTok last night and noticed something really crazy, and I was able to duplicate it.
[00:00:10.269 --> 00:00:11.970]  And then Sean was able to duplicate it.
[00:00:12.029 --> 00:00:13.269]  And we showed it to you on camera.
[00:00:13.390 --> 00:00:19.030]  And I see the majority of people on X saying that we programmed it to do this.
[00:00:19.230 --> 00:00:19.449]  No.
[00:00:19.949 --> 00:00:21.050]  This is what's happening.
[00:00:21.210 --> 00:00:21.989]  Charlotte, tell them a story.
[00:00:22.609 --> 00:00:33.130]  Well, I mean, last night I just saw a TikTok video with like 300 likes and I came in here and I was like, Dad, I saw something crazy today.
[00:00:33.329 --> 00:00:33.929]  Let me hold the phone.
[00:00:34.109 --> 00:00:34.310]  That's fine.
[00:00:34.670 --> 00:00:41.170]  I said, Dad, I saw something crazy and the first time that I tested it out was in here with them this morning.
[00:00:41.329 --> 00:00:44.890]  You saw on video the first time that I tested it out this morning.
[00:00:45.070 --> 00:00:46.950]  People are saying online, oh, this is a scam.
[00:00:47.090 --> 00:00:48.170]  Oh, you corrected autocorrect.
[00:00:48.679 --> 00:00:50.520]  I'm not competent enough to do that.
[00:00:50.679 --> 00:00:58.640]  And if you go and you look in the thread of comments under his post, people are replicating this, and we all can't be lying.
[00:00:58.780 --> 00:01:00.859]  Yeah, well, so, uh, Sean...
[00:01:00.859 --> 00:01:04.939]  It works on Sean's phone, it works on my phone, it works on my dad's phone.
[00:01:05.180 --> 00:01:08.140]  Sean, I mean, two minutes after you heard about this, you tried it and it worked on your phone.
[00:01:08.260 --> 00:01:08.859]  Yeah, it works.
[00:01:09.739 --> 00:01:10.659]  Exactly how they said it.
[00:01:10.780 --> 00:01:12.099]  This is like...
[00:01:12.000 --> 00:01:23.359]  When the Pfizer head of mRNA got caught by O'Keefe saying, yeah, we create all these viruses in a lab, we release them to make money, people said, that's not the head of mRNA, even though he was on their website and he later got fired and it was confirmed.
[00:01:23.579 --> 00:01:25.540]  We're not making this stuff up, okay?
[00:01:26.019 --> 00:01:26.920]  Charlotte, explain to them.
[00:01:27.560 --> 00:01:32.359]  I mean, we already have enough proof that the deep state is working behind the scenes.
[00:01:32.359 --> 00:01:34.560]  We've got no reason to lie about this!
[00:01:34.900 --> 00:01:37.200]  No, no, the point is that it varies phone to phone.
[00:01:37.299 --> 00:01:38.760]  They'll probably, quote, fix it.
[00:01:38.879 --> 00:01:40.519]  But we've seen a lot of this crap, yeah.
[00:01:41.780 --> 00:01:42.659]  They're out to get us.
[00:01:42.939 --> 00:01:43.299]  That's it.
[00:01:43.719 --> 00:01:53.219]  But we implore you to go and try it yourself and post it because already under the text thread, this video that we posted did up like 15 minutes.
[00:01:53.420 --> 00:01:57.840]  There's already like, I saw about 20 people doing it and being like, it worked for me, it worked for me.
[00:01:57.840 --> 00:01:58.560]  Oh, come on, man.
[00:01:58.640 --> 00:01:59.920]  The Federal Reserve's not private.
[00:02:00.079 --> 00:02:01.480]  People should tell me that 25 years ago.
[00:02:02.060 --> 00:02:04.480]  There's also this thing as the global, it's the Bilderberg Group's made up.
[00:02:04.579 --> 00:02:05.859]  New York Times said he'd been 15 years ago.
[00:02:06.740 --> 00:02:07.500]  I was right.
[00:02:07.659 --> 00:02:08.539]  I've been vindicated.
[00:02:08.759 --> 00:02:09.500]  God bless you all.
[00:02:09.599 --> 00:02:10.139]  See you at 11 a.m.
[00:02:10.300 --> 00:02:11.659]  Central for the big show.
[00:02:11.759 --> 00:02:12.180]  Wake up.
