# Transcription model: nvidia/parakeet-tdt-0.6b-v2, and large-v3-turbo
[00:00:00.320 --> 00:00:02.399]  Write this term down.
[00:00:02.960 --> 00:00:05.280]  Immortal cell line.
[00:00:05.919 --> 00:00:13.040]  There's only been two people in the U.S. discovered it in the U.S. in the last 70 years that immortal cell lines.
[00:00:13.200 --> 00:00:14.880]  One was a black lady.
[00:00:15.200 --> 00:00:19.280]  The other was an aborted white baby, eight and a half months old.
[00:00:19.440 --> 00:00:19.920]  Look it up.
[00:00:20.000 --> 00:00:23.679]  Just type in Henrietta Lax, Mortal Cell Lines.
[00:00:24.320 --> 00:00:25.760]  You can take a piece of these cells.
[00:00:25.839 --> 00:00:26.480]  They never die.
[00:00:26.560 --> 00:00:27.760]  They never stop replicating.
[00:00:28.000 --> 00:00:36.719]  And you can put it in to a growth factor, a big vat with a chunk of salmon, a chunk of beef, a chunk of turkey, whatever it is you want.
[00:00:37.039 --> 00:00:38.560]  And it grows that.
[00:00:39.520 --> 00:00:41.439]  But it's a human cancer cell.
[00:00:41.679 --> 00:00:42.560]  You can't make it up.
[00:00:42.719 --> 00:00:44.320]  And it's so carcinogen.
[00:00:44.560 --> 00:00:45.759]  It's so carcinogenic.
[00:00:45.840 --> 00:00:46.880]  It is just crazy.
[00:00:47.200 --> 00:00:51.120]  So Texas, the law went into effect yesterday.
[00:00:51.759 --> 00:00:54.240]  10 other states have passed laws banning lab-grown meat.
[00:00:54.320 --> 00:00:56.880]  Now, again, it's not really lab-grown meat.
[00:00:57.200 --> 00:00:58.560]  They just call it meat.
[00:00:59.840 --> 00:01:05.760]  And now the industry headed up by Bill Gates, that's the main guy behind it, is totally and completely flipping out.
[00:01:06.079 --> 00:01:09.600]  So this is something good the Texas legislature did, something good Governor Abbott did.
[00:01:09.840 --> 00:01:11.280]  We got to protect people from this stuff.
[00:01:11.519 --> 00:01:18.400]  Just like Bill Gates is trying to push this bug protein and all the big top companies have opened multi-billion dollar facilities, the top five or six.
[00:01:18.560 --> 00:01:25.040]  Tyson chickens, the main one, for the breading for so much what you're already eating is cricket and mealworm protein.
[00:01:25.359 --> 00:01:27.600]  And the exoskeleton of these is called chitin.
[00:01:27.680 --> 00:01:28.719]  It's very carcinic.
[00:01:28.879 --> 00:01:33.040]  Search bug exoskeletons, chitin carcogenic.
