# Transcription model: nvidia/parakeet-tdt-0.6b-v2, and large-v3-turbo
[00:00:00.000 --> 00:00:01.040]  He's like, yeah, kid.
[00:00:01.360 --> 00:00:05.679]  Once you learn we're thugs, once you learn we're crooks, you're going to go piss on yourself.
[00:00:05.919 --> 00:00:08.160]  No, it's why I'm waging war on you.
[00:00:08.480 --> 00:00:09.040]  I know.
[00:00:10.480 --> 00:00:12.960]  The idea these people play these fucking games.
[00:00:13.280 --> 00:00:14.400]  I'm coming for you.
[00:00:14.720 --> 00:00:16.320]  You're not coming for me.
[00:00:16.960 --> 00:00:17.760]  You understand that?
[00:00:18.320 --> 00:00:19.600]  I'm not locked in here with you.
[00:00:19.760 --> 00:00:21.760]  You're locked in here with me and the American people.
[00:00:22.000 --> 00:00:22.480]  Got it.
[00:00:22.719 --> 00:00:25.839]  And the tide's turning against you and you're on the wrong side of history.
[00:00:26.960 --> 00:00:27.920]  They know it.
[00:00:29.199 --> 00:00:30.480]  Are you not entertained?
[00:00:31.359 --> 00:00:33.119]  Are you not a detained?
[00:00:35.359 --> 00:00:36.640]  Is this not why you are here?
[00:00:40.079 --> 00:00:40.719]  Rolling.
[00:00:41.039 --> 00:00:41.520]  All right.
[00:00:41.840 --> 00:00:43.039]  Rolling, rolling, rolling.
[00:00:43.119 --> 00:00:44.240]  Keep them doggies moving.
[00:00:45.280 --> 00:00:48.320]  Episode 23, Alex Jones, the man.
[00:00:48.640 --> 00:00:48.960]  Nope.
[00:00:49.039 --> 00:00:50.480]  Sean B. Johnson's the man.
[00:00:50.800 --> 00:00:51.759]  No, no, sir.
[00:00:51.920 --> 00:00:52.240]  No.
[00:00:52.560 --> 00:00:54.880]  You're paving the way for young guys like us.
[00:00:55.439 --> 00:00:56.880]  What you're doing is incredible.
[00:00:57.439 --> 00:00:58.240]  Thank you for coming on.
[00:00:58.480 --> 00:00:58.719]  You bet.
[00:00:58.880 --> 00:00:59.280]  Love it.
[00:00:59.520 --> 00:01:04.239]  I know we wanted to get you back on here as soon as possible because the verdict just came back.
[00:01:04.879 --> 00:01:07.519]  They are not going to hear your appeal with the Supreme Court.
[00:01:07.840 --> 00:01:10.400]  And so I don't want to talk about anything else.
[00:01:10.719 --> 00:01:11.680]  Let's jump right into that.
[00:01:11.840 --> 00:01:12.719]  What the fuck is going on?
[00:01:13.040 --> 00:01:17.439]  And we were also layering into the latest on Charlie Kirk, Trump, but it all ties together.
[00:01:17.760 --> 00:01:19.760]  This is a lot bigger than just me.
[00:01:22.000 --> 00:01:22.879]  We've sued them.
[00:01:22.960 --> 00:01:29.200]  It's come out in court that Obama put me under National Security Investigation 2013 and Comey.
[00:01:29.519 --> 00:01:33.439]  Those audits were released by the Trump administration about seven months ago.
[00:01:33.760 --> 00:01:37.359]  And they had a dragnet and were looking for something criminal to put me in jail.
[00:01:37.680 --> 00:01:40.799]  And even once Trump got in 2016, 2017, it still continued on.
[00:01:40.960 --> 00:01:42.960]  Trump never got control of the Justice Department.
[00:01:43.600 --> 00:01:49.519]  And so they settled, and I've admitted this, on claiming I said and did things concerning Sandy Hook I never even said.
[00:01:50.079 --> 00:01:54.879]  So they had years of discovery and then found nothing wrong.
[00:01:55.519 --> 00:01:59.600]  So they claimed that I didn't give them evidence that they claim existed with no proof.
[00:01:59.920 --> 00:02:05.200]  So I was defaulted in Texas by a Democrat Party operative judge and a deep state operative judge in Connecticut.
[00:02:05.519 --> 00:02:09.599]  They had two show trials produced three years ago where I was already found guilty by the judge.
[00:02:09.759 --> 00:02:13.360]  The judges instruct the jury I'm guilty, and they put on all this fake evidence.
[00:02:13.439 --> 00:02:14.560]  I'm not allowed to challenge it.
[00:02:14.879 --> 00:02:18.400]  And Texas had a $45 million judgment and Connecticut a $1.4 billion.
[00:02:19.039 --> 00:02:20.159]  What was that evidence?
[00:02:20.479 --> 00:02:22.400]  What's this fake evidence that they put out?
[00:02:23.039 --> 00:02:31.120]  Well, when a judge defaults you, then they're still supposed to put on a trial on damages, but even that wasn't real.
[00:02:31.920 --> 00:02:33.840]  So it was just completely rigged.
[00:02:34.560 --> 00:02:38.800]  And now they've done that to Mike Lindell and my pillow.
[00:02:38.960 --> 00:02:39.599]  I just saw that.
[00:02:40.319 --> 00:02:44.560]  Where a federal judge said, I decide you're guilty.
[00:02:45.120 --> 00:02:46.719]  They didn't even claim that he didn't give discovery.
[00:02:46.960 --> 00:02:49.840]  He just said, you can't hack these smartmatic machines.
[00:02:49.920 --> 00:02:51.039]  Well, any computer can be hacked.
[00:02:51.520 --> 00:02:53.200]  They've done demonstrations of it.
[00:02:53.520 --> 00:02:55.680]  And so the judge said, nope, you're guilty.
[00:02:56.640 --> 00:02:58.080]  $1.5 billion.
[00:02:58.719 --> 00:03:01.439]  Well, Mike Lindell wouldn't make that in 20 lifetimes.
[00:03:01.759 --> 00:03:10.640]  And the judge also said, even though he's just an employee at the corporation, it's an employee-owned, like the Rainbow Packers, my pillow, he said, I'm going to find it liable and shut it down as well.
[00:03:12.159 --> 00:03:15.360]  So now he's got that on appeal.
[00:03:15.680 --> 00:03:20.240]  But they said the case where they, cases where they found me in default, is a model for everybody else.
[00:03:21.680 --> 00:03:26.719]  And within all of that, after the show trials, I had no money.
[00:03:28.000 --> 00:03:29.439]  They claimed I made all this money off them.
[00:03:29.520 --> 00:03:31.439]  I never even barely even ever talked about these people.
[00:03:31.759 --> 00:03:34.080]  In fact, in the show trials, we were able to ask a few questions.
[00:03:34.240 --> 00:03:35.840]  It was like, did we ever say your names?
[00:03:36.080 --> 00:03:37.120]  Did I ever even know who you are?
[00:03:37.280 --> 00:03:39.520]  No, I didn't even talk to people's names.
[00:03:40.719 --> 00:03:50.240]  And it was an FBI agent who was the chief counsel in Connecticut who got up on the stand, William Aldenberg, and the head lawyer for the FBI.
[00:03:51.759 --> 00:03:55.280]  And they just had him explain how he went and organized the lawsuits and everything.
[00:03:55.599 --> 00:03:56.719]  So they hit it in plain view.
[00:03:56.800 --> 00:04:05.759]  We didn't understand that till later, but an undercover video got caught of a CIA/slash FBI operative, Gavin Oblevins.
[00:04:06.080 --> 00:04:09.439]  And he talks about the whole Obama thing and how they couldn't set me up.
[00:04:09.599 --> 00:04:10.240]  They couldn't find anything.
[00:04:10.319 --> 00:04:18.959]  So they went and created this whole narrative, ran these stories, used it for PR to raise money for gun control groups, claiming I was doing mean things to kids and paying on graves and sending people to be mean to them.
[00:04:19.120 --> 00:04:19.439]  None of that.
[00:04:19.600 --> 00:04:20.079]  I never did that.
[00:04:20.240 --> 00:04:20.879]  No one ever did that.
[00:04:21.120 --> 00:04:23.759]  Just in fact, we were able to ask on the stand even during the show trial.
[00:04:24.000 --> 00:04:25.759]  So who came to your house and attacked you?
[00:04:25.920 --> 00:04:26.480]  Well, I don't know.
[00:04:26.560 --> 00:04:27.120]  I didn't see them.
[00:04:27.280 --> 00:04:27.840]  Well, did you?
[00:04:28.160 --> 00:04:28.800]  Somebody told me.
[00:04:28.879 --> 00:04:29.439]  Well, who?
[00:04:29.519 --> 00:04:30.319]  I don't know.
[00:04:30.639 --> 00:04:32.720]  So, so, so, so, you know, who peed on your graves?
[00:04:33.120 --> 00:04:33.439]  I don't know.
[00:04:33.600 --> 00:04:34.160]  Well, who told you?
[00:04:34.240 --> 00:04:34.639]  I don't know.
[00:04:35.199 --> 00:04:39.120]  But meanwhile, it's like when they said Trump said the KKK are very fine people.
[00:04:39.360 --> 00:04:39.519]  Yeah.
[00:04:39.759 --> 00:04:42.639]  The actual quote was: the KKK are not very fine people.
[00:04:42.800 --> 00:04:42.959]  Yeah.
[00:04:43.120 --> 00:04:44.160]  They can twist it however they want.
[00:04:44.639 --> 00:04:48.079]  He talked about Charlottesville, where there were journalists and reporters and just college kids.
[00:04:48.400 --> 00:04:54.319]  He said there were good people on both sides that just came to see it who got attacked and beat up, but the KKK were very bad people.
[00:04:56.000 --> 00:05:00.560]  Finally, though, see, people were actually able to see those clips and realize, wow, it's the opposite.
[00:05:00.720 --> 00:05:01.600]  He didn't say that.
[00:05:01.920 --> 00:05:10.400]  So it's a long story, but when you hear the families, there were 20 families from Sandy Hook, only five of them sued me.
[00:05:10.720 --> 00:05:18.320]  Those were the ones that run the foundations with Michael Bloomberg and the Democratic Party and have raised on my name $300 million alone.
[00:05:18.480 --> 00:05:24.320]  They're the ones who got the $74 million Remington verdict that bankrupted the oldest gun company in America.
[00:05:24.640 --> 00:05:31.360]  And understand, Adam Lanza, the guy that shot the kids, his mom went and bought the gun at the store legally.
[00:05:32.560 --> 00:05:37.520]  He gets it, shoots her, and then Remington's guilty.
[00:05:37.840 --> 00:05:46.800]  So it's literally this ongoing giant cash machine where the Democratic Party uses the memory of these dead kids as like trees of money.
[00:05:46.960 --> 00:05:48.960]  I mean, money does grow on trees.
[00:05:49.600 --> 00:05:58.560]  And so, and they never sue the SSRI companies and the inserts for those drugs, admits it causes mass murder and suicide and all the rest of that.
[00:05:58.800 --> 00:06:02.720]  No, they just, they're now using it to go after the First Amendment, not just the second.
[00:06:02.880 --> 00:06:05.360]  So we have the Texas thing on appeal.
[00:06:05.520 --> 00:06:07.360]  The third court appeal signaled they're going to overturn it.
[00:06:07.440 --> 00:06:20.640]  The Texas Supreme Court 100% will because the way the judge ran the fake trial, even after the jury said, yeah, he's already guilty, the judge said, but they agree he's this guilty and 45 million.
[00:06:23.040 --> 00:06:35.120]  The judge, two weeks after the show trial, said, I'm going to find you guilty of elder abuse because these people are now above 65, the parents, and then that busts the caps of a half million dollars so they could get the 45 million.
[00:06:35.280 --> 00:06:41.200]  Well, a judge can't say a jury found you liable for something that wasn't even before them.
[00:06:41.520 --> 00:06:42.240]  So why not?
[00:06:42.320 --> 00:06:43.680]  She defaults me, says I'm guilty.
[00:06:43.760 --> 00:06:45.120]  Then the jury says how guilty.
