# Transcription model: nvidia/parakeet-tdt-0.6b-v2, sat-12l-sm, and large-v3-turbo
# Transcript cleaned with version 0.1.2
# Source MD5: 25c67f4934b047892465fb7f59b40244
[00:00:00.560 --> 00:00:04.160]  All right, a final word about Mamdani's victory yesterday.
[00:00:04.480 --> 00:00:05.679]  And I can't say he stole it.
[00:00:05.759 --> 00:00:11.919]  The evidence is Obama won two elections, selling peace and justice and unity, and all they brought was division.
[00:00:12.240 --> 00:00:16.480]  So Mamdani might have won, but there was major election fraud.
[00:00:17.359 --> 00:00:19.120]  His name twice on the ballot.
[00:00:19.760 --> 00:00:26.160]  All the key districts leaning against him, you know, getting bomb threats and then him blaming Trump with no evidence.
[00:00:26.480 --> 00:00:38.000]  But that said, the reason I'm doing this final video tonight, who knows about any more, but this I intend to be my last is I just left the office at like 6:30 at night and I was watching Fox, CNN and them all up the big war room.
[00:00:38.880 --> 00:00:47.600]  And the Republican opponents on CNN and the Republicans on Fox were like, don't they know communism and socialism doesn't work?
[00:00:47.759 --> 00:00:49.120]  Don't they know it ruins everything?
[00:00:49.280 --> 00:00:50.399]  Don't they know it's stupid?
[00:00:50.480 --> 00:00:50.800]  Don't they?
[00:00:51.520 --> 00:00:56.960]  It's on purpose by the ruling class globalists that do it and the big banks that back it like BlackRock.
[00:00:57.039 --> 00:01:01.600]  They want centralization control, like the big banks putting Mount Ste Tongue into power.
[00:01:01.840 --> 00:01:02.719]  We all know this.
[00:01:03.120 --> 00:01:11.680]  Came out in the Frank Church Committee hearings in the 70s that McCarthy was right about the ultra-rich funding communism as a control system.
[00:01:12.000 --> 00:01:14.320]  So it's on purpose.
[00:01:14.960 --> 00:01:15.920]  It's premeditated.
[00:01:16.079 --> 00:01:19.040]  It's not that they don't know that communism doesn't work.
[00:01:19.200 --> 00:01:24.000]  It doesn't work for the people, but it works for the ruling elite.
[00:01:24.320 --> 00:01:34.159]  They came up with communism out of British intelligence from Marx and Engels when everybody was freeing the white slaves in Russia and Germany, Austria-Hungary and Empire, the serfs.
[00:01:34.480 --> 00:01:46.400]  They said, well, we'll just call this collectivism and get all these serfs to join us and overthrow these old empires and put in a new tyranny we control to the strongmen like Lenin and Stalin they put in control.
[00:01:47.040 --> 00:01:49.920]  So that's the pressure from above and below strategy.
[00:01:50.240 --> 00:01:52.960]  That's what Carol Quigley, Bill Flint's mentor, wrote about Georgetown.
[00:01:53.120 --> 00:01:54.400]  That's the facts.
[00:01:54.719 --> 00:02:02.159]  So God Almighty will never defeat this tyranny if we continue to say that it's misguided, you know, liberal idiots.
[00:02:02.320 --> 00:02:04.799]  Yeah, their constituents are idiots, but not the controllers.
[00:02:05.120 --> 00:02:08.719]  It's BlackRock and the big banks pushing the carbon taxes and communism and all this.
[00:02:09.039 --> 00:02:11.599]  This isn't coming from the people, it's coming from the elites.
