# Transcription model: large-v3-turbo, custom faster_whisper
[00:00:15.050 --> 00:00:15.509]  Alright, everybody.
[00:00:15.789 --> 00:00:16.530]  Here's the deal.
[00:00:17.030 --> 00:00:19.129]  We have a very, very special guest.
[00:00:19.269 --> 00:00:20.230]  He's going to come out here.
[00:00:20.289 --> 00:00:21.329]  He's going to talk to you.
[00:00:21.550 --> 00:00:22.670]  Then he's going to bring up Dougie.
[00:00:23.149 --> 00:00:24.829]  I am a huge fan of his.
[00:00:25.609 --> 00:00:27.370]  It's an honor to bring him up here.
[00:00:27.710 --> 00:00:28.429]  Please keep it going.
[00:00:28.429 --> 00:00:31.250]  For the lord of conspiracy, Alex Jones, everybody!
[00:00:35.689 --> 00:00:42.570]  I feel sorry for you.
[00:00:43.079 --> 00:00:46.560]  I mean, you came out here to have a good time and to hear some great comics.
[00:00:46.679 --> 00:00:47.399]  I believe it, you've heard of them.
[00:00:47.439 --> 00:00:49.420]  That last guy was absolutely amazing.
[00:00:50.520 --> 00:00:51.959]  Doug's great, too.
[00:00:58.859 --> 00:01:01.479]  No, but seriously, I'm not a comedian.
[00:01:02.439 --> 00:01:07.379]  And I've heard a lot of stuff about Iraq, and I've heard some other comments about politics.
[00:01:08.659 --> 00:01:11.540]  Let's just go over some basic stuff here for a minute, okay?
[00:01:12.040 --> 00:01:13.140]  This is not a drill!
[00:01:13.480 --> 00:01:14.959]  This is some serious shit!
[00:01:15.519 --> 00:01:16.200]  Alright?
[00:01:18.420 --> 00:01:27.599]  I've got the film clip of Eisenhower back in 1958 calling Fidel Castro the Abraham Lincoln of the Caribbean.
[00:01:29.340 --> 00:01:30.719]  Maybe he is.
[00:01:30.980 --> 00:01:35.480]  But my point is, they put that motherfucker in power.
[00:01:36.120 --> 00:01:37.780]  They put him in there.
[00:01:38.700 --> 00:01:40.219]  But it's not just him.
[00:01:40.670 --> 00:01:41.530]  It's everybody.
[00:01:41.829 --> 00:01:42.829]  It's Ho Chi Minh.
[00:01:43.310 --> 00:01:44.489]  It's Mao Zedong.
[00:01:45.709 --> 00:01:47.750]  It's Manuel Noriega.
[00:01:47.890 --> 00:01:49.189]  It's Osama Bin Laden.
[00:01:49.390 --> 00:01:50.810]  It's Saddam Hussein.
[00:01:50.969 --> 00:01:51.849]  It's the Shah.
[00:01:52.670 --> 00:01:57.870]  They build them up, they knock them down, and I watch them stick our troops in these meat grinders.
[00:01:57.870 --> 00:02:17.909]  And it's all admitted, you know, I'm the weirdo who sits there and watches C-SPAN documentaries where they've got the 85-year-old CIA section chief, you know, who back in 1901, Of course, I already knew that, but now these bastards are admitting it.
[00:02:18.310 --> 00:02:22.509]  Mao Zedong killed 50 million people!
[00:02:24.569 --> 00:02:31.110]  And they want to sit around and tell me about Saddam Hussein for some war for $4 trillion in oil?
[00:02:31.270 --> 00:02:32.669]  Oh, we wouldn't do that over oil.
[00:02:32.830 --> 00:02:36.889]  We're just the big badasses in the 100-story buildings.
[00:02:37.479 --> 00:02:39.460]  They don't run the nuclear weapons.
[00:02:39.620 --> 00:02:48.080]  They don't own your private prisons that they're going to stick you and your family in as soon as they find you doing something wrong, some bullshit law they created.
[00:02:51.379 --> 00:02:53.219]  So this is the reality.
[00:02:54.039 --> 00:02:58.860]  And I have to sit here and watch them setting this up, setting up a living hell for all of us.
[00:02:59.780 --> 00:03:08.500]  The boys running this country, and I mean Mr. Kerry and his cousin George W. Bush, His coffin made its skull and bones.
[00:03:09.080 --> 00:03:14.259]  These guys are the ones who put the Hitlers and the Stalins in.
[00:03:14.439 --> 00:03:20.419]  They're the people that create the crises to offer you the solutions.
[00:03:22.300 --> 00:03:25.639]  And somebody said 1984, and it's true.
[00:03:25.719 --> 00:03:26.439]  That's what it's all about.
[00:03:26.599 --> 00:03:28.139]  The war is against the people.
[00:03:28.879 --> 00:03:30.020]  The war is against the people.
[00:03:30.099 --> 00:03:34.379]  But going back to Saddam, I'm going to bring Doug up here, because that's who you came to see.
[00:03:34.479 --> 00:03:36.060]  And they asked me to come up here, so I did it.
[00:03:36.250 --> 00:03:37.370]  Take your time!
[00:03:39.729 --> 00:03:53.189]  No, but the point here is, the point here is, is that David Degenerate Rockefeller, David Rockefeller, you might want to find out who he is.
[00:03:53.689 --> 00:03:55.189]  He really doesn't like you.
[00:03:55.250 --> 00:03:56.990]  He wants to put cancer viruses in your back seats.
[00:03:57.629 --> 00:03:58.969]  He really wants to kill you.
[00:03:59.469 --> 00:04:00.389]  The point is, he's a sicko.
[00:04:00.870 --> 00:04:01.949]  He's a mouthist.
[00:04:02.810 --> 00:04:04.050]  He's a social Darwinist.
[00:04:04.110 --> 00:04:05.310]  He wants to kill 80% of you.
[00:04:05.500 --> 00:04:09.939]  He says it in major publications, but he knows you don't read them, so he laughs at you.
[00:04:10.340 --> 00:04:17.680]  No, but David Rockefeller, when Mao died in 76, he was in the New York Times and said, oh, Mao is so wonderful, Mao is so great, does such a great job, what a wonderful person.
[00:04:18.259 --> 00:04:20.240]  That's how arrogant these people are.
[00:04:20.300 --> 00:04:21.600]  But let's take Saddam Hussein.
[00:04:21.720 --> 00:04:31.139]  Admitted fact, 1954, young 18-year-old guy, they hire him, CIA, takes him to Egypt, trains him how to kill people.
[00:04:31.680 --> 00:04:33.420]  Train's going to blow stuff up, shoot people.
[00:04:33.579 --> 00:04:34.639]  They send him into Iraq.
[00:04:34.639 --> 00:04:35.740]  Oh, he kills hundreds.
[00:04:36.220 --> 00:04:36.540]  Hundreds.
[00:04:37.180 --> 00:04:37.899]  Takes over.
[00:04:38.180 --> 00:04:44.980]  And then by 1969, they tell the Ba 'ath government, we'll have Saddam stop killing all of you and put him in as the head of security.
[00:04:45.259 --> 00:04:49.120]  Kind of like they're about to put Porter Goss in as the head of our security, our new Gestapo.
[00:04:50.240 --> 00:04:54.480]  And then in 1979, they put him in as the president and they say, sick him!
[00:04:54.800 --> 00:04:55.319]  Sick him!
[00:04:55.560 --> 00:04:55.959]  Get him!
[00:04:56.439 --> 00:04:57.259]  Admittedly, attack!
[00:04:57.439 --> 00:04:57.720]  Iran!
[00:04:58.019 --> 00:04:58.319]  Kill!
[00:04:58.480 --> 00:04:58.779]  Kill!
[00:04:59.269 --> 00:05:03.569]  And he kills 1,300,000 of the damn Iranians.
[00:05:04.550 --> 00:05:08.069]  And then, a few years later, they tell him, go ahead and invade Kuwait now.
[00:05:08.170 --> 00:05:10.750]  While the ambassador, April Gillespie, sits there on a chair with him.
[00:05:10.790 --> 00:05:13.009]  He goes, I don't think you should invade immediately.
[00:05:13.370 --> 00:05:14.350]  It's even on film.
[00:05:14.569 --> 00:05:17.430]  And he rolls in, follows orders.
[00:05:17.959 --> 00:05:22.279]  And I watched that guy two years ago sitting there all freaked out by this cat going, I've been set up.
[00:05:22.439 --> 00:05:22.980]  It's on the air TV.
[00:05:23.220 --> 00:05:24.420]  I was ordered to do all of this.
[00:05:25.759 --> 00:05:27.079]  He's finally admitting all this.
[00:05:27.220 --> 00:05:28.839]  Would you never hear about that in America?
[00:05:29.319 --> 00:05:31.019]  So do I like Saddam Hussein?
[00:05:31.199 --> 00:05:33.959]  Hell no, I hate this guy, this hit man they created.
[00:05:35.199 --> 00:05:37.259]  But it's the same thing with all these people.
[00:05:37.639 --> 00:05:38.959]  Noriega, all of them.
[00:05:39.019 --> 00:05:39.779]  It's a joke.
[00:05:40.339 --> 00:05:45.459]  They've got to have somebody to bomb so they go out and create the boogeyman and have them do some mischief.
[00:05:47.079 --> 00:05:48.019]  It's just incredible.
[00:05:48.279 --> 00:05:51.819]  And, you know, growing up, young man, you can be president.
[00:05:52.100 --> 00:05:53.339]  Any young lady can be president.
[00:05:53.560 --> 00:05:54.800]  We can all be president.
[00:05:54.980 --> 00:05:55.639]  It's a free country.
[00:05:56.240 --> 00:06:01.459]  Is that why you've got 15 members of Skull and Bones each year out of 290 million people?
[00:06:02.019 --> 00:06:03.319]  15 members each year.
[00:06:04.000 --> 00:06:08.220]  And we can't even have two presidential candidates that aren't from that group?
[00:06:08.399 --> 00:06:09.720]  Hey, you're blowing my buzz.
[00:06:10.300 --> 00:06:12.279]  Hey, see, this guy says I'm blowing his buzz.
[00:06:12.459 --> 00:06:14.639]  See there?
[00:06:14.920 --> 00:06:15.420]  See there?
[00:06:16.920 --> 00:06:19.600]  Hey, see, they asked me to come up here.
[00:06:21.040 --> 00:06:22.959]  See, he wants to, I told you.
[00:06:22.959 --> 00:06:24.740]  Ladies and gentlemen, don't stand up.
[00:06:24.839 --> 00:06:25.560]  Hey, what do you say to him?
[00:06:26.160 --> 00:06:27.259]  What do you say to him?
[00:06:28.019 --> 00:06:28.920]  You guys want him?
[00:06:29.199 --> 00:06:31.759]  Hang on, he's about to do the tit-fuck joke.
[00:06:32.420 --> 00:06:32.759]  Exactly.
[00:06:33.579 --> 00:06:34.279]  Shut up!
[00:06:34.579 --> 00:06:35.819]  This is for me, asshole.
[00:06:37.040 --> 00:06:39.120]  Alright, no seriously, they asked me to come up here.
[00:06:39.199 --> 00:06:39.660]  Thank you, dog.
[00:06:41.019 --> 00:06:42.759]  And that's why I was going to say I left out.
[00:06:42.899 --> 00:06:44.560]  He may be a degenerate atheist.
[00:06:45.180 --> 00:06:48.500]  But my God, he's a hell of a lot better than the Christian Coalition.
[00:06:51.560 --> 00:06:54.639]  Hey, did you see the New York Post two weeks ago?
[00:06:54.879 --> 00:07:01.600]  Now, I've already broken in there and proven all this, but it said, top gay porn stars servicing Republican leaders of the Bohemian Grove.
[00:07:02.759 --> 00:07:06.160]  You want to know where the FBI needs to be investigating people, it's over there.
[00:07:06.240 --> 00:07:09.120]  But that's my point, is it's totally hypocritical.
[00:07:09.319 --> 00:07:11.000]  The whole thing's a giant scam.
[00:07:12.189 --> 00:07:15.990]  You know, I forgot this guy in the stratosphere who wants to go back to Kansas.
[00:07:16.189 --> 00:07:17.209]  You're not in Kansas anymore.
[00:07:17.449 --> 00:07:19.410]  I forgot where I was at when he interrupted me.
[00:07:19.829 --> 00:07:21.329]  As I was closing down.
[00:07:21.889 --> 00:07:25.449]  As I was completing my bombardment of the gray matter.
[00:07:26.269 --> 00:07:27.129]  What was it?
[00:07:28.750 --> 00:07:30.209]  Yeah, was that what I was talking about?
[00:07:32.110 --> 00:07:32.509]  Alright.
[00:07:34.069 --> 00:07:34.470]  What?
[00:07:35.430 --> 00:07:36.230]  What were you talking about?
[00:07:37.610 --> 00:07:38.589]  What did I call you?
[00:07:38.769 --> 00:07:40.509]  I called you a big fucking pussy.
[00:07:41.259 --> 00:07:42.620]  That's what I called you, bruiser.
[00:07:42.800 --> 00:07:43.240]  Bam!
[00:07:43.779 --> 00:07:44.220]  Bam!
[00:07:44.360 --> 00:07:45.519]  You're a big badass!
[00:07:45.959 --> 00:07:48.240]  You don't want to hear the truth because you're a little coward.
[00:07:48.439 --> 00:07:49.480]  You can't handle the truth.
[00:07:49.639 --> 00:07:51.360]  You don't want to hear about 50 million people.
[00:07:51.600 --> 00:07:52.420]  You want to sit there?
[00:07:52.540 --> 00:07:53.839]  Hey, I'll be sitting right there.
[00:07:55.639 --> 00:07:57.259]  That's right, you little weasel.
[00:07:57.720 --> 00:07:59.180]  I called you a little punk.
[00:07:59.699 --> 00:08:00.139]  Yeah.
[00:08:01.459 --> 00:08:01.899]  Yeah.
[00:08:02.639 --> 00:08:04.680]  That's a coward right there, folks.
[00:08:05.139 --> 00:08:06.160]  That's a coward.
[00:08:06.540 --> 00:08:08.240]  That's a punk bitch.
[00:08:11.759 --> 00:08:12.639]  I was saying no.
