[00:00:00.700 --> 00:00:02.459]  Okay, it's 523 Central.
[00:00:02.779 --> 00:00:03.759]  I went to get something to eat.
[00:00:03.839 --> 00:00:05.400]  I'm going back to the office to work a few more hours.
[00:00:05.519 --> 00:00:06.099]  I'm going home.
[00:00:06.740 --> 00:00:08.599]  And I'm irritated.
[00:00:11.019 --> 00:00:18.559]  The real winner of the Romanian presidency a few months ago had it canceled by NATO and the EU. And then George Soros, literally.
[00:00:18.820 --> 00:00:19.820]  George Soros judge.
[00:00:21.059 --> 00:00:25.260]  And then they arrested him two hours after he was on my show here to stay live for an hour.
[00:00:25.879 --> 00:00:28.620]  And I'm talking to his wife and his campaign people.
[00:00:29.100 --> 00:00:31.879]  And they take him and interrogate him for almost a day inside this dungeon.
[00:00:32.619 --> 00:00:33.960]  Then they charge him.
[00:00:34.740 --> 00:00:39.380]  And we broke this at like 11 o'clock, 11.15 or so on the show today, right when it started.
[00:00:39.759 --> 00:00:42.920]  And I read the insane indictment with no proof on air.
[00:00:43.219 --> 00:00:49.659]  We put it out, and it has like 200,000 views on X. I mean, we could just talk about little side issues against millions of views.
[00:00:50.520 --> 00:00:52.119]  Everybody's still talking about him being arrested.
[00:00:52.359 --> 00:00:52.659]  No, no, no.
[00:00:53.060 --> 00:00:57.020]  He's been charged with genocide.
[00:00:57.659 --> 00:00:58.700]  Never killed one person.
[00:00:59.289 --> 00:01:07.390]  Crimes against humanity, all this weird leftist Soros stuff, anti-Semitism, white supremacy.
[00:01:07.790 --> 00:01:09.890]  And his party and him aren't even known for that.
[00:01:11.010 --> 00:01:12.969]  They're more like libertarian populists.
[00:01:13.109 --> 00:01:13.650]  He's an economist.
[00:01:15.010 --> 00:01:20.269]  So, it's kind of like the art of tinium leader when it comes to, you know, cut government and get local businesses going.
[00:01:20.530 --> 00:01:22.030]  I mean, this is freaking crazy.
[00:01:22.069 --> 00:01:25.250]  And they built this giant NATO base right there on the Black Sea, pointed right in.
[00:01:25.799 --> 00:01:29.060]  The Russians, and they admit that's their main base, and that's why they did this coup.
[00:01:29.640 --> 00:01:35.560]  They're overriding an election and then indicting him for crimes against their country and crimes against democracy.
[00:01:35.819 --> 00:01:37.219]  It just goes on and on and on and on.
[00:01:37.319 --> 00:01:38.299]  I read it all on air.
[00:01:38.959 --> 00:01:45.200]  And you can see it on a few Romanian sites on X, but it's still trending top in our videos.
[00:01:45.299 --> 00:01:46.579]  When I woke up at 4 a.m.
[00:01:46.599 --> 00:01:47.299]  this morning, he'd been arrested.
[00:01:47.379 --> 00:01:48.019]  Those are up there.
[00:01:48.620 --> 00:01:52.840]  But the video about him being indicted, I guess people think it's a joke in the headline.
[00:01:53.120 --> 00:01:53.939]  No, genocide.
[00:01:55.400 --> 00:01:55.719]  Genocide.
[00:01:55.719 --> 00:01:57.400]  I mean, it's like 30 things.
[00:01:57.560 --> 00:01:59.019]  It's freaking insane.
[00:02:00.719 --> 00:02:05.000]  So I'm gonna go shoot another report on it right now with some of the latest, but man, this is just bonkers.
[00:02:05.219 --> 00:02:06.680]  They'd love to do this all over the world.
[00:02:06.760 --> 00:02:07.540]  This is the Globos.
[00:02:07.579 --> 00:02:08.479]  This is what they would be doing here.
[00:02:08.740 --> 00:02:09.819]  They try all the same stuff on Trump.
[00:02:10.139 --> 00:02:11.400]  This is dangerous, man.
