# Transcription model: large-v3-turbo, custom faster_whisper
[00:00:05.389 --> 00:00:06.030]  This is it.
[00:00:06.410 --> 00:00:07.030]  Right there.
[00:00:09.269 --> 00:00:10.589]  Will you give me a super deal?
[00:00:11.109 --> 00:00:12.650]  I don't have that much.
[00:00:14.570 --> 00:00:18.230]  How much is that?
[00:00:19.510 --> 00:00:20.510]  $81.95.
[00:00:25.050 --> 00:00:26.289]  Will you give me a super deal?
[00:00:26.350 --> 00:00:27.370]  Because I ran out of fireworks.
[00:00:27.390 --> 00:00:27.829]  I was shooting.
[00:00:28.410 --> 00:00:29.870]  Super deal of what?
[00:00:31.910 --> 00:00:32.649]  That's what I mean.
[00:00:32.689 --> 00:00:34.229]  I don't think I have 81 bucks at this point.
[00:00:35.189 --> 00:00:35.409]  All right.
[00:00:35.810 --> 00:00:36.130]  Thank you.
[00:00:36.530 --> 00:00:38.130]  $81 and no tax.
[00:00:38.350 --> 00:00:38.770]  How's that?
[00:00:39.409 --> 00:00:40.490]  Yeah, I don't have that much money.
[00:00:40.750 --> 00:00:41.789]  No, that's all I do.
[00:00:41.869 --> 00:00:43.770]  Because I've got to pay you to do here.
[00:00:44.009 --> 00:00:44.109]  Huh?
[00:00:44.609 --> 00:00:46.210]  Without obvious videotaping.
[00:00:46.310 --> 00:00:47.109]  He videotapes everything.
[00:00:48.590 --> 00:00:51.469]  Can you believe I had a sale that worked this good?
[00:00:51.890 --> 00:00:52.210]  Wow.
[00:00:52.869 --> 00:00:53.310]  Thank you.
[00:00:56.080 --> 00:00:57.020]  That's a good deal.
[00:00:57.979 --> 00:00:59.119]  They're all the same, right?
[00:00:59.380 --> 00:01:00.359]  What was it yesterday?
[00:01:00.619 --> 00:01:01.359]  How much was that yesterday?
[00:01:02.079 --> 00:01:10.540]  Well, it was $81.95 with tax, and tax included, so you add on to another $5, you're going back to $89 with all of the tax.
[00:01:11.540 --> 00:01:13.719]  Those are going to be pretty.
[00:01:17.520 --> 00:01:17.980]  Alright!
[00:01:18.640 --> 00:01:19.840]  This is getting better and better.
[00:01:23.480 --> 00:01:24.659]  Look at him smile.
[00:01:24.859 --> 00:01:27.739]  He got something free, so he's smiling.
[00:01:29.060 --> 00:01:30.920]  Now you know how to make him smile.
[00:01:31.340 --> 00:01:31.780]  Thank you.
[00:01:32.099 --> 00:01:34.019]  No, I'm just smiling at your daughter with a camera.
[00:01:34.799 --> 00:01:35.700]  Shmee the addict.
[00:01:36.060 --> 00:01:37.920]  Get his good side right here.
[00:01:38.120 --> 00:01:38.519]  Turn around.
[00:01:38.799 --> 00:01:40.099]  See you guys later.
[00:01:41.939 --> 00:01:42.640]  Get there.
[00:01:42.780 --> 00:01:43.599]  Get his good side.
[00:01:43.819 --> 00:01:44.400]  There you go.
[00:01:49.060 --> 00:02:00.710]  It's mine!
[00:02:00.719 --> 00:02:03.200]  See you later.
[00:02:05.560 --> 00:02:06.260]  Bottle rocket.
[00:02:08.460 --> 00:02:09.860]  Oh, it's more than a bottle rocket.
[00:02:10.419 --> 00:02:11.080]  It's a Roman.
[00:02:15.439 --> 00:02:16.319]  What is that?
[00:02:16.419 --> 00:02:16.960]  Is that a dancing?
