# Transcription model: nvidia/parakeet-tdt-0.6b-v2, custom faster_whisper
[00:00:00.080 --> 00:00:04.160]  The Democrat plan has been clear, and they're executing it in front of the world.
[00:00:04.320 --> 00:00:16.000]  Remember, John Podesta in August of 2020 said that if Trump could win the election, and they weren't able to steal it, that they were going to trigger illegal alien riots all over the country.
[00:00:16.320 --> 00:00:30.480]  And that when Trump executed the law against them, they would call them terrorists, Nazis, all the rest of it, and that they believed then someone would kill a bunch of the migrants, illegal aliens, the entitled illegal aliens, and that that will then trigger a civil war.
[00:00:30.800 --> 00:00:34.800]  And now they were all over the news in the last week saying our constituents want blood.
[00:00:34.960 --> 00:00:36.560]  We need our people to get killed.
[00:00:36.880 --> 00:00:44.320]  So we can basically create a real-world version of the movie that Hollywood produced a couple of years ago that came out last year, Civil War.
[00:00:44.960 --> 00:00:59.759]  And now you've got Tom Homan coming out today and pointing out what you just saw at the big marijuana production facility there in California with at least 11 children found being used in slave labor, migrants, illegal aliens, brought in.
[00:01:00.079 --> 00:01:02.960]  You have people smashing the vehicles with bricks.
[00:01:03.280 --> 00:01:06.320]  You've got people clearly shooting guns, dead ice.
[00:01:06.960 --> 00:01:14.000]  You have all this going on and a riot because the corporate media and the Democrats have said these are Nazis, these are terrorists.
[00:01:14.159 --> 00:01:21.120]  When no, they're federal agents and constitutional duty, completely outnumbered, only 5,000 enforcers right now.
[00:01:21.439 --> 00:01:23.120]  The Big Beautiful Bill scales it up.
[00:01:23.439 --> 00:01:28.239]  And they're trying to sell the idea that attacking them and shooting at them and all the rest of this is good.
[00:01:28.400 --> 00:01:36.879]  And we've seen just last week, multiple ICE facilities attacked, shot up, police officers shot in Texas, Antifa being arrested.
[00:01:37.120 --> 00:01:39.600]  This is terrorism, and it's scaling up now.
[00:01:39.920 --> 00:01:48.879]  Remember that whole situation a month ago with the No Kings in Minnesota when it came out that was connected to Governor Walls, the communist Chinese operative?
[00:01:49.120 --> 00:01:51.439]  That all disappeared off the radar real fast, didn't it?
[00:01:51.760 --> 00:01:54.240]  So they mean business, and they're trying to execute this.
[00:01:54.560 --> 00:01:58.000]  They're trying to trigger violence and civil war, and they mean business.
[00:01:58.079 --> 00:01:59.760]  So people need to understand what this is.
[00:01:59.920 --> 00:02:03.840]  Even the rhetoric out of Homan and the White House isn't as strong as it should be.
[00:02:04.000 --> 00:02:06.320]  This is an attempt by the Democrats to trigger this.
[00:02:06.400 --> 00:02:07.439]  They've said it was their plan.
[00:02:07.760 --> 00:02:10.319]  People better understand this is a serious situation.
[00:02:10.479 --> 00:02:15.120]  We have to get out there with the truth, the narrative, that this is a battle plan that they've officially laid out.
[00:02:15.360 --> 00:02:16.560]  They've been warning of for years.
[00:02:16.879 --> 00:02:22.719]  And as soon as Trump was able to override their fraud on November last year, they said, okay, we're going with the original plan.
[00:02:23.360 --> 00:02:25.520]  And this is what they're doing right now.
[00:02:25.840 --> 00:02:34.800]  So imagine throwing big bricks and rocks, trying to break through their windows, trying to kill them, shooting at the ICE agents for saving kids.
[00:02:35.120 --> 00:02:37.039]  This is what we elected Trump for.
[00:02:37.360 --> 00:02:40.000]  And I really appreciate what ICE is doing, what Tom Holmes is doing.
[00:02:40.080 --> 00:02:41.120]  They're in a serious situation.
[00:02:41.200 --> 00:02:41.920]  We should pray for them.
[00:02:42.080 --> 00:02:44.640]  We should back him 100% because this is about the sovereignty of our nation.
[00:02:44.960 --> 00:02:47.759]  The globalists, if they can do this, can destroy the country.
[00:02:47.920 --> 00:02:49.920]  It's an existential threat.
[00:02:51.520 --> 00:02:52.719]  Stephen Miller is absolutely right.
[00:02:52.800 --> 00:02:54.400]  This is the main threat to our country right now.
[00:02:54.560 --> 00:02:55.599]  It's replacement migration.
[00:02:55.680 --> 00:02:59.680]  The NGOs when he prosecution of Majorkas and others yesterday.
[00:03:00.960 --> 00:03:02.879]  Please, ladies and gentlemen, raise the alarm.
