# Transcription model: nvidia/parakeet-tdt-0.6b-v2, sat-12l-sm, and large-v3-turbo
# Transcript cleaned with version 0.1.2
# Source MD5: 23d2bfafea252e5adfd4cc3a2525b94a
[00:00:00.960 --> 00:00:02.800]  Happy Thanksgiving 2025.
[00:00:03.120 --> 00:00:04.000]  And yes, it's true.
[00:00:04.080 --> 00:00:06.080]  I'm dating Sidney Sweeney.
[00:00:06.320 --> 00:00:07.360]  It's very, very exciting.
[00:00:07.520 --> 00:00:08.880]  She's over at the house today.
[00:00:09.120 --> 00:00:10.400]  We're going to have delicious turkey.
[00:00:10.480 --> 00:00:11.919]  It's really been a lot of fun.
[00:00:12.480 --> 00:00:26.960]  No, on a serious note, I saw a viral post where some folks, I guess, photoshopped, or it's AI, I can't tell, an image of myself and the model, who also stands up for basic rights and American values.
[00:00:27.039 --> 00:00:27.839]  So I do like her.
[00:00:28.160 --> 00:00:29.039]  And so I reposted it.
[00:00:29.199 --> 00:00:30.240]  It went even more viral.
[00:00:30.480 --> 00:00:37.600]  And I noticed the left got really, really triggered by it and was saying I'm being deceptive or I'm bad or they think it's real.
[00:00:37.920 --> 00:00:41.119]  And then I saw some so-called conservatives saying I'm not being a good family man.
[00:00:41.679 --> 00:00:43.600]  It's called a joke.
[00:00:43.920 --> 00:00:49.439]  But it also shows how easily people can be manipulated by projecting whatever they want onto it.
[00:00:50.079 --> 00:00:52.560]  You saw all the images of Charlie Kirk after he was assassinated.
[00:00:52.800 --> 00:00:55.359]  They would just show a photo and they have a fake quote.
[00:00:55.679 --> 00:00:57.600]  Like black women should be little flyer planes.
[00:00:57.679 --> 00:00:59.280]  Never said anything close to that.
[00:00:59.600 --> 00:01:00.320]  This is what they do.
[00:01:00.399 --> 00:01:02.480]  Or, you know, saying Trump said Mexicans are all criminals.
[00:01:02.719 --> 00:01:03.280]  Said no such thing.
[00:01:03.600 --> 00:01:04.799]  Or the KKK are fine people.
[00:01:04.879 --> 00:01:06.239]  He said they're not fine people.
[00:01:07.200 --> 00:01:08.239]  But that's what they do.
[00:01:08.480 --> 00:01:11.359]  Or Alex Jones sent people to pee on dead kids' graves.
[00:01:11.519 --> 00:01:15.200]  Nobody peed on graves, but they said I sent them to do it.
[00:01:15.519 --> 00:01:18.719]  We put them on the stand and said, who peed on your grave?
[00:01:18.799 --> 00:01:19.200]  I don't know.
[00:01:19.519 --> 00:01:21.439]  Or, you know, who sent somebody to your house?
[00:01:21.760 --> 00:01:22.079]  I don't know.
[00:01:22.159 --> 00:01:23.680]  Well, I mean, who told you?
[00:01:23.920 --> 00:01:24.719]  I don't know.
[00:01:25.040 --> 00:01:28.879]  But there ran enough headlines everywhere that I'm the guy that killed the kids at Sandy Hook, basically.
[00:01:28.960 --> 00:01:30.560]  Nobody knows Adam Lance's name.
[00:01:30.799 --> 00:01:31.680]  Just all crap.
[00:01:31.840 --> 00:01:35.280]  They raised $300 million on their foundations off my name.
[00:01:35.600 --> 00:01:39.600]  Those charities, those families that sued me to work with the Democrats.
[00:01:39.920 --> 00:01:40.960]  But that mattered forever.
[00:01:41.040 --> 00:01:42.719]  I'm the bad guy, and I made money off them.
[00:01:42.799 --> 00:01:43.920]  Never made a cent off of them.
[00:01:44.079 --> 00:01:45.200]  Barely ever even talked about it.
[00:01:45.280 --> 00:01:48.719]  But that's the power of Trump said the KKK are very fine people.
[00:01:48.799 --> 00:01:50.000]  Really, where's the video?
[00:01:50.640 --> 00:01:52.960]  So it's just insane.
[00:01:53.280 --> 00:01:58.799]  But it shows you an example where people really believe this image is real of me and the model.
[00:01:59.439 --> 00:02:00.320]  It's just over the top.
[00:02:00.400 --> 00:02:02.159]  So let's give them what they want.
[00:02:02.480 --> 00:02:06.880]  I'm asking all the great folks out there, the people that made this great Sweeney deal.
[00:02:07.040 --> 00:02:09.439]  I saw it posted on the Alex Show's Industrial Absolute.
[00:02:09.520 --> 00:02:15.280]  I don't know if they made it to put me with every supermodel in the world because it's so triggering to the left.
[00:02:15.920 --> 00:02:19.120]  And of course, my family and my wife, they all think it's really, really funny.
[00:02:19.599 --> 00:02:21.520]  So I got authorization from the kids and everybody else.
[00:02:21.599 --> 00:02:22.879]  My daughters think it's really funny.
[00:02:22.960 --> 00:02:24.400]  It's going super viral all over the place.
[00:02:24.719 --> 00:02:26.719]  And so please put me with Marilyn Monroe.
[00:02:27.280 --> 00:02:30.240]  Please put me with Hillary Clinton.
[00:02:31.520 --> 00:02:32.879]  Let's have some fun with it.
[00:02:33.439 --> 00:02:36.800]  Put me with Jasmine Crockett.
[00:02:36.960 --> 00:02:38.879]  She is pretty good looking, even though she's a demon.
[00:02:39.200 --> 00:02:43.120]  Hey, have you seen her whenever her real voice is a nice girl like this?
[00:02:43.439 --> 00:02:45.360]  And then now she's like, I'm a ghetto girl.
[00:02:45.840 --> 00:02:48.080]  I mean, it's just insane.
[00:02:48.640 --> 00:02:56.879]  So God bless you all in this Thanksgiving, but let's have some major trolling here because this is just absolutely something.
[00:02:57.599 --> 00:03:01.599]  You'll never know what triggers people, both on the left and right, especially the left, though.
[00:03:01.920 --> 00:03:03.120]  Absolutely amazing.
[00:03:04.080 --> 00:03:04.719]  God bless you all.
[00:03:04.879 --> 00:03:07.840]  Have a great Christian holiday, Thanksgiving, the Pilgrims.
[00:03:08.080 --> 00:03:09.280]  I know that upsets the Islamists.
[00:03:09.439 --> 00:03:12.879]  I've seen videos of them all over the U.S. tearing down Christmas trees and crosses.
[00:03:13.039 --> 00:03:15.039]  Same thing in Europe, burning down thousands of churches.
[00:03:15.439 --> 00:03:17.439]  So I guess, I don't know if they're going to celebrate Thanksgiving.
[00:03:17.599 --> 00:03:18.480]  Probably not.
[00:03:19.120 --> 00:03:21.599]  So I guess happy jihad to you.
[00:03:21.920 --> 00:03:22.159]  All right.
[00:03:22.240 --> 00:03:22.960]  God bless you all.
