[00:00:00.000 --> 00:00:01.199]  I'm Sally Hernandez.
[00:00:01.260 --> 00:00:06.400]  Police on the scene in East Austin at Douglas Street and Old Torf Street.
[00:00:06.559 --> 00:00:09.859]  A 911 call came in just before midnight last night.
[00:00:10.000 --> 00:00:16.980]  Barrett Tryon has been there for us within the last few hours to figure out exactly what police are saying from that investigation.
[00:00:16.980 --> 00:00:17.640]  Good morning.
[00:00:18.039 --> 00:00:22.620]  Police really releasing few details about what happened overnight, but this is what we do know right now.
[00:00:22.760 --> 00:00:26.640]  Police say they actually found the victim here in the parking lot of this apartment complex.
[00:00:27.230 --> 00:00:30.449]  EMS ended up taking that man to the hospital where he later died.
[00:00:30.649 --> 00:00:35.549]  Right now, police will not say exactly if he was shot or stabbed, only saying that he had obvious trauma.
[00:00:36.049 --> 00:00:39.030]  Homicide detectives still unseen, as I mentioned this morning, collecting evidence.
[00:00:39.030 --> 00:00:44.130]  We've seen also a lot of activity in a second-floor apartment where they've been taking evidence bags out.
[00:00:44.490 --> 00:00:52.350]  Right now, police say they do not have any information about a suspect, and they're asking if you know something about that to contact them.
[00:00:52.450 --> 00:00:55.630]  You can also remain anonymous using Crime Stoppers.
[00:00:56.140 --> 00:01:05.799]  It's the afternoon of Monday, March 10th, 2025, and I come to the InfoWars family of viewers and listeners into the world with some really horrible news.
[00:01:06.420 --> 00:01:14.980]  There are a lot of really cool people that have worked at InfoWars over the years, and one of the most amazing people was Jamie White.
[00:01:15.319 --> 00:01:19.340]  You know him as a great reporter and researcher.
[00:01:20.099 --> 00:01:25.120]  He was up here last night working late during the Sunday show and after it.
[00:01:25.530 --> 00:01:29.370]  And we even have his last post on X where he responded to Elon Musk.
[00:01:30.590 --> 00:01:39.569]  Jamie was murdered last night outside of his home just a few miles away from our studios.
[00:01:40.890 --> 00:01:54.269]  And we are the folks here breaking that news first because his family has been notified and his good personal friends here that were very close to Jamie have talked to his folks and family.
[00:01:55.359 --> 00:02:03.319]  We sent some people over this morning when he didn't answer the phone because he's always here early, loves to work, loves to fight tyranny, loves to promote freedom.
[00:02:03.959 --> 00:02:09.759]  And when they got to the apartment complex, there was yellow tape everywhere and blood all over the parking lot.
[00:02:09.759 --> 00:02:12.800]  And we went and talked to the manager.
[00:02:13.000 --> 00:02:13.919]  They didn't know anything.
[00:02:14.280 --> 00:02:17.740]  It's like everybody else we see in the left.
[00:02:17.919 --> 00:02:19.780]  They just were very laissez-faire.
[00:02:20.259 --> 00:02:22.379]  But our...
[00:02:22.759 --> 00:02:31.439]  Crew members saw a police officer and went and talked to them, and they made a phone call, and she had the details when she talked to him and knew Jamie.
[00:02:31.699 --> 00:02:33.379]  The police officer said yes.
[00:02:34.180 --> 00:02:39.280]  He died at the hospital very soon after they got him there.
[00:02:40.060 --> 00:02:48.840]  The police responded within two minutes, and they had him at the hospital where he was pronounced dead within 18 minutes.
[00:02:49.180 --> 00:02:50.919]  I just want to say the police said a...
[00:02:51.469 --> 00:03:08.210]  Great job in the response time, despite I'm going to talk about in a moment who I hold responsible for this and who is responsible for this and who are accomplices to Jamie and so many others murder and so many others that have been raped and mugged.
[00:03:08.830 --> 00:03:15.669]  Heard me on air talk about how the crime is very, very bad here in Austin and he left the city and just exploded the last four years.
[00:03:16.430 --> 00:03:19.810]  But let me just tell you what happened to Jamie.
[00:03:20.379 --> 00:03:25.939]  What we know so far, his last post on X was 16 hours ago.
[00:03:27.080 --> 00:03:38.479]  Elon Musk was talking about leftists saying that if they see cyber trucks, they're going to attack them and physically attack them and put a rock through their windshield.
[00:03:38.479 --> 00:03:45.379]  That's now actually happening, and they're burning down the Tesla dealerships and shooting them up, and they're celebrating on corporate news.
[00:03:45.919 --> 00:03:47.439]  Elon responded and said, yeah.
[00:03:47.949 --> 00:03:49.349]  Why are liberals so violent?
[00:03:49.650 --> 00:03:51.750]  Legacy media propaganda is a major part of the problem.
[00:03:51.969 --> 00:03:55.490]  I'm not saying a leftist killed Jamie, but the point is there's a lot of push for violence.
[00:03:55.629 --> 00:04:08.409]  Jamie White reposted Elon Musk's comment in the story, and that's the last thing we know that he ever probably did in his journalistic career.
[00:04:10.449 --> 00:04:12.330]  There's Jamie's ex-account.
[00:04:13.389 --> 00:04:18.470]  I have sworn upon the altar of God, eternal hostility against every form of tyranny over the mind of man.
[00:04:19.670 --> 00:04:21.209]  Original gangster, Thomas Jefferson.
[00:04:23.189 --> 00:04:25.350]  And, I mean, I'll just say it.
[00:04:25.370 --> 00:04:28.129]  Jamie was our best writer and reporter.
[00:04:28.170 --> 00:04:30.209]  They're all great, but they all said he was the best.
[00:04:30.350 --> 00:04:32.870]  I mean, there's others that are almost as good, but not as good as Jamie.
[00:04:33.689 --> 00:04:40.750]  And he wrote six, seven articles yesterday, posted all this news, did all this great research, gave us information for the show.
[00:04:41.449 --> 00:04:58.550]  They assisted us in what we were doing, and we came in this morning, the crew looked really upset, and they said, Jamie didn't come in, and so we sent one of the crew down there, and it doesn't look good.
[00:04:59.589 --> 00:05:05.069]  And then they didn't even want to tell me yet that the cops had said, no, it was Jamie White.
[00:05:05.209 --> 00:05:06.209]  We were the first to learn.
[00:05:06.610 --> 00:05:08.990]  We waited until the afternoon until the family's been told.
[00:05:10.220 --> 00:05:19.160]  You saw a little clip from the newscast about this in the early morning hours, and it's just become so routine.
[00:05:19.360 --> 00:05:28.740]  And then when somebody like Daniel Penney defends a group of people on a train, these leftist DAs throw them in prison.
