[00:00:01.011 --> 00:00:03.677]  3139.
[00:00:02.515 --> 00:00:03.677]  Coast to Coast.
[00:00:04.058 --> 00:00:05.381]  Direct from Austin.
[00:00:06.103 --> 00:00:09.310]  You're listening to the Alex Jones Broadcasting Network.
[00:00:16.664 --> 00:00:20.788]  Big Brother, Mainstream Media, Government Cover-Ups.
[00:00:21.449 --> 00:00:22.250]  You want answers?
[00:00:23.030 --> 00:00:23.931]  Well, so does he.
[00:00:24.592 --> 00:00:28.196]  He's Alex Jones on the GCN Radio Network.
[00:00:28.776 --> 00:00:32.820]  And now, live from Austin, Texas, Alex Jones.
[00:00:36.092 --> 00:00:37.313]  Welcome to the Alex Jones Show!
[00:00:37.393 --> 00:00:50.023]  I'm David Knight, I'll be your host today, and we have quite a show, a lot of news, a big Supreme Court decision that people have been waiting for quite some time, the Hobby Lobby decision, and of course this is a test of boundaries.
[00:00:50.103 --> 00:00:58.989]  Where does Obama's imperial dictates, where they began, where the Congress's dictates began, and where do religious freedoms end?
[00:00:59.169 --> 00:01:03.493]  Well, in this particular case we had a narrow Supreme Court decision, five to four,
[00:01:04.113 --> 00:01:10.477]  That ruled in favor of closely held corporations being able to have religious freedom.
[00:01:10.858 --> 00:01:13.920]  Not to have those mandates mandated on them.
[00:01:13.960 --> 00:01:15.120]  Well, what about the rest of us?
[00:01:15.901 --> 00:01:22.585]  What about the rest of us who are being forced to buy policies that in many cases are far more than we need?
[00:01:22.625 --> 00:01:28.269]  For example, young men being forced to get maternity policies when they're single.
[00:01:28.669 --> 00:01:29.330]  That type of thing.
[00:01:29.350 --> 00:01:31.892]  Of course, this is a bill that was written by the
[00:01:32.572 --> 00:01:38.296]  Insurance companies, for the insurance company's profits, it's been changed at will by Obama.
[00:01:39.037 --> 00:01:45.282]  And they tried to destroy this company, levying $1.3 million a day fines on them.
[00:01:45.342 --> 00:01:47.864]  I mean, that's even more than Hillary Clinton makes in a speech.
[00:01:48.868 --> 00:01:51.250]  You know, that's about five times what she makes in a speech.
[00:01:51.270 --> 00:01:54.632]  So that's a lot of money, because she makes a lot of money with her speeches.
[00:01:55.172 --> 00:02:05.479]  But don't think that religious freedom is breaking out all over the place, because we've got the military banning Bibles while they're forcing soldiers in Bahrain to adhere to Ramadan rules.
[00:02:06.059 --> 00:02:11.183]  Also on the news, we've got calls in Congress for refugee status for Central American kids.
[00:02:11.823 --> 00:02:15.025]  And this is not just Obama and Democrats calling for this.
[00:02:15.085 --> 00:02:17.287]  This is people like John McCain.
[00:02:18.007 --> 00:02:22.429]  Because this is an opportunity for them to exercise control.
