[00:00:00.009 --> 00:00:01.051]  Direct from Austin.
[00:00:01.792 --> 00:00:04.998]  You're listening to the Alex Jones Broadcasting Network.
[00:00:14.795 --> 00:00:15.435]  Big Brother.
[00:00:16.096 --> 00:00:17.137]  Mainstream media.
[00:00:17.877 --> 00:00:18.978]  Government cover-ups.
[00:00:19.638 --> 00:00:20.439]  You want answers?
[00:00:21.219 --> 00:00:22.140]  Well, so does he.
[00:00:22.760 --> 00:00:26.402]  He's Alex Jones on the GCN Radio Network.
[00:00:26.963 --> 00:00:31.005]  And now, live from Austin, Texas, Alex Jones.
[00:00:49.031 --> 00:00:50.172]  Hacking is bad.
[00:00:50.793 --> 00:00:52.895]  Unless, of course, you're doing it for the U.S.
[00:00:52.935 --> 00:00:53.335]  government.
[00:00:53.736 --> 00:00:59.261]  When you go to the airport, reports show that the NSA gets info from your online searches during your flight.
[00:00:59.702 --> 00:01:03.426]  It's been reported that GoGo, one of the main Wi-Fi suppliers to U.S.
[00:01:03.526 --> 00:01:05.648]  airplanes, supplies data to U.S.
[00:01:05.688 --> 00:01:06.188]  authorities.
[00:01:06.889 --> 00:01:12.791]  Outside of airlines, we've seen companies such as Microsoft, which makes the Xbox, implicated in the PRISM scandal.
[00:01:13.071 --> 00:01:17.693]  But if you hack a company that makes video games, get ready for a visit from the FBI.
[00:01:18.273 --> 00:01:24.095]  And if you expose the PRISM system in general, get ready to seek asylum and be labeled an enemy of the state.
[00:01:24.955 --> 00:01:31.637]  And if the Feds just so happen to find another way into your device, such as the Heartbleed bug, they say that it's no big deal.
[00:01:33.218 --> 00:01:38.599]  70% of all computers use a program that has had a major flaw for over two years.
[00:01:39.140 --> 00:01:48.563]  And this flaw allows hackers to get in and read encrypted mail, encrypted communications of all kinds, without our knowledge.
[00:01:48.603 --> 00:01:52.684]  Now, keep in mind, this has been going on for two years and we just now discovered it.
[00:01:53.224 --> 00:01:55.547]  I think it's one of the problems with American corporations.
[00:01:55.587 --> 00:01:56.788]  They've become lazy.
[00:01:57.429 --> 00:02:03.935]  Rather than building things in the proper way, they rely on open source, which is free, and everybody goes, oh, this is great.
[00:02:03.975 --> 00:02:04.816]  This is good stuff.
