[00:00:04.960 --> 00:00:06.182]  There is a war.
[00:00:06.662 --> 00:00:07.663]  It's happening now.
[00:00:08.524 --> 00:00:10.327]  It will decide the fate of humanity.
[00:00:10.907 --> 00:00:12.709]  The time to choose sides has come.
[00:00:13.470 --> 00:00:14.932]  We are the Resistance.
[00:00:15.393 --> 00:00:17.035]  We are the Infowar.
[00:00:23.030 --> 00:00:24.552]  Welcome to the Infowars Nightly News.
[00:00:24.632 --> 00:00:25.232]  I'm David Knight.
[00:00:25.312 --> 00:00:27.134]  It's Monday, October 6, 2014.
[00:00:28.336 --> 00:00:39.467]  About two weeks after we were warned on the Alex Jones Show by a former CIA insider, Robert David Steele warned us on the Alex Jones Show that a staged Ebola false flag attack was on the horizon.
[00:00:39.847 --> 00:00:40.387]  We're good to go.
[00:00:58.018 --> 00:00:58.398]  We're good to go.
[00:01:20.871 --> 00:01:26.737]  It was also a time that he took the opportunity to assure us that we were not going to see Ebola in the United States.
[00:01:27.017 --> 00:01:30.281]  And at the same time, we broke the information that the U.S.
[00:01:30.321 --> 00:01:33.384]  government had ordered 160,000 hazmat suits.
[00:01:33.404 --> 00:01:35.646]  Now, of course, they didn't put that out publicly.
[00:01:35.706 --> 00:01:37.288]  That was put out by a manufacturer.
[00:01:37.688 --> 00:01:43.333]  Who also tied it in to the rising pandemic, so it wasn't just a large order that the federal government was putting together.
[00:01:43.853 --> 00:01:47.296]  Now, we also had a caller on the show yesterday.
[00:01:47.316 --> 00:01:53.302]  It was an emergency manager, and he basically said that the federal Ebola response is essentially a stand down.
[00:01:53.342 --> 00:01:54.663]  How do we know that it's a stand down?
[00:01:54.963 --> 00:01:56.184]  How do we know that they're trying to get it out?
[00:01:56.224 --> 00:01:59.907]  Well, as he pointed out, they're avoiding their own disease protocols.
[00:01:59.947 --> 00:02:01.509]  Of course, he's an emergency responder.
[00:02:01.849 --> 00:02:02.650]  He knows what they are.
[00:02:03.070 --> 00:02:06.153]  He said the violations of protocol are almost too numerous to mention.
[00:02:06.173 --> 00:02:09.917]  For one thing, the government officials are slow to decontaminate the apartment.
[00:02:10.157 --> 00:02:20.006]  And we're going to look at what has been happening there, and we're going to take a look at the person who is at the epicenter of this, a Texas judge who is up for re-election.
[00:02:20.046 --> 00:02:20.727]  But before we do...
[00:02:21.347 --> 00:02:29.092]  Let's catch up with what's happening in the world as far as the Ebola outbreak and the people surrounding this man who is being treated in Dallas.
[00:02:29.452 --> 00:02:33.595]  Back in Liberia, CNN reports Ebola is killing all of his neighbors.
[00:02:33.655 --> 00:02:37.718]  They say that nine people are already dead or dying there.
[00:02:38.198 --> 00:02:41.600]  That were neighbors to this man before he came to America.
[00:02:41.880 --> 00:02:44.521]  They said, we've been through this over and over again.
[00:02:44.561 --> 00:02:51.364]  They said, we tell people no matter how much you love a person, it's the health authority that is responsible to pick up the sick people.
[00:02:51.404 --> 00:02:58.207]  And of course, they're talking about the fact that Thomas Eric Duncan transported a woman who was very sick.
[00:02:58.247 --> 00:03:00.908]  Now, both of her parents are now infected with Ebola.
[00:03:01.248 --> 00:03:02.469]  He is infected with Ebola.
[00:03:02.549 --> 00:03:06.511]  And the brother who helped him take them in the taxi is already dead.
[00:03:07.091 --> 00:03:09.272]  I don't know what's going on with the taxi driver.
[00:03:09.332 --> 00:03:11.393]  Unfortunately, he was also exposed.
[00:03:11.893 --> 00:03:13.174]  And that's the danger of this.
[00:03:13.754 --> 00:03:25.120]  That the government would downplay this, would be cavalier about it, that some people might have a tangential brush with the disease and not get the disease, and therefore underestimate how easy it is to catch it.
[00:03:25.240 --> 00:03:31.663]  Certainly, with any disease, like a cold or a flu, you're not necessarily going to always get it or never get it.
[00:03:31.903 --> 00:03:36.185]  Sometimes several people can be in proximity, of course, as you well know, to someone.
[00:03:36.665 --> 00:03:39.727]  One person will get it, maybe two people will get it, someone else does not get it.
[00:03:40.107 --> 00:03:51.573]  That doesn't mean that we shouldn't follow safety protocols, especially with a disease that is as dangerous as this is, with 70 to 90 percent of the people who contract it dying a horrible death.
[00:03:51.953 --> 00:03:56.876]  Now, we also have a report today that a second Ebola case has turned up in the Madrid hospital.
[00:03:57.476 --> 00:04:05.023]  That's not been confirmed, but we have had one confirmation that one of the nurses who was treating a Spanish priest there definitely has contracted it.
[00:04:05.323 --> 00:04:11.309]  And that, by the way, is the first case of Ebola being transmitted outside of Africa.
[00:04:11.829 --> 00:04:15.673]  Another interesting note here is that that Spanish priest who died
[00:04:16.073 --> 00:04:20.794]  Was one of the two people treated with the ZMapp vaccine who subsequently died.
[00:04:20.874 --> 00:04:29.756]  So, not only did ZMapp not cure the priest, but now the caretakers that were there, the medical workers, are now also coming down with Ebola apparently.
[00:04:29.776 --> 00:04:36.277]  A CNN reporter returning from Liberia was horrified by the lack of Ebola screening at the airport.
[00:04:36.297 --> 00:04:39.838]  This is a story up on Infowars.com by Mikhail Phelan.
[00:04:40.638 --> 00:04:43.240]  She actually thought that we were being protected.
[00:04:43.300 --> 00:04:46.322]  Kind of awakening, like we see Chris Matthews going through.
[00:04:47.123 --> 00:04:49.625]  She said, I expected that they were going to take my temperature.
[00:04:49.805 --> 00:04:50.665]  Well, why wouldn't she?
[00:04:50.705 --> 00:04:56.650]  Because, after all, it was just a few days ago that Press Secretary Josh Earnest told us that that's what they were doing.
[00:04:56.710 --> 00:04:58.751]  So, of course, they're looking out for interest.
[00:04:58.791 --> 00:05:00.893]  But she said, no, they didn't take her temperature.
[00:05:00.933 --> 00:05:03.835]  As a matter of fact, she told them, she said, I'm a journalist.
[00:05:04.055 --> 00:05:05.356]  I'm returning from Liberia.
[00:05:05.556 --> 00:05:07.398]  I was covering the Ebola
[00:05:08.399 --> 00:05:08.859]  We're good to go.
[00:05:24.685 --> 00:05:27.406]  Same thing happened to the two of her co-workers.
[00:05:28.146 --> 00:05:32.367]  They also admitted that they were covering the Ebola outbreak in Liberia.
[00:05:32.847 --> 00:05:34.528]  Nothing was done with them either.
[00:05:35.048 --> 00:05:38.869]  It underscores the fact that the government is not going to protect you.
[00:05:38.909 --> 00:05:42.610]  As a matter of fact, as we pointed out, we believe that the government is standing down.
[00:05:42.650 --> 00:05:44.350]  They're trying to encourage this.
[00:05:44.370 --> 00:05:50.192]  They're giving people misinformation, which is actually going to increase the danger of this becoming a pandemic.
[00:05:50.672 --> 00:05:53.814]  At the same time, we see another case possibly in Miami.
[00:05:53.854 --> 00:05:56.796]  A teenager with Ebola-like symptoms has been quarantined in Miami.
[00:05:57.217 --> 00:06:03.541]  Look at the difference in the way the Miami medical system and government reacts versus the way they are in Dallas.
[00:06:03.561 --> 00:06:11.567]  They say, although a firm diagnosis takes 48 hours, medical experts say the probability of Ebola in this particular case is extremely low.
[00:06:12.387 --> 00:06:15.688]  However, authorities were taking no chances.
[00:06:16.329 --> 00:06:17.569]  Taking no chances.
[00:06:17.989 --> 00:06:18.669]  Unlike Dallas.
[00:06:18.869 --> 00:06:23.631]  They were taking no chances on Sunday and they called and the HAZMAT team reports the Miami Herald.
[00:06:24.432 --> 00:06:27.173]  A very different story, however, in Dallas.
[00:06:27.733 --> 00:06:36.336]  And if you want to understand who is at the epicenter of this response, or we should say this non-response, this cavalier attitude towards the disease,
[00:06:37.046 --> 00:06:48.112]  It's a judge, a pro-immigration judge, who really first came to light nationally earlier this summer when he said he was going to use schools in Dallas to house immigrant children.
[00:06:48.786 --> 00:06:54.187]  There was a lot of pushback against that, but of course he got a place at the table next to Barack Obama.
[00:06:54.267 --> 00:07:01.369]  Take a look at this picture of him right across the table from Barack Obama while Governor Perry is down at the end.
[00:07:01.409 --> 00:07:04.710]  Now that was earlier this summer when they were talking about immigration.
[00:07:04.750 --> 00:07:07.571]  Of course for him, it's all about compassion.
[00:07:08.271 --> 00:07:12.455]  Except that he hasn't been very compassionate with the people who have been exposed.
[00:07:12.995 --> 00:07:15.237]  Isolating them in that apartment without food.
[00:07:15.817 --> 00:07:20.061]  Two different families in two different apartments, isolated or quarantined without food.
[00:07:20.281 --> 00:07:21.942]  And of course, he didn't provide it.
[00:07:22.102 --> 00:07:26.926]  It was provided by the Red Cross and other volunteer charities who then finally provided that.
[00:07:27.447 --> 00:07:29.769]  But the most dangerous thing that he has done,
[00:07:30.419 --> 00:07:42.623]  Has been to basically make a show of walking into the contaminated apartment without any protective clothing while they were having difficulty getting hazmat teams to even show up on the scene to clean up the apartment.
[00:07:42.883 --> 00:07:52.427]  And of course, that's the other aspect of it, that the stand down, the violation of the medical protocols, the fact that they are days late in terms of doing anything.
[00:07:52.467 --> 00:07:55.908]  And then when they do it, they either do too little of it or they do it the wrong way.
[00:07:56.268 --> 00:07:58.329]  Remember the way they cleaned off the sidewalk?
