[00:00:01.833 --> 00:00:03.015]  Coast to coast.
[00:00:03.376 --> 00:00:04.679]  Direct from Austin.
[00:00:05.441 --> 00:00:08.628]  You're listening to the Alex Jones Broadcasting Network.
[00:00:15.802 --> 00:00:16.422]  Big Brother.
[00:00:17.103 --> 00:00:18.143]  Mainstream media.
[00:00:18.883 --> 00:00:19.964]  Government cover-ups.
[00:00:20.644 --> 00:00:21.425]  You want answers?
[00:00:22.225 --> 00:00:23.146]  Well, so does he.
[00:00:23.766 --> 00:00:27.408]  He's Alex Jones on the GCN Radio Network.
[00:00:27.948 --> 00:00:32.050]  And now, live from Austin, Texas, Alex Jones.
[00:00:39.013 --> 00:00:44.816]  We're going to be covering the latest event that will be used like Trayvon Martin
[00:00:45.683 --> 00:01:03.056]  To promote racial division in this country, and to make that the only issue, not the globalists that are literally de-industrializing the country and artificially creating a climate of poverty as a tool of social control.
[00:01:03.977 --> 00:01:11.122]  We will get into that today, but there is so much, so many other important stories that we've got to get to.
[00:01:12.156 --> 00:01:37.868]  And yes, now Trayvon Martin's family attorney is to represent the slain Missouri teen and InfoWars.com has discovered tweeted photos taken by citizens in Ferguson, Missouri of looters wearing Remember Trayvon Martin, Rest in Peace Trayvon Martin shirts.
[00:01:39.088 --> 00:01:40.469]  So the answer
[00:01:41.738 --> 00:01:55.447]  When the police questionably shoot an unarmed black teen is not to burn down grocery stores and convenience stores and people's houses and to burn up cars in your own neighborhood.
[00:01:56.308 --> 00:02:03.233]  The answer would be to get politically involved and go after the police department if they've been proven wrong.
[00:02:04.639 --> 00:02:12.383]  But doing stuff like this will only make the relations between the police and the black community that much worse.
[00:02:13.443 --> 00:02:17.205]  And this is just a little forte, a little hors d'oeuvre.
[00:02:18.780 --> 00:02:33.385]  In the future of this nation, especially when the media like MSNBC and the White House only have race baiting and racial politics as their issues.
[00:02:33.945 --> 00:02:35.926]  Because they're not delivering on any other front.
[00:02:37.286 --> 00:02:39.987]  They're not delivering jobs, they're not even delivering bigger welfare checks.
[00:02:40.387 --> 00:02:41.668]  They're just delivering collapse.
[00:02:43.322 --> 00:02:51.216]  And their own people that have gotten basically raised on welfare across the political spectrum are getting antsy, are getting restless.
[00:02:51.657 --> 00:02:54.221]  And the answer is, let's just have a war with the police.
[00:02:56.325 --> 00:03:05.047]  Which is only going to then have the police be driven into the arms of the feds, who are really globalist and have been occupied by the New World Order.
[00:03:05.508 --> 00:03:17.371]  They will then federalize the police, create federal command centers, militarize them, and then they will bait and switch and use the paramilitary police on gun owners, returning veterans, Christians, conservatives, libertarians.
[00:03:18.407 --> 00:03:28.052]  There's another photo in Paul Watson's article confirmed by local news to be Bradley fighting vehicles rolling out to be refitted for homeland security.
